facility,cate,addr_load,addr_num,lat,long,area,capacity,openOrnot,normal_use,manage_phone,management,date,region
신화 아파트,공공용,"강원도 강릉시 강변로 270 (노암동, 신화아파트)",강원도 강릉시 노암동 711,37.74933573,128.8982634,9543.0,11567.0,Y,지하주차장,033-660-3931,강릉시 강남동주민센터,2021-06-07,강원도
양우내안애 아파트,공공용,"강원도 강릉시 강변로 328-8 (노암동, 양우내안애아파트)",강원도 강릉시 노암동 844,37.75213507,128.9038762,11517.0,13960.0,Y,주차장,033-660-3931,강릉시 강남동주민센터,2021-06-07,강원도
남산현대 아파트(노암동),공공용,"강원도 강릉시 남부로125번길 11 (노암동, 남산현대아파트)",강원도 강릉시 노암동 610,37.74265822,128.8922437,3877.0,4699.0,Y,지하주차장,033-660-3931,강릉시 강남동주민센터,2021-06-07,강원도
고합로얄아파트,공공용,"강원도 강릉시 남부로125번길 23 (노암동, 고합아파트)",강원도 강릉시 노암동 618-17,37.743668,128.8927722,1074.0,1301.0,Y,지하주차장,033-660-3931,강릉시 강남동주민센터,2021-06-07,강원도
노암한라1차 아파트,공공용,"강원도 강릉시 노암길42번길 28 (노암동, 노암한라1차아파트)",강원도 강릉시 노암동 390,37.74458914,128.9012278,3371.0,4086.0,Y,지하주차장,033-660-3931,강릉시 강남동주민센터,2021-06-07,강원도
노암 현대 아파트,공공용,"강원도 강릉시 율곡로 2733 (노암동, 현대아파트)",강원도 강릉시 노암동 245-5,37.75061427,128.9056706,766.0,928.0,Y,지하주차장,033-660-3931,강릉시 강남동주민센터,2021-06-07,강원도
덕원 아파트,공공용,"강원도 강릉시 죽헌길85번길 25 (지변동, 덕원아파트)",강원도 강릉시 지변동 334,37.7780414033,128.8730673,2310.0,2800.0,Y,지하주차장,033-660-3997,강릉시 경포동주민센터,2021-06-07,강원도
LH선수촌 8단지 아파트,공공용,"강원도 강릉시 선수촌로 113 (유천동, 엘에이치선수촌8단지)",강원도 강릉시 유천동 778,37.762145923,128.8678723825,30733.0,37252.0,Y,지하주차장,033-660-3997,강릉시 경포동주민센터,2021-06-07,강원도
부영2차 아파트(교1동),공공용,"강원도 강릉시 가작로 71 (교동, 부영아파트)",강원도 강릉시 교동 1747,37.76903325,128.8840279,2695.0,3266.0,Y,지하주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07,강원도
교1동 주공1차아파트,공공용,"강원도 강릉시 가작로 78 (교동, 강릉 교동(1)주공아파트)",강원도 강릉시 교동 1750,37.76625466,128.8833764,3595.0,4357.0,Y,지하주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07,강원도
현대2차 아파트(교1동),공공용,"강원도 강릉시 교동광장로 138-13 (교동, 교동2차현대아파트)",강원도 강릉시 교동 1767,37.7631291,128.8798566,829.0,1004.0,Y,지하주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07,강원도
부영5차 아파트(교1동),공공용,"강원도 강릉시 교동광장로 163 (교동, 부영아파트)",강원도 강릉시 교동 1762,37.76382548,128.8825068,1672.0,2026.0,Y,지하주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07,강원도
현대1차 아파트,공공용,"강원도 강릉시 옛강일길 41 (교동, 현대아파트)",강원도 강릉시 교동 828-19,37.764405,128.8896937,991.0,1201.0,Y,주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07,강원도
하이빌현대 아파트,공공용,"강원도 강릉시 원대로128번길 14 (교동, 현대하이빌아파트)",강원도 강릉시 교동 1759,37.76523842,128.8833824,3172.0,3844.0,Y,지하주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07,강원도
부영1차 아파트(교1동),공공용,"강원도 강릉시 정원로 53-4 (교동, 부영아파트)",강원도 강릉시 교동 1773,37.76219406,128.8745405,3316.0,4019.0,Y,지하주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07,강원도
교1동 부영6차아파트,공공용,"강원도 강릉시 정원로 53-5 (교동, 부영아파트)",강원도 강릉시 교동 1775,37.76167309,128.8758028,4817.0,5838.0,Y,지하주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07,강원도
부영3차아파트,공공용,"강원도 강릉시 하슬라로 124 (교동, 부영3차아파트)",강원도 강릉시 교동 1780,37.76045924,128.8739612,5120.0,6206.0,Y,지하주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07,강원도
롯데캐슬 2단지 아파트,공공용,"강원도 강릉시 화부산로111번길 24 (교동, 강릉교동롯데캐슬2단지)",강원도 강릉시 교동 1983,37.76676821,128.8897851,8696.0,10540.0,Y,지하주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07,강원도
롯데캐슬 1단지 아파트,공공용,"강원도 강릉시 화부산로99번길 12 (교동, 강릉교동롯데캐슬1단지)",강원도 강릉시 교동 1982,37.76626539,128.887884,8696.0,10540.0,Y,지하주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07,강원도
한신 아파트(견소동),공공용,"강원도 강릉시 경강로2539번길 8 (견소동, 송정한신아파트)",강원도 강릉시 견소동 202,37.77389245,128.9394207,2980.0,1629.0,Y,주차장,033-660-3809,강릉시 교2동주민센터,2021-06-07,강원도
한신아파트(교2동),공공용,"강원도 강릉시 명륜로 95-7 (교동, 교동한신아파트)",강원도 강릉시 교동 46-1,37.76832359,128.8994978,1344.0,1629.0,Y,주차장,033-660-3809,강릉시 교2동주민센터,2021-06-07,강원도
예성그린 2차아파트,공공용,"강원도 강릉시 명륜로 95-8 (교동, 예성그린2차아파트)",강원도 강릉시 교동 45-7,37.768326,128.9004747,492.0,600.0,Y,주차장,033-660-3809,강릉시 교2동주민센터,2021-06-07,강원도
대림 아파트(교2동),공공용,"강원도 강릉시 수리골길17번길 21 (교동, 교동대림아파트)",강원도 강릉시 교동 18-16,37.77186279,128.8981131,3977.0,4820.0,Y,지하주차장,033-660-3809,강릉시 교2동주민센터,2021-06-07,강원도
이편한 세상 아파트,공공용,"강원도 강릉시 종합운동장길 92 (교동, 교동 이편한세상아파트)",강원도 강릉시 교동 357,37.77097892,128.8963882,5535.0,6709.0,Y,지하주차장,033-660-3809,강릉시 교2동주민센터,2021-06-07,강원도
내곡한라 아파트,공공용,"강원도 강릉시 강변로 114 (내곡동, 한라아파트)",강원도 강릉시 내곡동 476,37.74368214,128.8807303,7466.0,9049.0,Y,지하주차장,033-660-3904,강릉시 내곡동주민센터,2021-06-07,강원도
남산삼익 아파트,공공용,강원도 강릉시 남산초교길 43-6 (내곡동),강원도 강릉시 내곡동 130,37.743349,128.8916779,2715.0,3290.0,Y,지하주차장,033-660-3904,강릉시 내곡동주민센터,2021-06-07,강원도
내곡현대 아파트,공공용,"강원도 강릉시 범일로 645 (내곡동, 내곡동 현대아파트)",강원도 강릉시 내곡동 469,37.74543586,128.8837334,3240.0,3927.0,Y,지하주차장,033-660-3904,강릉시 내곡동주민센터,2021-06-07,강원도
입암 대인3차 아파트,공공용,"강원도 강릉시 강변로410번길 27 (입암동, 대인3차아파트)",강원도 강릉시 입암동 506-9,37.75650656,128.9120713,2644.0,3204.0,Y,주차장,033-660-3953,강릉시 성덕동주민센터,2021-06-07,강원도
태평양 아파트,공공용,"강원도 강릉시 강변로410번길 31-5 (입암동, 태평양아파트)",강원도 강릉시 입암동 506-5,37.75613541,128.9125156,3352.0,4063.0,Y,지하주차장,033-660-3953,강릉시 성덕동주민센터,2021-06-07,강원도
입암6주공 아파트,공공용,"강원도 강릉시 성덕포남로 39 (입암동, 입암6주공아파트)",강원도 강릉시 입암동 709-1,37.75765266,128.9198119,3680.0,4460.0,Y,지하주차장,033-660-3953,강릉시 성덕동주민센터,2021-06-07,강원도
입암현대 아파트,공공용,"강원도 강릉시 용지로 19 (입암동, 입암현대아파트)",강원도 강릉시 입암동 440,37.752445,128.9116627,19126.0,23183.0,Y,지하주차장,033-660-3953,강릉시 성덕동주민센터,2021-06-07,강원도
녹원 아파트,공공용,"강원도 강릉시 월대산로 57 (입암동, 녹원아파트)",강원도 강릉시 입암동 92-1,37.76038937,128.9166057,1124.0,1362.0,Y,주차장,033-660-3953,강릉시 성덕동주민센터,2021-06-07,강원도
