"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"신화 아파트",공공용,"강원도 강릉시 강변로 270 (노암동, 신화아파트)",강원도 강릉시 노암동 711,37.74933573,128.8982634,9543,11567,Y,지하주차장,033-660-3931,강릉시 강남동주민센터,2021-06-07
"양우내안애 아파트",공공용,"강원도 강릉시 강변로 328-8 (노암동, 양우내안애아파트)",강원도 강릉시 노암동 844,37.75213507,128.9038762,11517,13960,Y,주차장,033-660-3931,강릉시 강남동주민센터,2021-06-07
"남산현대 아파트(노암동)",공공용,"강원도 강릉시 남부로125번길 11 (노암동, 남산현대아파트)",강원도 강릉시 노암동 610,37.74265822,128.8922437,3877,4699,Y,지하주차장,033-660-3931,강릉시 강남동주민센터,2021-06-07
"고합로얄아파트",공공용,"강원도 강릉시 남부로125번길 23 (노암동, 고합아파트)",강원도 강릉시 노암동 618-17,37.743668,128.8927722,1074,1301,Y,지하주차장,033-660-3931,강릉시 강남동주민센터,2021-06-07
"노암한라1차 아파트",공공용,"강원도 강릉시 노암길42번길 28 (노암동, 노암한라1차아파트)",강원도 강릉시 노암동 390,37.74458914,128.9012278,3371,4086,Y,지하주차장,033-660-3931,강릉시 강남동주민센터,2021-06-07
"노암 현대 아파트",공공용,"강원도 강릉시 율곡로 2733 (노암동, 현대아파트)",강원도 강릉시 노암동 245-5,37.75061427,128.9056706,766,928,Y,지하주차장,033-660-3931,강릉시 강남동주민센터,2021-06-07
"덕원 아파트",공공용,"강원도 강릉시 죽헌길85번길 25 (지변동, 덕원아파트)",강원도 강릉시 지변동 334,37.7780414033,128.8730673,2310,2800,Y,지하주차장,033-660-3997,강릉시 경포동주민센터,2021-06-07
LH선수촌 8단지 아파트,공공용,"강원도 강릉시 선수촌로 113 (유천동, 엘에이치선수촌8단지)",강원도 강릉시 유천동 778,37.7621459230,128.8678723825,30733,37252,Y,지하주차장,033-660-3997,강릉시 경포동주민센터,2021-06-07
"부영2차 아파트(교1동)",공공용,"강원도 강릉시 가작로 71 (교동, 부영아파트)",강원도 강릉시 교동 1747,37.76903325,128.8840279,2695,3266,Y,지하주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07
"교1동 주공1차아파트",공공용,"강원도 강릉시 가작로 78 (교동, 강릉 교동(1)주공아파트)",강원도 강릉시 교동 1750,37.76625466,128.8833764,3595,4357,Y,지하주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07
"현대2차 아파트(교1동)",공공용,"강원도 강릉시 교동광장로 138-13 (교동, 교동2차현대아파트)",강원도 강릉시 교동 1767,37.7631291,128.8798566,829,1004,Y,지하주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07
"부영5차 아파트(교1동)",공공용,"강원도 강릉시 교동광장로 163 (교동, 부영아파트)",강원도 강릉시 교동 1762,37.76382548,128.8825068,1672,2026,Y,지하주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07
"현대1차 아파트",공공용,"강원도 강릉시 옛강일길 41 (교동, 현대아파트)",강원도 강릉시 교동 828-19,37.764405,128.8896937,991,1201,Y,주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07
"하이빌현대 아파트",공공용,"강원도 강릉시 원대로128번길 14 (교동, 현대하이빌아파트)",강원도 강릉시 교동 1759,37.76523842,128.8833824,3172,3844,Y,지하주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07
"부영1차 아파트(교1동)",공공용,"강원도 강릉시 정원로 53-4 (교동, 부영아파트)",강원도 강릉시 교동 1773,37.76219406,128.8745405,3316,4019,Y,지하주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07
"교1동 부영6차아파트",공공용,"강원도 강릉시 정원로 53-5 (교동, 부영아파트)",강원도 강릉시 교동 1775,37.76167309,128.8758028,4817,5838,Y,지하주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07
"부영3차아파트",공공용,"강원도 강릉시 하슬라로 124 (교동, 부영3차아파트)",강원도 강릉시 교동 1780,37.76045924,128.8739612,5120,6206,Y,지하주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07
"롯데캐슬 2단지 아파트",공공용,"강원도 강릉시 화부산로111번길 24 (교동, 강릉교동롯데캐슬2단지)",강원도 강릉시 교동 1983,37.76676821,128.8897851,8696,10540,Y,지하주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07
"롯데캐슬 1단지 아파트",공공용,"강원도 강릉시 화부산로99번길 12 (교동, 강릉교동롯데캐슬1단지)",강원도 강릉시 교동 1982,37.76626539,128.887884,8696,10540,Y,지하주차장,033-660-3774,강릉시 교1동주민센터,2021-06-07
"한신 아파트(견소동)",공공용,"강원도 강릉시 경강로2539번길 8 (견소동, 송정한신아파트)",강원도 강릉시 견소동 202,37.77389245,128.9394207,2980,1629,Y,주차장,033-660-3809,강릉시 교2동주민센터,2021-06-07
"한신아파트(교2동)",공공용,"강원도 강릉시 명륜로 95-7 (교동, 교동한신아파트)",강원도 강릉시 교동 46-1,37.76832359,128.8994978,1344,1629,Y,주차장,033-660-3809,강릉시 교2동주민센터,2021-06-07
"예성그린 2차아파트",공공용,"강원도 강릉시 명륜로 95-8 (교동, 예성그린2차아파트)",강원도 강릉시 교동 45-7,37.768326,128.9004747,492,600,Y,주차장,033-660-3809,강릉시 교2동주민센터,2021-06-07
"대림 아파트(교2동)",공공용,"강원도 강릉시 수리골길17번길 21 (교동, 교동대림아파트)",강원도 강릉시 교동 18-16,37.77186279,128.8981131,3977,4820,Y,지하주차장,033-660-3809,강릉시 교2동주민센터,2021-06-07
"이편한 세상 아파트",공공용,"강원도 강릉시 종합운동장길 92 (교동, 교동 이편한세상아파트)",강원도 강릉시 교동 357,37.77097892,128.8963882,5535,6709,Y,지하주차장,033-660-3809,강릉시 교2동주민센터,2021-06-07
"내곡한라 아파트",공공용,"강원도 강릉시 강변로 114 (내곡동, 한라아파트)",강원도 강릉시 내곡동 476,37.74368214,128.8807303,7466,9049,Y,지하주차장,033-660-3904,강릉시 내곡동주민센터,2021-06-07
"남산삼익 아파트",공공용,강원도 강릉시 남산초교길 43-6 (내곡동),강원도 강릉시 내곡동 130,37.743349,128.8916779,2715,3290,Y,지하주차장,033-660-3904,강릉시 내곡동주민센터,2021-06-07
"내곡현대 아파트",공공용,"강원도 강릉시 범일로 645 (내곡동, 내곡동 현대아파트)",강원도 강릉시 내곡동 469,37.74543586,128.8837334,3240,3927,Y,지하주차장,033-660-3904,강릉시 내곡동주민센터,2021-06-07
"입암 대인3차 아파트",공공용,"강원도 강릉시 강변로410번길 27 (입암동, 대인3차아파트)",강원도 강릉시 입암동 506-9,37.75650656,128.9120713,2644,3204,Y,주차장,033-660-3953,강릉시 성덕동주민센터,2021-06-07
"태평양 아파트",공공용,"강원도 강릉시 강변로410번길 31-5 (입암동, 태평양아파트)",강원도 강릉시 입암동 506-5,37.75613541,128.9125156,3352,4063,Y,지하주차장,033-660-3953,강릉시 성덕동주민센터,2021-06-07
"입암6주공 아파트",공공용,"강원도 강릉시 성덕포남로 39 (입암동, 입암6주공아파트)",강원도 강릉시 입암동 709-1,37.75765266,128.9198119,3680,4460,Y,지하주차장,033-660-3953,강릉시 성덕동주민센터,2021-06-07
"입암현대 아파트",공공용,"강원도 강릉시 용지로 19 (입암동, 입암현대아파트)",강원도 강릉시 입암동 440,37.752445,128.9116627,19126,23183,Y,지하주차장,033-660-3953,강릉시 성덕동주민센터,2021-06-07
"녹원 아파트",공공용,"강원도 강릉시 월대산로 57 (입암동, 녹원아파트)",강원도 강릉시 입암동 92-1,37.76038937,128.9166057,1124,1362,Y,주차장,033-660-3953,강릉시 성덕동주민센터,2021-06-07
"삼우은성 아파트",공공용,"강원도 강릉시 남강초교1길 55 (송정동, 삼우은성맨션아파트)",강원도 강릉시 송정동 940,37.76998846,128.9217358092,2696,3267,Y,주차장,033-660-3896,강릉시 송정동주민센터,2021-06-07
"대림 아파트(송정동)",공공용,"강원도 강릉시 남강초교2길 44 (송정동, 대림맨션아파트)",강원도 강릉시 송정동 940-23,37.7694861,128.9206944,2210,2678,Y,주차장,033-660-3896,강릉시 송정동주민센터,2021-06-07
"홈플러스",공공용,"강원도 강릉시 경강로 2120 (옥천동, 씨네몰)",강원도 강릉시 옥천동 189,37.755663,128.8986527,4397,5328,Y,지하주차장,033-660-3754,강릉시 옥천동주민센터,2021-06-07
"강릉 소방서",공공용,"강원도 강릉시 용지로 139 (옥천동, 강릉소방서)",강원도 강릉시 옥천동 325,37.761021,128.9021216,331,401,Y,"회의,교육",033-660-3754,강릉시 옥천동주민센터,2021-06-07
