"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
KB국민은행,공공용,강원도 동해시 중앙로250,강원도 동해시 천곡동 849,37.52302634,129.1143517,460,556,Y,,033-530-2312,동해시청,2021-04-14
KT동해지점,공공용,강원도 동해시 발한로42,강원도 동해시 부곡동 87,37.5365842,129.1036544,400,482,Y,,033-530-2312,동해시청,2021-04-14
"근로자복지회관",공공용,강원도 동해시 동굴로2,강원도 동해시 천곡동 1005-12,37.5148782,129.1050919,727,880,Y,,033-530-2312,동해시청,2021-04-14
"금호어울림아파트",공공용,강원도 동해시 평릉길14,강원도 동해시 천곡동 1102,37.5278272,129.1024811,2657,3220,Y,,033-530-2312,동해시청,2021-04-14
"대동아파트",공공용,강원도 동해시 청운1길29,강원도 동해시 동회동 442,37.48761775,129.1035462,2512,3045,Y,,033-530-2312,동해시청,2021-04-14
"대륜빌딩",공공용,강원도 동해시 천곡로86-2,강원도 동해시 천곡동 845,37.52288447,129.1150623,1141,1380,Y,,033-530-2312,동해시청,2021-04-14
"대림아파트",공공용,강원도 동해시 관사길6,강원도 동해시 발한동 253,37.55029316,129.1058573,1418,1169,Y,,033-530-2312,동해시청,2021-04-14
"대창아파트",공공용,강원도 동해시 향로3길43,강원도 동해시 발한동 188,37.54436335,129.1046973,1077,888,Y,,033-530-2312,동해시청,2021-04-14
"도노호텔",공공용,강원도 동해시 중앙로210-1,강원도 동해시 천곡동 889,37.51991083,129.1160361,612,740,Y,,033-530-2312,동해시청,2021-04-14
"동진빌딩",공공용,강원도 동해시 천곡로86,강원도 동해시 천곡동 847,37.52344603,129.1147539,992,1200,Y,,033-530-2312,동해시청,2021-04-14
"동해농협",공공용,강원도 동해시 대동로121,강원도 동해시 북평동 21-3,37.48264391,129.1264371,86,104,Y,,033-530-2312,동해시청,2021-04-14
"동해동인병원",공공용,강원도 동해시 하평로26,강원도 동해시 평릉동 134,37.5301401,129.1073994,1266,1531,Y,,033-530-2312,동해시청,2021-04-14
"동해병원",공공용,강원도 동해시 하평로11,강원도 동해시 평릉동 190,37.5313691,129.1077852,992,1200,Y,,033-530-2312,동해시청,2021-04-14
"동해쇄운부영아파트 101~104동",공공용,강원도 동해시 청운1길30,강원도 동해시 쇄운동 8,37.485315,129.1069522,14115,17079,Y,,033-530-2312,동해시청,2021-04-14
"동해쇄운부영아파트 105~108동",공공용,강원도 동해시 청운1길30,강원도 동해시 쇄운동 8,37.485315,129.1069522,5213,6308,Y,,033-530-2312,동해시청,2021-04-14
"동해쇄운부영아파트 109동",공공용,강원도 동해시 청운1길30,강원도 동해시 쇄운동 8,37.485315,129.1069522,3869,4681,Y,,033-530-2312,동해시청,2021-04-14
"동해시청",공공용,강원도 동해시 천곡로77,강원도 동해시 천곡동 806,37.5250249,129.114494,628,760,Y,,033-530-2312,동해시청,2021-04-14
"동해항운노조회관",공공용,강원도 동해시 발한로162,강원도 동해시 발한동 222-2,37.54615702,129.104671,397,300,Y,,033-530-2312,동해시청,2021-04-14
"동해해양경찰서",공공용,강원도 동해시 임항로29,강원도 동해시 부곡동 129-20,37.5393507,129.1062196,173,208,Y,,033-530-2312,동해시청,2021-04-14
"동회동현대코아루아파트",공공용,강원도 동해시 청운1길29,강원도 동해시 동회동 442,37.48761775,129.1035462,2512,3040,Y,,033-530-2312,동해시청,2021-04-14
"망상동 삼성아파트",공공용,강원도 동해시 해안로605,강원도 동해시 발한동 334-1,37.5535511,129.1031248,2965,3588,Y,,033-530-2312,동해시청,2021-04-14
"묵호동주민센터",공공용,강원도 동해시 논골길78,강원도 동해시 묵호진동 1-44,37.5586983,129.1142497,208.09,250,Y,,033-530-2312,동해시청,2021-04-14
"뱅뱅건물",공공용,강원도 동해시 중앙로248,강원도 동해시 천곡동 850,37.5227993,129.1145406,1207,1460,Y,,033-530-2312,동해시청,2021-04-14
"범주성지2차아파트",공공용,강원도 동해시 초원2길5,강원도 동해시 용정동 260-2,37.5116184,129.1242869,496,600,Y,,033-530-2312,동해시청,2021-04-14
"북평동주민센터",공공용,강원도 동해시 대동로137,강원도 동해시 북평동 127-1,37.48372927,129.1250627,331,400,Y,,033-530-2312,동해시청,2021-04-14
"북평동주민센터 옆 지하",공공용,강원도 동해시 대동로137,강원도 동해시 북평동 127-1,37.48372927,129.1250627,30,36,Y,,033-530-2312,동해시청,2021-04-14
"삼본아파트",공공용,강원도 동해시 해맞이길231,강원도 동해시 묵호진동 1-83,37.5593293,129.1150388,1534,1856,Y,,033-530-2312,동해시청,2021-04-14
"삼정2차아파트",공공용,강원도 동해시 임항로55,강원도 동해시 부곡동 126-1,37.53899217,129.1078463,1794,1488,Y,,033-530-2312,동해시청,2021-04-14
"삼화쌍용아파트",공공용,강원도 동해시 삼화로48,강원도 동해시 이로동 42-2,37.48609632,129.064348,991,1200,Y,,033-530-2312,동해시청,2021-04-14
"센트로빌 아파트",공공용,강원도 동해시 한섬로73,강원도 동해시 천곡동 1060-2,37.5204837,129.1119072,6364,7700,Y,,033-530-2312,동해시청,2021-04-14
"션샤인파크 아파트",공공용,강원도 동해시 임항로10,강원도 동해시 부곡동 80,37.5381069,129.102948,5713,6889,Y,,033-530-2312,동해시청,2021-04-14
"송원빌딩",공공용,강원도 동해시 한섬로 113-7,강원도 동해시 천곡동 865,37.5222901,129.1160145,725.55,879,Y,,033-530-2312,동해시청,2021-04-14
"승우2차아파트",공공용,강원도 동해시 부곡2길7,강원도 동해시 부곡동 86-5,37.53653758,129.1052407,298,360,Y,,033-530-2312,동해시청,2021-04-14
"승우4차아파트",공공용,강원도 동해시 임항로36,강원도 동해시 부곡동 105-1,37.5383015,129.1061943,727,877,Y,,033-530-2312,동해시청,2021-04-14
"쌍용아파트",공공용,강원도 동해시 동굴로149,강원도 동해시 천곡동 942,37.52001628,129.1200892,2936,3552,Y,,033-530-2312,동해시청,2021-04-14
"엘리시아파트",공공용,강원도 동해시 평원로107,강원도 동해시 평릉동 450,37.5322594,129.1120888,6836.82,8287,Y,,033-530-2312,동해시청,2021-04-14
"영동5차 연립주택",공공용,강원도 동해시 가마골길26-12,강원도 동해시 부곡동 74-7,37.5366129,129.1024226,286.52,237,Y,,033-530-2312,동해시청,2021-04-14
"유공타워빌딩",공공용,강원도 동해시 천곡1길3,강원도 동해시 천곡동 802-1,37.5242638,129.1128562,2519,3048,Y,,033-530-2312,동해시청,2021-04-14
"유성타워",공공용,강원도 동해시 구미택지1길93,강원도 동해시 구미동 551,37.48037531,129.1281103,99,120,Y,,033-530-2312,동해시청,2021-04-14
"유존아파트",공공용,강원도 동해시 부곡2길26,강원도 동해시 부곡동 111-1,37.5375401,129.1061645,1116,926,Y,,033-530-2312,동해시청,2021-04-14
"이도주공2차 아파트",공공용,강원도 동해시 이원길180-2,강원도 동해시 이도동 155,37.478292,129.1109165,1947,2356,Y,,033-530-2312,동해시청,2021-04-14
"이도현대아파트",공공용,강원도 동해시 이원길180,강원도 동해시 이도동 172,37.4795225,129.1109773543,1005,1216,Y,,033-530-2312,동해시청,2021-04-14
"일정아파트",공공용,강원도 동해시 해안로 449,강원도 동해시 부곡동 5-82,37.5407185,129.1091038,1653,1993,Y,,033-530-2312,동해시청,2021-04-14
"코아루디오션 아파트",공공용,강원도 동해시 평원로100,강원도 동해시 평릉동 456,37.53198538,129.1140665,15231,18461,Y,,033-530-2312,동해시청,2021-04-14
"평릉부영아파트",공공용,강원도 동해시 평원로110,강원도 동해시 평릉동 448,37.53347271,129.1130477,10679.13,12944,Y,,033-530-2312,동해시청,2021-04-14
"푸르지오아파트",공공용,강원도 동해시 평릉1길 39,강원도 동해시 평릉동 293,37.5295525,129.0997018,5282,6402,Y,,033-530-2312,동해시청,2021-04-14
"하나리움아파트",공공용,강원도 동해시 평원로115,강원도 동해시 평릉동 449,37.5330672,129.1117534,6189.75,7502,Y,,033-530-2312,동해시청,2021-04-14
"현진아파트",공공용,강원도 동해시 구미4길1,강원도 동해시 구미동 521,37.4818091,129.1299716,231,280,Y,,033-530-2312,동해시청,2021-04-14
