"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"도계새롬아파트",공공용,강원도 삼척시 도계읍 도계우회로2길 8,강원도 삼척시 도계읍 도계리 429,37.2369676,129.0467934,1541,1868,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"도계LH2단지아파트",공공용,강원도 삼척시 도계읍 장원길 33,강원도 삼척시 도계읍 도계리 225,37.22707499,129.0549529,5293,6416,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"호산시크릿캐슬",공공용,강원도 삼척시 원덕읍 삼척로 446-23,강원도 삼척시 원덕읍 호산리 362-2,37.17717375,129.3356187,370,448,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"행남아파트",공공용,강원도 삼척시 근덕면 교가2길 19,강원도 삼척시 근덕면 교가리 378-1,37.38096212,129.2276906,755,915,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"삼척소방서",공공용,강원도 삼척시 봉황로 101,강원도 삼척시 남양동 5-1,37.44639445,129.171234,106,128,Y,구내식당,033-570-3896,강원도 삼척시청,2021-07-21
"동원파크3차",공공용,강원도 삼척시 남양안길 26,강원도 삼척시 남양동 336-3,37.44327603,129.1693542,1084,1314,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"동화3차APT",공공용,강원도 삼척시 남양길 14-17,강원도 삼척시 남양동 338,37.44184746,129.1690508,661,801,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"세연상가",공공용,강원도 삼척시 중앙시장1길 22-23,강원도 삼척시 남양동 52,37.44092809,129.1673115,982,1190,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"한흥프라자",공공용,강원도 삼척시 중앙로 176,강원도 삼척시 남양동 55-117,37.43890081,129.1682156,989,1199,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"삼척의료원",공공용,강원도 삼척시 오십천로 418,강원도 삼척시 남양동 55-9,37.44032696,129.1633551,450,545,Y,구내식당,033-570-3896,강원도 삼척시청,2021-07-21
"삼원상가",공공용,강원도 삼척시 중앙로 185,강원도 삼척시 남양동 93-5,37.44002623,129.1673668,1997,2421,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"삼척중앙시장",공공용,강원도 삼척시 진주로 12-21,강원도 삼척시 남양동 55-4,37.44210168,129.1646203,2236,2710,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"대학로 지하주차장",공공용,강원도 삼척시 대학로 31,강원도 삼척시 당저동 145-3,37.4438722,129.1629092,1999,2423,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"현대아파트",공공용,강원도 삼척시 오십천로 301-30,강원도 삼척시 원당동 122-3,37.43973673,129.1524545,2394,2902,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"동부아파트",공공용,강원도 삼척시 동해대로 4273,강원도 삼척시 교동 501-5,37.45547339,129.1646442,2463,2985,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"코아루아파트",공공용,강원도 삼척시 교동로 133,강원도 삼척시 교동 733-1,37.45053496,129.1761176,3195,3873,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"신동아아파트",공공용,강원도 삼척시 정상로 90,강원도 삼척시 교동 745-1,37.44943074,129.1754475,2674,3241,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"코아루타워아파트",공공용,강원도 삼척시 교동로 97,강원도 삼척시 교동 781,37.45021404,129.1704496,2076,2516,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
e편한세상아파트,공공용,강원도 삼척시 하실길 72,강원도 삼척시 교동 793,37.45255669,129.1712088,7648,9270,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"지웰아파트",공공용,강원도 삼척시 동해대로 4183,강원도 삼척시 교동 788,37.45278026,129.1762911,9344,11326,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"세영리첼아파트",공공용,강원도 삼척시 마달길 215,강원도 삼척시 마달동 179,37.45084403,129.1555254,6181,7492,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"동양아파트",공공용,강원도 삼척시 오십천로 529,강원도 삼척시 정상동 275-1,37.43488379,129.1769049,437,530,Y,공동구,033-570-3896,강원도 삼척시청,2021-07-21
"유성아파트",공공용,강원도 삼척시 동해대로 4044-13,강원도 삼척시 정상동 316-3,37.44191441,129.1787284,3306,4007,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"현진에버빌아파트",공공용,강원도 삼척시 정상로 35,강원도 삼척시 정상동 473,37.44422235,129.1751121,13144,15932,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"파라다이스모텔",공공용,강원도 삼척시 새천년도로 131,강원도 삼척시 정하동 41-277,37.4426392,129.191734,519,629,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
"동화4차아파트",공공용,강원도 삼척시 동해대로 3943,강원도 삼척시 정상동 121-1,37.43501948,129.1823243,908,1101,Y,주차장,033-570-3896,강원도 삼척시청,2021-07-21
