"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"동부아파트(전동 지하)",공공용,"강원도 속초시 미시령로 3359번길 15(교동, 동부아파트)",강원도 속초시 교동 781 1호,38.20821839,128.573646,3712,4499,Y,,,속초시,2021-07-01
"속초우체국연수원(본관 지하)",공공용,강원도 속초시 교동로 1길 7(교동),강원도 속초시 교동 658-21,38.20055723,128.5806637,583,706,Y,,,속초시,2021-07-01
"금호동주민센터(본관 지하)",공공용,"강원도 속초시 중앙시장로 43(중앙동, 금호동주민센터)",강원도 속초시 중앙동 496번지 25호,38.20693735,128.5882315,777,941,Y,,,속초시,2021-07-01
"속초관광수산시장(본관 지하)",공공용,강원도 속초시 중앙로 147번길 16(금호동),강원도 속초시 금호동 471번지 4호,38.20452183,128.5901928,825,1000,Y,,,속초시,2021-07-01
"이편한세상아파트(104동 지하)",공공용,강원도 속초시 미시령로 3439(금호동),강원도 속초시 금호동 627번지,38.21074466,128.5832633,4818,5840,Y,,,속초시,2021-07-01
"생모리츠아파트(전동 지하)",공공용,"강원도 속초시 수복로 174(금호동, 생모리츠아파트)",강원도 속초시 금호동 630,38.20296315,128.5876839,8660,10496,Y,,,속초시,2021-07-01
"보람레이크더하임아파트(전동 지하)",공공용,"강원도 속초시 영랑호반길 115-13(금호동, 보람레이크더하임아파트)",강원도 속초시 금호동 629번지,38.21101867,128.5821824,2600,3151,Y,,,속초시,2021-07-01
"한국도로공사 설악연수원(본관 지하)",공공용,강원도 속초시 온천로 56(노학동. 한국도로공사연수원),강원도 속초시 노학동 572번지 1호,38.18825908,128.5490516,384,465,Y,,,속초시,2021-07-01
"삼환아파트(102동 지하)",공공용,강원도 속초시 밤골3길 39(교동),강원도 속초시 교동 923번지,38.20351616,128.5666404,7207,8735,Y,,,속초시,2021-07-01
"아남프라자(본관 지하)",공공용,"강원도 속초시 동해대로 4236(교동, 아남프라자)",강원도 속초시 교동 737번지 7호,38.19776001,128.5775303,2729,3307,Y,,,속초시,2021-07-01
"청초대우아파트(전동 지하)",공공용,"강원도 속초시 동해대로 4271(교동, 청초대우아파트)",강원도 속초시 교동 961번지,38.19798727,128.5732157,7405,8975,Y,,,속초시,2021-07-01
"대명늘푸른아파트(전동 지하)",공공용,"강원도 속초시 미시령로 3337번길 7(교동, 대명늘푸른아파트)",강원도 속초시 교동 783번지,38.20541866,128.5709554,7596,5974,Y,,,속초시,2021-07-01
"설악파인리조트(본관 지하)",공공용,강원도 속초시 관광로 408번길 14(노학동),강원도 속초시 노학동 746번지 96호,38.19553528,128.5391015,1320,1600,Y,,,속초시,2021-07-01
"현대수리조트(본관 지하)",공공용,"강원도 속초시 이목로 153(노학동, 현대훼미리타운휴향콘도미니엄)",강원도 속초시 노학동 729번지 3호,38.1993967261,128.5463203428,3389,4107,Y,,,속초시,2021-07-01
"속초석미모닝파크(전동 지하)",공공용,"강원도 속초시 수복로 12(교동, 속초석미모인파크)",강원도 속초시 교동 984,38.1945803,128.5760417,3554,4307,Y,,,속초시,2021-07-01
"명지미래힐아파트(105동 지하)",공공용,강원도 속초시 미시령로 3337번길 20(교동),강원도 속초시 교동 1027,38.2068057,128.571241,4929,9207,Y,,,속초시,2021-07-01
"하우스토리(전동 지하)",공공용,강원도 속초시 동해대로 4284(교동),강원도 속초시 교동 1029,38.19913816,128.5728387,2618,3172,Y,,,속초시,2021-07-01
"속초시청(신관 지하)",공공용,강원도 속초시 중앙로 183(동명동),강원도 속초시 동명동 465번지 4호,38.20766179,128.5919416,274,332,Y,,,속초시,2021-07-01
"동해콘도(본관 지하)",공공용,강원도 속초시 동해대로 3707(대포동),강원도 속초시 대포동 790번지 4호,38.16770233,128.6074845,1221,1480,Y,,,속초시,2021-07-01
"더케이설악산가족호텔(본관 지하)",공공용,강원도 속초시 설악산로 470-7(도문동),강원도 속초시 도문동 155,38.16643611,128.5548834,491,595,Y,,,속초시,2021-07-01
"켄싱턴호텔(본관 지하)",공공용,강원도 속초시 설악산로 998(설악동),강원도 속초시 설악동 106번지 1호,38.17263475,128.5002508,1366,1655,Y,,,속초시,2021-07-01
"마레몬스호텔(본관 지하)",공공용,강원도 속초시 동해대로 3705(대포동),강원도 속초시 대포동 245번지 5호,38.166956,128.606464,1476,1789,Y,,,속초시,2021-07-01
"한화리조트 설악(본관 지하)",공공용,강원도 속초시 미시령로 2983번길 111(장사동),강원도 속초시 장사동 24번지 1호,38.21030027,128.5287216,3597,4360,Y,,,속초시,2021-07-01
"동진리조트오리스텔(본관 지하)",공공용,"강원도 속초시 번영로 170(동명동, 고릴라마트)",강원도 속초시 동명동 231번지 2호,38.21378803,128.5900291,5031,6098,Y,,,속초시,2021-07-01
"설악비치리조텔(본관 지하)",공공용,강원도 속초시 중앙로 346(동명동),강원도 속초시 동명동 148번지 9호,38.21929754,128.5918781901,3389,4107,Y,,,속초시,2021-07-01
"부영아파트3단지(전동 지하)",공공용,"강원도 속초시 소평로 162(조양동, 부영아파트3단지)",강원도 속초시 조양동 1499번지,38.19101016,128.5784027,5227,6336,Y,,,속초시,2021-07-01
"조양2주공아파트(202동 지하)",공공용,"강원도 속초시 온정로 24(조양동, 조양2주공아파트)",강원도 속초시 조양동 1215번지 1호,38.18602676,128.594406,4121,4995,Y,,,속초시,2021-07-01
"성호아파트(전동 지하)",공공용,"강원도 속초시 청대로 8(조양동, 성호아파트)",강원도 속초시 조양동 1294번지 23호,38.18408347,128.5984631,9728,11791,Y,,,속초시,2021-07-01
"삼성쉐르빌아파트(전동 지하)",공공용,"강원도 속초시 청대로 207(조양동, 삼성쉐르빌)",강원도 속초시 조양동 1561번지,38.18528069,128.5754715,3264,3956,Y,,,속초시,2021-07-01
"코아루아파트(전동 지하)",공공용,"강원도 속초시 청대마을길 20(조양동, 속초조양코아루아파트)",강원도 속초시 조양동 1563번지,38.18833263,128.571442,1672,2026,Y,,,속초시,2021-07-01
"메가박스(본관 지하)",공공용,"강원도 속초시 조양로 142번길 20(도양동, 메가박스)",강원도 속초시 조양동 1506번지 1호,38.1890904,128.5858304,2603,3155,Y,,,속초시,2021-07-01
"대광로제비앙아파트(전동 지하)",공공용,"강원도 속초시 온정로 1길 11-8(조양동, 대광로제비앙아파트)",강원도 속초시 조양동 1568번지,38.18532452,128.5893279,1434,1737,Y,,,속초시,2021-07-01
"산수빌아파트(전동 지하)",공공용,"강원도 속초시 소평로 80(조양동, 속초조양산수빌아파트)",강원도 속초시 조양동 1560번지,38.18826271,128.5683178,1871,2267,Y,,,속초시,2021-07-01
"부영아파트1단지(전동 지하)",공공용,"강원도 속초시 조양로 142번길 12(조양동, 부영아파트)",강원도 속초시 조양동 1540번지,38.18864579,128.5859349,1180,1430,Y,,,속초시,2021-07-01
"제일프라자(본관 지하)",공공용,"강원도 속초시 동해대로 4024(조양동, 제일프라자)",강원도 속초시 조양동 1034번지 4호,38.19020178,128.5944925,2000,2424,Y,,,속초시,2021-07-01
"청초프라자(본관 지하)",공공용,강원도 속초시 동해대로 4030(조양동),강원도 속초시 조양동 1034번지 49호,38.1901535,128.5937997578,1827,2214,Y,,,속초시,2021-07-01
"설악비치콘도 팜파스리조트(본관 지하)",공공용,강원도 속초시 동해대로 3964(조양동),강원도 속초시 조양동 1401번지,38.18879082,128.6007346,7017,8505,Y,,,속초시,2021-07-01
"청호동아이파크아파트(전동 지하)",공공용,"강원도 속초시 청호로 22(청호동, 속초청호아이파크)",강원도 속초시 청호동 1356번지,38.1926417,128.6002802,2721,3297,Y,,,속초시,2021-07-01
