"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"문화체육관",공공용,강원도 양구군 양구읍 양록길23번길 17,,38.108303,127.9843733,1825,2212,Y,연습장,,강원도 양구군청,2019-06-28
"청소년수련관",공공용,강원도 양구군 양구읍 박수근로366-33,,38.1063243998,127.9815002,552,669,Y,식당,,강원도 양구군청,2019-06-28
"포미제",공공용,강원도 양구군 양구읍 관공서로16번길 15,,38.1071963031,127.9922569236,561,680,Y,주차장,,강원도 양구군청,2019-06-28
"일립아파트",공공용,강원도 양구군 양구읍 관공서로16번길 5-9,,38.1087083,127.991166,277,336,Y,주차장,,강원도 양구군청,2019-06-28
"보배아파트",공공용,강원도 양구군 양구읍 박수근로 322,,38.1002191670,127.9829099614,1587,1924,Y,주차장,,강원도 양구군청,2019-06-28
"석미모닝파크",공공용,강원도 양구군 양구읍 박수근로313번길 17,,38.1007318396,127.9819318247,1825,2212,Y,주차장,,강원도 양구군청,2019-06-28
"경림아파트",공공용,강원도 양구군 양구읍 양록길23번길 11,,38.1079345,127.9846096,1120,1358,Y,주차장,,강원도 양구군청,2019-06-28
"서희스타힐스",공공용,강원도 양구군 양구읍 청춘로 16,,38.10122898,127.9871098,3273,3967,Y,주차장,,강원도 양구군청,2019-06-28
"해링턴플레이스",공공용,강원도 양구군 양구읍 청춘로 49,,38.09944678,127.9907795,13071,15844,Y,주차장,,강원도 양구군청,2019-06-28
"남면 주민대피",정부지원,강원도 양구군 남면 정중앙로 624-18,,38.1089479339,128.0356438383,237,165,Y,유도 연습장,,강원도 양구군청,2019-06-28
"동면주민대피시설",정부지원,강원도 양구군 동면 금강산로 1673,,38.2014958142,128.0430087738,180,126,Y,타구 연습장,,강원도 양구군청,2019-06-28
"방산면주민대피시설",정부지원,강원도 양구군 방산면 장거리길43번길 18,강원도 양구군 방산면 현리 2-1,38.2098606,127.9510611767,106,74,Y,탁구 연습장,,강원도 양구군청,2019-06-28
"해안면주민대피시설",정부지원,강원도 양구군 해안면 펀치볼로 1341-23,,38.28841717,128.1384007,174,122,Y,탁구 연습장,,강원도 양구군청,2019-06-28
"해안면주민대피시설",정부지원,강원도 양구군 해안면 펀치볼로1307,,38.2851397106,128.1371197083,251,175,Y,동아리 연습장,,강원도 양구군청,2019-06-28
"동면주민대피시설",정부지원,강원도 양구군 동면 펀치볼로 53-6,,38.2168549917,128.0497365873,174,121,Y,탁구 연습장,,강원도 양구군청,2019-06-28
