"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"양양군청",공공용,강원도 양양군 양양읍 군청길 1,강원도 양양군 양양읍 군행리 8,38.0756503,128.619152,272,329,Y,창고,033-670-2349,강원도 양양군청,2021-04-20
"양양군 의회",공공용,강원도 양양군 양양읍 남문로 39,강원도 양양군 양양읍 군행리 33-3,38.07500612,128.6184032,259,313,Y,의회,033-670-2349,강원도 양양군청,2021-04-20
"양양읍사무소",공공용,강원도 양양군 양양읍 관아길 32,강원도 양양군 양양읍 연창리 222,38.08036648,128.6242482,277,335,Y,식당,033-670-2349,강원도 양양군청,2021-04-20
"로얄아파트",공공용,강원도 양양군 양양읍 구교언덕길 24-1,강원도 양양군 양양읍 구교리 105-1,38.07870151,128.6218523,540,654,Y,창고,033-670-2349,강원도 양양군청,2021-04-20
"정아1차아파트",공공용,강원도 양양군 양양읍 북문길 22-22,강원도 양양군 양양읍 구교리 61-1,38.0784784,128.620019,1269,1538,Y,주차장,033-670-2349,강원도 양양군청,2021-04-20
"정아2차아파트",공공용,강원도 양양군 양양읍 북문길 39,강원도 양양군 양양읍 성내리 126-5,38.07738149,128.6179541,454,550,Y,주차장,033-670-2349,강원도 양양군청,2021-04-20
"태산2차아파트",공공용,강원도 양양군 양양읍 북문길 22-18,강원도 양양군 양양읍 구교리 66-4,38.07855979,128.6206981,879,1065,Y,주차장,033-670-2349,강원도 양양군청,2021-04-20
"성창아파트",공공용,강원도 양양군 양양읍 양양로 9-11,강원도 양양군 양양읍 연창리 203-15,38.07763047,128.6269968,915,1109,Y,주차장,033-670-2349,강원도 양양군청,2021-04-20
"유화아파트",공공용,강원도 양양군 양양읍 청곡길 12,강원도 양양군 양양읍 청곡리 61-2,38.09271125,128.6279068,503,609,Y,창고,033-670-2349,강원도 양양군청,2021-04-20
"명지푸르미아파트",공공용,강원도 양양군 양양읍 남대천로 99-14,강원도 양양군 양양읍 월리 449-1,38.06282605,128.6164998,4478,5427,Y,주차장,033-670-2349,강원도 양양군청,2021-04-20
"양양군노인복지관",공공용,강원도 양양군 양양읍 일출로 540,강원도 양양군 양양읍 연창리 203-2,38.07692582,128.626816,169,205,Y,창고,033-670-2349,강원도 양양군청,2021-04-20
