"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"영월의료원",공공용,강원도 영월군 영월읍 중앙1로 59,,37.1864963362,128.4657014364,825,1000,Y,,,강원도 영월군청,2020-01-01
"농협중앙회영월군지부",공공용,강원도 영월군 영월읍 중앙로 45,,37.1842876303,128.4689138805,100,121,Y,,,강원도 영월군청,2020-01-01
"춘천지방법원 영월지원",공공용,강원도 영월군 영월읍 영월향교1길 53,,37.1869511380,128.4733280286,115,139,Y,,,강원도 영월군청,2020-01-01
"춘천검찰청 영월지청",공공용,강원도 영월군 영월읍 영월향교1길 53,,37.1869511380,128.4733280286,165,200,Y,,,강원도 영월군청,2020-01-01
"영월교육지원청",공공용,강원도 영월군 영월읍 영월로 1892,,37.1831335333,128.4579921037,100,121,Y,,,강원도 영월군청,2020-01-01
"영월농협",공공용,강원도 영월군 영월읍 중앙로 40,,37.1830717675,128.4679034567,400,485,Y,,,강원도 영월군청,2020-01-01
"영월종합상가",공공용,강원도 영월군 영월읍 서부시장길 16-14,,37.1826341208,128.466697,495,600,Y,,,강원도 영월군청,2020-01-01
"영월군청",공공용,강원도 영월군 영월읍 하송로 64,,37.1843541676,128.461913,155,188,Y,,,강원도 영월군청,2020-01-01
"영월우체국",공공용,강원도 영월군 영월읍 단종로33번길 20,,37.1855820823,128.4667088453,500,606,Y,,,강원도 영월군청,2020-01-01
"동우프라자",공공용,강원도 영월군 영월읍 금강공원길 13,,37.1840861087,128.473459,990,1200,Y,,,강원도 영월군청,2020-01-01
KT영월지점,공공용,강원도 영월군 영월읍 단종로33번길 30,,37.1845229697,128.4667029994,700,848,Y,,,강원도 영월군청,2020-01-01
"금용아파트",공공용,강원도 영월군 영월읍 중리1길 108,,37.1816185104,128.4821570012,825,1000,Y,,,강원도 영월군청,2020-01-01
"영월세무서",공공용,강원도 영월군 영월읍 하송안길 49,,37.182255,128.465503,116,141,Y,,,강원도 영월군청,2020-01-01
"한국전력공사 영월지점",공공용,강원도 영월군 영월읍 중앙로 239,,37.1711894939,128.4791057889,155,188,Y,,,강원도 영월군청,2020-01-01
"신한은행 영월지점",공공용,강원도 영월군 영월읍 관풍헌길 49 (신한은행),,37.183852,128.469947,171,207,Y,,,강원도 영월군청,2020-01-01
"덕포우체국",공공용,강원도 영월군 영월읍 중앙로 128,,37.1807934947,128.4764205949,203,246,Y,,,강원도 영월군청,2020-01-01
"제일의원",공공용,강원도 영월군 영월읍 영모전길 21,,37.184539,128.470968,334,405,Y,,,강원도 영월군청,2020-01-01
"한영빌라주차장",공공용,강원도 영월군 영월읍 영월로 2085,,37.181571,128.4786043496,947,1148,Y,,,강원도 영월군청,2020-01-01
"영월웨딩홀",공공용,강원도 영월군 영월읍 중앙로 49-15,,37.1842276784,128.469115,497,602,Y,,,강원도 영월군청,2020-01-01
"주공4차아파트",공공용,강원도 영월군 영월읍 하송로 123-7,,37.177757,128.4600396636,1264,1532,Y,,,강원도 영월군청,2020-01-01
"푸른사랑병원",공공용,강원도 영월군 영월읍 중앙로 10,,37.183338,128.465008,301,365,Y,,,강원도 영월군청,2020-01-01
"영월대교회",공공용,강원도 영월군 영월읍 중앙1로 35,,37.184438,128.4654937351,215,261,Y,,,강원도 영월군청,2020-01-01
"그린장모텔",공공용,강원도 영월군 영월읍 덕포시장길 60,,37.182455,128.479609,266,322,Y,,,강원도 영월군청,2020-01-01
"상가공설주차장",공공용,강원도 영월군 영월읍 하송안길 76,,37.1819635296,128.467115,875,1061,Y,,,강원도 영월군청,2020-01-01
"영월청소년 수련관",공공용,강원도 영월군 영월읍 제방안길 100 (영월스포츠파크 지하1층),,37.1742705410,128.4591706042,329,399,Y,,,강원도 영월군청,2020-01-01
"영월실내체육관",공공용,강원도 영월군 영월읍 제방안길 100 (영월스포츠파크),,37.1742705410,128.4591706042,400,485,Y,,,강원도 영월군청,2020-01-01
"영월군보건소",공공용,강원도 영월군 영월읍 하송로 44 (영월군보건소),,37.1843724412,128.4636197154,567,687,Y,,,강원도 영월군청,2020-01-01
"영월제일교회",공공용,강원도 영월군 영월읍 은행나무3길 40,,37.1790304201,128.467162,990.5,1200,Y,,,강원도 영월군청,2020-01-01
"영월교육도서관",공공용,"강원도 영월군 영월읍 영월로 1914-7, 영월도서관",,37.1806063949,128.459746,125.5,151,Y,,,강원도 영월군청,2020-01-01
"영월군종합사회복지관",공공용,"강원도 영월군 영월읍 단종로 12, 영월군종합사회복지관",,37.1846283895,128.468511,1118,1355,Y,,,강원도 영월군청,2020-01-01
