"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"상남면 복지회관",공공용,강원도 인제군 상남면 상남로38번길 6,강원도 인제군 상남면 상남리 102-1,37.87359421,128.2603544,118.55,143.6969697,Y,없음,033-460-2361,강원도 인제군청,2021-06-10
KT인제지사,공공용,강원도 인제군 인제읍 인제로193번길 27,강원도 인제군 인제읍 상동리 385-3,38.0709179,128.1719073,864,1047.272727,Y,없음,033-461-0007,KT인제지사,2021-06-10
"행복마을 아르미소",공공용,강원도 인제군 인제읍 인제로 315,강원도 인제군 인제읍 합강리 215,38.07573427,128.1832663,4357.14,5281.381818,Y,없음,033-461-5102,행복마을 아르미소,2021-06-10
"농업기술센터",공공용,강원도 인제군 인제읍 비봉로44번길 105,강원도 인제군 인제읍 남북리 816,38.05944613,128.1661779,186.1,225.5757576,Y,없음,033-460-2251,강원도 인제군청,2021-06-10
"하늘내린센터",공공용,강원도 인제군 인제읍 비봉로44번길 100,강원도 인제군 인제읍 남북리 388,38.06123725,128.1649786,3608.82,4374.327273,Y,없음,033-460-8930,강원도 인제군청,2021-06-10
"농협중앙회 인제군지부",공공용,강원도 인제군 인제읍 인제로 181,강원도 인제군 인제읍 상동리 346-1,38.0685122,128.1706468,98.12,118.9333333,Y,없음,033-461-2141,농협중앙회 인제군지부,2021-06-10
"하늘내린호텔 인제터미널",공공용,강원도 인제군 인제읍 비봉로 43,강원도 인제군 인제읍 상동리 96-3,38.06591605,128.1749675,2328.5,2822.424242,Y,없음,033-463-5700,하늘내린호텔,2021-06-10
"대희 지센트 아파트",공공용,강원도 인제군 인제읍 인제로 110,강원도 인제군 인제읍 남북리 832,38.06368805,128.1649366,1633.09,1979.50303,Y,없음,1544-1779,대희지센트아파트,2021-06-10
"하늘내린유치원",공공용,강원도 인제군 인제읍 인제로219번길 27,강원도 인제군 인제읍 상동리 388,38.07179422,128.1723539,1108.05,1343.090909,Y,없음,033-461-7106,강원도 인제군청,2021-06-10
"백련정사",공공용,강원도 인제군 인제읍 인제로193번길 17-12,강원도 인제군 인제읍 상동리 383-1,38.07126359,128.1710008,345.375,418.6363636,Y,없음,033-462-0993,백련정사,2021-06-10
"인제군청",공공용,강원도 인제군 인제읍 인제로187번길 8,강원도 인제군 인제읍 상동리 349-6,38.06968078,128.1703647,980.98,1189.066667,Y,없음,033-460-2024,강원도 인제군청,2021-06-10
"대한노인회 인제군지회",공공용,강원도 인제군 인제읍 인제로225번길 10-3,강원도 인제군 인제읍 상동리 29-1,38.07140032,128.1746314,129.2,156.6060606,Y,없음,033-460-2051,대한노인회 인제군지회,2021-06-10
"남면사무소",공공용,강원도 인제군 남면 신남로58번길 37,강원도 인제군 남면 신남리 326-1,37.965922,128.0833923,152,184.2424242,Y,없음,033-460-2321,강원도 인제군청,2021-06-10
"남면종합복지회관",공공용,강원도 인제군 남면 신남로68번길 9-6,강원도 인제군 남면 신남리 353-3,37.96824161,128.0817174,250.56,303.7090909,Y,없음,033-460-2321,강원도 인제군청,2021-06-10
"원통종합복지회관",공공용,강원도 인제군 북면 금강로 62,강원도 인제군 북면 원통리 661-3,38.12561716,128.2056763,934.03,1132.157576,Y,없음,033-460-2087,강원도 인제군청,2021-06-10
"북면 주민대피시설",정부지원,강원도 인제군 북면 원통로74번길 10-4,강원도 인제군 북면 원통리 1724,38.11459648,128.1994689,299,209.0909091,Y,주민자치프로그램운영,033-460-2331,강원도 인제군청,2021-06-10
"북면 아르미소 아파트",공공용,강원도 인제군 북면 원통로 261-20,강원도 인제군 북면 원통리 528-15,38.12753435,128.2119632,6348.63,7695.309091,Y,없음,033-460-2331,북면 아르미소 아파트,2021-06-10
"원통터미널 택시승강장",공공용,강원도 인제군 북면 원통로177번길 11,강원도 인제군 북면 원통리 640-9,38.1233207,128.2025043,230.8,279.7575758,Y,없음,033-460-2123,강원도 인제군청,2021-06-10
"용대2리 마을회관",공공용,강원도 인제군 북면 만해로 410-17,강원도 인제군 북면 용대리 963,38.1948522,128.3452476,84.6,102.5454545,Y,없음,033-462-4608,강원도 인제군청,2021-06-10
"원통4리 종합회관",공공용,강원도 인제군 북면 금강로33번길 42,강원도 인제군 북면 원통리 723-1,38.12052273,128.2027301,107.64,130.4727273,Y,없음,033-462-4626,강원도 인제군청,2021-06-10
"월학3리 종합회관",공공용,강원도 인제군 북면 금강로 769,강원도 인제군 북면 월학리 781-4,38.17280882,128.2055536,78.66,95.34545455,Y,없음,033-462-7065,강원도 인제군청,2021-06-10
"기린면 종합복지회관",공공용,강원도 인제군 기린면 기린로42번길 11,강원도 인제군 기린면 현리 401,37.9552359,128.3190141,1097.29,1330.048485,Y,없음,033-462-2087,강원도 인제군청,2021-06-10
"서화면 천도리 주민대피시설",정부지원,강원도 인제군 서화면 천도로81번길 33,강원도 인제군 서화면 천도리 588-8,38.22232262,128.2075592,325,227.2727273,Y,주민자치프로그램운영,033-460-2351,강원도 인제군청,2021-06-10
"서화면 서화리 주민대피시설",정부지원,강원도 인제군 서화면 서화길 51,,38.25420177,128.2052364,199.53,140,Y,주민자치프로그램운영,033-460-2351,강원도 인제군청,2021-06-10
"평화생명동산 오행순환의집",공공용,강원도 인제군 서화면 금강로 1630,,38.24074726,128.2083831,1617.03,1960.036364,Y,없음,033-463-5155,강원도 인제군청,2021-06-10
"백동그린빌아파트",공공용,,강원도 인제군 서화면 천도리 220-2,38.22541466,128.2139026,660,800,Y,없음,033-460-6671,백동그린빌아파트,2021-06-10
"용늪생태학교",공공용,강원도 인제군 서화면 금강로 1106-27,강원도 인제군 서화면 서흥리 276-1,38.19720914,128.2099525,243.2,294.7878788,Y,없음,033-463-7500,강원도 인제군청,2021-06-10
"서화중앙교회",공공용,강원도 인제군 서화면 천도로94번길 7,강원도 인제군 서화면 천도리 598-1,38.22015196,128.2085721,100,121.2121212,Y,없음,033-462-4146,서화중앙교회,2021-06-10
