"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"금강아미움아파트",공공용,강원도 철원군 동송읍 금학로 201번길 9,강원도 철원군 동송읍 이평리 1554,38.2064558,127.2179208,3083,3737,Y,주차장,033-456-1811,입주민,2020-11-23
ESA아파트,공공용,강원도 철원군 갈말읍 명성로 139번길 13-22,강원도 철원군 갈말읍 지포리 138,38.14313698,127.3061883,6153,7458,Y,주차장,033-452-8745,입주민,2020-11-23
"철원병원",공공용,강원도 철원군 갈말읍 명성로 208,강원도 철원군 갈말읍 군탄리 339,38.15005479,127.3076202,1266,1535,Y,주차장,033-452-5011,의료법인,2020-11-23
"산호아파트",공공용,강원도 철원군 철원읍 금학로 317번길 17,강원도 철원군 철원읍 화지리 71-2,38.2147909,127.2101047,1739,2108,Y,주차장,033-456-0367,입주민,2020-11-23
"개나리APT",공공용,강원도 철원군 동송읍 금학로 136번길 20,강원도 철원군 동송읍 이평리 588-3,38.20206609,127.2235756,1496,1813,Y,주차장,033-455-9969,입주민,2020-11-23
"경남아너스빌 아파트",공공용,강원도 철원군 동송읍 금학로 157번길 35,강원도 철원군 동송읍 이평리 764,38.20009521,127.2187883,9860,11928,Y,주차장,033-450-4345,육군본부,2020-11-23
"유명아파트",공공용,강원도 철원군 동송읍 금학로 116번길 13,강원도 철원군 동송읍 이평리 572-73,38.20126162,127.2245981,2998,3634,Y,주차장,033-452-0355,㈜유명개발,2020-11-23
"세륭아파트",공공용,강원도 철원군 동송읍 오덕로 30번길 13-13,강원도 철원군 동송읍 오덕리 1617,38.21268768,127.2288009,1322,1602,Y,주차장,033-450-4345,입주민,2020-11-23
"유명아파트",공공용,강원도 철원군 갈말읍 군탄로 8번길 16,강원도 철원군 갈말읍 군탄리 1028-97,38.14757281,127.3014652,2926,3547,Y,주차장,033-452-0355,㈜유명개발,2020-11-23
"종합문화복지센터",공공용,강원도 철원군 철원읍 금학로 330번길 12,강원도 철원군 철원읍 화지리 693,38.2166565,127.2141291,1851,2241,Y,교육장,033-450-5601,철원군,2020-11-23
"화강문화센터",공공용,강원도 철원군 서면 약수로 3,강원도 철원군 서면 와수리 562,38.24506308,127.4274699,1434,1736,Y,기타,033-450-4063,철원군,2020-11-23
"서면사무소",공공용,강원도 철원군 서면 신술2길 40,강원도 철원군 서면 자등리 754,38.16465248,127.4157105,121,147,Y,기타,033-450-4063,철원군,2020-11-23
"동송읍사무소",공공용,강원도 철원군 동송읍 이평로 133,강원도 철원군 동송읍 이평리 860-1,38.20704355,127.2086462,126,153,Y,기타,033-450-4345,철원군,2020-11-23
"철원군청",공공용,강원도 철원군 갈말읍 삼부연로 51,강원도 철원군 갈말읍 신철원리 649,38.14675637,127.3134613,895,1085,Y,교육장,033-450-5020,철원군,2020-11-23
"사곡2리 주민대피소",정부지원,강원도 철원군 근남면 신사곡 2길 22-21,강원도 철원군 근남면 사곡리 743-1,38.25055736,127.473192,176,123,Y,기타,033-450-5020,철원군,2020-11-23
"마현2리주민대피소",정부지원,강원도 철원군 근남면 영서로 9579,강원도 철원군 근남면 마현리 1969-5,38.27287719,127.5261571,270,189,Y,기타,033-450-5020,철원군,2020-11-23
"마현1리주민대피소",정부지원,강원도 철원군 근남면 마현5길 36,강원도 철원군 근남면 마현리 1269-1,38.26851389,127.5439145,240,168,Y,탁구장,033-450-5020,철원군,2020-11-23
"와수5리 주민대피소",정부지원,강원도 철원군 서면 와수로 393,강원도 철원군 서면 와수리 144,38.25354616,127.4543538,191,133,Y,기타,033-450-5020,철원군,2020-11-23
"이길리주민대피소",정부지원,강원도 철원군 동송읍 금강산로 1556,강원도 철원군 동송읍 이길리 327-5,38.28317609,127.320933,240,168,Y,회의. 교육장,033-450-5020,철원군,2020-11-23
"양지리주민대피소",정부지원,강원도 철원군 동송읍 양지2길 29,강원도 철원군 동송읍 양지리 산22-3,38.160563,127.165708,240,168,Y,회의. 교육장,033-450-5020,철원군,2020-11-23
"정연리주민대피소",정부지원,강원도 철원군 갈말읍 정연길 136-15,강원도 철원군 갈말읍 정연리 773-1,38.29777372,127.3312972,207,145,Y,회의. 교육장,033-450-5020,철원군,2020-11-23
"도창리 주민대피소",정부지원,강원도 철원군 김화읍 도창로 380,강원도 철원군 김화읍 도창리 349-17,38.26841168,127.3543424,334,233,Y,회의. 교육장,033-450-5020,철원군,2020-11-23
"유곡리주민대피소",정부지원,강원도 철원군 김화읍 유곡로 545,강원도 철원군 근북면 유곡리 512,38.30105393,127.398908,140,98,Y,회의. 교육장,033-450-5020,철원군,2020-11-23
"생창리주민대피소",정부지원,강원도 철원군 김화읍 생창길 491-20,강원도 철원군 김화읍 생창리 106,38.165783,127.270345,240,168,Y,회의. 교육장,033-450-5020,철원군,2020-11-23
"화지3리 주민대피소",정부지원,강원도 철원군 철원읍 금학로 263번길11,강원도 철원군 철원읍 화지리 41-134,38.21116466,127.214516,208,145,Y,회의. 교육장,033-450-5020,철원군,2020-11-23
"대마리주민대피소",정부지원,강원도 철원군 철원읍 묘장로 301,강원도 철원군 철원읍 대마리 1615,38.26482289,127.169186,348,243,Y,체육관,033-450-5020,철원군,2020-11-23
