"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"강원도청 충무시설",공공용,"강원도 춘천시 중앙로 1 (봉의동, 강원도청)",강원도 춘천시 봉의동 15,37.88565010,127.7300080,1652,2002,N,,033-250-3264,강원도 춘천시청,2020-12-16
"봉의중학교",공공용,"강원도 춘천시 춘천로296번길 55 (후평동, 봉의중학교)",강원도 춘천시 후평동 498-120,37.8774385339,127.7441015581,661,801,Y,,033-250-3264,강원도 춘천시청,2020-12-16
"석사퇴계주공3단지아파트",공공용,"강원도 춘천시 퇴계로 220-19 (석사동, 퇴계(3)주공아파트)",강원도 춘천시 석사동 820,37.8550269200,127.7426969920,1238,1500,Y,,033-250-3264,강원도 춘천시청,2020-12-16
"석사퇴계주공4단지아파트",공공용,"강원도 춘천시 퇴계로 242 (석사동, 퇴계(4)주공아파트)",강원도 춘천시 석사동 822,37.8555441954,127.7446148855,2145,2600,Y,,033-250-3264,강원도 춘천시청,2020-12-16
"석사삼익세라믹2차아파트",공공용,"강원도 춘천시 공지로 69-9 (석사동, 삼익세라믹아파트)",강원도 춘천시 석사동 114-5,37.8532285331,127.7505032549,743,900,Y,,033-250-3264,강원도 춘천시청,2020-12-16
"석사극동아파트",공공용,"강원도 춘천시 공지로 43 (석사동, 극동아파트)",강원도 춘천시 석사동 115-10,37.8510500606,127.7525245355,908,1100,Y,,033-250-3264,강원도 춘천시청,2020-12-16
"진흥아파트",공공용,"강원도 춘천시 후석로186번길 9 (석사동, 진흥아파트)",강원도 춘천시 석사동 727-5,37.8679125267,127.7529758040,2888,3500,Y,,033-250-3264,강원도 춘천시청,2020-12-16
"청구아파트",공공용,"강원도 춘천시 서부대성로 332 (석사동, 청구아파트)",강원도 춘천시 석사동 727-6,37.8690330149,127.7540876691,990,1200,Y,,033-250-3264,강원도 춘천시청,2020-12-16
"석사두산아파트",공공용,"강원도 춘천시 후석로186번길 25 (석사동, 두산아파트)",강원도 춘천시 석사동 727-4,37.8676459325,127.7547500711,1155,1400,Y,,033-250-3264,강원도 춘천시청,2020-12-16
"석사부영아파트",공공용,"강원도 춘천시 우석로101번길 83 (석사동, 석사3지구 부영아파트)",강원도 춘천시 석사동 727-2,37.8690435290,127.7550336757,1155,1400,Y,,033-250-3264,강원도 춘천시청,2020-12-16
"그랜드아파트",공공용,"강원도 춘천시 우석로101번길 20 (석사동, 그랜드아파트)",강원도 춘천시 석사동 722-2,37.8671600956,127.7568638170,2063,2500,Y,,033-250-3264,강원도 춘천시청,2020-12-16
"석사대우아파트",공공용,"강원도 춘천시 우석로101번길 86 (석사동, 석사대우아파트)",강원도 춘천시 석사동 721-2,37.8687931209,127.7577183383,1815,2200,Y,,033-250-3264,강원도 춘천시청,2020-12-16
"퇴계 한주아파트 지하주차장",공공용,"강원도 춘천시 안마산로 217 (퇴계동, 한주아파트)",강원도 춘천시 퇴계동 944,37.8502638719,127.7388005553,834,1010,Y,,033-250-3264,강원도 춘천시청,2020-12-16
"퇴계 금호아파트 지하주차장",공공용,"강원도 춘천시 안마산로 214 (퇴계동, 퇴계금호타운아파트)",강원도 춘천시 퇴계동 945,37.8499329728,127.7367708473,2099,2544,Y,,033-250-3264,강원도 춘천시청,2020-12-16
"퇴계 현대1차아파트 지하주차장",공공용,"강원도 춘천시 춘주로 162 (퇴계동, 퇴계현대1차아파트)",강원도 춘천시 퇴계동 916-2,37.8576622882,127.7263694739,1958,2373,Y,,033-250-3264,강원도 춘천시청,2020-12-16
"그린타운아파트 지하주차장",공공용,"강원도 춘천시 춘주로 174 (퇴계동, 그린타운아파트)",강원도 춘천시 퇴계동 916-3,37.8578712403,127.7268762773,2173,2633,Y,,033-250-3264,강원도 춘천시청,2020-12-16
"한진한성아파트 지하주차장",공공용,"강원도 춘천시 행촌로 11 (퇴계동, 한성아파트)",강원도 춘천시 퇴계동 917,37.8588384160,127.7220109034,2475,3000,Y,,033-250-3264,강원도 춘천시청,2020-12-16
"퇴계 현대2차아파트 지하주차장",공공용,"강원도 춘천시 행촌로 14 (퇴계동, 현대2차아파트)",강원도 춘천시 퇴계동 916,37.8578066074,127.7228722808,3133,3797,Y,,033-250-3264,강원도 춘천시청,2020-12-16
"퇴계 일성아파트 지하주차장",공공용,"강원도 춘천시 우묵길78번길 25 (퇴계동, 일성아파트)",강원도 춘천시 퇴계동 1139,37.8663474235,127.7268715730,1019,1235,Y,,033-250-3264,강원도 춘천시청,2020-12-16
"퇴계주공2차아파트 지하주차장",공공용,"강원도 춘천시 퇴계로 168 (퇴계동, 퇴계(2)주공아파트)",강원도 춘천시 퇴계동 983,37.8583575018,127.7351433927,2416,2928,Y,,033-250-3264,강원도 춘천시청,2020-12-16
"우성아파트 지하주차장",공공용,"강원도 춘천시 국사봉길 7 (퇴계동, 우성아파트)",강원도 춘천시 퇴계동 430,37.8594100681,127.7306989319,1268,1536,Y,,033-250-3264,강원도 춘천시청,2020-12-16
