"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"청솔아파트 107~108동 지하",공공용,강원도 태백시 청솔길 35,강원도 태백시 황지동 663,37.16410378,128.9827695,912,1106,Y,지하주차장,033-553-3072,관리실,2021-08-06
"청솔아파트 109~110동 지하",공공용,강원도 태백시 청솔길 35,강원도 태백시 황지동 662,37.16410378,128.9827695,1378,1670,Y,지하주차장,033-553-3072,관리실,2021-08-06
"청솔아파트 102동 지하",공공용,강원도 태백시 청솔길 35,강원도 태백시 황지동 663-2,37.16410378,128.9827695,761,922,Y,지하주차장,033-553-3072,관리실,2021-08-06
"태백청소년수련관",공공용,강원도 태백시 천제단길 148,강원도 태백시 소도동 331-3,37.121645,128.9516511,3317,4021,Y,지상,033-552-1360,태백시청,2021-08-06
"유브리안아파트",공공용,강원도 태백시 태백로 1650,강원도 태백시 문곡동 119,37.11966449,129.0030371,4100,4970,Y,지하주차장,033-581-3001,관리실,2021-08-06
"홍익베스트빌",공공용,강원도 태백시 하장성6길 42,강원도 태백시 장성동 133-1,37.09854393,129.0174423,1241,1504,Y,지하주차장,033-581-7840,관리실,2021-08-06
"철암역",정부지원,강원도 태백시 동태백로 389,강원도 태백시 철암동 376,37.11302148,129.0365667,330,400,Y,대합실,1544-7788,철암역,2021-08-06
"한국산재의료원 강원케어센터",공공용,강원도 태백시 상철암길 10-31,강원도 태백시 철암동 323-1,37.1238207,129.0454213,935,1133,Y,지하,033-581-3837,태백중앙병원,2021-08-06
"타워빌아파트 지하주차장",공공용,강원도 태백시 장성1길 53,강원도 태백시 장성동 275-10,37.10085132,129.0072403,2374,2878,Y,지하주차장,033-552-1360,태백시청,2021-08-06
"계산 지하보도",공공용,강원도 태백시 태백로 1814,강원도 태백시 장성동 201-5,37.10822277,129.0028635,75,91,Y,지하보도,033-552-1360,태백시청,2021-08-06
"태백산재병원",공공용,강원도 태백시 보드미길 8,강원도 태백시 장성동 195,37.10425563,129.0034744,1386,1680,Y,지하,033-581-3837,태백중앙병원,2021-08-06
"태백황지주공3단지아파트",공공용,강원도 태백시 고원로 279,강원도 태백시 황지동 674,37.1754509,128.9815214,605,733,Y,지상주차장,,관리실,2021-08-06
"팔마아파트",공공용,강원도 태백시 수아밭길 182,강원도 태백시 화전동 48-1,37.1813718,128.9695256,2300,2788,Y,지하주차장,033-552-9888,관리실,2021-08-06
"선명2차아파트",공공용,강원도 태백시 태백로 650,강원도 태백시 화전동 32-7,37.18216937,128.9673928,1455,1764,Y,지상주차장,033-553-2025,관리실,2021-08-06
"선명5차아파트",공공용,강원도 태백시 장수길 47,강원도 태백시 황지동 621-27,37.18050186,128.9850447,1866,2262,Y,지하,033-552-8182,관리실,2021-08-06
"선명빌라",공공용,강원도 태백시 장수4길 13,강원도 태백시 황지동 274-76,37.17981241,128.9868124,475,576,Y,지하주차장,,관리실,2021-08-06
"대산2차아파트",공공용,강원도 태백시 번영로 289,강원도 태백시 황지동 864,37.16953377,128.9853926,2100,2545,Y,지상주차장,,관리실,2021-08-06
"남청아파트 지하주차장",공공용,강원도 태백시 황지남1길 17,강원도 태백시 황지동 74-3,37.16822819,128.9942518,1144,1387,Y,지하주차장,033-553-9112,관리실,2021-08-06
"대산아파트",공공용,강원도 태백시 풀미당골길 35,강원도 태백시 황지동 24,37.17110334,128.9949263,4136,5013,Y,지하,033-553-7484,관리실,2021-08-06
"한국광해관리공단 강원지사",공공용,강원도 태백시 황지로 68,강원도 태백시 황지동 79-4,37.1647796,128.9920159,567,687,Y,지하주차장,033-550-9114,광해관리공단,2021-08-06
"태백우체국",정부지원,강원도 태백시 황지로 132,강원도 태백시 황지동 27,37.17055233,128.992354,1124,1362,Y,지하주차장,033-552-2800,태백우체국,2021-08-06
"강원도 소방학교 대강당",정부지원,강원도 태백시 동태백로 289-48,강원도 태백시 동점동 517-7,37.10402206,129.0406206,300,364,Y,강당,033-580-0212,강원소방학교,2021-08-06
365세이프타운,정부지원,강원도 태백시 평화길 15,강원도 태백시 장성동 40,37.10257781,129.0252282,330,400,Y,교육관,033-552-1360,태백시청,2021-08-06
"민방위교육관",정부지원,강원도 태백시 태붐로 21,강원도 태백시 황지동 244-3,37.16421694,128.9865547,664,805,Y,민방위교육관,033-552-1360,태백시청,2021-08-06
"태백시청 지하식당",정부지원,강원도 태백시 태붐로 21,강원도 태백시 황지동 244-3,37.16421694,128.9865547,258,312,Y,지하식당,033-552-1360,태백시청,2021-08-06
"유진3차아파트 지하",공공용,강원도 태백시 번영로 150,강원도 태백시 황지동 676,37.15710105,128.9873365,279,338,Y,지하,,관리실,2021-08-06
"유진2차 지하주차장",공공용,강원도 태백시 번영로 156,강원도 태백시 황지동 220-13,37.15758057,128.9866782,7459,9041,Y,지하주차장,033-553-7992,관리실,2021-08-06
"유진1차 지하주차장",공공용,강원도 태백시 고원로 61,강원도 태백시 황지동 220,37.1611086,128.9871037,6006,7280,Y,지하주차장,033-553-1752,관리실,2021-08-06
"태백소방서",정부지원,강원도 태백시 태백로 1120,강원도 태백시 황지동 212-1,37.15853798,128.9893236,184,224,Y,지상,033-552-2119,태백소방서,2021-08-06
"예채아파트 지하주차장 103-104동",공공용,강원도 태백시 대학길 81,강원도 태백시 황지동 678,37.15928553,128.9780375,1812,2197,Y,지하주차장,,관리실,2021-08-06
"예채아파트 지하주차장 101-102동",공공용,강원도 태백시 대학길 81,강원도 태백시 황지동 678,37.15928553,128.9780375,1483,1798,Y,지하주차장,,관리실,2021-08-06
"선명3차아파트 주차장",공공용,강원도 태백시 대학길 44,강원도 태백시 황지동 403-8,37.1596697,128.981929,1134,1374,Y,지상주차장,,관리실,2021-08-06
"아름다운나날아파트 103동 지하",공공용,강원도 태백시 태백산로 5136,강원도 태백시 황지동 677,37.14576615,128.9929999,960,1164,Y,지하,033-553-6543,관리실,2021-08-06
"아름다운나날아파트 102동 지하",공공용,강원도 태백시 태백산로 5136,강원도 태백시 황지동 677,37.14576615,128.9929999,960,1164,Y,지하,033-553-6543,관리실,2021-08-06
"아름다운나날아파트 101동 지하",공공용,강원도 태백시 태백산로 5136,강원도 태백시 황지동 677,37.14576615,128.9929999,840,1018,Y,지하주차장,033-553-6543,관리실,2021-08-06
"중앙하이츠빌 106동 지하",공공용,강원도 태백시 대학길 80,강원도 태백시 황지동 844,37.16146721,128.9766536,3954,4793,Y,지하주차장,033-554-0981,관리실,2021-08-06
"중앙하이츠빌 102동 지하",공공용,강원도 태백시 대학길 80,강원도 태백시 황지동 844,37.16146721,128.9766536,3854,4672,Y,지하주차장,033-554-0981,관리실,2021-08-06
"청솔아파트 104~105동 지하",공공용,강원도 태백시 청솔길 35,강원도 태백시 황지동 663-2,37.16410378,128.9827695,1088,1319,Y,자하주차장,033-553-3072,관리실,2021-08-06
"청솔아파트 101~102동 지하",공공용,강원도 태백시 청솔길 35,강원도 태백시 황지동 633-2,37.16410378,128.9827695,1468,1780,Y,지하주차장,033-553-3072,관리실,2021-08-06
"청솔아파트 103~106동 지하",공공용,강원도 태백시 청솔길 35,강원도 태백시 황지동 663,37.16410378,128.9827695,1107,1342,Y,지하주차장,033-553-3072,관리실,2021-08-06
