"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"㈜휘닉스평창",공공용,강원도 평창군 봉평면 태기로 174 ((주)휘닉스평창),강원도 평창군 봉평면 1095번지 1호,37.5824634130,128.3268677594,6782,1000,Y,지하주차장,033-330-2731,평창군청,2020-12-06
"평창국민체육센터",공공용,강원도 평창군 평창읍 종부로 69-27 (평창종합운동장),강원도 평창군 평창읍 596번지 3호,37.3603705865,128.3917478554,3147,600,Y,체육관,033-330-2571,평창군청,2020-12-06
"켄싱턴플로라호텔",공공용,강원도 평창군 진부면 진고개로 231 (켄싱턴플로라호텔),강원도 평창군 진부면 221번지 1호,37.6898155122,128.5978163147,6547,200,Y,주차장,033-330-2774,평창군청,2020-12-06
"평창경찰서",공공용,강원도 평창군 평창읍 군청길 55 (평창경찰서),강원도 평창군 평창읍 230번지,37.3695336833,128.3892719099,530,642,Y,기타,033-330-2680,평창군청,2020-12-06
"진부신용협동조합",공공용,강원도 평창군 진부면 청송로 90-24 (진부신협),강원도 평창군 진부면 134번지 2호,37.636354,128.557345,269,326,Y,주차장,033-330-2774,평창군청,2020-12-06
"진부농협",공공용,강원도 평창군 진부면 청송로 97 (진부농협),강원도 평창군 진부면 149번지 3호,37.6368141,128.5570209,291,352,Y,기타,033-330-2774,평창군청,2020-12-06
"평창군청",공공용,강원도 평창군 평창읍 군청길 77 (평창군청),강원도 평창군 평창읍 210번지 2호,37.3712711300,128.3901368,132,160,Y,기타,033-330-2210,평창군청,2020-12-06
"봉평농업협동조합",공공용,강원도 평창군 봉평면 기풍로 135 (봉평농협),강원도 평창군 봉평면 276번지 2호,37.6146751,128.3780608,479,576,Y,지하주차장,033-330-2731,평창군청,2020-12-06
"봉평신용협동조합",공공용,강원도 평창군 봉평면 기풍4길 5,강원도 평창군 봉평면 348번지 2호,37.6158554,128.3786648,189,224,Y,기타,033-330-2731,평창군청,2020-12-06
"평창군문화복지센터",공공용,강원도 평창군 평창읍 평창중앙로 67,강원도 평창군 평창읍 하리 113번지 1호,37.368748,128.3948808,297,361,Y,주차장,033-330-2320,평창군청,2020-12-06
"평창스카이원 아파트",공공용,강원도 평창군 평창읍 서동로 2573 (평창스카이원아파트),강원도 평창군 평창읍 72번지,37.36803755,128.4034493,1085,200,Y,지하주차장,033-330-2680,평창군청,2020-12-06
"진부도서관",공공용,강원도 평창군 진부면 석두로 12-8 (진부도서관),강원도 평창군 진부면 166번지 18호,37.6353563418,128.5543606,251,304,Y,전시장,033-330-2250,평창군청,2020-12-06
"평창문화예술회관",공공용,강원도 평창군 평창읍 문화예술길 51 (문화예술회관),강원도 평창군 평창읍 596번지 4호,37.3615645890,128.3909697547,2558,150,Y,"회의,교육",033-330-2206,평창군청,2020-12-06
"평창중앙교회",공공용,강원도 평창군 평창읍 군청길 21,강원도 평창군 평창읍 263번지,37.36733166,128.3893712,218,264,Y,탁구장,033-330-2680,평창군청,2020-12-06
"평창군농업기술센터",공공용,강원도 평창군 평창읍 여만길 46 (평창군농업기술센타),강원도 평창군 평창읍 357번지 6호,37.3780684791,128.3955491837,762,924,Y,탁구장,033-330-1301,평창군청,2020-12-06
"진부시대아파트",공공용,강원도 평창군 진부면 청송로 74 (시대진부아파트),강원도 평창군 진부면 166번지 5호,37.6363065850,128.5544727986,2270,300,Y,지하주차장,033-330-2774,평창군청,2020-12-06
