"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"한국전력공사 홍천지사",공공용,강원도 홍천군 홍천읍 무궁화로 81,강원도 홍천군 홍천읍 253-2,37.68540723,127.8772524,264,320,Y,주차장,033-430-2232,홍천군청,2020-08-11
"태림아파트",공공용,강원도 홍천군 홍천읍 홍천로 462 (태림아파트),강원도 홍천군 홍천읍 449,37.69462073,127.8947083,925,1121,Y,주차장,033-430-2232,홍천군청,2020-08-11
"홍천농협",공공용,강원도 홍천군 홍천읍 꽃뫼로 87,강원도 홍천군 홍천읍 83-2,37.69138298,127.8834406,1223,1482,Y,주차장,033-430-2232,홍천군청,2020-08-11
"홍천신용협동조합",공공용,강원도 홍천군 홍천읍 번영로 64,강원도 홍천군 홍천읍 16-12,37.69018515,127.8874625,231,280,Y,주차장,033-430-2232,홍천군청,2020-08-11
"신한은행 홍천지점",공공용,강원도 홍천군 홍천읍 번영로 42,강원도 홍천군 홍천읍 72-3,37.68988047,127.8848468,297,360,Y,주차장,033-430-2232,홍천군청,2020-08-11
"미진동백아파트",공공용,강원도 홍천군 홍천읍 마지기로 95 (미진동백아파트),강원도 홍천군 홍천읍 261-3,37.69811852,127.8848766,2644,3204,Y,주차장,033-430-2232,홍천군청,2020-08-11
"홍천버스터미널",공공용,강원도 홍천군 홍천읍 홍천로 301 (홍천버스터미널),강원도 홍천군 홍천읍 393,37.68896354,127.8787908,661,801,Y,창고,033-430-2232,홍천군청,2020-08-11
KT홍천지사,공공용,강원도 홍천군 홍천읍 홍천로 364 (KT홍천점),강원도 홍천군 홍천읍 55-13,37.68894417,127.8857154,591,716,Y,주차장,033-430-2232,홍천군청,2020-08-11
"미진강변아파트",공공용,강원도 홍천군 홍천읍 너브내길 190 (미진3차아파트),강원도 홍천군 홍천읍 424-4,37.69641315,127.8964306,793,961,Y,주차장,033-430-2232,홍천군청,2020-08-11
"홍천군청 별관",공공용,강원도 홍천군 홍천읍 석화로 93 (홍천군청),강원도 홍천군 홍천읍 181,37.69720362,127.8886483,661,801,Y,공공청사,033-430-2232,홍천군청,2020-08-11
"신아1차아파트",공공용,강원도 홍천군 홍천읍 마지기로 110 (신아아파트),강원도 홍천군 홍천읍 424,37.69946071,127.8856273,1157,1402,Y,주차장,033-430-2232,홍천군청,2020-08-11
"미진5차아파트",공공용,강원도 홍천군 홍천읍 너브내길 188,강원도 홍천군 홍천읍 424-3,37.69661863,127.8968957,1190,1442,Y,주차장,033-430-2232,홍천군청,2020-08-11
"홍천군 새마을회관",공공용,강원도 홍천군 홍천읍 진리로 44,강원도 홍천군 홍천읍 149-13,37.6944449,127.889349,198,240,Y,창고,033-430-2232,홍천군청,2020-08-11
"삼호임대아파트",공공용,강원도 홍천군 홍천읍 구시울1길 25 (삼호2차아파트),강원도 홍천군 홍천읍 155,37.67148497,127.8552762,6836,8286,Y,주차장,033-430-2232,홍천군청,2020-08-11
"홍천군청 본관",공공용,강원도 홍천군 홍천읍 석화로 93,강원도 홍천군 홍천읍 181,37.69720362,127.8886483,366,443,Y,공공청사,033-430-2232,홍천군청,2020-08-11
"홍천읍사무소",공공용,강원도 홍천군 홍천읍 홍천로 351 (홍천읍사무소),강원도 홍천군 홍천읍 66-1,37.68943405,127.8843063,2127,2578,Y,주차장,033-430-2232,홍천군청,2020-08-11
"연봉아이파크아파트",공공용,강원도 홍천군 홍천읍 남산마을길 13-1 (연봉아이파크),강원도 홍천군 홍천읍 497,37.68548439,127.8852525,7129,8641,Y,주차장,033-430-2232,홍천군청,2020-08-11
"세영 더조은아파트",공공용,강원도 홍천군 홍천읍 남산마을길 13 (세영더-조은아파트),강원도 홍천군 홍천읍 496,37.68549636,127.8841371,3428,4155,Y,주차장,033-430-2232,홍천군청,2020-08-11
"홍천오드카운티 아파트",공공용,강원도 홍천군 홍천읍 갈마로11길 33 (홍천오드카운티),강원도 홍천군 홍천읍 549,37.69785513,127.9020401,24050,29151,Y,주차장,033-430-2232,홍천군청,2020-08-11
