"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"서울특별시교육청학생교육원 글로벌문화언어체험교육원",공공용,경기도 가평군 가평읍 불기산길 88 (서울특별시학생교육원가평교육원),경기도 가평군 가평읍 487번지,37.8024053059,127.4701480492,756,916,Y,식당,031-580-4926,가평군,2020-12-01
"태광아파트 102동",공공용,경기도 가평군 가평읍 석봉로153번길 15 (태광아파트),경기도 가평군 가평읍 285번지 7호,37.8283374864,127.5091887634,1230,1490,Y,주차장,031-580-4927,가평군,2020-12-01
"태광아파트 101동",공공용,경기도 가평군 가평읍 석봉로153번길 13 (태광아파트),경기도 가평군 가평읍 285번지 6호,37.8284310924,127.5097308800,1110,1345,Y,주차장,031-580-4928,가평군,2020-12-01
"가평군청 지하식당",공공용,경기도 가평군 가평읍 석봉로 181 (가평군청),경기도 가평군 가평읍 513번지,37.8313195480,127.5097053147,169,204,Y,식당,031-580-4929,가평군,2020-12-01
"대현빌라트",공공용,경기도 가평군 가평읍 보납로46번길 11,경기도 가평군 가평읍 419번지 2호,37.8301261040,127.5161917526,538,652,Y,주차장,031-580-4930,가평군,2020-12-01
"에이원파란채아파트",공공용,경기도 가평군 가평읍 가화로 223 (가평에이원파란채아파트),경기도 가평군 가평읍 771번지 1호,37.8380008173,127.5063557059,2763,3349,Y,주차장,031-580-4931,가평군,2020-12-01
"선힐아파트",공공용,경기도 가평군 가평읍 문화로 63,경기도 가평군 가평읍 402번지 1호,37.8183485599,127.5104652901,2830,3430,Y,주차장,031-580-4932,가평군,2020-12-01
"휴먼시아아파트",공공용,경기도 가평군 가평읍 가화로 164,경기도 가평군 가평읍 234번지,37.8347107910,127.5121371409,6250,7575,Y,주차장,031-580-4933,가평군,2020-12-01
"우림필유아파트",공공용,경기도 가평군 가평읍 문화로 112,경기도 가평군 가평읍 360번지,37.8230073157,127.5100393103,971,1176,Y,주차장,031-580-4934,가평군,2020-12-01
"가평군청 지하주차장",공공용,경기도 가평군 가평읍 석봉로 181 (가평군청),경기도 가평군 가평읍 513번지,37.8313195480,127.5097053147,1504,1823,Y,주차장,031-580-4935,가평군,2020-12-01
"세양청마루아파트 지하주차장",공공용,경기도 가평군 청평면 경춘로 807-45 (청평세양청마루아파트),경기도 가평군 청평면 472번지,37.7397293038,127.4163171833,1901,2304,Y,주차장,031-580-4936,가평군,2020-12-01
"청구아파트",공공용,경기도 가평군 청평면 경춘로 807-18 (청평청구아파트),경기도 가평군 청평면 470번지 37호,37.7388503926,127.4172914586,582.36,705,Y,주차장,031-580-4937,가평군,2020-12-01
"삼성쉐르빌아파트",공공용,경기도 가평군 청평면 강변나루로 54 (청평삼성쉐르빌),경기도 가평군 청평면 837번지,37.7327136305,127.4161264544,9822.38,11905,Y,주차장,031-580-4938,가평군,2020-12-01
"이안지안스아파트",공공용,경기도 가평군 청평면 구청평로 20 (이안지안스 청평),경기도 가평군 청평면 청평리 657-1 이안지안스 청평,37.7302571470,127.4105773810,7859.86,9527,Y,주차장,031-580-4939,가평군,2020-12-01
"경남아너스빌아파트",공공용,경기도 가평군 청평면 골안길 7-28 (청평 경남아너스빌),경기도 가평군 청평면 306번지,37.7422428568,127.4216523660,1345.36,1630,Y,주차장,031-580-4940,가평군,2020-12-01
"가평청사복합행복주택",공공용,경기도 가평군 가평읍 석봉로191번길 10,경기도 가평군 가평읍 읍내리 608번지 5호,37.8321729318,127.5087450720,3783,4585,Y,주차장,031-580-4941,가평군,2020-12-01
"설악면행정복지센터",공공용,"경기도 가평군 설악면 한서로 8, 설악면사무소",경기도 가평군 설악면 신천리 156-1 설악면사무소,37.6761945931,127.4946902166,178,216,Y,창고,031-580-4942,가평군,2020-12-01
"청심평화월드센터",공공용,"경기도 가평군 설악면 미사리로 258, 청심실내체육관",경기도 가평군 설악면 송산리 583-2 청심실내체육관,37.6838251611,127.5204223666,43706,52977,Y,창고,031-580-4943,가평군,2020-12-01
"북한강코아루아파트 지하주차장",공공용,경기도 가평군 설악면 자잠로 86 (북한강코아루),경기도 가평군 설악면 선촌리 663 북한강코아루,37.6839452203,127.4934780957,1177,1427,Y,주차장,031-580-4944,가평군,2020-12-01
"상면 행정복지센터",공공용,경기도 가평군 상면 청군로 1105,경기도 가평군 상면 연하리 171-1,37.8046973109,127.3567948691,38,46,Y,기계실,031-580-4945,가평군,2020-12-01
"켄싱턴리조트 청평",공공용,"경기도 가평군 상면 청군로 430, 켄싱턴리조트청평",경기도 가평군 상면 덕현리 402-10 켄싱턴리조트청평,37.7598798578,127.3954137650,4527,5487,Y,주차장,031-580-4946,가평군,2020-12-01
