"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
11단지 래미안 에코팰리스,정부지원,경기도 과천시 관문로 143,경기도 과천시 중앙동 71번지 래미안에코팰리스,37.4342462,126.9934126425,25458,30858,N,지하주차장,02-507-0055,11단지 관리사무소,2021-08-02
3단지 래미안슈르 지하주차장,정부지원,경기도 과천시 별양로 12,경기도 과천시 원문동 4번지 래미안슈르,37.4230461575,126.9935217442,220239,266956,N,지하주차장,02-504-0551,3단지 관리사무소,2021-08-02
"정부과천청사역",공공용,경기도 과천시 중앙로 지하 100,경기도 과천시 별양동 1,37.4259969407,126.9901861470,1032,1250,Y,대중교통시설,02-503-2265,철도공사,2021-08-02
"이마트과천점 지하2~5층",정부지원,경기도 과천시 별양상가3로 11,경기도 과천시 별양동 1-19번지,37.4262182,126.9918102,3924,4756,Y,지하주차장,02-509-5200,이마트,2021-08-02
"과천오피스텔 지하2,3층",정부지원,경기도 과천시 별양상가1로 18,경기도 과천시 별양동 1-14번지,37.4275253266,126.9925153797,1054,1277,N,지하주차장,02-503-3134,오피스텔 관리사무소,2021-08-02
"우리은행 지하1,2층",정부지원,경기도 과천시 별양상가로 13,경기도 과천시 별양동 1-12번지,37.4277430637,126.9933578,563,1318,Y,지하주차장,02-504-1841,우리은행,2021-08-02
"과천역",공공용,경기도 과천시 별양로 177,경기도 과천시 별양동 2,37.4334527847,126.9974568340,1812,2196,Y,대중교통시설,02-3679-8831,철도공사,2021-08-02
"대공원역",공공용,경기도 과천시 대공원대로 지하 50,경기도 과천시 과천동 727-1,37.4357353154,127.0055641071,2584,3133,Y,대중교통시설,02-502-5491,철도공사,2021-08-02
"과천소망교회 내",정부지원,경기도 과천시 문원청계2길 50,경기도 과천시 문원동 115-354번지,37.4220664465,127.0096259189,1809,142,N,지하주차장,02-504-6837,소망교회,2021-08-02
"문원체육공원 지하 주차장",정부지원,경기도 과천시 문원로 56,경기도 과천시 문원동 20번지,37.4279224049,127.0036618308,5455,6612,Y,지하주차장,02-504-7300,과천시청,2021-08-02
"경마공원역",공공용,경기도 과천시 경마공원대로 지하 105,경기도 과천시 과천동 654,37.4441407439,127.0080511894,1500,1819,Y,대중교통시설,02-502-7892,철도공사,2021-08-02
"선바위역",공공용,경기도 과천시 중앙로 지하 440,경기도 과천시 과천동 355,37.4518723418,127.0013633255,1095,1328,Y,대중교통시설,02-502-1356,철도공사,2021-08-02
"과천1통 지하보도",공공용,경기도 과천시 중앙로,경기도 과천시 과천동 522-3,37.4480499,126.9970845,65,80,Y,지하보도,02-3677-2420,과천시청,2021-08-02
"남태령 지하보도 1",공공용,경기도 과천시 과천대로,경기도 과천시 과천동 517-42,37.449185,126.9942478,120,145,Y,지하보도,02-3677-2420,과천시청,2021-08-02
"남태령 지하보도 2",공공용,경기도 과천시 과천대로,경기도 과천시 과천동 544-7,37.4459685,126.9962823,120,145,Y,지하보도,02-3677-2420,과천시청,2021-08-02
"래미안센트럴스위트",공공용,경기도 과천시 별양로 163,경기도 과천시 별양동 3번지 래미안센트럴스위트,37.4319287915,126.9968707083,31028,37609,Y,지하주차장,02-507-7795,센트럴스위트 관리소,2021-08-02
"교보빌딩",공공용,경기도 과천시 별양상가1로 13,경기도 과천시 별양동 1-16번지,37.4272324311,126.9915523667,3081,3734,Y,지하주차장,02-507-7688,교보빌딩 관리소,2021-08-02
"과천타워",공공용,경기도 과천시 별양상가1로 10,경기도 과천시 별양동 1-17번지,37.42696982,126.9919948259,5545,6721,Y,지하주차장,02-502-1100,과천타워 관리소,2021-08-02
"렉스타운",공공용,경기도 과천시 별양상가1로 25,경기도 과천시 별양동 1-10번지,37.42827993,126.9925308,7500,9090,Y,지하주차장,02-502-2244,렉스타운 관리소,2021-08-02
