"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"갈매더샵 나인힐스",공공용,경기도 구리시 갈매순환로 10,경기도 구리시 갈매동 665번지 갈매더샵나인힐스,37.62531808,127.1112048,6487,7863,Y,주차장,031-574-8394,경기도 구리시청,2021-07-22
"구리갈매 LH1단지",공공용,경기도 구리시 갈매순환로 143,경기도 구리시 갈매동 573번지,37.63215434,127.1210594,24073,5645,Y,주차장,031-575-6951,경기도 구리시청,2021-07-22
"삼보아파트",공공용,"경기도 구리시 건원대로 56, 301동 (인창동)",경기도 구리시 인창동 665-1번지 삼보아파트 301동,37.60780939,127.1404976,13365,4349,Y,주차장,031-563-6190,경기도 구리시청,2021-07-22
"영풍마드레빌 2차아파트",공공용,경기도 구리시 검배로 132,경기도 구리시 토평동 1011번지 영풍마드레빌2차아파트(301동 지하),37.59376891,127.1524013,761,922,Y,주차장,031-552-5802,경기도 구리시청,2021-07-22
SK신일아파트,공공용,"경기도 구리시 검배로 142 (토평동, 에스케이.신일아파트(202동,205동 지하))","경기도 구리시 토평동 1008번지 에스케이.신일아파트(202동,205동 지하)",37.5934312,127.1532492,4854,5884,Y,주차장,031-555-4054,경기도 구리시청,2021-07-22
"현주i프렌드",공공용,경기도 구리시 검배로 36,경기도 구리시 수택동 424-28번지 현주Ifriend빌딩,37.59799265,127.1430514,510,618,Y,주차장,031-568-7672,경기도 구리시청,2021-07-22
"한양대학교 구리병원",공공용,경기도 구리시 경춘로 153,경기도 구리시 교문동 249-1번지,37.60127502,127.1325073,5284,6405,Y,주차장,031-560-2850,경기도 구리시청,2021-07-22
KT구리지점,공공용,경기도 구리시 경춘로 202,경기도 구리시 수택동 370-6번지,37.60018336,127.1380285,132,160,Y,주차장,031-559-2050,경기도 구리시청,2021-07-22
"명동빌딩",공공용,경기도 구리시 경춘로 223,경기도 구리시 인창동 280-4번지,37.60089577,127.1401666,411,498,Y,주차장,031-566-3151,경기도 구리시청,2021-07-22
"롯데백화점",공공용,경기도 구리시 경춘로 261,경기도 구리시 인창동 677번지,37.602736,127.1437961,17708,21464,Y,주차장,031-550-8202,경기도 구리시청,2021-07-22
"수택금호어울림아파트",공공용,"경기도 구리시 경춘로276번길 66 (수택동, 수택동금호어울림(104동 지하))",경기도 구리시 수택동 542번지 수택동금호어울림(104동 지하),37.6002884,127.1470613,2437,2954,Y,주차장,031-552-5842,경기도 구리시청,2021-07-22
"남양아이아파트",공공용,경기도 구리시 경춘로276번길 67-40,경기도 구리시 수택동 550번지 남양아이-좋은집(603동 지하),37.60028887,127.1492006,6965,8442,Y,주차장,031-568-3646,경기도 구리시청,2021-07-22
"금호어울림아파트",공공용,경기도 구리시 동구릉로 226,경기도 구리시 인창동 709번지 구리인창금호어울림(전동지하) 101동,37.61852856,127.139641,4542,5505,Y,주차장,031-552-6371,경기도 구리시청,2021-07-22
