"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"군포제일아파트",공공용,경기도 군포시 당산로 66-3,경기도 군포시 당동 734,37.357610,126.945866,3498,4240,Y,주차장,031-390-0163,군포시청,2021-05-03
"대덕누리애뜰아파트",공공용,경기도 군포시 군포로510번길 25,경기도 군포시 당동 780-2,37.3521497547,126.9465263352,7110,8618,Y,주차장,031-390-0163,군포시청,2021-05-03
"럭키베스트빌",공공용,경기도 군포시 군포로573번길 3,경기도 군포시 당동 732-3,37.3572472543,126.9467760108,1555,1885,Y,주차장,031-390-0163,군포시청,2021-05-03
"청천마을 대우아파트",공공용,경기도 군포시 당정역로9,경기도 군포시 당정동 1025-1,37.343125,126.951166,17167,20808,Y,주차장,031-390-0163,군포시청,2021-05-03
"당정마을 엘지아파트",공공용,경기도 군포시 고산로151번길 26-23,경기도 군포시 당정동 973-1,37.345243,126.956884,5792,7021,Y,주차장,031-390-0163,군포시청,2021-05-03
"동아아파트",공공용,경기도 군포시 군포로490번길 22,경기도 군포시 당동 900,37.3489641038,126.9467853572,330,400,Y,주차장,031-390-0163,군포시청,2021-05-03
"두산아파트",공공용,경기도 군포시 군포로464번길 19,경기도 군포시 당동 907,37.3476480231,126.9469025326,2640,3200,Y,주차장,031-390-0163,군포시청,2021-05-03
"주공3단지아파트",공공용,경기도 군포시 용호2로54번길 11,경기도 군포시 당동 886,37.3445602683,126.9456751398,10808,13101,Y,주차장,031-390-0163,군포시청,2021-05-03
"청천마을 성원아파트",공공용,경기도 군포시 고산로185번길 31,경기도 군포시 당정동 997-1,37.344621,126.952384,13701,16607,Y,주차장,031-390-0163,군포시청,2021-05-03
"삼성미도아파트",공공용,경기도 군포시 금당로 102,경기도 군포시 당동 737-7,37.3552689389,126.9434357158,990,1200,Y,주차장,031-390-0163,군포시청,2021-05-03
"쌍용아파트",공공용,경기도 군포시 용호2로 51,경기도 군포시 당동 873,37.344029,126.942471,28819,34932,Y,주차장,031-390-0163,군포시청,2021-05-03
"주공2-2아파트",공공용,경기도 군포시 용호2로 11-1,경기도 군포시 당동 874,37.344036,126.941293,10461,12680,Y,주차장,031-390-0163,군포시청,2021-05-03
