"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"길훈1차아파트 101동 지하주차장",공공용,경기도 김포시 고촌읍 장차로 25,경기도 김포시 고촌읍 539-1,37.60469471,126.7702654,1667,2021,Y,지하주차장,031-986-2870,관리사무소,2020-09-21
"길훈1차아파트 102동 지하주차장",공공용,경기도 김포시 고촌읍 장차로 25,경기도 김포시 고촌읍 539-1,37.60469471,126.7702654,1732,2100,Y,지하주차장,031-986-2870,관리사무소,2020-09-21
"신한아파트 모든 동의 지하주차장",공공용,"경기도 김포시 감정로 3 (감정동, 신한아파트)",경기도 김포시 감정동 550-1,37.62257962,126.7004966,823,998,Y,지하주차장,031-982-4735,관리사무소,2020-09-21
"김포길훈아파트 모든 동의 지하주차장",공공용,"경기도 김포시 장릉로 56 (풍무동, 김포길훈아파트)",경기도 김포시 풍무동 1,37.6125875946,126.7197121765,1715,2079,Y,지하주차장,031-984-9087,관리사무소,2020-09-21
"북변대우아파트 101~103동 지하주차장",공공용,"경기도 김포시 봉화로182번길 33 (북변동, 북변대우아파트)",경기도 김포시 북변동 688,37.62927054,126.7027218,1367,1657,Y,지하주차장,031-982-3582,관리사무소,2020-09-21
"북변산호아파트 101~103동 지하주차장",공공용,"경기도 김포시 북변1로16번길 34 (북변동, 북변산호아파트)",경기도 김포시 북변동 690,37.62887398,126.7041055,1442,1748,Y,지하주차장,031-982-9268,관리사무소,2020-09-21
"북변산호아파트 104동, 105동 지하주차장",공공용,"경기도 김포시 북변1로16번길 34 (북변동, 북변산호아파트)",경기도 김포시 북변동 690,37.62887398,126.7041055,1323,1604,Y,지하주차장,031-982-9268,관리사무소,2020-09-21
"삼환아파트 101~103동 지하주차장",공공용,"경기도 김포시 봉화로181번길 30 (감정동, 삼환아파트)",경기도 김포시 감정동 659,37.62766502,126.700594,1183,1434,Y,지하주차장,031-983-5825,관리사무소,2020-09-21
"삼환아파트 103~105동 지하주차장",공공용,"경기도 김포시 봉화로181번길 30 (감정동, 삼환아파트)",경기도 김포시 감정동 659,37.62766502,126.700594,1238,1501,Y,지하주차장,031-983-5825,관리사무소,2020-09-21
"삼환아파트 201동 지하주차장",공공용,"경기도 김포시 봉화로167번길 35-7 (감정동, 삼환아파트)",경기도 김포시 감정동 671,37.6262195295,126.7019311716,668,809,Y,지하주차장,031-983-5825,관리사무소,2020-09-21
"북변건영아파트 모든 동의 지하주차장",공공용,"경기도 김포시 봉화로167번길 35-9 (감정동, 북변건영아파트)",경기도 김포시 감정동 672,37.6256968122,126.7023013036,985,1194,Y,지하주차장,031-983-7922,관리사무소,2020-09-21
"신화아파트 101동,108~109동 지하주차장",공공용,"경기도 김포시 봉화로167번길 35-18 (감정동, 신화아파트)",경기도 김포시 감정동 674,37.6249835,126.7019414,1472,1784,Y,지하주차장,031-985-0279,관리사무소,2020-09-21
"신화아파트 102~103동,107동 지하주차장",공공용,"경기도 김포시 봉화로167번길 35-18 (감정동, 신화아파트)",경기도 김포시 감정동 674,37.6249835,126.7019414,1295,1570,Y,지하주차장,031-985-0279,관리사무소,2020-09-21
"한국아파트 101~103동 지하주차장",공공용,"경기도 김포시 봉화로181번길 31-14 (감정동, 한국아파트)",경기도 김포시 감정동 676,37.62570771,126.6990341,1102,1336,Y,지하주차장,031-983-3742,관리사무소,2020-09-21
"한국아파트 104~106동 지하주차장",공공용,"경기도 김포시 봉화로181번길 31-14 (감정동, 한국아파트)",경기도 김포시 감정동 676,37.62570771,126.6990341,1275,1545,Y,지하주차장,031-983-3742,관리사무소,2020-09-21
"현대아파트 모든동의 지하주차장",공공용,"경기도 김포시 중구로 93 (북변동, 현대아파트)",경기도 김포시 북변동 267,37.6287843948,126.7106321351,1166,1413,Y,지하주차장,031-983-2816,관리사무소,2020-09-21
"길훈2차아파트 101동, 102동 지하주차장",공공용,경기도 김포시 고촌읍 장차로 31,경기도 김포시 고촌읍 469-3,37.6052316233,126.7711979507,1175,1424,Y,지하주차장,031-985-5659,관리사무소,2020-09-21
"북변대우아파트 104~106동 지하주차장",공공용,"경기도 김포시 봉화로182번길 33 (북변동, 북변대우아파트)",경기도 김포시 북변동 688,37.62927054,126.7027218,1143,1385,Y,지하주차장,031-982-3582,관리사무소,2020-09-21
"북변산호아파트 106동 지하주차장",공공용,"경기도 김포시 북변1로16번길 34 (북변동, 북변산호아파트)",경기도 김포시 북변동 690,37.62887398,126.7041055,1472,1784,Y,지하주차장,031-982-9268,관리사무소,2020-09-21
"효성아파트 101~102동 지하주차장",공공용,"경기도 김포시 봉화로181번길 31-15 (감정동, 효성아파트)",경기도 김포시 감정동 662,37.6273920761,126.7010078858,1434,1738,Y,지하주차장,031-983-8676,관리사무소,2020-09-21
"김포4차길훈아파트 모든 동의 지하주차장",공공용,"경기도 김포시 풍무로 232 (사우동, 김포4차길훈아파트)",경기도 김포시 사우동 385,37.61519888,126.7257522,754,914,Y,지하주차장,031-984-1842,관리사무소,2020-09-21
