"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"강변해태아파트",공공용,경기도 남양주시 와부읍 덕소로 230-40,경기도 남양주시 와부읍 도곡리 1010-1,37.57701697,127.2199184,3243,3931,Y,지하주차장,,경기도 남양주시,2021-03-08
"강변삼익아파트",공공용,경기도 남양주시 와부읍 덕소로2번길 37,경기도 남양주시 와부읍 덕소리 600-3,37.58661321,127.2065775,5326,6456,Y,지하주차장,,경기도 남양주시,2021-03-08
"주공2차아파트",공공용,경기도 남양주시 와부읍 덕소로97번길 12 (주공2차 아파트),경기도 남양주시 와부읍 덕소리 111-1,37.58523059,127.2142351,6512,7893,Y,지하주차장,,경기도 남양주시,2021-03-08
"주공3차 아파트",공공용,경기도 남양주시 와부읍 덕소로 33-1 (주공3차 아파트),경기도 남양주시 와부읍 덕소리 606-1,37.58880614,127.2076479,2943,3567,Y,지하주차장,,경기도 남양주시,2021-03-08
"현대1차아파트",공공용,경기도 남양주시 와부읍 덕소로 150 (현대1차 아파트),경기도 남양주시 와부읍 덕소리 554-1,37.58011008,127.2135333,7315,8867,Y,지하주차장,,경기도 남양주시,2021-03-08
"리버뷰 진도아파트",공공용,경기도 남양주시 와부읍 덕소로116번길 9 (리버뷰 진도아파트),경기도 남양주시 와부읍 덕소리 518-5,37.58407877,127.2111309,3025,3667,Y,지하주차장,,경기도 남양주시,2021-03-08
"코오롱대성아파트",공공용,경기도 남양주시 와부읍 덕소로97번길 69 (강산마을코오롱대성아파트),경기도 남양주시 와부읍 덕소리 145-4,37.58898167,127.2201664,13838,16773,Y,지하주차장,,경기도 남양주시,2021-03-08
"현대2차아파트",공공용,경기도 남양주시 와부읍 덕소로116번길 49 (현대2차(홈타운)아파트),경기도 남양주시 와부읍 덕소리 600-15,37.5843929,127.208776,7557,9160,Y,지하주차장,,경기도 남양주시,2021-03-08
"한강우성아파트",공공용,경기도 남양주시 와부읍 덕소로 274 (한강우성아파트),경기도 남양주시 와부읍 도곡리 1012,37.57733834,127.2253215,3131,3795,Y,지하주차장,,경기도 남양주시,2021-03-08
"벽산아파트",공공용,경기도 남양주시 와부읍 덕소로 177,경기도 남양주시 와부읍 도곡리 976-1,37.58075777,127.218041,3558,4313,Y,지하주차장,,경기도 남양주시,2021-03-08
"쌍용아파트",공공용,경기도 남양주시 와부읍 덕소로 206 (쌍용아파트),경기도 남양주시 와부읍 도곡리 993,37.57851475,127.218768,7352,8912,Y,지하주차장,,경기도 남양주시,2021-03-08
"휴먼시아 3단지 아파트",공공용,경기도 남양주시 진접읍 금강로 1554-20,경기도 남양주시 진접읍 장현리 703,37.72914623,127.1951073,12040,14594,Y,지하주차장,,경기도 남양주시,2021-03-08
"반도유보라 아파트",공공용,경기도 남양주시 진접읍 해밀예당1로 145,경기도 남양주시 진접읍 금곡리 971,37.720275454,127.193908977,31820,38570,Y,지하주차장,,경기도 남양주시,2021-03-08
"자연&어울림 아파트",공공용,경기도 남양주시 진접읍 해밀예당1로 51,경기도 남양주시 진접읍 금곡리 965,37.71413555,127.1865165,19048,23088,Y,지하주차장,,경기도 남양주시,2021-03-08
"해밀마을(진접) 신안인스빌 아파트",공공용,경기도 남양주시 진접읍 해밀예당1로 66,경기도 남양주시 진접읍 금곡리 1080,37.713363467,127.189309079,44770,54267,Y,지하주차장,,경기도 남양주시,2021-03-08
"신영지웰 아파트",공공용,경기도 남양주시 진접읍 해밀예당3로 104,경기도 남양주시 진접읍 금곡리 1075,37.718178195,127.198122744,25163,30501,Y,지하주차장,,경기도 남양주시,2021-03-08
"진접센트레빌시티 1단지 아파트",공공용,경기도 남양주시 진접읍 부평로 32,경기도 남양주시 진접읍 부평리 764,37.738502377,127.199129888,52227,63305,Y,지하주차장,,경기도 남양주시,2021-03-08
"신창비바패밀리 아파트",공공용,경기도 남양주시 진접읍 진벌로 85-2,경기도 남양주시 진접읍 진벌리 657,37.745317965,127.217120475,21395,25933,Y,지하주차장,,경기도 남양주시,2021-03-08
"광릉숲금강펜테리움 아파트",공공용,경기도 남양주시 진접읍 금강로1573번길 3,경기도 남양주시 진접읍 장현리 701,37.731448481,127.193302842,21420,25964,Y,지하주차장,,경기도 남양주시,2021-03-08
"원일 대궐터 아파트",공공용,경기도 남양주시 진접읍 내각1로73번안길 28,경기도 남양주시 진접읍 내각리 192,37.70822514,127.1647597,5671,6874,Y,지하주차장,,경기도 남양주시,2021-03-08
"마석 대림아파트",공공용,경기도 남양주시 화도읍 비룡로 110-17,경기도 남양주시 화도읍 마석우리 448-1,37.66201251,127.3056096,16548,20058,Y,지하주차장,,경기도 남양주시,2021-03-08
"신명스카이뷰 아파트",공공용,경기도 남양주시 화도읍 비룡로 56-8,경기도 남양주시 화도읍 마석우리 396,37.65551341,127.3032983,17666,21413,Y,지하주차장,,경기도 남양주시,2021-03-08
"마석역 신도 아파트",공공용,경기도 남양주시 화도읍 마석로 110,경기도 남양주시 화도읍 마석우리 598,37.661103,127.304559,19654,23823,Y,지하주차장,,경기도 남양주시,2021-03-08
"영진그린필 아파트",공공용,경기도 남양주시 화도읍 경춘로 1790-1,경기도 남양주시 화도읍 묵현리 286-3,37.65633207,127.287232,10940,13261,Y,지하주차장,,경기도 남양주시,2021-03-08
"마석역 신도브래뉴 2차",공공용,경기도 남양주시 화도읍 비룡로141번길 21,경기도 남양주시 화도읍 묵현리 625,37.662751012,127.300113552,17348,21028,Y,지하주차장,,경기도 남양주시,2021-03-08
"이안 아파트",공공용,경기도 남양주시 화도읍 수레로 1178,경기도 남양주시 화도읍 창현리 777,37.6425434,127.3045055,16774,20332,Y,지하주차장,,경기도 남양주시,2021-03-08
"녹촌 두산위브 아파트",공공용,경기도 남양주시 화도읍 녹촌로 87-29,경기도 남양주시 화도읍 녹촌리 554,37.64026928,127.2960258,10441,12656,Y,지하주차장,,경기도 남양주시,2021-03-08
"신창현 두산위브아파트",공공용,경기도 남양주시 화도읍 녹촌로 51,경기도 남양주시 화도읍 녹촌리 555,37.64409327,127.297369,12222,14815,Y,지하주차장,,경기도 남양주시,2021-03-08
"화도읍사무소",공공용,경기도 남양주시 화도읍 비룡로 59,경기도 남양주시 화도읍 마석우리 548,37.657822,127.300702,2348,2846,Y,지하주차장,,경기도 남양주시,2021-03-08
"한신3차아파트",공공용,경기도 남양주시 진건읍 진건오남로86번길 37 (한신3차 아파트),경기도 남양주시 진건읍 용정리 751-5,37.65853128,127.1816492,1488,1804,Y,지하주차장,,경기도 남양주시,2021-03-08
"세아아파트",공공용,경기도 남양주시 진건읍 진건오남로105번길 6 (세아아파트),경기도 남양주시 진건읍 용정리 757-1,37.66042596,127.1775557,2536,3074,Y,지하주차장,,경기도 남양주시,2021-03-08
"동성아파트",공공용,경기도 남양주시 진건읍 사릉로452번길 3 (동성아파트),경기도 남양주시 진건읍 신월리 99-1,37.65958094,127.1738591,6982,8463,Y,지하주차장,,경기도 남양주시,2021-03-08
"진건 현대아파트",공공용,경기도 남양주시 진건읍 진건오남로105번길 24-5 (현대아파트),경기도 남양주시 진건읍 용정리 816-5,37.66124266,127.1760843,7098,8604,Y,지하주차장,,경기도 남양주시,2021-03-08
"주공2단지 아파트",공공용,경기도 남양주시 진건읍 사릉로372번길 25,경기도 남양주시 진건읍 용정리 855,37.65751702,127.184965,3548,4300,Y,지하주차장,,경기도 남양주시,2021-03-08
"화성아파트",공공용,경기도 남양주시 진건읍 사릉로469번길 1 (화성아파트),경기도 남양주시 진건읍 진관리 130-2,37.65878871,127.1734312,6377,7730,Y,지하주차장,,경기도 남양주시,2021-03-08
"진건 금강아파트",공공용,경기도 남양주시 진건읍 진건오남로86번길 58 (금강아파트),경기도 남양주시 진건읍 용정리 369-1,37.65819554,127.1843411,10920,13236,Y,지하주차장,,경기도 남양주시,2021-03-08
"동부아파트",공공용,경기도 남양주시 오남읍 진건오남로 661 (동부아파트),경기도 남양주시 오남읍 오남리 222,37.69188542,127.2139215,4523,5482,Y,지하주차장,,경기도 남양주시,2021-03-08
e-편한세상1단지 아파트,공공용,경기도 남양주시 오남읍 양지로240번길 37,경기도 남양주시 오남읍 양지리 807,37.70033325,127.1950499,34617,41960,Y,지하주차장,,경기도 남양주시,2021-03-08
e-편한세상 2단지 아파트,공공용,경기도 남양주시 오남읍 양지로240번길 38,경기도 남양주시 오남읍 양지리 807-2,37.70160606,127.196839,18740,22715,Y,지하주차장,,경기도 남양주시,2021-03-08
"푸르지오 아파트",공공용,경기도 남양주시 오남읍 진건오남로759번길 70,경기도 남양주시 오남읍 오남리 889,37.69568603,127.1982851,16925,20515,Y,지하주차장,,경기도 남양주시,2021-03-08
"금호어울림 아파트",공공용,경기도 남양주시 오남읍 진건오남로 470,경기도 남양주시 오남읍 오남리 464,37.677603,127.2069295,17739,21502,Y,지하주차장,,경기도 남양주시,2021-03-08
"청학주공 2단지 아파트",공공용,경기도 남양주시 별내면 청학로114번길 18 (청학주공2단지),경기도 남양주시 별내면 청학리 419,37.71012219,127.1149641,8154,9884,Y,지하주차장,,경기도 남양주시,2021-03-08
"청학주공 3단지 아파트",공공용,경기도 남양주시 별내면 청학로68번길 23 (청학주공3차 아파트),경기도 남양주시 별내면 청학리 409,37.7100036,127.1182709,8184,9920,Y,지하주차장,,경기도 남양주시,2021-03-08
"청학주공 5단지 아파트",공공용,경기도 남양주시 별내면 청학로68번길 6 (청학주공5단지 아파트),경기도 남양주시 별내면 청학리 412,37.70707088,127.120938,8547,10360,Y,지하주차장,,경기도 남양주시,2021-03-08
"극동아파트",공공용,경기도 남양주시 퇴계원읍 퇴계원로 19,경기도 남양주시 퇴계원읍 퇴계원리 303,37.64903124,127.1393278,5370,6509,Y,지하주차장,,경기도 남양주시,2021-03-08
"성원아파트",공공용,경기도 남양주시 퇴계원읍 도제원로 22,경기도 남양주시 퇴계원읍 퇴계원리 232,37.65060491,127.1463111,13390,16230,Y,지하주차장,,경기도 남양주시,2021-03-08
"신도아파트",공공용,경기도 남양주시 퇴계원읍 도제원로 84,경기도 남양주시 퇴계원읍 퇴계원리 70-3,37.65536966,127.1460213,18638,22592,Y,지하주차장,,경기도 남양주시,2021-03-08
"수동 시니어타운 지하",공공용,경기도 남양주시 수동면 비룡로 801-88,경기도 남양주시 수동면 운수리 361-6,37.70993893,127.319861,261,316,Y,식당,,경기도 남양주시,2021-03-08
"신망애재활원 지하",공공용,경기도 남양주시 수동면 비룡로972번길 17,경기도 남양주시 수동면 입석리 522-2,37.7202178,127.314277,62,75,Y,교실,,경기도 남양주시,2021-03-08
"대성학원 지하",공공용,경기도 남양주시 수동면 외방로135번길 12-30,경기도 남양주시 수동면 외방리 150-1,37.73272349,127.3073656,2695,3267,Y,식당,,경기도 남양주시,2021-03-08
"매그너스 요양병원 지하",공공용,경기도 남양주시 수동면 지둔로445번길 33-51,경기도 남양주시 수동면 지둔리 323-1,37.721451,127.2976734,921,1116,Y,식당,,경기도 남양주시,2021-03-08
"라인그린아파트",공공용,경기도 남양주시 천마산로 65-2 (호평동),경기도 남양주시 호평동 371,37.66976504,127.2469189,6379,7732,Y,지하주차장,,경기도 남양주시,2021-03-08
"호평동 금강펜테리움",공공용,"경기도 남양주시 호평로 94 (호평동, 금강아파트)",경기도 남양주시 호평동 668,37.65480034,127.250541,31439,38108,Y,지하주차장,,경기도 남양주시,2021-03-08
"효성아파트",공공용,경기도 남양주시 호평로 118 (호평동),경기도 남양주시 호평동 671,37.65554568,127.2529233,19391,23504,Y,지하주차장,,경기도 남양주시,2021-03-08
"중흥로하스아파트",공공용,경기도 남양주시 호평로 149 (호평동),경기도 남양주시 호평동 680,37.65684642,127.256391,1800,2182,Y,지하주차장,,경기도 남양주시,2021-03-08
"호평동 현대아이파크",공공용,경기도 남양주시 늘을3로 7,경기도 남양주시 호평동 612,37.65960334,127.2408671,23663,28682,Y,지하주차장,,경기도 남양주시,2021-03-08
"주공23단지",공공용,경기도 남양주시 호평로 150,경기도 남양주시 호평동 681,37.6561817,127.2571276,3544,4296,Y,지하주차장,,경기도 남양주시,2021-03-08
"효성타운",공공용,"경기도 남양주시 경춘로1350번길 34 (평내동, 효성아파트)",경기도 남양주시 평내동 87,37.64872392,127.2424027,16400,19879,Y,지하주차장,,경기도 남양주시,2021-03-08
"평내마을상록데시앙",공공용,"경기도 남양주시 경춘로1286번길 35 (평내동, 상록아파트)",경기도 남양주시 평내동 592,37.64644879,127.239389,26430,32036,Y,지하주차장,,경기도 남양주시,2021-03-08
"평내마을신명스카이뷰",공공용,"경기도 남양주시 의안로 155 (평내동, 평내마을신명스카이뷰)",경기도 남양주시 평내동 601,37.6442703,127.2402354,16457,19948,Y,지하주차장,,경기도 남양주시,2021-03-08
"대명아파트",공공용,"경기도 남양주시 경춘로1308번길 8-12 (평내동, 대명아파트)",경기도 남양주시 평내동 107-1,37.64907646,127.240958,16476,19971,Y,지하주차장,,경기도 남양주시,2021-03-08
"남양주시청",공공용,경기도 남양주시 경춘로 1037,경기도 남양주시 금곡동 185-10,37.63661549,127.2179957,990,1200,Y,청사,,경기도 남양주시,2021-03-08
"금강아파트",공공용,경기도 남양주시 홍유릉로248번길 21 (금곡동),경기도 남양주시 금곡동 654,37.62684831,127.2020851,20422,24754,Y,지하주차장,,경기도 남양주시,2021-03-08
GS아파트,공공용,"경기도 남양주시 홍유릉로248번길 51 (금곡동, LG아파트)",경기도 남양주시 금곡동 603,37.62797596,127.2023102,21639,26229,Y,지하주차장,,경기도 남양주시,2021-03-08
"한화꿈에그린아파트",공공용,경기도 남양주시 다산지금로16번길 56,경기도 남양주시 다산동 3718,37.607116184,127.167929407,25026,30335,Y,지하주차장,,경기도 남양주시,2021-03-08
"휴먼시아아파트 1단지",공공용,경기도 남양주시 가운로2길 28 (가운동),경기도 남양주시 다산동 669,37.60308318,127.1548835,16846,20419,Y,지하주차장,,경기도 남양주시,2021-03-08
"휴먼시아아파트 3단지",공공용,경기도 남양주시 가운로2길 43 (가운동),경기도 남양주시 다산동 674,37.60236785,127.1562047,4206,5098,Y,지하주차장,,경기도 남양주시,2021-03-08
"휴먼시아아파트 6단지",공공용,경기도 남양주시 가운로2길 79 (가운동),경기도 남양주시 다산동 682,37.598298,127.1585923,6713,8137,Y,지하주차장,,경기도 남양주시,2021-03-08
"도농동 남양아이 아파트",공공용,경기도 남양주시 미금로57번길 20 (도농동),경기도 남양주시 다산동 4432,37.60856232,127.1512391,14883,18040,Y,지하주차장,,경기도 남양주시,2021-03-08
