"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"건영아파트",공공용,경기도 동두천시 강변로296번길 19,경기도 동두천시 생연동 787-2,37.89817982,127.04634969,2838,2800,Y,주차장(지하1층),031-860-3034,동두천시청 생연2동행정복지센터,2021-02-24
"기상아파트",공공용,경기도 동두천시 못골로 60,경기도 동두천시 생연동 85,37.90300676,127.06950923,1126,1364,Y,주차장(지하1층),031-860-3094,동두천시청 불현동행정복지주민센터,2021-02-24
"내행프라자",공공용,경기도 동두천시 동두천로 129,경기도 동두천시 지행동 695-5,37.89307576,127.05478671,554,671,Y,주차장(지하1층),031-860-3131,동두천시청 송내동행정복지센터,2021-02-24
"대방노블랜드1단지",공공용,경기도 동두천시 삼육사로1002번길 25,경기도 동두천시 생연동 360-2,37.89790494,127.06115394,3725,3148,Y,주차장(지하1층),031-860-3094,동두천시청 불현동행정복지주민센터,2021-02-24
"대방샤인힐7단지",공공용,경기도 동두천시 거북마루로 64,경기도 동두천시 지행동 692-1,37.89554988,127.05354521,15770,19115,Y,주차장(지하1층),031-860-3131,동두천시청 송내동행정복지센터,2021-02-24
"대방샤인힐8단지",공공용,경기도 동두천시 동두천로 149,경기도 동두천시 지행동 692-3,37.89462619,127.05481559,9946,12055,Y,주차장(지하1층),031-860-3131,동두천시청 송내동행정복지센터,2021-02-24
"동남아파트",공공용,경기도 동두천시 상패로 187,경기도 동두천시 상패동 2-53,37.91701939,127.05329612,2409,2920,Y,주차장(지하1층),031-860-3172,동두천시청 상패동행정복지센터,2021-02-24
"동두천성당",공공용,경기도 동두천시 동광로 64,경기도 동두천시 생연동 613,37.90810473,127.05527225,734,947,Y,예배실(기타),031-860-3054,동두천시청 중앙동행정복지센터,2021-02-24
"동두천시노인복지관",공공용,경기도 동두천시 동두천로 264,경기도 동두천시 생연동 643-3,37.90517009,127.05621337,782,968,Y,지하식당(기타),031-860-3054,동두천시청 중앙동행정복지센터,2021-02-24
"동두천시청",공공용,경기도 동두천시 방죽로 23,경기도 동두천시 생연동 457-9,37.90360637,127.06030065,729,883,Y,대피시설(기타),031-860-3014,동두천시청 생연1동행정복지센터,2021-02-24
"동두천양주교육지원청",공공용,경기도 동두천시 중앙로 110-32,경기도 동두천시 지행동 722-11,37.89093459,127.05397421,1184,1435,Y,주차장(지하1층),031-860-3131,동두천시청 송내동행정복지센터,2021-02-24
"동양엔파트",공공용,경기도 동두천시 행선로20번길 43,경기도 동두천시 지행동 172,37.88919604,127.06385897,16074,19483,Y,주차장(지하2층),031-860-3094,동두천시청 불현동행정복지주민센터,2021-02-24
"동원베네스트",공공용,경기도 동두천시 이담로 89,경기도 동두천시 지행동 354,37.88878592,127.05832505,15208,18433,Y,주차장(지하1층),031-860-3094,동두천시청 불현동행정복지주민센터,2021-02-24
"동현프라자",공공용,경기도 동두천시 지행로 65,경기도 동두천시 지행동 695-3,37.89267661,127.05447821,937,1135,Y,주차장(지하1층),031-860-3131,동두천시청 송내동행정복지센터,2021-02-24
"메인프라자",공공용,경기도 동두천시 중앙로 112,경기도 동두천시 지행동 718,37.89147105,127.05249065,914,1107,Y,주차장(지하1층),031-860-3131,동두천시청 송내동행정복지센터,2021-02-24
"보산주공아파트(101동)",공공용,경기도 동두천시 동광로154번길 15,경기도 동두천시 생연동 531,37.91390436,127.06129569,905,1096,Y,창고(기타),031-860-3076,동두천시청 보산동행정복지주민센터,2021-02-24
"부영아파트1단지",공공용,경기도 동두천시 생연로 28,경기도 동두천시 지행동 691,37.89527895,127.04924246,18169,22023,Y,주차장(지하1층),031-860-3034,동두천시청 생연2동행정복지센터,2021-02-24
"부영아파트3단지",공공용,경기도 동두천시 생연로 28,경기도 동두천시 지행동 691,37.89527895,127.04924246,5540,6715,Y,주차장(지하1층),031-860-3131,동두천시청 송내동행정복지센터,2021-02-24
"부영아파트5단지",공공용,경기도 동두천시 동두천로 185,경기도 동두천시 생연동 715-1,37.89811545,127.05521498,10416,12625,Y,주차장(지하1층),031-860-3034,동두천시청 생연2동행정복지센터,2021-02-24
"부영아파트6단지",공공용,경기도 동두천시 생연로 72,경기도 동두천시 생연동 714-2,37.89892764,127.04978336,6933,6900,Y,주차장(지하1층),031-860-3034,동두천시청 생연2동행정복지센터,2021-02-24
"부영아파트9단지",공공용,경기도 동두천시 동두천로 137,경기도 동두천시 지행동 692-6,37.89387119,127.05501228,4339,5259,Y,주차장(지하1층),031-860-3131,동두천시청 송내동행정복지센터,2021-02-24
"삼성프라자",공공용,경기도 동두천시 중앙로 110-23,경기도 동두천시 지행동 719-2,37.89162778,127.05336626,1392,1687,Y,주차장(지하1층),031-860-3131,동두천시청 송내동행정복지센터,2021-02-24
"상패주공아파트",공공용,경기도 동두천시 어수로 29-16,경기도 동두천시 상패동 61,37.90491302,127.04749177,3960,4800,Y,보일러실(기타),031-860-3172,동두천시청 상패동행정복지센터,2021-02-24
"생연주공아파트",공공용,경기도 동두천시 중앙로 424,경기도 동두천시 생연동 163,37.91283881,127.06469078,2003,2427,Y,창고(기타),031-860-3014,동두천시청 생연1동행정복지센터,2021-02-24
"성경원",공공용,경기도 동두천시 평화로3208번길 43-22,경기도 동두천시 하봉암동 1,37.97446157,127.07010534,359,435,Y,예배실(기타),031-860-3153,동두천시청 소요동행정복지센터,2021-02-24
"성지에스앤비타워",공공용,경기도 동두천시 지행로 50,경기도 동두천시 지행동 718-2,37.89209058,127.05260569,3379,4095,Y,주차장(지하1층),031-860-3131,동두천시청 송내동행정복지센터,2021-02-24
"세아프라자상가",공공용,경기도 동두천시 큰시장로 64,경기도 동두천시 생연동 809,37.90071909,127.05059627,4168,6492,Y,"상가,주차장(지하2층)",031-860-3034,동두천시청 생연2동행정복지센터,2021-02-24
"소요동행정복지센터",공공용,경기도 동두천시 평화로 2706,경기도 동두천시 동두천동 262,37.92949061,127.05725262,241,292,Y,창고(기타),031-860-3153,동두천시청 소요동행정복지센터,2021-02-24
"송내주공아파트1단지",공공용,경기도 동두천시 지행로 16,경기도 동두천시 지행동 717-2,37.89217112,127.04907861,14520,17600,Y,주차장(지하1층),031-860-3131,동두천시청 송내동행정복지센터,2021-02-24
"송내주공아파트2단지",공공용,경기도 동두천시 동두천로 89,경기도 동두천시 지행동 722-8,37.88893254,127.05428684,4405,5339,Y,주차장(지하1층),031-860-3131,동두천시청 송내동행정복지센터,2021-02-24
"송내주공아파트3단지",공공용,경기도 동두천시 중앙로 41,경기도 동두천시 송내동 664-6,37.88559271,127.05092071,8661,10498,Y,주차장(지하1층),031-860-3131,동두천시청 송내동행정복지센터,2021-02-24
"송내주공아파트4단지",공공용,경기도 동두천시 동두천로 63,경기도 동두천시 송내동 665-6,37.88688713,127.05407538,7299,7299,Y,주차장(지하1층),031-860-3131,동두천시청 송내동행정복지센터,2021-02-24
"송내주공아파트5단지",공공용,경기도 동두천시 동두천로 27,경기도 동두천시 송내동 696-3,37.88396066,127.05390727,5649,6847,Y,주차장(지하1층),031-860-3131,동두천시청 송내동행정복지센터,2021-02-24
"시민회관 민방위 대피소",정부지원,경기도 동두천시 어수로 4,경기도 동두천시 상패동 122,37.90526294,127.04306322,271,110,N,대피소(지하1층),031-860-3172,동두천시청 상패동행정복지센터,2021-02-24
