"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"부천역 문예전시관",공공용,경기도 부천시 부천로 3 (심곡동),경기도 부천시 심곡동 498,37.48463918,126.7823195,363,440,Y,기타,032-625-5014,경기도 부천시,2021-07-29
"원미1동행정복지센터",공공용,경기도 부천시 부천로136번길 27 (원미동),경기도 부천시 원미동 71,37.49673274,126.7875117,330,400,Y,기타,032-625-5185,경기도 부천시,2021-07-29
"소사초등학교",공공용,"경기도 부천시 은성로 58 (소사본동, 소사초등학교)",경기도 부천시 소사본동 193,37.47361187,126.7973298,727.28,881,N,기타,032-625-6184,경기도 부천시,2021-07-29
"은행어린이공원",공공용,경기도 부천시 원미로149번길 4 (원미동),경기도 부천시 원미동 57,37.49618326,126.7908677,330,400,N,기타,032-625-5185,경기도 부천시,2021-07-29
"사랑마을청구아파트",공공용,경기도 부천시 장말로 137 (상동),경기도 부천시 상동 417,37.49484234,126.7565081,16364,19835,Y,기타,032-625-5353,경기도 부천시,2021-07-29
"태송팰리채아파트",공공용,"경기도 부천시 부광로41번길 64 (괴안동, 태송팰리채아파트 지상주차장)",경기도 부천시 괴안동 162-2,37.48232116,126.8171335,3141,3807,Y,기타,032-625-6354,경기도 부천시,2021-07-29
"세창짜임아파트",공공용,"경기도 부천시 역곡로20번길 62 (역곡동, 역곡세창짜임아파트)",경기도 부천시 역곡동 114,37.48776385,126.8142315,1366,1655,Y,기타,032-625-5185,경기도 부천시,2021-07-29
"동진아파트(성곡동)",공공용,경기도 부천시 소사로699번길 29 (원종동),경기도 부천시 원종동 378-1,37.51833767,126.8032905,704.14,853,Y,기타,032-625-7014,경기도 부천시,2021-07-29
"현대아파트 A가동,A나동",공공용,"경기도 부천시 소사로300번길 141 (역곡동, 역곡현대아파트)",경기도 부천시 역곡동 산 51-19,37.48478034,126.8011113,330,209,Y,기타,032-625-5185,경기도 부천시,2021-07-29
"현대아파트 B가동,B나동",공공용,"경기도 부천시 소사로300번길 141 (역곡동, 역곡현대아파트)",경기도 부천시 역곡동 산 51-19,37.48478034,126.8011113,330,209,Y,기타,032-625-5185,경기도 부천시,2021-07-29
"약대동 현대아파트",공공용,"경기도 부천시 신흥로321번길 27 (약대동, 현대아파트)",경기도 부천시 약대동 산 33-4,37.512059,126.7739203,1617,1960,Y,기타,032-625-5523,경기도 부천시,2021-07-29
"로얄아파트",공공용,"경기도 부천시 성지로 8 (작동, 로얄아파트)",경기도 부천시 작동 5,37.52060019,126.8129534,3593.4,4348,Y,기타,032-625-7014,경기도 부천시,2021-07-29
"월산장미아파트",공공용,경기도 부천시 삼작로 349 (여월동),경기도 부천시 여월동 2-16,37.52026627,126.8006625,3147.12,3808,Y,기타,032-625-7014,경기도 부천시,2021-07-29
"장애인복지회관",공공용,경기도 부천시 역곡로 367 (작동),경기도 부천시 작동 57,37.51751553,126.8138114,459.51,556,Y,기타,032-625-7014,경기도 부천시,2021-07-29
"아남아파트 지하주차장",공공용,경기도 부천시 심곡로 83 (심곡본동),경기도 부천시 심곡본동 819-4,37.47679191,126.7754159,1182,1432,Y,기타,032-625-6013,경기도 부천시,2021-07-29
"복사골 건영2차아파트",공공용,"경기도 부천시 중동로 166 (중동, 복사골마을건영아이숲,건영캐스빌아파트)",경기도 부천시 중동 1186,37.49355378,126.7674921,2957,3584,Y,기타,032-625-5523,경기도 부천시,2021-07-29
"새부천감리교회",공공용,경기도 부천시 부천로122번길 48 (원미동),경기도 부천시 원미동 100-3,37.49459813,126.7879393,330,400,Y,기타,032-625-5185,경기도 부천시,2021-07-29
"포도마을 뉴서울아파트",공공용,경기도 부천시 소향로 124 (중동),경기도 부천시 중동 1171,37.50094204,126.7613594,9907,12008,Y,기타,032-625-5523,경기도 부천시,2021-07-29
"무지개마을 LG아파트",공공용,경기도 부천시 중동로 187 (중동),경기도 부천시 중동 1175-2,37.49660931,126.7671034,5768,6991,Y,기타,032-625-5523,경기도 부천시,2021-07-29
"무지개마을 동신아파트",공공용,경기도 부천시 조마루로 212 (중동),경기도 부천시 중동 1176-2,37.49849042,126.7666874,8514,10320,Y,기타,032-625-5523,경기도 부천시,2021-07-29
"미리내마을 삼성,은하수 아파트",공공용,경기도 부천시 소향로 206 (중동),경기도 부천시 중동 1178,37.50070416,126.7711881,9125,11060,Y,기타,032-625-5523,경기도 부천시,2021-07-29
"미리내마을 롯데아파트",공공용,경기도 부천시 조마루로 271 (중동),경기도 부천시 중동 1180-1,37.49836242,126.7742671,8481,10280,Y,기타,032-625-5523,경기도 부천시,2021-07-29
"미리내마을 동성아파트",공공용,경기도 부천시 조마루로 231 (중동),경기도 부천시 중동 1181,37.49977059,126.7694067,11378,13791,Y,기타,032-625-5523,경기도 부천시,2021-07-29
"그린타운 한신아파트",공공용,경기도 부천시 부흥로 237 (중동),경기도 부천시 중동 1183,37.49636696,126.7688589,10514,12744,Y,기타,032-625-5523,경기도 부천시,2021-07-29
"그린타운 삼성 우성아파트",공공용,경기도 부천시 중동로 204 (중동),경기도 부천시 중동 1182,37.49810777,126.7692154,12250,14848,Y,기타,032-625-5523,경기도 부천시,2021-07-29
"꿈마을 동아아파트",공공용,경기도 부천시 옥산로 75 (중동),경기도 부천시 중동 1103,37.50025804,126.778835,2393,2900,Y,기타,032-625-5523,경기도 부천시,2021-07-29
