"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"두산아파트(지하주차장)",공공용,"경기도 성남시 수정구 공원로 360 (신흥동, 두산아파트)",경기도 성남시 수정구 신흥동 2024번지 두산아파트,37.4455810532,127.1493752892,4559,5526,Y,,,수정구청,2021-05-31
"통보아파트",공공용,"경기도 성남시 수정구 논골로 34, 106호 (통보아파트)",경기도 성남시 수정구 양지동 743-1번지 통보아파트 106호,37.4571998465,127.1596706755,559,678,N,,,수정구청,2021-05-31
"고등동복지회관",공공용,"경기도 성남시 수정구 대왕판교로976번길 9-5 (고등동, 고등동복지회관)",경기도 성남시 수정구 고등동 396-9번지 고등동복지회관,37.4279519980,127.1029135041,291,353,Y,,,수정구청,2021-05-31
"삼부아파트(101동)",공공용,"경기도 성남시 수정구 모란로 65, 101동 (수진동, 삼부아파트)",경기도 성남시 수정구 수진동 4663번지 삼부아파트 101동,37.4389053819,127.1235111209,20595,34921,Y,,,수정구청,2021-05-31
"동서울대학 주차장(지하2층)",공공용,"경기도 성남시 수정구 복정로 76 (복정동, 동서울대학)",경기도 성남시 수정구 복정동 산42번지 동서울대학,37.4582854421,127.1288443914,9394,11387,Y,,,수정구청,2021-05-31
"성남지하상가",공공용,경기도 성남시 수정구 산성대로 239,경기도 성남시 수정구 신흥동 4225번지,37.4397225524,127.1438688531,12688,15379,Y,,,수정구청,2021-05-31
"한신프라자(지하1층)",공공용,"경기도 성남시 수정구 산성대로 331 (신흥동, 한신프라자)",경기도 성남시 수정구 신흥동 2463-4번지 한신프라자,37.4437411112,127.1528146613,10694,12962,Y,,,수정구청,2021-05-31
"모란지하철역사",공공용,경기도 성남시 수정구 산성대로 지하 100 (수진동),경기도 성남시 수정구 수진동 4518번지,37.4338501673,127.1295511657,11074,13423,Y,,,수정구청,2021-05-31
"신흥역",공공용,경기도 성남시 수정구 산성대로 지하 264-1 (신흥동),경기도 성남시 수정구 신흥동 2467번지,37.4405896654,127.1462372994,5825,7061,Y,,,수정구청,2021-05-31
"태평지하철역사",공공용,경기도 성남시 수정구 성남대로 1228 (수진동),경기도 성남시 수정구 수진동 2997번지,37.4395035652,127.1281662841,7471,9056,Y,,,수정구청,2021-05-31
"가천대학교(전자정보도서관)",공공용,경기도 성남시 수정구 성남대로 1342-0 (복정동),경기도 성남시 수정구 복정동 620-2번지,37.450698,127.1283583,7831,9492,N,,,수정구청,2021-05-31
"맑은물관리사업소(정수과)",공공용,경기도 성남시 수정구 성남대로1416번길 22 (복정동),경기도 성남시 수정구 복정동 515번지,37.45637348,127.1291919,2866,3474,N,,,수정구청,2021-05-31
"산성종합사회복지관",공공용,"경기도 성남시 수정구 수정남로306번길 15-16 (산성동, 산성종합사회복지관)",경기도 성남시 수정구 산성동 563번지 산성종합사회복지관,37.4557064660,127.1537926894,240,291,Y,,,수정구청,2021-05-31
"낙원스카이뷰",공공용,"경기도 성남시 수정구 수정로 131 (태평동, 낙원스카이뷰)",경기도 성남시 수정구 태평동 3659번지 낙원스카이뷰,37.4420517165,127.1346567347,2932,3554,Y,,,수정구청,2021-05-31
"동일빌딩",공공용,"경기도 성남시 수정구 수정로 175 (태평동, 동일빌딩)",경기도 성남시 수정구 태평동 7288-6번지 동일빌딩,37.4434432386,127.1392483355,317,368,Y,,,수정구청,2021-05-31
"삼정그린뷰아파트(101동)",공공용,"경기도 성남시 수정구 수정로 2, 101동 (수진동, 삼정그린뷰)",경기도 성남시 수정구 수진동 4678번지 삼정그린뷰 101동,37.4396151700,127.1211912958,2398,2925,Y,,,수정구청,2021-05-31
"코펙스빌딩",공공용,경기도 성남시 수정구 심곡로 42,경기도 성남시 수정구 심곡동 343번지,37.4504397923,127.1011499659,224.82,273,N,,,수정구청,2021-05-31
"옛골경로당",공공용,"경기도 성남시 수정구 옛골로 24 (상적동, 상적제일경로당)",경기도 성남시 수정구 상적동 332-1번지 상적제일 경로당,37.4271230360,127.0693052622,98.63,120,Y,,,수정구청,2021-05-31
