"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"태영아파트 지하주차장",공공용,경기도 수원시 장안구 영화로25번길 22,경기도 수원시 장안구 영화동 418,37.28904192,127.0080099,1237,1499,Y,주자창,031-228-2164,수원시청,2021-04-28
"목화아파트 지하주차장",공공용,경기도 수원시 장안구 창훈로 57-11,경기도 수원시 장안구 연무동 214,37.29679624,127.0299732,1709,2072,Y,주자창,031-228-2164,수원시청,2021-04-28
"유천프라자 가동 지하주차장",공공용,경기도 수원시 장안구 창훈로66번길 11-3,경기도 수원시 장안구 연무동 21,37.29793904,127.028449,1478,1792,Y,주자창,031-228-2164,수원시청,2021-04-28
"익주아파트 지하주차장",공공용,경기도 수원시 장안구 월드컵로 410,경기도 수원시 장안구 연무동 248-17,37.29268817,127.0276179,1155,1400,Y,주자창,031-228-2164,수원시청,2021-04-28
"청호아파트 지하주차장",공공용,경기도 수원시 장안구 창훈로20번길 30,경기도 수원시 장안구 연무동 244-1,37.29412456,127.0324064,1145,1388,Y,주자창,031-228-2164,수원시청,2021-04-28
"화성아파트 지하주차장 1층",공공용,경기도 수원시 장안구 경수대로878번길 9-6,경기도 수원시 장안구 조원동 761-5,37.29942583,127.0131604,792,960,Y,주자창,031-228-2164,수원시청,2021-04-28
"화남2차아파트 지하주차장",공공용,경기도 수원시 장안구 파장천로44번길 33,경기도 수원시 장안구 파장동 470,37.30913295,126.9980041,2055,2491,Y,주자창,031-228-2164,수원시청,2021-04-28
"익주아파트 지하주차장",공공용,경기도 수원시 장안구 파장천로 57,경기도 수원시 장안구 파장동 281,37.31044527,126.9964398,1883,2282,Y,주자창,031-228-2164,수원시청,2021-04-28
"동진아파트 지하주차장",공공용,경기도 수원시 장안구 수일로 13,경기도 수원시 장안구 파장동 213-5,37.31138096,126.9933867,2670,3236,Y,주자창,031-228-2164,수원시청,2021-04-28
"신일아파트 지하 공용주차장",공공용,경기도 수원시 장안구 화산로 263,경기도 수원시 장안구 율전동 496-2,37.29936616,126.9675682,1485,1800,Y,주자창,031-228-2164,수원시청,2021-04-28
"화남아파트 지하 공용주차장",공공용,경기도 수원시 장안구 화산로285번길 12,경기도 수원시 장안구 율전동 334-49,37.30028647,126.9644078,511,619,Y,주자창,031-228-2164,수원시청,2021-04-28
"늘푸른벽산아파트 지하 공용주차장",공공용,경기도 수원시 장안구 율전로101번길 40,경기도 수원시 장안구 율전동 496-7,37.29894416,126.966767,396,480,Y,주자창,031-228-2164,수원시청,2021-04-28
"삼성1단지아파트 지하 공용주차장",공공용,경기도 수원시 장안구 서부로 2065,경기도 수원시 장안구 율전동 468,37.29109887,126.9692623,7638,9258,Y,주자창,031-228-2164,수원시청,2021-04-28
"삼성2단지아파트 지하 공용주차장",공공용,경기도 수원시 장안구 서부로 2067,경기도 수원시 장안구 율전동 419,37.29342323,126.9687198,7128,8640,Y,주자창,031-228-2164,수원시청,2021-04-28
"꽃뫼노을마을장안아파트 221동 지하주차장",공공용,경기도 수원시 장안구 덕영대로639번길 70,경기도 수원시 장안구 정자동 900-1,37.29092818,126.9900448,4501,5456,Y,주자창,031-228-2164,수원시청,2021-04-28
"꽃뫼노을마을신안아파트 지하주차장(243동 앞)",공공용,경기도 수원시 장안구 대평로51번길 22,경기도 수원시 장안구 정자동 883-6,37.29307795,126.9937481,5234,6344,Y,주자창,031-228-2164,수원시청,2021-04-28
"꽃뫼노을마을한국아파트 지하주차장(이화어린이집 앞)",공공용,경기도 수원시 장안구 대평로51번길 56,경기도 수원시 장안구 정자동 882-5,37.29224942,126.9917689,7590,9200,Y,주자창,031-228-2164,수원시청,2021-04-28
"꽃뫼노을마을 대동아파트 지하주차장(231동 앞)",공공용,경기도 수원시 장안구 대평로39번길 8,경기도 수원시 장안구 정자동 888-3,37.29202376,126.9941873,5379,6520,Y,주자창,031-228-2164,수원시청,2021-04-28
"영광아파트 지하주차장",공공용,경기도 수원시 장안구 만석로 250-9,경기도 수원시 장안구 송죽동 86-1,37.30804535,127.0040205,2626,3183,Y,주자창,031-228-2164,수원시청,2021-04-28
"삼우아파트 외부 지하주차장",공공용,경기도 수원시 장안구 정조로1088번길 18-22,경기도 수원시 장안구 송죽동 458-6,37.30209193,127.0042187,471,571,Y,주자창,031-228-2164,수원시청,2021-04-28
"동진아파트 101동 지층",공공용,경기도 수원시 장안구 정조로1060번길 5,경기도 수원시 장안구 송죽동 465,37.30124692,127.0045957,564,684,Y,주자창,031-228-2164,수원시청,2021-04-28
"동진아파트 102동 지층",공공용,경기도 수원시 장안구 정조로1060번길 5,경기도 수원시 장안구 송죽동 465,37.30124692,127.0045957,564,684,Y,주자창,031-228-2164,수원시청,2021-04-28
"현대아파트(302동, 303동, 307동)지하 주차장",공공용,경기도 수원시 장안구 하률로46번길 17,경기도 수원시 장안구 천천동 568,37.30269384,126.9785128,999,1211,Y,주자창,031-228-2164,수원시청,2021-04-28
"신안한일아파트101동~104동, 106동 지하주차장",공공용,경기도 수원시 장안구 하률로30번길 22,경기도 수원시 장안구 천천동 564,37.30262712,126.9751045,693,840,Y,주자창,031-228-2164,수원시청,2021-04-28
"삼호진덕아파트 201동~212동 지하주차장",공공용,경기도 수원시 장안구 하률로46번길 22,경기도 수원시 장안구 천천동 565-1,37.30267863,126.9776435,990,1200,Y,주자창,031-228-2164,수원시청,2021-04-28
"일성아파트 (502동, 505동) 지하주차장",공공용,경기도 수원시 장안구 정자로19번길 18,경기도 수원시 장안구 천천동 569,37.30069288,126.9794101,198,240,Y,주자창,031-228-2164,수원시청,2021-04-28
"동신아파트 201동 지하실",공공용,경기도 수원시 장안구 장안로 211,경기도 수원시 장안구 정자동 395-3,37.30148663,126.9941413,660,800,Y,지하시설,031-228-2164,수원시청,2021-04-28
