"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"청구1차아파트",공공용,경기도 시흥시 은행로 189,경기도 시흥시 대야동 570-1,37.44680095,126.7964429,3247,3936,Y,지하주차장,031-314-0432,관리사무소,2020-12-18
"청구2차아파트",공공용,경기도 시흥시 비둘기공원7길 37,경기도 시흥시 대야동 548,37.44243861,126.7935347,6811,8256,Y,지하주차장,031-314-0432,관리사무소,2020-12-18
"서해아파트",공공용,경기도 시흥시 비둘기공원7길 19,경기도 시흥시 대야동 563,37.44414066,126.7940725,4501,5456,Y,지하주차장,031-318-1087,관리사무소,2020-12-18
"우성1차아파트",공공용,경기도 시흥시 은행로 222,경기도 시흥시 대야동 567-2,37.44643825,126.7930491,3894,4720,Y,지하주차장,031-314-8859,관리사무소,2020-12-18
"우성2차아파트",공공용,경기도 시흥시 은행로 208,경기도 시흥시 대야동 569-1,37.44786532,126.7950387,2719,3296,Y,지하주차장,031-313-0422,관리사무소,2020-12-18
"서강1차아파트",공공용,경기도 시흥시 은행로218번길 4,경기도 시흥시 대야동 568-4,37.4468062,126.7924423,488,592,Y,지하주차장,031-312-9604,관리사무소,2020-12-18
"서강2차아파트",공공용,경기도 시흥시 은행로 230,경기도 시흥시 대야동 564,37.44560415,126.7942131,6547,7936,Y,지하주차장,031-318-2624,관리사무소,2020-12-18
"늘푸른벽산아파트",공공용,경기도 시흥시 은행로 233,경기도 시흥시 대야동 570-2,37.44596147,126.7945105,4435,5376,Y,지하주차장,031-314-3416,관리사무소,2020-12-18
"한신아파트",공공용,경기도 시흥시 서해안로 1670번길 12,경기도 시흥시 대야동 288,37.4503245,126.7936667,1280,1552,Y,지하주차장,031-315-1666,관리사무소,2020-12-18
"극동아파트",공공용,경기도 시흥시 소래산길 6,경기도 시흥시 대야동 332-13,37.4482995615,126.7861638,6138,7440,Y,지하주차장,031-315-5635,관리사무소,2020-12-18
"실내체육관",공공용,경기도 시흥시 서해안로 1589,경기도 시흥시 대야동 377-27,37.44771384,126.7848211,1960,2376,Y,지하주차장,031-311-8235,경기도 시흥시청,2020-12-18
"동신아파트",공공용,경기도 시흥시 대은로 103번길 4,경기도 시흥시 대야동 639,37.44673606,126.798536,7243,8779,Y,지하주차장,031-318-8338,관리사무소,2020-12-18
"청소년수련관",공공용,경기도 시흥시 은행로 179,경기도 시흥시 대야동 571-2,37.4460191,126.796906,1694,2053,Y,지하주차장,031-318-7800,경기도 시흥시청,2020-12-18
"시흥전화국",공공용,경기도 시흥시 신천로44번안길 15,경기도 시흥시 신천동 773-3,37.43757128,126.7884091,496,601,Y,지하주차장,031-315-0577,KT,2020-12-18
"상아아파트",공공용,경기도 시흥시 신천8길 19,경기도 시흥시 신천동 827-1,37.43634626,126.7787674,995,1206,Y,지하주차장,031-314-5672,관리사무소,2020-12-18
"한신아파트",공공용,경기도 시흥시 시흥대로1073번지 39,경기도 시흥시 신천동 871-4,37.4321527566,126.7886115298,1322,1602,Y,지하주차장,031-312-8307,관리사무소,2020-12-18
"경남아너스빌아파트",공공용,경기도 시흥시 시흥대로 1117,경기도 시흥시 신천동 943-1,37.43525937,126.791507,11800,14303,Y,지하주차장,031-435-0963,관리사무소,2020-12-18
"익스콘테크노빌공장형아파트",공공용,경기도 시흥시 포도원로116번길 12,경기도 시흥시 신천동 862-8,37.4342823,126.7873424,2141,2595,Y,지하주차장,031-318-6182,관리사무소,2020-12-18
"은하수아파트",공공용,경기도 시흥시 신천5길 15,경기도 시흥시 신천동 833-9,37.43761509,126.7808066,2400,2909,Y,지하주차장,031-314-6868,관리사무소,2020-12-18
"푸르지오5차아파트",공공용,경기도 시흥시 복지로 15,경기도 시흥시 신천동 709-32,37.44168018,126.7865623,24435,29618,Y,지하주차장,031-312-8243,관리사무소,2020-12-18
"삼환나우빌아파트",공공용,경기도 시흥시 시흥대로 1144,경기도 시흥시 신천동 949,37.43613901,126.7916492,17000,20606,Y,지하주차장,031-404-4510,관리사무소,2020-12-18
"태산아파트",공공용,경기도 시흥시 신현로38번길 15,경기도 시흥시 포동 13-3,37.40681377,126.7841945,8992,10899,Y,지하주차장,031-315-1079,관리사무소,2020-12-18
"상아그린아파트",공공용,경기도 시흥시 미산로69번길 4,경기도 시흥시 미산동 82-14,37.42234478,126.7970062,2423,2937,Y,지하주차장,031-314-4746,관리사무소,2020-12-18
"서강아파트",공공용,경기도 시흥시 신현로12번길 30,경기도 시흥시 포동 1-63,37.40885185,126.7851691,2570,3116,Y,지하주차장,031-315-0877,관리사무소,2020-12-18
"해가든아파트",공공용,경기도 시흥시 미산로100번길 11,경기도 시흥시 미산동 350-15,37.42054339,126.7952894,17074,20696,Y,지하주차장,031-311-8900,관리사무소,2020-12-18
"태헌3차아파트",공공용,경기도 시흥시 신현로12번길 8-1,경기도 시흥시 포동 1-71,37.40877492,126.7864794,1101,1335,Y,지하주차장,031-315-0332,관리사무소,2020-12-18
"경신아파트",공공용,경기도 시흥시 미산로 85-2,경기도 시흥시 미산동 64,37.42049236,126.7970507,1547,1875,Y,지하주차장,031-314-4570,관리사무소,2020-12-18
"녹원아파트",공공용,경기도 시흥시 검바위2로 지하18,경기도 시흥시 은행동 289-33,37.4310523631,126.7960574389,5358,6495,Y,지하주차장,031-318-2138,관리사무소,2020-12-18
"대우3차아파트1단지",공공용,경기도 시흥시 은행로 107,경기도 시흥시 은행동 550,37.44127762,126.7974206,13170,15964,Y,지하주차장,031-318-7277,관리사무소,2020-12-18
"풍림아파트",공공용,경기도 시흥시 수인로3247번길 62,경기도 시흥시 은행동 250-5,37.43300615,126.797358,3116,3777,Y,지하주차장,031-404-3310,관리사무소,2020-12-18
"타원예스라이프아파트",공공용,경기도 시흥시 은행로65번길 4-1,경기도 시흥시 은행동 105-13,37.43841254,126.7954125,4302,5215,Y,지하주차장,031-404-6225,관리사무소,2020-12-18
"두산아파트",공공용,경기도 시흥시 대은로104번길 25,경기도 시흥시 은행동 542,37.44362228,126.8007321,8754,10611,Y,지하주차장,031-318-2234,관리사무소,2020-12-18
"대우푸르지오4차아파트",공공용,경기도 시흥시 은행로 93-1,경기도 시흥시 은행동 599-1,37.43940519,126.7963047,41770,50630,Y,지하주차장,031-314-4827,관리사무소,2020-12-18
"삼성홈타운아파트",공공용,경기도 시흥시 검바위1로 19,경기도 시흥시 은행동 289-11,37.43129246,126.7942252,1256,1522,Y,지하주차장,031-314-2273,관리사무소,2020-12-18
"홍익아파트",공공용,경기도 시흥시 매화우회로 37,경기도 시흥시 매화동 367,37.41806805,126.8108312,1492,1809,Y,지하주차장,031-318-1311,관리사무소,2020-12-18
"동진아파트",공공용,경기도 시흥시 매화로 41,경기도 시흥시 매화동 194-1,37.415411,126.815266,1287,1560,Y,지하주차장,031-313-5462,관리사무소,2020-12-18
