"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"대동연립(지하주차장)",공공용,,"경기도 안산시 단원구 고잔동 609, 대동정원빌라",37.3310127885,126.8260117360,330.58,400,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"안산문화예술의 전당(지하주차장)",공공용,경기도 안산시 단원구 화랑로 312,경기도 안산시 단원구 고잔동 817,37.3184264748,126.8231075137,12671,15358,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"안산중앙노블레스",공공용,,"경기도 안산시 단원구 고잔동 534-3,안산중앙노블레스",37.3186908436,126.8365186116,5115,6200,Y,상가시설,031-481-3159,안산시청,2020-01-31
"동서코아앞 지하도",공공용,경기도 안산시 단원구 중앙대로 921,"경기도 안산시 단원구 고잔동 541-1,동서코아",37.3171184,126.8389416,529,641,Y,교통시설,031-481-3159,안산시청,2020-01-31
"라성연립 지하주차장",공공용,,"경기도 안산시 단원구 고잔동 648, 라성빌라",37.3288867304,126.8387424545,264,320,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"영풍맘모스프라자",공공용,경기도 안산시 단원구 고잔로 76,"경기도 안산시 단원구 고잔동 533-3, 영풍빌딩",37.3188056,126.8348541,13151,15940,Y,상가시설,031-481-3159,안산시청,2020-01-31
"거풍스카이팰리스",공공용,,"경기도 안산시 단원구 고잔동 530-2, 거풍스카이팰리스",37.3183075212,126.8330176112,2890,3503,Y,상가시설,031-481-3159,안산시청,2020-01-31
"중앙하이츠빌",공공용,,"경기도 안산시 단원구 고잔동 539-10,중앙하이츠빌",37.3182187623,126.8418499,1235,1496,Y,아파트 지하공간,031-481-3159,안산시청,2020-01-31
"네오빌주공아파트(지하주차장)",공공용,,"경기도 안산시 단원구 고잔동 767,네오빌주공아파트",37.3098310633,126.8333476982,5049,6120,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"그린빌주공7단지아파트(지하주차장)",공공용,,"경기도 안산시 단원구 고잔동 776,그린빌주공7단지아파트",37.3084361268,126.8332515112,3076,3728,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"보네르빌리지아파트(지하주차장)",공공용,,"경기도 안산시 단원구 고잔동 778,보네르빌리지아파트",37.3090957693,126.8399701772,3248,3936,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"양지마을아파트(지하주차장)",공공용,,"경기도 안산시 단원구 고잔동 780, 양지마을아파트",37.3067735005,126.8364531606,2626,3183,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"고잔1차푸르지오아파트(지하주차장)",공공용,,"경기도 안산시 단원구 고잔동 781,고잔1차푸르지오아파트",37.3070545958,126.8326749489,5077,6153,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"그린빌주공8단지아파트(지하주차장)",공공용,,"경기도 안산시 단원구 고잔동 766, 그린빌주공8단지아파트",37.3117188950,126.8380092231,3325,4030,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"안산고잔4차푸르지오(지하주차장)",공공용,,"경기도 안산시 단원구 고잔동 702, 안산고잔4차푸르지오",37.3147583556,126.8260767313,6017,7293,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"안산고잔3차푸르지오(지하주차장)",공공용,,"경기도 안산시 단원구 고잔동 728, 안산고잔3차푸르지오",37.3139776712,126.8332554038,6094,7386,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"단원마을아파트(지하주차장)",공공용,,"경기도 안산시 단원구 고잔동 714, 단원마을아파트",37.3090173013,126.8263647437,1923,2330,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"안산고잔5차푸르지오(지하주차장)",공공용,,"경기도 안산시 단원구 고잔동 712, 안산고잔5차푸르지오",37.3109845655,126.8235265392,4678,5670,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"호수공원대림아파트(지하주차장)",공공용,,"경기도 안산시 단원구 고잔동 720, 호수공원대림아파트",37.3069033615,126.8226427042,10670,12933,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"그린빌주공9단지아파트(지하주차장)",공공용,,"경기도 안산시 단원구 고잔동 765, 그린빌주공9단지아파트",37.3107967212,126.8412259325,4567,5535,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"안산레이크타운푸르지오(지하주차장)",공공용,,"경기도 안산시 단원구 고잔동 782, 안산레이크타운푸르지오",37.3069386018,126.8319734133,7380,8945,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"성문교회(지하)",공공용,경기도 안산시 단원구 관산2길 27,경기도 안산시 단원구 원곡동 773,37.3309024,126.7971067,264.46,320,Y,종교시설,031-481-3159,안산시청,2020-01-31
"삼익아파트 지하주차장(103동앞)",공공용,경기도 안산시 단원구 신각길 122,경기도 안산시 단원구 신길동 1439,37.33650859,126.7763884,26181.94,31735,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"두산아파트 지하주차장(101동앞)",공공용,,"경기도 안산시 단원구 신길동 1445, 두산위브아파트",37.3367845224,126.775279,6016.04,7292,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"휴먼빌아파트(105동앞)",공공용,,"경기도 안산시 단원구 신길동 1446, 안산신길온천역휴먼빌아파트",37.3375393156,126.7722063248,8675,10515,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"휴먼빌2차아파트(209동옆)",공공용,,"경기도 안산시 단원구 신길동 1447, 안산신길온천역휴먼빌2차아파트",37.3372190301,126.7747161722,18439,22350,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"휴먼시아3단지(지하주차장) 105동",공공용,,경기도 안산시 단원구 신길동 1518(휴먼시아),37.3367163900,126.7834743784,7167,8687,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"휴먼시아6단지(609동 지하주차장)",공공용,,경기도 안산시 단원구 신길동 1563(휴먼시아),37.3374288332,126.7888076552,9928,12033,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"휴먼시아7단지(708동앞 지하주차장)",공공용,,경기도 안산시 단원구 신길동 1574(휴먼시아),37.3344781210,126.7894026884,7100.52,8606,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"휴먼시아9단지(902동 지하주차장)",공공용,,경기도 안산시 단원구 신길동 1684(휴먼시아),37.3330115363,126.7855522155,7670.24,8236,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"휴먼시아5단지아파트(506동 지하주차장)",공공용,,경기도 안산시 단원구 신길동 1561(휴먼시아),37.3386519791,126.7885547256,8300,10060,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"휴먼시아2단지(지하주차장)",공공용,,경기도 안산시 단원구 신길동 1509(휴먼시아),37.33464436,126.7777614362,14181.52,17189,Y,아파트 지하주차장,031-481-3159,안산시청,2020-01-31
"안산역 지하보도",공공용,경기도 안산시 단원구 중앙대로 462,경기도 안산시 단원구 원곡동 325-12,37.3279761125,126.7872905862,365.5,443,Y,교통시설,031-481-3159,안산시청,2020-01-31
