"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"공도읍사무소",공공용,경기도 안성시 공도읍 공도4로 8,,37.0010464,127.1725189,2600,3152,Y,주차장,031-678-2983,경기도 안성시,2021-03-15
"대림전원 전원빌라",공공용,경기도 안성시 공도읍 장미길 12,경기도 안성시 공도읍 마정리 100-48,37.011987,127.2045265,992,1202,Y,주차장,031-678-2983,경기도 안성시,2021-03-15
"산수화아파트",공공용,경기도 안성시 공도읍 벚꽃길 73,,37.0023140436,127.1528865557,196,238,Y,주차장,031-678-2983,경기도 안성시,2021-03-15
"송정그린빌아파트",공공용,경기도 안성시 공도읍 양기길 46,경기도 안성시 공도읍 양기리 567,37.0054787205,127.2010037,7801,9456,Y,주차장,031-678-2983,경기도 안성시,2021-03-15
"부영아파트",공공용,경기도 안성시 공도읍 만수로 31,경기도 안성시 공도읍 만정리 707-1,37.0088961,127.1837276,4228,5125,Y,주차장,031-678-2983,경기도 안성시,2021-03-15
"우림아파트",공공용,경기도 안성시 공도읍 진사길 27,경기도 안성시 공도읍 진사리 20-14,36.9917957,127.1397958,4442,5384,Y,주차장,031-678-2983,경기도 안성시,2021-03-15
"공도주은청설아파트",공공용,,경기도 안성시 공도읍 진사리 36-1,36.9910953256,127.1390158566,9101,11032,Y,주차장,031-678-2983,경기도 안성시,2021-03-15
"쌍용아파트",공공용,경기도 안성시 공도읍 진건중길 15-13,경기도 안성시 공도읍 진사리 644,36.9929248,127.1450282,25034,30344,Y,주차장,031-678-2983,경기도 안성시,2021-03-15
"태산1차아파트",공공용,,경기도 안성시 공도읍 용두리 683,37.0017017015,127.1530010473,3086,3741,Y,주차장,031-678-2983,경기도 안성시,2021-03-15
"우림루미아트아파트",공공용,경기도 안성시 공도읍 진건중길 15-10,경기도 안성시 공도읍 진사리 643,36.9932369,127.1432674,5131,6219,Y,주차장,031-678-2983,경기도 안성시,2021-03-15
"주은풍림아파트",공공용,경기도 안성시 공도읍 서동대로 4079,경기도 안성시 공도읍 용두리 752,36.9982956,127.1588295,9911,12013,Y,주차장,031-678-2983,경기도 안성시,2021-03-15
"베르빌아파트",공공용,경기도 안성시 공도읍 장미길 32,경기도 안성시 공도읍 마정리 561,37.0126281,127.2068699,1481,1795,Y,주차장,031-678-2983,경기도 안성시,2021-03-15
"한일타운아파트",공공용,경기도 안성시 공도읍 공도로 150,경기도 안성시 공도읍 만정리 709-1,37.0016904,127.1770098,1673,2028,Y,주차장,031-678-2983,경기도 안성시,2021-03-15
