"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"안양중앙지하상가",공공용,"경기도 안양시 만안구 안양로 지하 301 (안양동, 중앙지하상가)",,37.3991239215,126.9211513062,2310,2800,Y,상업시설,031-8045-3765,만안구 안양1동,2020-08-14
"안양역전지하상가",공공용,"경기도 안양시 만안구 만안로 지하 231 (안양동, 일번가지하쇼핑몰)",,37.4007930018,126.9217368472,15794,19144,Y,상업시설,031-8045-3765,만안구 안양1동,2020-08-14
"안양1동 행정복지센터",공공용,"경기도 안양시 만안구 장내로 170 (안양동, 안양1동주민센터)",,37.3991017637,126.9258992347,570,690,Y,관공서,031-8045-3765,만안구 안양1동,2020-08-14
"안양1동 주공뜨란채아파트",공공용,"경기도 안양시 만안구 안양천서로 289 (안양동, 주공뜨란채)",,37.4004937478,126.9271989318,17988,21803,Y,주거시설,031-8045-3765,만안구 안양1동,2020-08-14
"만안초교앞 지하도",공공용,"경기도 안양시 만안구 안양로384번길 4 (안양동, 커뮤니티뷰)",,37.4052476257,126.9164372575,330,400,Y,지하보도,031-8045-3614,만안구 안양2동,2020-08-14
"안양2동 행정복지센터",공공용,경기도 안양시 만안구 안양로384번길 50 (안양동),,37.4050864205,126.9178334588,327,396,Y,관공서,031-8045-3614,만안구 안양2동,2020-08-14
"안양2동 경남아너스빌아파트",공공용,경기도 안양시 만안구 태평로 214 (안양동),,37.4063743984,126.9197566984,7244,8780,Y,주거시설,031-8045-3614,만안구 안양2동,2020-08-14
"안양2동 삼성아파트",공공용,경기도 안양시 만안구 예술공원로 59 (삼성아파트),,37.4133239693,126.9158770458,3181,3855,Y,주거시설,031-8045-3614,만안구 안양2동,2020-08-14
"안양2동 미래엠피아아파트",공공용,경기도 안양시 만안구 만안로 272 (안양동),,37.4042337622,126.9200345683,6460,7830,Y,주거시설,031-8045-3614,만안구 안양2동,2020-08-14
"안양2동 영화아이닉스아파트",공공용,경기도 안양시 만안구 만안로 368 (안양동),,37.4112254553,126.9145645847,2439,2956,Y,주거시설,031-8045-3614,만안구 안양2동,2020-08-14
"안양월드",공공용,"경기도 안양시 만안구 안양로329번길 108 (안양동, 안양월드)",,37.4013312119,126.9131346897,10124,12271,Y,상업시설,031-8045-3629,만안구 안양3동,2020-08-14
"안양3동 성원1차아파트",공공용,"경기도 안양시 만안구 병목안로 81 (안양동, 성원1차아파트)",,37.3947541876,126.9137250056,4049,4907,Y,주거시설,031-8045-3629,만안구 안양3동,2020-08-14
"안양3동 정우아파트",공공용,"경기도 안양시 만안구 양화로 53 (안양동, 정우아파트)",,37.3984041845,126.9124423777,564,683,Y,주거시설,031-8045-3629,만안구 안양3동,2020-08-14
2001 아울렛,공공용,"경기도 안양시 만안구 안양로 275 (안양동, 2001아울렛)",,37.3967606451,126.9226716189,4950,6000,Y,상업시설,031-8045-3631,만안구 안양4동,2020-08-14
"안양중앙성당",공공용,"경기도 안양시 만안구 장내로 116 (안양동, 천주교수원교구중앙성당)",,37.3960927091,126.9208879591,3636,4407,Y,종교시설,031-8045-3631,만안구 안양4동,2020-08-14
"서안양우체국 앞 지하보도",공공용,"경기도 안양시 만안구 안양로 225 (안양동, KT서안양지점)",,37.3932592524,126.9254442359,149,180,Y,관공서,031-8045-3641,만안구 안양5동,2020-08-14
"안양초교 운동장 지하",공공용,"경기도 안양시 만안구 현충로28번길 54 (안양동, 안양초등학교)",,37.3941798485,126.9279503795,660,800,Y,교육시설,031-8045-3641,만안구 안양5동,2020-08-14
