"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"일성트루엘아파트",공공용,"경기도 양주시 덕정길 105(덕정동,일성트루엘)","경기도 양주시 덕정동 536, 일성트루엘",37.84285997,127.067635,9002,12000,Y,주차장,031-8082-7785,경기도 양주시 회천1동주민센터,2021-04-18
"남면농협",공공용,경기도 양주시 남면 개나리길 101,경기도 양주시 남면 신산리294-1,37.8970257,126.9760105,508,400,Y,"교육장,회의실",031-8082-6774,양주시청,2021-04-18
"양주시 대방아파트 지하대피소",공공용,경기도 양주시 부흥로 1898-4 (광사동),"경기도 양주시 광사동 131-4, 대방아파트",37.79176363,127.0756174,3989,4836,Y,주차장,031-821-6977,관리사무소,2021-04-18
"휴먼시아6단지",공공용,경기도 양주시 고읍로 117-21 (만송동),"경기도 양주시 만송동 698, 은빛마을휴먼시아6단지",37.7962126,127.0835334,6962,8439,Y,주차장,031-842-3526,관리사무소,2021-04-18
"금광1차아파트 지하주차장",공공용,경기도 양주시 평화로1429번길 89-94,"경기도 양주시 덕계동 646-1, 금광포란재아파트",37.82187302,127.0403387,5850,7091,Y,주차장,031-8082-6774,양주시청,2021-04-18
"가야2차아파트",공공용,경기도 양주시 백석읍 호명로 77,"경기도 양주시 백석읍 복지리 93-3, 가야아파트",37.78630618,126.9921441,1318,1598,Y,주차장,031-8082-7504,경기도 양주시 백석읍,2021-04-18
"은현면 하패리 주민대피시설",정부지원,경기도 양주시 은현면 운하로433번길 11,경기도 양주시 은현면 하패리 349,37.88834652,127.0364052,300,210,N,대피소,031-8082-7542,은현면사무소,2021-04-18
"세아청솔아파트",공공용,경기도 양주시 백석읍 꿈나무로 298,"경기도 양주시 백석읍 가업리 99-1, 세아청솔아파트",37.78399856,126.9816868,8630,10461,Y,주차장,031-8082-7504,경기도 양주시 백석읍,2021-04-18
"주공은동마을 지하주차장",공공용,경기도 양주시 화합로 1426번길 39,"경기도 양주시 덕정동 164, 은동마을주공1단지아파트",37.83845893,127.0689897,13596,16480,Y,주차장,031-8082-7823,경기도 양주시 회천3동,2021-04-18
"주공주원마을 지하주차장",공공용,경기도 양주시 고암길 306-40,"경기도 양주시 고암동 121-2, 주원마을",37.83597098,127.0712003,40930,49612,Y,주차장,031-8082-7823,경기도 양주시 회천3동,2021-04-18
"주공동안마을 지하주차장",공공용,경기도 양주시 고암길 275,"경기도 양주시 고암동 122, 동안마을주공3단지아파트",37.83451489,127.0714488,16479,19974,Y,주차장,031-8082-7823,경기도 양주시 회천3동,2021-04-18
"주공청담마을 지하주차장",공공용,경기도 양주시 고암길 305-40,"경기도 양주시 덕정동 210-2, 청담마을",37.83316162,127.0684758,23668,28688,Y,주차장,031-8082-7823,경기도 양주시 회천3동,2021-04-18
"주공봉우마을 지하주차장",공공용,경기도 양주시 고암길 354,"경기도 양주시 덕정동 235, 봉우마을",37.83567101,127.066497,14563,17652,Y,주차장,031-8082-7823,경기도 양주시 회천3동,2021-04-18
"주공 행복마을 지하주차장",공공용,경기도 양주시 고암길 172-14,"경기도 양주시 고암동 584, 행복한마을",37.83229969,127.0753861,1342,1626,Y,주차장,031-8082-7823,경기도 양주시 회천3동,2021-04-18
"남면주민대피시설",정부지원,경기도 양주시 남면 개나리 17길 6,경기도 양주시 남면 신산리 257-2,37.8976134090,126.9768945140,300,360,N,대피소,031-8082-6774,양주시청,2021-04-18
