"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"현대성우오스타코아루(지하주차장)",공공용,경기도 양평군 양평읍 역전길 22 (현대성우오스타코아루),경기도 양평군 양평읍 양근리 376-8,37.49201979,127.4908547,4130,5006,Y,지하주차장,031-774-9961,현대성우오스타코아루 관리사무소,2020-12-10
"에스케이뷰아파트(지하주차장)",공공용,경기도 양평군 양평읍 양근로 119 (에스케이뷰아파트),경기도 양평군 양평읍 양근리 651,37.49483525,127.4863182,4800,5818,Y,지하주차장,031-772-9962,에스케이뷰아파트 관리사무소,2020-12-10
"현대아파트(지하주차장)",공공용,경기도 양평군 양평읍 관문길 60 (양평현대아파트),경기도 양평군 양평읍 양근리 140-5,37.49442555,127.4921324,674,817,Y,지하주차장,031-773-4663,양평현대아파트 관리사무소,2020-12-10
"금광2차아파트(지하주차장)",공공용,경기도 양평군 양평읍 관문길 18번길 10 (금광2차아파트),경기도 양평군 양평읍 양근리 170-7,37.4915218,127.4944653,1855,2248,Y,지하주차장,031-771-7458,금광2차아파트 관리사무소,2020-12-10
"양평벽산블루밍아파트2단지(지하주차장)",공공용,경기도 양평군 양평읍 중앙로 167번길 62 (양평벽산블루밍2단지),경기도 양평군 양평읍 백안리 876,37.49631613,127.5153087,20722,25118,Y,지하주차장,031-771-8016,양평벽산믈루밍2단지아파트 관리사무소,2020-12-10
"양평군청(지하상황실)",공공용,경기도 양평군 양평읍 군청앞길 2,경기도 양평군 양평읍 양근리 448-8,37.49174101,127.4876822,107,130,Y,회의실,031-770-2764,양평군청 회계과,2020-12-10
"해모로아파트(지하주차장)",공공용,경기도 양평군 양평읍 양근로 137번길 11 (양평해모로아파트),경기도 양평군 양평읍 양근리 652,37.49367428,127.4881833,2613,3167,Y,지하주차장,031-773-7778,양평해모로아파트 관리사무소,2020-12-10
"양평미르젠아파트(전동 지하주차장)",공공용,경기도 양평군 양평읍 관문길 18번길 38 (양평미르젠아파트),경기도 양평군 양평읍 양근리 653,37.49164485,127.4952034,2267,2748,Y,지하주차장,031-775-5130,양평미르젠아파트 관리사무소,2020-12-10
"그린맨션1차아파트(101동~102동 지하주차장)",공공용,경기도 양평군 양평읍 중앙로 14 (그린1차아파트),경기도 양평군 양평읍 양근리 91-5,37.49661208,127.4906631,1548,1876,Y,지하실,031-771-7061,그린맨션1차아파트 관리사무소,2020-12-10
"그린맨션2차아파트(지하주차장)",공공용,경기도 양평군 양평읍 중앙로 12 (그린2차아파트),경기도 양평군 양평읍 양근리 137-48,37.49644902,127.4900061,1630,1976,Y,지하주차장,031-772-8512,그린맨션2차아파트 관리사무소,2020-12-10
"금광1차아파트(지하주차장)",공공용,경기도 양평군 양평읍 관문길 18번길 16 (금광아파트),경기도 양평군 양평읍 양근리 170-43,37.49206349,127.4950659,1058,1282,Y,지하주차장,031-771-7458,금광1차아파트 관리사무소,2020-12-10
"양평휴먼빌아파트(지하주차장)",공공용,경기도 양평군 양평읍 관문길 70 (양평휴먼빌아파트),경기도 양평군 양평읍 양근리 654,37.49574624,127.492607,4313,5228,Y,지하주차장,031-775-5980,양평휴먼빌아파트 관리사무소,2020-12-10
"양평벽산블루밍아파트1단지(지하주차장)",공공용,경기도 양평군 양평읍 중앙로 167번길 60 (양평벽산블루밍1단지),경기도 양평군 양평읍 백안리 875,37.49445658,127.5103023,19270,23358,Y,지하주차장,031-773-4975,양평벽산블루밍1단지아파트 관리사무소,2020-12-10
"양평현대성우아파트3단지(지하주차장)",공공용,경기도 양평군 강상면 강남로 868(양평현대성우아파트3단지),경기도 양평군 강상면 병산리 1207,37.48732225,127.4744696,9516,11895,Y,지하주차장,031-770-3061,양평현대성우파아트3단지 관리사무소,2020-12-10
"스무빌아파트",공공용,경기도 양평군 용문면 용문로 465,경기도 양평군 용문면 마룡리 314-3,37.49302889,127.6003968,13315,16139,Y,지하주차장,031-770-3332,스무빌아파트 관리사무소,2020-12-10
"강하면사무소",공공용,경기도 양평군 강하면 운심길 40-8(강하면사무소),경기도 양평군 강하면 운심리 35-6,37.49497184,127.4104507,100.8,122,Y,지하실,031-770-3092,강하면사무소,2020-12-10
"서종면사무소",공공용,경기도 양평군 서종면 북한강로777(서종면사무소),경기도 양평군 서종면 문호리 766-1,37.60658353,127.3487122,237.6,288,Y,지하실,031-770-3181,서종면사무소,2020-12-10
"용문면사무소",공공용,경기도 양평군 용문면 용문로 428(용문면사무소),경기도 양평군 용문면 다문리 2,37.48881227,127.5993062,383.37,464,Y,지하실,031-770-3332,용문면사무소,2020-12-10
"개군면사무소",공공용,경기도 양평군 개군면 하자포길33번길8(개군면사무소),경기도 양평군 개군면 하자포리 262-2,37.42598916,127.5367981,159.2,193,Y,지하실,031-770-3342,개군면사무소,2020-12-10
