"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"삼한강변아파트",공공용,경기도 여주시 청심로 67,경기도 여주시 하동 122-7,37.300506,127.6284371505,1001,1213,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
"여주시청",공공용,경기도 여주시 세종로 1,경기도 여주시 홍문동 4,37.298227,127.6366239195,856,1037,Y,구내식당,031-887-2568,경기도 여주시청,2020-07-17
"현대아파트(하동)",공공용,경기도 여주시 청심로 79,경기도 여주시 하동 123,37.300309,127.6292433892,2505,3036,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
"현대아파트(홍문동)",공공용,경기도 여주시 세종로 61,경기도 여주시 홍문동 181,37.2917174374,127.6368217977,7953,9640,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
"여주교육지원청",공공용,경기도 여주시 청심로 181,경기도 여주시 상동 201-29,37.2971870360,127.6404228397,261,316,Y,운동실,031-887-2568,경기도 여주시청,2020-07-17
"한성아파트",공공용,경기도 여주시 우암로 190,경기도 여주시 월송동 127-9,37.2873923506,127.6191934062,4709,5707,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
"동원아파트",공공용,경기도 여주시 세종로 173-69,경기도 여주시 홍문동 353,37.2839143753,127.6408651440,4530,5490,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
"영진리버빌아파트",공공용,경기도 여주시 강변유원지길22-35,경기도 여주시 연양동 348-4,37.2891619154,127.6605363750,4010,4860,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
"호반리젠시빌아파트",공공용,경기도 여주시 세종로 254-16,경기도 여주시 교동 81-2,37.274376,127.6327158326,7325,8878,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
"예일세띠앙아파트",공공용,경기도 여주시 세종로 204-20,경기도 여주시 교동 127,37.2801445717,127.6341579069,5439,6592,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
"부영아파트",공공용,경기도 여주시 세종로 394-10,경기도 여주시 점봉동 430-6,37.2636043727,127.6390290572,8569,10386,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
"정광휴레나아파트",공공용,경기도 여주시 점곡길 10-3,경기도 여주시 멱곡동 376-8,37.2459082559,127.6515794111,2957,3584,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
"여주일성남한강콘도",공공용,경기도 여주시 신륵로 5,경기도 여주시 천송동 561-1,37.301259,127.6507888948,5237,6347,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
"신도브래뉴아파트",공공용,경기도 여주시 학동2길 12,경기도 여주시 오학동 361,37.3036585689,127.6446645939,13159,1541,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
"성일우리미아파트",공공용,경기도 여주시 학동2길 42,경기도 여주시 오학동 401,37.3064954002,127.643261,15426,960,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
"이안여주강변아파트",공공용,경기도 여주시 도예로 40,경기도 여주시 현암동 195,37.3072534407,127.641785,17257,2813,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
"영무빌딩",공공용,경기도 여주시 세종로 10,경기도 여주시 홍문동 15-4,37.2971888295,127.6367506272,1998,2421,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
"중앙프라자",공공용,경기도 여주시 세종로 14번길 18,경기도 여주시 창동 68,37.297428,127.6350926210,2062,2499,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
"굿모닝타워아파트",공공용,경기도 여주시 가남읍 일신로 29,경기도 여주시 가남읍 태평리 268-9,37.2137513832,127.5423341768,1574,1907,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
"현진에버빌아파트",공공용,경기도 여주시 가남읍 경충대로 1472-19,경기도 여주시 가남읍 신해리 632,37.2165751689,127.5348194347,11921,3672,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
"세광리치타운아파트",공공용,경기도 여주시 가남읍 경충대로 1162-20,경기도 여주시 가남읍 심석리 118,37.1970486232,127.5542485649,2645,3206,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
e편한세상여주아파트,공공용,경기도 여주시 도예로 83-60,경기도 여주시 현암동 684,37.3133515960,127.6390438091,7199,8726,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
"여주오드카운티아파트",공공용,경기도 여주시 도예로 83-36,경기도 여주시 오학동 408,37.3125409998,127.6423128433,18942,2880,Y,주차장,031-887-2568,경기도 여주시청,2020-07-17
