"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"연천군청 본관",공공용,경기도 연천군 연천읍 연천로 220,경기도 연천군 연천읍 차탄리 290-1,38.0965115027,127.0752600114,955,1157,N,공공청사,031-839-2414,경기도 연천군청,2021-01-20
"연천군청 신관",공공용,경기도 연천군 연천읍 연천로 220,경기도 연천군 연천읍 차탄리 290-1,38.0965115027,127.0752600114,1351,1637,N,공공청사,031-839-2414,경기도 연천군청,2021-01-20
"농업기술센터",공공용,경기도 연천군 연천읍 차현로 139,경기도 연천군 연천읍 차탄리 1-1,38.1040601676,127.0767955471,168,203,N,공공청사,031-839-2414,경기도 연천군청,2021-01-20
"연천읍민회관",공공용,경기도 연천군 연천읍 연천역로 21,경기도 연천군 연천읍 차탄리 50-1,38.1014994088,127.0774860520,290,351,N,공공청사,031-839-2414,경기도 연천군청,2021-01-20
"연천경찰서",공공용,경기도 연천군 연천읍 연천로 239,경기도 연천군 연천읍 차탄리 34-56,38.098233,127.0737159208,296,358,N,공공청사,031-839-5232,연천경찰서,2021-01-20
"연천우체국",공공용,경기도 연천군 연천읍 연천로 280,경기도 연천군 연천읍 차탄리 34-7,38.1018435,127.0752609286,751,910,N,공공청사,031-834-0003,연천우체국,2021-01-20
"연천교육지원청",공공용,경기도 연천군 연천읍 연천로 356-1,경기도 연천군 연천읍 현가리 43-13,38.1088777,127.0760799134,149,180,N,공공청사,031-839-0203,연천교육지원청,2021-01-20
"연천조흥아파트1동",공공용,경기도 연천군 연천읍 차옥로 81,경기도 연천군 연천읍 옥산리 459-1,38.1015935671,127.0793559228,637,772,N,주차장,031-832-7424,관리사무소,2021-01-20
"연천조흥아파트2동",공공용,경기도 연천군 연천읍 차옥로 81,경기도 연천군 연천읍 옥산리 459-1,38.1015935671,127.0793559228,701,849,N,주차장,031-832-7424,관리사무소,2021-01-20
"석미모닝파크",공공용,경기도 연천군 전곡읍 선사로 417,경기도 연천군 전곡읍 전곡리 685,38.0262736,127.0729557953,1217,1475,N,주차장,031-832-0182,관리사무소,2021-01-20
"석미아파트101동",공공용,경기도 연천군 전곡읍 선사로 415,경기도 연천군 전곡읍 전곡리 330-3,38.0256686,127.0728822893,557,675,N,주차장,031-835-7555,관리사무소,2021-01-20
"석미아파트102동",공공용,경기도 연천군 전곡읍 선사로 415,경기도 연천군 전곡읍 전곡리 330-3,38.0256686,127.0728822893,535,648,N,주차장,031-835-7555,관리사무소,2021-01-20
"명정아파트",공공용,경기도 연천군 전곡읍 전은길 24,경기도 연천군 전곡읍 전곡리 411-3,38.0322130645,127.0720960163,3424,4150,N,주차장,031-832-0557,관리사무소,2021-01-20
"유명아파트",공공용,경기도 연천군 전곡읍 전곡로 87번길 36,경기도 연천군 전곡읍 전곡리 318-7,38.0203687353,127.0703852522,1060,1284,N,주차장,031-839-2414,관리사무소,2021-01-20
"쎄띠앙아파트",공공용,경기도 연천군 전곡읍 전곡로 24,경기도 연천군 전곡읍 전곡리 684,38.0152538650,127.0723800353,9366,11352,N,주차장,031-835-0663,관리사무소,2021-01-20
"영도아파트",공공용,경기도 연천군 전곡읍 전곡로 161번길 9,경기도 연천군 전곡읍 전곡리 480-35,38.0261677,127.0672655706,2334,2829,N,주차장,031-839-2414,관리사무소,2021-01-20
"전곡농협백학지점",공공용,경기도 연천군 백학면 두백로 34,경기도 연천군 백학면 두일리 528-9,38.0323025,126.9139256826,285,345,N,주차장,031-835-5555,관리사무소,2021-01-20
"푸르미아르미소아파트",공공용,경기도 연천군 전곡읍 평화로673번길 61,경기도 연천군 전곡읍 은대리 642-5,38.0309830316,127.0616115256,8408,10191,N,주차장,031-839-2414,관리사무소,2021-01-20
"통현리 아이파크아파트",공공용,경기도 연천군 연천읍 평화로 1239,경기도 연천군 연천읍 통현리 215-7,38.0781561092,127.0763048028,12021,14570,N,주차장,031-834-2522,관리사무소,2021-01-20
"삼거리 마을회관",공공용,경기도 연천군 군남면 군남로 401,경기도 연천군 군남면 삼거리 400-32,38.0835357145,127.0126316999,244,170,N,마을회관,031-839-2414,경기도 연천군청,2021-01-20
"두일1리 마을회관",공공용,경기도 연천군 백학면 백두길 106,경기도 연천군 백학면 두일리 265-2,38.0402379,126.9190881184,262,183,N,마을회관,031-839-2414,경기도 연천군청,2021-01-20
"두일2리 마을회관",공공용,경기도 연천군 백학면 백학로 39,경기도 연천군 백학면 두일리 336-10,38.032645,126.9198437381,310,216,N,마을회관,031-839-2414,경기도 연천군청,2021-01-20
"대광리대피소",공공용,경기도 연천군 신서면 도대로 17-8,경기도 연천군 신서면 대광리 1318-42,38.1876773753,127.1062823382,585,409,N,,031-839-2414,경기도 연천군청,2021-01-20
"고대산대피소",공공용,경기도 연천군 신서면 고대산길 34,경기도 연천군 신서면 대광리 137-7,38.2128470015,127.1417844443,264,184,N,,031-839-2414,경기도 연천군청,2021-01-20
"도신리대피소",공공용,경기도 연천군 신서면 연신로 1130,경기도 연천군 신서면 도신리 285-2,38.1829416343,127.1069511500,595,416,N,,031-839-2414,경기도 연천군청,2021-01-20
"삼곶리대피소",공공용,경기도 연천군 중면 군중로 400,경기도 연천군 중면 삼곶리 302,38.1358246083,127.0121014697,128,89,N,,031-839-2414,경기도 연천군청,2021-01-20
"횡산리대피소",공공용,경기도 연천군 중면 군중로 889-6,경기도 연천군 중면 횡산리 241-3,38.1170865100,126.9869726793,128,89,N,,031-839-2414,경기도 연천군청,2021-01-20
"차탄리대피소",공공용,경기도 연천군 연천읍 차현로 36,경기도 연천군 연천읍 차탄리 76-12,38.0953002166,127.0759701341,460,321,N,,031-839-2414,경기도 연천군청,2021-01-20
"무등리대피소",공공용,경기도 연천군 왕징면 왕산로 48,경기도 연천군 왕징면 무등리 9-1,38.0587036522,127.0120735076,203,141,N,,031-839-2414,경기도 연천군청,2021-01-20
"원당리대피소",공공용,경기도 연천군 장남면 장백로 244,경기도 연천군 장남면 원당리 681-5,37.9818054659,126.8842081167,198,138,N,,031-839-2414,경기도 연천군청,2021-01-20
"궁평리대피소",공공용,경기도 연천군 청산면 아우라지길 22,경기도 연천군 청산면 궁평리 55-4,38.0332398,127.1099042538,177,123,N,,031-839-2414,경기도 연천군청,2021-01-20
"유촌리대피소",공공용,경기도 연천군 미산면 유노로110,경기도 연천군 미산면 유촌리 384-2,38.0474317258,126.9928317420,276,193,N,,031-839-2414,경기도 연천군청,2021-01-20
