"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"운암1단지주공아파트",공공용,경기도 오산시 운암로122,,37.1568979210,127.0794056375,35361,42861,Y,주차장,,운암1단지주공아파트,2021-08-04
"운암3단지주공아파트",공공용,경기도 오산시 운암로90,,37.1536264269,127.0782176247,32224,39059,Y,주차장,,운암3단지주공아파트,2021-08-04
"운암대동황토방아파트",공공용,경기도 오산시 운암로64,,37.1524590513,127.0784353708,19483,23615,Y,주차장,,운암대동황토방아파트,2021-08-04
"운암4단지주공아파트",공공용,경기도 오산시 운암로45,,37.1502016754,127.0758707985,7026,8516,Y,주차장,,운암4단지주공아파트,2021-08-04
"운암2단지주공아파트",공공용,경기도 오산시 운암로89,,37.1548875294,127.0754677390,15659,18980,Y,주차장,,운암2단지주공아파트,2021-08-04
"운암현대아파트",공공용,경기도 오산시 운암로63,,37.1519501238,127.0758189624,13112,15893,Y,주차장,,운암현대아파트,2021-08-04
"오산시청",공공용,경기도 오산시 성호대로141,,37.1490366159,127.0776634683,6971,8449,Y,주차장,,오산시청,2021-08-04
"센트럴푸르지오아파트",공공용,경기도 오산시 현충로107-30,,37.1608087636,127.0820790548,15298,18543,Y,주차장,,센트럴푸르지오아파트,2021-08-04
"한주아파트",공공용,경기도 오산시 동부대로429-7,,37.1404278943,127.0777902923,5378,6518,Y,주차장,,한주아파트,2021-08-04
"신양아파트",공공용,경기도 오산시 대원로47,,37.1469500225,127.0743050802,5892,7141,Y,주차장,,신양아파트,2021-08-04
"원동청구아파트",공공용,경기도 오산시 남부대로 330-14,,37.1347701678,127.0705298184,6147,7450,Y,주차장,,청구아파트,2021-08-04
"태영아파트",공공용,경기도 오산시 동부대로407-10,,37.1388489849,127.0772090443,10607,12856,Y,주차장,,태영아파트,2021-08-04
"화남아파트",공공용,경기도 오산시 오산로29,,37.1300293463,127.0670686282,5666,6867,Y,주차장,,화남아파트,2021-08-04
"우림아파트",공공용,경기도 오산시 경기대로74,,37.1305533050,127.0722960069,13579,16459,Y,주차장,,우림아파트,2021-08-04
"운암5단지주공아파트",공공용,경기도 오산시 대원로70,,37.1459656668,127.0753640978,23793,28840,Y,주차장,,운암5단지주공아파트,2021-08-04
"운암6단지주공아파트",공공용,경기도 오산시 운천로16-22,,37.1448502856,127.0775357110,11496,13934,Y,주차장,,운암6단지주공아파트,2021-08-04
"갈곶동동부아파트",공공용,경기도 오산시 경기대로25번길14,,37.1292987321,127.0686993001,11056,13401,Y,주차장,,갈곶동동부아파트,2021-08-04
"대원아파트",공공용,경기도 오산시 부원로67-6,,37.1426964642,127.0878904166,12404,15035,Y,주차장,,대원아파트,2021-08-04
"두산동아아파트",공공용,경기도 오산시 경기대로 99-18,,37.1338885346,127.0695201697,6556,7946,Y,주차장,,두산동아아파트,2021-08-04
"운암청구 아파트",공공용,경기도 오산시 운암로14,,37.1474103616,127.0764498454,9354,11338,Y,주차장,,운암청구 아파트,2021-08-04
"비비피아 주차장",공공용,경기도 오산시 원동로37번길30,,37.1450851909,127.0710690977,741,898,Y,주차장,,비비피아 주차장,2021-08-04
"아느칸빌아파트",공공용,경기도 오산시 밀머리로35,,37.1387039338,127.0753582445,4092,4960,Y,주차장,,아느칸빌아파트,2021-08-04
e편한세상아파트(1단지),공공용,경기도 오산시 오산로160번길14,,37.1402663074,127.0713890767,38174,46271,Y,주차장,,e편한세상아파트(1단지),2021-08-04
e편한세상아파트(2단지),공공용,경기도 오산시 오산로132번길10,,37.1383734788,127.0692109367,53271,64570,Y,주차장,,e편한세상아파트(2단지),2021-08-04
"고현아이파크아파트",공공용,경기도 오산시 남부대로430-12,,37.1341424780,127.0811115229,22574,27362,Y,주차장,,고현아이파크아파트,2021-08-04
"자이아파트",공공용,경기도 오산시 동부대로332-14,,37.1310669217,127.0815807884,37045,44903,Y,주차장,,자이아파트,2021-08-04
KCC 스위첸아파트,공공용,경기도 오산시 오산로 49-5,,37.1313862382,127.0675760249,10733,13009,Y,주차장,,KCC 스위첸아파트,2021-08-04
"힐스테이트아파트",공공용,경기도 오산시 경기대로 78-7,,37.1332618985,127.0730297659,18705,22672,Y,주차장,,힐스테이트아파트,2021-08-04
"대우푸르지오아파트",공공용,경기도 오산시 남부대로411-15,,37.1374734353,127.0822833242,8678,10518,Y,주차장,,대우푸르지오아파트,2021-08-04
"대주피오레아파트",공공용,경기도 오산시 경기대로52-21,,37.1294235199,127.0727917779,12031,14583,Y,주차장,,대주피오레아파트,2021-08-04
"한솔아파트",공공용,경기도 오산시 오산로91-5,,37.1340172792,127.0672062987,13595,16478,Y,주차장,,한솔아파트,2021-08-04
"엘리시아아파트",공공용,경기도 오산시 청호로23-22,,37.1288740317,127.0815437737,17287,20953,Y,주차장,,엘리시아아파트,2021-08-04
"미소지움아파트",공공용,경기도 오산시 경기대로114,,37.1350615757,127.0737791264,5511,6680,Y,주차장,,미소지움아파트,2021-08-04
"우방힐타운 아파트",공공용,경기도 오산시 오산로77,,37.1336455718,127.0678728942,8011,9710,Y,주차장,,우방힐타운 아파트,2021-08-04
"우남퍼스트빌아파트",공공용,경기도 오산시 궐리사로29번길13,,37.1630402898,127.0546436724,33841,41019,Y,주차장,,우남퍼스트빌아파트,2021-08-04
"제일하이빌아파트",공공용,경기도 오산시 궐리사로29번길7,,37.1608341346,127.0558159808,5833,7070,Y,주차장,,제일하이빌아파트,2021-08-04
"궐동센트하임아파트",공공용,경기도 오산시 궐리사로8,,37.1598950450,127.0534866654,12706,15401,Y,주차장,,궐동센트하임아파트,2021-08-04
"대우3차아파트",공공용,경기도 오산시 오산로360번길9,,37.1595849352,127.0667420148,7575,9181,Y,주차장,,대우3차아파트,2021-08-04
"신현대아파트",공공용,경기도 오산시 현충로72번길41,,37.1595051557,127.0718875441,4695,5690,Y,주차장,,신현대아파트,2021-08-04
"우미이노스빌아파트",공공용,경기도 오산시 수청로31,,37.1731184327,127.0561765545,16362,19832,Y,주차장,,우미이노스빌아파트,2021-08-04
"리버빌아파트",공공용,경기도 오산시 은여울로29,,37.1586011866,127.0704329549,5790,7018,Y,주차장,,리버빌아파트,2021-08-04
"세교3단지아파트",공공용,경기도 오산시 수청로220,,37.1782452467,127.0430815386,21790,26412,Y,주차장,,세교3단지아파트,2021-08-04
"세교4단지아파트",공공용,경기도 오산시 수청로 221,,37.1760872825,127.0429069016,16868,20446,Y,주차장,,세교4단지아파트,2021-08-04
"세교5단지아파트",공공용,경기도 오산시 여계산로60,,37.1765878321,127.0466852201,21337,25863,Y,주차장,,세교5단지아파트,2021-08-04
"세교6단지아파트",공공용,경기도 오산시 여계산로7,,37.1706171205,127.0446990534,47284,57313,Y,주차장,,세교6단지아파트,2021-08-04
"세교7단지아파트",공공용,경기도 오산시 여계산로8,,37.1708190734,127.0458101688,11086,13437,Y,주차장,,세교7단지아파트,2021-08-04
"세교8단지아파트",공공용,경기도 오산시 수청로166,,37.1796739821,127.0461331890,14364,17410,Y,주차장,,세교8단지아파트,2021-08-04
"세교9단지아파트",공공용,경기도 오산시 수청로165,,37.1776480732,127.0474432694,20237,24529,Y,주차장,,세교9단지아파트,2021-08-04
"세교10단지아파트",공공용,경기도 오산시 수청로142,,37.1805088808,127.0501704836,19493,23627,Y,주차장,,세교10단지아파트,2021-08-04
"세교11단지아파트",공공용,경기도 오산시 수청로121,,37.1772167458,127.0519370197,13183,15979,Y,주차장,,세교11단지아파트,2021-08-04
"세교12단지아파트",공공용,경기도 오산시 수청로 107,,37.1757297804,127.0518311671,9968,12082,Y,주차장,,세교12단지아파트,2021-08-04
"세교13단지아파트",공공용,경기도 오산시 수목원로 430,,37.1715794126,127.0544747303,28642,34717,Y,주차장,,세교13단지아파트,2021-08-04
"세교쌍용예가아파트",공공용,경기도 오산시 내삼미로110,,37.1728648632,127.0663123005,19679,23853,Y,주차장,,세교쌍용예가아파트,2021-08-04
