"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"신원1차아파트 경비실 맞은편 지하주차창",공공용,경기도 용인시 처인구 포곡읍 포곡로 90 (신원아파트),경기도 용인시 처인구 포곡읍 둔전리 385 신원아파트,37.2673683,127.215862,8009,9708,Y,주차장,031-324-5534,경기도 용인시청,2019-04-05
"신원2차아파트 201동 뒤 지하주차장",공공용,경기도 용인시 처인구 포곡읍 포곡로 98-1 (신원2차아파트),경기도 용인시 처인구 포곡읍 둔전리 147 신원2차아파트,37.2671718,127.2174808,1244,1508,Y,주차장,031-324-5534,경기도 용인시청,2019-04-05
"계룡리슈빌아파트 107동 앞  지하주차장",공공용,경기도 용인시 처인구 포곡읍 둔전로 15 (금전마을계룡리슈빌),경기도 용인시 처인구 포곡읍 둔전리 447 금전마을계룡리슈빌,37.2666255,127.2160929,12253,2117,Y,주차장,031-324-5534,경기도 용인시청,2019-04-05
"용인수목원 우림필유아파트 103동 지하주차장",공공용,경기도 용인시 처인구 포곡읍 백옥대로1898번길 34 (계수마을수목원우림필유),경기도 용인시 처인구 포곡읍 삼계리 672 계수마을수목원우림필유,37.29448422,127.2384916,11432,1661,Y,주차장,031-324-5534,경기도 용인시청,2019-04-05
"인정베네치아아파트 105동 앞 지하주차장",공공용,경기도 용인시 처인구 포곡읍 영문로 64 (배머루마을인정베네치아빌리지),경기도 용인시 처인구 포곡읍 영문리 555 배머루마을 인정베네치아빌리지,37.2723034,127.209872,12413,1666,Y,주차장,031-324-5534,경기도 용인시청,2019-04-05
"조양아파트 입구 옆 지하주차장",공공용,경기도 용인시 처인구 포곡읍 전성로 10 (조양아파트),경기도 용인시 처인구 포곡읍 전대리 368 조양아파트,37.2846953,127.216245,9042,10960,Y,주차장,031-324-5534,경기도 용인시청,2019-04-05
"풍산아파트 지하주차장",공공용,경기도 용인시 처인구 모현면 백옥대로2332번길 21-8 (풍산햇빛마을),경기도 용인시 처인구 모현면 왕산리 464-2 풍산햇빛마을,37.33249439,127.2502159,7682,9312,Y,주차장,031-324-5593,경기도 용인시청,2019-04-05
"신안인스빌아파트 지하주차장",공공용,경기도 용인시 처인구 모현면 문현로 326 (효천마을신안인스빌),경기도 용인시 처인구 모현면 일산리 669 효천마을신안인스빌,37.33665225,127.2439285,16307,1555,Y,주차장,031-324-5593,경기도 용인시청,2019-04-05
"남사면사무소 지하1층 대피소",공공용,경기도 용인시 처인구 남사면 내기로 22 (남사면사무소),경기도 용인시 처인구 남사면 봉무리 438-1 남사면사무소,37.115301,127.1502137,661,801,Y,지하시설,031-324-5641,경기도 용인시청,2019-04-05
"한화시스템 본청 지하2층 대피소",공공용,경기도 용인시 처인구 남사면 경기동로 491-23 (한화탈레스),경기도 용인시 처인구 남사면 창리 304-5 삼성탈레스,37.1434443,127.179593,1922,2330,Y,헬스장,031-324-5641,경기도 용인시청,2019-04-05
"동아아파트(모든 동의 지하주차장)",공공용,경기도 용인시 처인구 이동면 이원로 22,경기도 용인시 처인구 이동면 천리 127,37.18938727,127.2094954,3211,3892,Y,주차장,031-324-5691,경기도 용인시청,2019-04-05
"세광엔리치타워(모든 동의 지하주차장)",공공용,경기도 용인시 처인구 이동면 경기동로705번길 28,경기도 용인시 처인구 이동면 송전리 1227,37.13917322,127.2011813,27144,3754,Y,주차장,031-324-5691,경기도 용인시청,2019-04-05
"신미주1단지아파트(모든 동의 지하주차장)",공공용,경기도 용인시 처인구 이동면 백옥대로621번길 11,경기도 용인시 처인구 이동면 천리 1119,37.19211272,127.2049933,16606,3840,Y,주차장,031-324-5691,경기도 용인시청,2019-04-05
