"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"신원수선화아파트 지하주차장(1,2,3)",공공용,"경기도 의왕시 모락로 89-16 (오전동, 신원수선화아파트)",경기도 의왕시 오전동 24번지 신원수선화아파트,37.3659056573,126.9654209205,6869,8326,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"내손제4공영주차장",공공용,경기도 의왕시 내손중앙로 지하 45-8,경기도 의왕시 내손동 710-20번지,37.3869326599,126.9812378477,3258,3949,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"운양까치아파트",공공용,경기도 의왕시 까치골길 7 (삼동),경기도 의왕시 삼동 121-6번지 까치아파트,37.3165194809,126.9550196412,6612,8015,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"원효아파트104동",공공용,경기도 의왕시 위인로 2 (왕곡동),경기도 의왕시 왕곡동 599번지 원효아파트,37.3454013617,126.9775560577,403,488,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"충무아파트주차장(2)",공공용,경기도 의왕시 왕곡로 48,경기도 의왕시 왕곡동 603번지,37.3459138932,126.9796938894,3560,4315,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"솔거아파트주차장",공공용,"경기도 의왕시 위인로 20 (왕곡동, 솔거아파트)",경기도 의왕시 왕곡동 600번지 솔거아파트,37.3441303917,126.9776758371,5388,6531,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"인스빌1단지아파트103동",공공용,경기도 의왕시 왕곡로 55 (왕곡동),경기도 의왕시 왕곡동 592번지 인스빌아파트1단지,37.3472033083,126.9810309338,1752,2124,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"의왕내손e편한세상아파트 5단지",공공용,경기도 의왕시 내손로 70-14 (내손동),경기도 의왕시 내손동 846번지 의왕내손이편한세상,37.3861280084,126.9788776027,15125,18333,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"대명솔채아파트 지하주차장(1,2)",공공용,"경기도 의왕시 보식골로 17 (오전동, 대명솔채아파트)",경기도 의왕시 오전동 887번지 대명솔채아파트,37.3596626156,126.9707433068,11799,14302,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"모락산동문굿모닝힐아파트 지하주차장",공공용,"경기도 의왕시 전주남이4길 17 (오전동, 의왕모락산동문굿모닝힐아파트)",경기도 의왕시 오전동 886번지 의왕모락산동문굿모닝힐아파트,37.3519050007,126.9762235316,6668,8082,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"신미주해당화아파트 지하주차장",공공용,"경기도 의왕시 보식골로 30 (오전동, 신미주해당화아파트)",경기도 의왕시 오전동 233번지 신미주해당화아파트,37.3587371250,126.9716681313,3827,4639,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"한진로즈힐아파트 지하주차장(1,2,3,4,5)",공공용,경기도 의왕시 모락로 89-15,경기도 의왕시 오전동 27-1번지 해모로아파트,37.3651540470,126.9664500040,21160,25648,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
NH통합IT센터,공공용,경기도 의왕시 성고개로 59,경기도 의왕시 포일동 657번지,37.3986033436,126.9883087530,12150,14727,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"고천동주민센터",공공용,경기도 의왕시 사천로 11,경기도 의왕시 왕곡동 598번지,37.3458015621,126.9768957196,3802,4608,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"부곡스포츠센터 지하주차장",공공용,경기도 의왕시 부곡시장길 77,경기도 의왕시 삼동 101-5번지,37.3186439499,126.9572371536,1398,1695,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"내손제3공영주차장",공공용,경기도 의왕시 내손중앙로 지하 46-9,경기도 의왕시 내손동 846-1번지,37.3854838431,126.9792537983,6048,7331,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"내손제2공영주차장",공공용,경기도 의왕시 민백길 지하 4,경기도 의왕시 내손동 844-5번지,37.3860269835,126.9734171319,2341,2838,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"내손제1공영주차장",공공용,경기도 의왕시 내손순환로 지하 58,경기도 의왕시 내손동 709번지,37.3836261060,126.9777325599,3258,3949,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"원효아파트102동",공공용,"경기도 의왕시 위인로 2 (왕곡동, 원효아파트)",경기도 의왕시 왕곡동 599번지 원효아파트,37.3454013617,126.9775560577,347,421,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"원효아파트103동",공공용,경기도 의왕시 위인로 2 (왕곡동),경기도 의왕시 왕곡동 599번지 원효아파트,37.3454013617,126.9775560577,807,978,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"원효아파트주차장",공공용,"경기도 의왕시 위인로 2 (왕곡동, 원효아파트)",경기도 의왕시 왕곡동 599번지 원효아파트,37.3454013617,126.9775560577,2661,3225,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"충무아파트주차장(1)",공공용,경기도 의왕시 왕곡로 48,경기도 의왕시 왕곡동 603번지,37.3459138932,126.9796938894,2850,3455,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"원효아파트101동",공공용,경기도 의왕시 위인로 2 (왕곡동),경기도 의왕시 왕곡동 599번지 원효아파트,37.3454013617,126.9775560577,347,421,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"인스빌1단지아파트101동",공공용,경기도 의왕시 왕곡로 55 (왕곡동),경기도 의왕시 왕곡동 592번지 인스빌아파트1단지,37.3472033083,126.9810309338,1521,1844,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"인스빌1단지아파트102동",공공용,경기도 의왕시 왕곡로 55 (왕곡동),경기도 의왕시 왕곡동 592번지 인스빌아파트1단지,37.3472033083,126.9810309338,1521,1844,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"인스빌1단지아파트104동",공공용,경기도 의왕시 왕곡로 55 (왕곡동),경기도 의왕시 왕곡동 592번지 인스빌아파트1단지,37.3472033083,126.9810309338,1950,2364,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"인스빌1단지아파트 지하주차장",공공용,경기도 의왕시 왕곡로 55 (왕곡동),경기도 의왕시 왕곡동 592번지 인스빌아파트1단지,37.3472033083,126.9810309338,10579,12823,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"인스빌2단지아파트202동",공공용,경기도 의왕시 왕곡로 53 (왕곡동),경기도 의왕시 왕곡동 593번지 인스빌아파트2단지,37.3472306655,126.9787124420,1521,1844,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"인스빌2단지아파트203동",공공용,경기도 의왕시 왕곡로 53 (왕곡동),경기도 의왕시 왕곡동 593번지 인스빌아파트2단지,37.3472306655,126.9787124420,1851,2244,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"인스빌2단지아파트204동",공공용,경기도 의왕시 왕곡로 53 (왕곡동),경기도 의왕시 왕곡동 593번지 인스빌아파트2단지,37.3472306655,126.9787124420,959,1162,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"인스빌2단지아파트주차장",공공용,"경기도 의왕시 왕곡로 53 (왕곡동, 인스빌아파트2단지)",경기도 의왕시 왕곡동 593번지 인스빌아파트2단지,37.3472306655,126.9787124420,5620,6812,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"포은아파트주차장",공공용,"경기도 의왕시 위인로 15 (왕곡동, 포은아파트)",경기도 의왕시 왕곡동 602번지 포은아파트,37.3447935316,126.9795705004,2446,2965,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"의왕시청 지하",공공용,경기도 의왕시 시청로 11,경기도 의왕시 고천동 171번지,37.3453180672,126.9679890624,5388,6531,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"삼호 2차 한아름아파트",공공용,"경기도 의왕시 까치골길 20 (삼동, 한아름아파트)",경기도 의왕시 삼동 125번지 한아름아파트,37.3177383195,126.9560047009,1236,1498,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"성원1차아파트 지하주차장(1~3)",공공용,"경기도 의왕시 오전로 198 (오전동, 성원1차이화아파트)",경기도 의왕시 오전동 230번지 성원1차이화아파트,37.3584602606,126.9685441413,5778,7004,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"모락산현대아파트 지하주차장(1~8)",공공용,"경기도 의왕시 원골로 43 (오전동, 모락산현대아파트)",경기도 의왕시 오전동 100번지 모락산현대아파트,37.3629622346,126.9691936009,28622,34693,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"삼호백조아파트 101동 지하주차장",공공용,"경기도 의왕시 모란길 31 (오전동, 삼호백조아파트)",경기도 의왕시 오전동 358-1번지 삼호백조아파트,37.3533415142,126.9762412505,591,716,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"국화아파트 지하주차장",공공용,"경기도 의왕시 원골로 13 (오전동, 국화아파트)",경기도 의왕시 오전동 838-3번지 국화아파트,37.3588974560,126.9666323774,1200,1455,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"동백아파트 지하주차장(1~3)",공공용,"경기도 의왕시 오전로 150 (오전동, 동백아파트)",경기도 의왕시 오전동 849번지 동백아파트,37.3581993729,126.9694218651,3775,4575,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"동백아파트 지하주차장(4~6)",공공용,"경기도 의왕시 오전로 150 (오전동, 동백아파트)",경기도 의왕시 오전동 849번지 동백아파트,37.3581993729,126.9694218651,1974,2392,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"진달래아파트 지하주차장",공공용,"경기도 의왕시 호성로 48-7 (오전동, 진달래아파트)",경기도 의왕시 오전동 21번지 진달래아파트,37.3671725415,126.9658720118,1475,1788,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"민들레베스파트아파트 주차장2",공공용,경기도 의왕시 오전천로 54 (오전동),경기도 의왕시 오전동 388-1번지 민들레베스파트,37.3494526692,126.9795955352,5438,6592,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"효성청솔아파트 주차장",공공용,경기도 의왕시 부곡시장길 63 (삼동),경기도 의왕시 삼동 130-1번지 효성청솔아파트,37.3193770097,126.9557096282,2304,2793,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"새천년 미주아파트",공공용,경기도 의왕시 부곡복지관길 40 (삼동),경기도 의왕시 삼동 282-2번지 새천년미주아파트,37.3245241784,126.9574731260,1464,1775,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"부곡 대우이안아파트",공공용,"경기도 의왕시 부곡복지관길 41 (삼동, 부곡대우아파트)",경기도 의왕시 삼동 462-20번지 부곡대우아파트,37.3224626754,126.9544874106,3752,4548,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"장안마을 주공아파트",공공용,경기도 의왕시 신장승길 12 (삼동),경기도 의왕시 삼동 556번지 장안마을주공아파트,37.3201191327,126.9543703633,4579,5550,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"영동아파트",공공용,경기도 의왕시 부곡중앙북4길 7 (삼동),경기도 의왕시 삼동 192-244번지 영동아파트,37.3217212747,126.9514629890,1488,1804,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"부곡꿈마을아파트",공공용,경기도 의왕시 부곡중앙남1길 34 (삼동),경기도 의왕시 삼동 160-63번지 부곡꿈마을,37.3177450378,126.9500063840,2403,2913,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"백운아파트",공공용,"경기도 의왕시 부곡시장4길 8 (삼동, 백운아파트)",경기도 의왕시 삼동 170-8번지 백운아파트,37.3181875246,126.9519371734,698,846,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"내손동 주공아파트",공공용,"경기도 의왕시 갈미1로 22 (내손동, 의왕내손 주공아파트)",경기도 의왕시 내손동 791번지 의왕내손주공아파트,37.3789798752,126.9714047824,8912,10801,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"반도보라빌리지 1단지",공공용,"경기도 의왕시 갈미로 64 (내손동, 반도보라빌리지1단지)",경기도 의왕시 내손동 771번지 반도보라빌리지1단지,37.3784537951,126.9773583351,13038,15805,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"대명구름채아파트 제2주차장",공공용,"경기도 의왕시 포도원로 46 (오전동, 대명구름채아파트)",경기도 의왕시 오전동 28번지 대명구름채아파트,37.3626216691,126.9672655833,6826,8274,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"부곡동주민센터",공공용,경기도 의왕시 부곡시장길 75,경기도 의왕시 삼동 101번지,37.3187392879,126.9567649585,936,1135,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"오전동주민센터 지하주차장",공공용,경기도 의왕시 찬우물길 11,경기도 의왕시 오전동 844-18번지,37.3536000587,126.9715226543,1157,1402,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"우미린아파트",공공용,"경기도 의왕시 내손순환로 8 (내손동, 우미린아파트)",경기도 의왕시 내손동 843번지 우미린아파트,37.3879161534,126.9746211067,8259,10011,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"휴먼시아 청계마을 2단지",공공용,"경기도 의왕시 청계1로 27 (청계동, 휴먼시아청계마을)",경기도 의왕시 청계동 976번지 휴먼시아청계마을,37.3906860810,126.9979597802,5967,7233,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"휴먼시아 청계마을 3단지",공공용,"경기도 의왕시 청계1로 28 (청계동, 휴먼시아청계마을)",경기도 의왕시 청계동 972번지 휴먼시아청계마을,37.3922481114,126.9997959399,8311,10074,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"휴먼시아 청계마을 4단지",공공용,"경기도 의왕시 덕장로 76 (청계동, 휴먼시아청계마을)",경기도 의왕시 청계동 966번지 휴먼시아청계마을,37.3940235627,127.0017992041,6793,8234,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"휴먼시아 청계마을 5단지",공공용,"경기도 의왕시 청계1로 10 (청계동, 휴먼시아청계마을)",경기도 의왕시 청계동 971번지 휴먼시아청계마을,37.3918648118,127.0010583516,2606,3159,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"휴먼시아 청계마을 6단지",공공용,"경기도 의왕시 청계1로 9 (청계동, 휴먼시아청계마을)",경기도 의왕시 청계동 980번지 휴먼시아청계마을,37.3906381639,126.9997208490,2543,3082,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"삼성래미안아파트",공공용,"경기도 의왕시 포일로 39 (내손동, 삼성래미안아파트)",경기도 의왕시 내손동 414번지 삼성래미안아파트,37.3902954303,126.9765378776,14547,17633,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"동부새롬아파트",공공용,"경기도 의왕시 새롬길 10 (포일동, 동부새롬아파트)",경기도 의왕시 포일동 533-5번지 동부새롬아파트,37.3920616212,126.9810992500,6649,8059,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"동아에코빌아파트",공공용,"경기도 의왕시 흥안대로456번길 125 (포일동, 의왕포일동동아에코빌아파트)",경기도 의왕시 포일동 518번지 의왕포일동동아에코빌아파트,37.3926958584,126.9829253659,1376,1668,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"인덕원대우푸른마을(아)",공공용,"경기도 의왕시 새롬길 21 (포일동, 인덕원대우아파트푸른마을)",경기도 의왕시 포일동 523번지 인덕원대우아파트푸른마을,37.3936270152,126.9819817407,9775,11848,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"래미안에버하임아파트",공공용,"경기도 의왕시 내손순환로 7 (내손동, 래미안에버하임아파트)",경기도 의왕시 내손동 842번지 래미안에버하임아파트,37.3882810053,126.9764986440,6727,8154,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"내손2동 공용청사",공공용,경기도 의왕시 복지로 109,경기도 의왕시 내손동 849-2번지,37.3875275741,126.9816107887,14816,17959,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"포일숲속마을 3단지",공공용,"경기도 의왕시 포일세거리로 93 (포일동, 포일숲속마을)",경기도 의왕시 포일동 645번지 포일숲속마을,37.4047302480,126.9862664100,11563,14016,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"포일숲속마을4단지",공공용,"경기도 의왕시 포일세거리로 73 (포일동, 포일숲속마을)",경기도 의왕시 포일동 646번지 포일숲속마을,37.4018277101,126.9848780929,15696,19025,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"포일숲속마을 2단지",공공용,경기도 의왕시 이미로 17 (포일동),경기도 의왕시 포일동 652번지 포일숲속마을,37.4010732293,126.9883675503,13006,15765,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"의왕내손e편한세상아파트 1단지",공공용,경기도 의왕시 내손중앙로 11 (내손동),경기도 의왕시 내손동 846번지 의왕내손이편한세상,37.3897840069,126.9789151969,50763,61531,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"의왕내손e편한세상아파트 4단지",공공용,경기도 의왕시 내손로 57 (내손동),경기도 의왕시 내손동 846번지 의왕내손이편한세상,37.3855291299,126.9771121931,41282,50040,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"포일자이아파트",공공용,"경기도 의왕시 내손로 13 (내손동, 포일자이아파트)",경기도 의왕시 내손동 844번지 포일자이아파트,37.3857116819,126.9732687564,123925,150212,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"포일숲속마을1단지",공공용,"경기도 의왕시 포일세거리로 23 (포일동, 포일숲속마을휴먼시아)",경기도 의왕시 포일동 658번지 포일숲속마을휴먼시아,37.3976920306,126.9864374368,9541,11565,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"포일숲속마을 5단지",공공용,"경기도 의왕시 포일세거리로 96 (포일동, 포일숲속마을)",경기도 의왕시 포일동 649번지 포일숲속마을,37.4027995749,126.9865648200,17734,21496,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"의왕내손e편한세상아파트 2단지",공공용,경기도 의왕시 내손로 88-13 (내손동),경기도 의왕시 내손동 846번지 의왕내손이편한세상,37.3882466216,126.9812341327,13971,16935,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"의왕 상록데시앙 아파트",공공용,경기도 의왕시 갈미1로 17-0 (내손동),경기도 의왕시 내손동 790번지 의왕상록아파트,37.224226,,5120,6206,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"대원 칸타빌아파트1단지",공공용,경기도 의왕시 갈미로 7-0 (내손동),경기도 의왕시 내손동 795번지 대원칸타빌1단지,37.223682,126.581987,7345,8903,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"목화케이티아파트 지하주차장",공공용,"경기도 의왕시 전주남이길 8 (오전동, 목화케이티이자리에)",경기도 의왕시 오전동 333번지 목화케이티이자리에,37.3500558987,126.9752927584,6589,7987,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"두산위브 1단지",공공용,"경기도 의왕시 평의길 48 (포일동, 위브호수마을1단지)",경기도 의왕시 포일동 638번지 위브호수마을1단지,37.3905009602,126.9779779451,7920,9600,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"휴먼시아 청계마을 1단지",공공용,"경기도 의왕시 덕장로 22 (청계동, 휴먼시아청계마을)",경기도 의왕시 청계동 982번지 휴먼시아청계마을,37.3905971586,126.9951568694,14035,17012,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"인스빌2단지아파트201동",공공용,경기도 의왕시 왕곡로 53 (왕곡동),경기도 의왕시 왕곡동 593번지 인스빌아파트2단지,37.3472306655,126.9787124420,1521,1844,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"삼호1차 한아름아파트",공공용,"경기도 의왕시 까치골길 8 (삼동, 한아름아파트)",경기도 의왕시 삼동 115-1번지 한아름아파트,37.3164591933,126.9559554698,1078,1307,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"한일나래(아)",공공용,"경기도 의왕시 새롬길 7 (포일동, 한일나래아파트)",경기도 의왕시 포일동 533-1번지 한일나래아파트,37.3925843397,126.9802135369,5800,7030,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"백합아파트 지하주차장(1~2)",공공용,"경기도 의왕시 오전로 179 (오전동, 백합아파트)",경기도 의왕시 오전동 841번지 백합아파트,37.3569171778,126.9689513595,1842,2233,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"민들레베스파트아파트 주차장1",공공용,경기도 의왕시 오전천로 54 (오전동),경기도 의왕시 오전동 388-1번지 민들레베스파트,37.3494526692,126.9795955352,17203,20852,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"월드아파트",공공용,경기도 의왕시 능애고개길 35 (삼동),경기도 의왕시 삼동 462-45번지 월드아파트,37.3224229690,126.9547984875,698,846,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
"왕곡1리마을회관",공공용,경기도 의왕시 왕곡로 145 (왕곡동),경기도 의왕시 왕곡동 167-1,37.3450534844,126.9901904838,162,196,Y,주차장,031-345-2913,경기도 의왕시청,2021-03-30
