"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"추병원",공공용,경기도 의정부시 평화로 650,경기도 의정부시 의정부동 234-2,37.74977986,127.0451895,1320,1600,N,,,경기도 의정부시,2021-06-25
"금용아파트",공공용,경기도 의정부시 태평로184번길 21-4,경기도 의정부시 가능동 15-25,37.74921458,127.049499,1320,1600,N,,,경기도 의정부시,2021-06-25
"어린이공원",공공용,경기도 의정부시 평화로552번길 17,경기도 의정부시 의정부동 199-6,37.7415876,127.0482123,5438,6591,N,,,경기도 의정부시,2021-06-25
"가재울일신건영휴먼빌아파트",공공용,경기도 의정부시 평화로658번길 50,경기도 의정부시 가능동 15-552,37.7526614,127.0455045,8175,9909,N,,,경기도 의정부시,2021-06-25
"한라비발디루트아파트",공공용,경기도 의정부시 호국로 1303,경기도 의정부시 의정부동 220-110,37.74395529,127.0487995,10987,13317,N,,,경기도 의정부시,2021-06-25
"신도3차아파트",공공용,경기도 의정부시 경의로132번길 87-14,경기도 의정부시 의정부동 399-4,37.7290154,127.0509321,5627,6820,N,,,경기도 의정부시,2021-06-25
"신도2차아파트",공공용,경기도 의정부시 경의로132번길 80,경기도 의정부시 의정부동 396-6,37.72942685,127.0495254,2927,3547,N,,,경기도 의정부시,2021-06-25
"한화생명",공공용,경기도 의정부시 평화로 516,경기도 의정부시 의정부동 141-3,37.73804379,127.048065,4927,5972,N,,,경기도 의정부시,2021-06-25
"의정부시청",공공용,경기도 의정부시 시민로 1,경기도 의정부시 의정부동 326-2,37.7380645,127.0338354,1650,2000,N,,,경기도 의정부시,2021-06-25
"의정부역 지하상가",공공용,경기도 의정부시 시민로 89,경기도 의정부시 의정부동 495,37.73869343,127.0452305,4059,4920,N,,,경기도 의정부시,2021-06-25
KT의정부지사,공공용,경기도 의정부시 신흥로 174,경기도 의정부시 의정부동 587,37.73160554,127.0441719,660,800,N,,,경기도 의정부시,2021-06-25
"경기도일자리재단",공공용,경기도 의정부시 범골로 137,경기도 의정부시 의정부동 510,37.73618866,127.0407508,660,800,N,,,경기도 의정부시,2021-06-25
"동화아파트",공공용,경기도 의정부시 범골로 60,경기도 의정부시 의정부동 303-16,37.73006607,127.0390136,5610,6800,N,,,경기도 의정부시,2021-06-25
"의정부예술의전당",공공용,경기도 의정부시 의정로 1,경기도 의정부시 의정부동 323,37.7333846,127.0341291,6270,7600,N,,,경기도 의정부시,2021-06-25
"센트럴타워",공공용,경기도 의정부시 시민로 80,경기도 의정부시 의정부동 494-7,37.73797687,127.0440933,26532,32160,N,,,경기도 의정부시,2021-06-25
"한국마사회 의정부지점",공공용,경기도 의정부시 시민로 45,경기도 의정부시 가능동 754-21,37.73860889,127.0400758,4861,5892,N,,,경기도 의정부시,2021-06-25
"백석천제1지하공영주차장",공공용,경기도 의정부시 시민로 12,경기도 의정부시 의정부동 489,37.73758163,127.0363738,11908,14433,N,,,경기도 의정부시,2021-06-25
"백석천제2지하공영주차장",공공용,경기도 의정부시 시민로19번길 13,경기도 의정부시 의정부동 488,37.7386919,127.0357766,8396,10176,N,,,경기도 의정부시,2021-06-25
"건영아파트",공공용,경기도 의정부시 평화로168번길 12,경기도 의정부시 호원동 123-1,37.70643647,127.0490515,31954,38732,N,,,경기도 의정부시,2021-06-25
"우성1차아파트",공공용,경기도 의정부시 안말로85번길 10,경기도 의정부시 호원동 447-8,37.71491678,127.0493083,9375,11363,N,,,경기도 의정부시,2021-06-25
"우성2차아파트",공공용,경기도 의정부시 평화로230번길 36,경기도 의정부시 호원동 456-2,37.71225965,127.0492663,3673,4452,N,,,경기도 의정부시,2021-06-25
"우성3차아파트",공공용,경기도 의정부시 평화로322번길 52,경기도 의정부시 호원동 430-2,37.72366392,127.0494088,5838,7076,N,,,경기도 의정부시,2021-06-25
"우성5차아파트",공공용,경기도 의정부시 안말로 90,경기도 의정부시 호원동 451-5,37.71425523,127.0494445,1907,2311,N,,,경기도 의정부시,2021-06-25
"한주3차아파트",공공용,경기도 의정부시 평화로322번길 10,경기도 의정부시 호원동 436,37.72015293,127.0478556,13019,15780,N,,,경기도 의정부시,2021-06-25
"미도아파트",공공용,경기도 의정부시 전좌로 204,경기도 의정부시 호원동 318-1,37.72527829,127.0427086,2561,3104,N,,,경기도 의정부시,2021-06-25
"한신2차아파트",공공용,경기도 의정부시 회룡로105번길 7,경기도 의정부시 호원동 10-3,37.72630397,127.0443837,2191,2655,N,,,경기도 의정부시,2021-06-25
"쌍용아파트",공공용,경기도 의정부시 회룡로105번길 30,경기도 의정부시 호원동 6-3,37.72761757,127.0460692,2963,3591,N,,,경기도 의정부시,2021-06-25
"신도5차아파트",공공용,경기도 의정부시 회룡로149번길 9,경기도 의정부시 호원동 419-2,37.72706059,127.0500267,1670,2024,N,,,경기도 의정부시,2021-06-25
"현대아파트",공공용,경기도 의정부시 회룡로137번길 30,경기도 의정부시 호원동 419-1,37.7273304,127.0494716,990,1200,N,,,경기도 의정부시,2021-06-25
"한주5차아파트",공공용,경기도 의정부시 회룡로138번길 12,경기도 의정부시 호원동 424-1,37.72521914,127.0492838,2716,3292,N,,,경기도 의정부시,2021-06-25
"신일유토빌아파트",공공용,경기도 의정부시 호암로 256,경기도 의정부시 호원동 55-4,37.72291667,127.0446172,53470,64812,N,,,경기도 의정부시,2021-06-25
"주공7단지아파트",공공용,경기도 의정부시 회룡로 254,경기도 의정부시 장암동 17-32,37.72602068,127.0604426,6643,8052,N,,,경기도 의정부시,2021-06-25
"우성아파트",공공용,경기도 의정부시 동일로 400,경기도 의정부시 장암동 산 9-10,37.72347566,127.0612206,4907,5947,N,,,경기도 의정부시,2021-06-25
"장암동아아파트",공공용,경기도 의정부시 장곡로 240,경기도 의정부시 장암동 20,37.72561798,127.0528783,5485,6648,N,,,경기도 의정부시,2021-06-25
"대우푸르지오아파트",공공용,경기도 의정부시 장곡로226번길 52,경기도 의정부시 장암동 37,37.72378851,127.0543515,620,751,N,,,경기도 의정부시,2021-06-25
