"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"우성아파트",공공용,경기도 이천시 갈산로87번길10-3,경기도 이천시 갈산동 468-1,37.29043664,127.4643302,1171,1419,Y,주차장,031-644-3869,경기도 이천시청,2020-12-14
"신일해피트리",공공용,경기도 이천시 갈산로87번길59,경기도 이천시 갈산동 777,37.29154479,127.4648197,7611,9225,Y,주차장,031-644-3869,경기도 이천시청,2020-12-14
"갈산동힐스테이트",공공용,경기도 이천시 향교로 168,경기도 이천시 갈산동 781,37.28387445,127.4557469,9916,12019,Y,주차장,031-644-3869,경기도 이천시청,2020-12-14
"갈산 현진에버빌",공공용,경기도 이천시 안흥로60,경기도 이천시 갈산동 782,37.2829065,127.4563501,17142,20778,Y,주차장,031-644-3869,경기도 이천시청,2020-12-14
"설봉1차프루지오",공공용,경기도 이천시 향교로 159,경기도 이천시 갈산동 783,37.28440338,127.4540477,10155,12309,Y,주차장,031-644-3869,경기도 이천시청,2020-12-14
"갈산휴먼시아3단지",공공용,경기도 이천시 영창로 315,경기도 이천시 갈산동 785,37.28187462,127.4584276,5425,6575,Y,주차장,031-644-3869,경기도 이천시청,2020-12-14
"화성파크드림",공공용,경기도 이천시 안흥로 67,경기도 이천시 갈산동 789,37.28429693,127.4546037,6472,7844,Y,주차장,031-644-3869,경기도 이천시청,2020-12-14
"두산아파트",공공용,경기도 이천시 영창로 90,경기도 이천시 관고동 194,37.284109,127.4322754,1757,2129,Y,주차장,031-644-8792,경기도 이천시청,2020-12-14
"대원새설봉아파트",공공용,경기도 이천시 경충대로2674번길 36,경기도 이천시 관고동 500-3,37.27849115,127.4370126,2079,2520,Y,주차장,031-644-8792,경기도 이천시청,2020-12-14
"벽산블루밍아파트",공공용,경기도 이천시 영창로 108,경기도 이천시 관고동 514,37.2830543,127.4352912,9197,11147,Y,주차장,031-644-8792,경기도 이천시청,2020-12-14
"휴먼시아",공공용,경기도 이천시 부발읍 무촌로 105,경기도 이천시 부발읍 무촌리 544,37.28386122,127.4862473,11193,13567,Y,주차장,031-644-8465,경기도 이천시청,2020-12-14
"신한아파트",공공용,경기도 이천시 부발읍 경충대로2216-33,경기도 이천시 부발읍 신하리 362-3,37.26049002,127.4805643,7318,8870,Y,주차장,031-644-8465,경기도 이천시청,2020-12-14
"삼익아파트",공공용,경기도 이천시 부발읍 경충대로 2241,경기도 이천시 부발읍 신하리 481-1,37.25928491,127.4773481,8244,9992,Y,주차장,031-644-8465,경기도 이천시청,2020-12-14
"유승아파트",공공용,경기도 이천시 부발읍 경충대로 2227-1,경기도 이천시 부발읍 신하리 487-9,37.25833991,127.4783998,2230,2703,Y,주차장,031-644-8465,경기도 이천시청,2020-12-14
"청구아파트",공공용,경기도 이천시 부발읍 경충대로 2177,경기도 이천시 부발읍 신하리 559-3,37.25749679,127.4836138,3827,4638,Y,주차장,031-644-8465,경기도 이천시청,2020-12-14
"현대성우1차",공공용,경기도 이천시 부발읍 경충대로2092번길 39-52,경기도 이천시 부발읍 아미리 1244,37.25573731,127.4908484,7811,9467,Y,주차장,031-644-8465,경기도 이천시청,2020-12-14
"현대성우2차",공공용,경기도 이천시 부발읍 경충대로2092번길 39-50,경기도 이천시 부발읍 아미리 1245,37.25441464,127.4925507,17613,21349,Y,주차장,031-644-8465,경기도 이천시청,2020-12-14
"현대성우3차",공공용,경기도 이천시 부발읍 경충대로2050번길 15-44,경기도 이천시 부발읍 아미리 1246,37.25040927,127.4936968,12638,15318,Y,주차장,031-644-8465,경기도 이천시청,2020-12-14
"현대성우4차",공공용,경기도 이천시 부발읍 경충대로2050번길 43,경기도 이천시 부발읍 아미리 1247,37.24853585,127.4935223,12662,15347,Y,주차장,031-644-8465,경기도 이천시청,2020-12-14
"현대3차아파트",공공용,경기도 이천시 부발읍 경충대로 2037,경기도 이천시 부발읍 아미리 699-7,37.24661507,127.4917335,4631,5613,Y,주차장,031-644-8465,경기도 이천시청,2020-12-14
