"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"임진각",정부지원,경기도 파주시 문산읍 임진각로 148-53,경기도 파주시 문산읍 마정리 1325,37.8903028,126.7402706,470,329,N,안보교육장,031-940-8004,문산읍,2019-02-28
"장산1리",정부지원,경기도 파주시 문산읍 장산로 200,경기도 파주시 문산읍 장산리 323-13,37.900013,126.7766956,133,93,N,마을회의장,031-940-8004,문산읍,2019-02-28
"운천3리",정부지원,경기도 파주시 문산읍 통일로2028번길,경기도 파주시 문산읍 운천리 56-65,37.524911,126.461637,133,93,N,마을회의장,031-940-8004,문산읍,2019-02-28
"운천4리",정부지원,경기도 파주시 문산읍 충의로124번길 3,경기도 파주시 문산읍 운천리 53-78,37.8854708,126.7811685,133,93,N,마을회의장,031-940-8004,문산읍,2019-02-28
"마정2리",정부지원,경기도 파주시 문산읍 마정로138번길 14,경기도 파주시 문산읍 마정리 536-21,37.89191174,126.759335,160,112,N,마을회의장,031-940-8004,문산읍,2019-02-28
"봉암4리",정부지원,경기도 파주시 파주읍 새봉암길 55,경기도 파주시 파주읍 봉암리 358-4,37.8316984,126.7946244,154,108,N,마을회의장,031-940-8023,파주읍,2019-02-28
"대동리",정부지원,경기도 파주시 탄현면 새오리로 318,경기도 파주시 탄현면 대동리 242,37.8101981,126.690468,219,153,N,마을회의장,031-940-8092,탄현면,2019-02-28
"금산리",정부지원,경기도 파주시 탄현면 헤이리로 354,경기도 파주시 탄현면 금산리 112-6,37.80747785,126.7125333,132,92,N,마을회의장,031-940-8092,탄현면,2019-02-28
"오금2리",정부지원,경기도 파주시 탄현면 방촌로879번길 85,경기도 파주시 탄현면 오금리 산25,37.82085445,126.7181739,132,92,N,마을회의장,031-940-8092,탄현면,2019-02-28
"파평면사무소",정부지원,경기도 파주시 파평면 청송로 189-21,경기도 파주시 파평면 금파리 285-5,37.9218823,126.8379545,140,98,N,마을회의장,031-940-8178,파평면,2019-02-28
"금파2리",정부지원,경기도 파주시 파평면 금마루4길 8,경기도 파주시 파평면 금파리 398-16,37.9303412,126.8348275,153,107,N,마을회의장,031-940-8178,파평면,2019-02-28
"두포2리",정부지원,경기도 파주시 파평면 파평산로363번길 34,경기도 파주시 파평면 두포리 91-1,37.89269276,126.8416786,218,152,N,마을회의장,031-940-8178,파평면,2019-02-28
"눌노리",정부지원,경기도 파주시 파평면 청송로446번길 37-51,경기도 파주시 파평면 눌노리 12-30,37.93099873,126.8661202,218,152,N,마을회의장,031-940-8178,파평면,2019-02-28
"장파2리",정부지원,경기도 파주시 파평면 장마루로 207-2,경기도 파주시 파평면 장파리 370-169,37.9405481,126.8364433,193,135,N,체육시설,031-940-8178,파평면,2019-02-28
"통일촌",정부지원,경기도 파주시 군내면 통일촌길 220,경기도 파주시 군내면 백연리 480-1,37.9062269,126.7310796,285,199,N,마을회의장,031-940-8252,장단출장소,2019-02-28
"대성동",정부지원,경기도 파주시 군내면 조산리 392,경기도 파주시 군내면 조산리 392,37.563116,126.404415,133,93,N,마을회의장,031-940-8252,장단출장소,2019-02-28
"해마루촌",정부지원,경기도 파주시 진동면 해마루길 111,경기도 파주시 진동면 동파리 1759,37.9258706,126.7871251,133,93,N,마을회의장,031-940-8252,장단출장소,2019-02-28
"율곡아파트",공공용,경기도 파주시 문산읍 문향로 17번길 39,경기도 파주시 문산읍 문산리 33-6,37.8536223935,126.7839621698,3287,3984,Y,아파트 지하주차장,031-940-8004,문산읍,2019-02-28
"문성세성아파트",공공용,경기도 파주시 문산읍 당동1로 46,경기도 파주시 문산읍 당동리 170-2,37.8636882,126.774512,5138,6228,Y,아파트 지하주차장,031-940-8004,문산읍,2019-02-28
"일신건영휴먼빌아파트",공공용,경기도 파주시 문산읍 문향로 11,경기도 파주시 문산읍 문산리 145,37.8532958975,126.7847539661,17024,2928,Y,아파트 지하주차장,031-940-8004,문산읍,2019-02-28
"파주힐스테이트1차아파트",공공용,경기도 파주시 문산읍 방촌로 1744,경기도 파주시 문산읍 당동리 935,37.8673135,126.7862286,33274,3029,Y,아파트 지하주차장,031-940-8004,문산읍,2019-02-28
"파주선유두산위브아파트",공공용,경기도 파주시 우계로 470,경기도 파주시 문산읍 선유리 1350,37.8591686033,126.7919459543,14808,2419,Y,아파트 지하주차장,031-940-8004,문산읍,2019-02-28
"문산호수아파트",공공용,경기도 파주시 문산읍 문산로26번길 13,경기도 파주시 문산읍 문산리 10-93,37.8567132,126.7826195,1758,2131,Y,아파트 지하주차장,031-940-8004,문산읍,2019-02-28
"장안8차아파트",공공용,경기도 파주시 문산읍 독산로 11,경기도 파주시 문산읍 문산리 97,37.8583522,126.7798030535,15200,1766,Y,아파트 지하주차장,031-940-8004,문산읍,2019-02-28
"효형아파트",공공용,경기도 파주시 문산읍 당동1로 50-26,경기도 파주시 문산읍 당동리 170-3,37.8640828,126.7751987,1103,1337,Y,아파트 지하주차장,031-940-8004,문산읍,2019-02-28
"진흥소슬마을아파트",공공용,경기도 파주시 문산읍 우계로457번길 29,경기도 파주시 문산읍 선유리 1357,37.8579846,126.7908566,6540,7927,Y,아파트 지하주차장,031-940-8004,문산읍,2019-02-28
"파주문산신원아침도시아파트",공공용,경기도 파주시 문산읍 방촌로 1648,경기도 파주시 문산읍 문산리 142,37.8609047864,126.7795953742,14028,3062,Y,아파트 지하주차장,031-940-8004,문산읍,2019-02-28
"문산선유주공2단지아파트",공공용,경기도 파주시 문산읍 사임당로 65,경기도 파주시 문산읍 선유리 1358,37.8645603,126.8006615,9875,11970,Y,아파트 지하주차장,031-940-8004,문산읍,2019-02-28
"파주힐스테이트2차아파트",공공용,경기도 파주시 문산읍 당동1로 67,경기도 파주시 문산읍 당동리 940,37.8637492,126.7720676,22316,2179,Y,아파트 지하주차장,031-940-8004,문산읍,2019-02-28
"태형미림아파트",공공용,경기도 파주시 조리읍 두루봉로 37,경기도 파주시 조리읍 봉일천리 262,37.7472651,126.8114065,1807,2190,Y,아파트 지하주차장,031-940-8122,조리읍,2019-02-28
"윤창아파트",공공용,경기도 파주시 조리읍 두루봉로 21,경기도 파주시 조리읍 봉일천리 237-5,37.7464941,126.8104498,911,1104,Y,아파트 지하주차장,031-940-8122,조리읍,2019-02-28
"동문아파트",공공용,경기도 파주시 조리읍 고봉로 1016,경기도 파주시 조리읍 봉일천리 147-1,37.7422678,126.8078875,3119,3781,Y,아파트 지하주차장,031-940-8122,조리읍,2019-02-28
"태형내산마을아파트",공공용,경기도 파주시 조리읍 두루봉로 37,경기도 파주시 조리읍 봉일천리 262,37.7472651,126.8114065,1200,1455,Y,아파트 지하주차장,031-940-8122,조리읍,2019-02-28
"성원아파트",공공용,경기도 파주시 조리읍 송비말길 22,경기도 파주시 조리읍 봉일천리 156-1,37.7421842428,126.806531,1600,1939,Y,아파트 지하주차장,031-940-8122,조리읍,2019-02-28
