"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"현대홈타운아파트",공공용,경기도 평택시 팽성읍 송화택지로 38 (송화마을현대홈타운),경기도 평택시 팽성읍 송화리 785-1,36.96133276,127.0552996,5541,6716,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
"우미이노스빌아파트",공공용,경기도 평택시 팽성읍 팽성송화로 154 (송화지구우미이노스빌),경기도 평택시 팽성읍 송화리 788-1,36.96080732,127.0610348,13897,16845,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
"송화주공아파트",공공용,경기도 평택시 팽성읍 팽성송화로 163 (주공아파트),경기도 평택시 팽성읍 송화리 786-1,36.96250254,127.058714,3773,4573,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
"송화마을대원아파트",공공용,경기도 평택시 팽성읍 부용로 36 (대원아파트),경기도 평택시 팽성읍 송화리 790-1,36.96305715,127.0596397,7316,8868,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
"롯데인벤스스카이",공공용,"경기도 평택시 평택로 17 (평택동, 롯데인벤스 스카이)",경기도 평택시 평택동 316,36.98910554,127.0887802,6528,7913,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
sk합정아파트,공공용,"경기도 평택시 참이슬길 5 (합정동, SK2차 합정아파트)",경기도 평택시 합정동 880,36.99022371,127.1169449,3489,4229,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
"참이슬아파트",공공용,,경기도 평택시 합정동 870,36.9896742379,127.1185751334,12613,15288,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
sk주상복합아파트,공공용,"경기도 평택시 중앙로 176 (합정동, 평택합정 SK VIEW 주상복합)",경기도 평택시 합정동 766-2,36.99150627,127.1019393,2500,3030,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
"삼성아파트",공공용,"경기도 평택시 평남로 281 (통복동, 삼성아파트)",경기도 평택시 통복동 477,36.99141521,127.0796166,2753,3337,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
"군문주공1단지",공공용,"경기도 평택시 원평로25번길 63 (군문동, 평택군문1단지 주공아파트)",경기도 평택시 군문동 370,36.98611143,127.0822709,6015,7291,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
"군문주공2단지",공공용,"경기도 평택시 원평로25번길 61 (군문동, 평택군문2단지 주공아파트)",경기도 평택시 군문동 360,36.98701882,127.0835569,7191,8716,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
"우림필유아파트",공공용,"경기도 평택시 비전1로 69 (비전동, 우림필유아파트)",경기도 평택시 비전동 922,37.00094067,127.0907667,3640,4412,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
"삼익사이버아파트",공공용,"경기도 평택시 동삭로 397 (동삭동, 삼익사이버아파트)",경기도 평택시 동삭동 343-2,37.02157042,127.0970709,10603,12852,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
"비전롯데캐슬아파트",공공용,"경기도 평택시 평택5로 271 (비전동, 비전롯데캐슬아파트)",경기도 평택시 비전동 946,36.99955988,127.0957756,20994,25447,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
"효성백년가약아파트",공공용,"경기도 평택시 평남로 865 (비전동, 평택 비전동 효성백년가약)",경기도 평택시 비전동 1089,37.00167829,127.1053772,39047,47330,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
"휴먼시아1단지아파트",공공용,"경기도 평택시 경기대로 506 (비전동, 휴먼시아1단지)",경기도 평택시 비전동 1005,37.00381144,127.0931834,14349,17393,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
"휴먼시아2단지아파트",공공용,"경기도 평택시 경기대로 508 (비전동, 휴먼시아2단지)",경기도 평택시 비전동 1004,37.00464578,127.0955348,14228,17246,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
"서재자이아파트",공공용,"경기도 평택시 서재로 36 (동삭동, 서재자이아파트)",경기도 평택시 동삭동 715-1,37.01199697,127.1018229,30850,37394,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
"엘에이치이곡마을3단지",공공용,"경기도 평택시 비전2로 70 (비전동, 엘에이치이곡마을3단지)",경기도 평택시 비전동 1008,37.00399377,127.0994663,15708,19040,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
"뉴코아백화점",공공용,경기도 평택시 경기대로 279 (비전동),경기도 평택시 비전동 830-1,36.99555521,127.1125045,11023,13361,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
"소사SK뷰아파트",공공용,"경기도 평택시 소사2길 9 (소사동, 평택 소사 에스케이뷰 아파트)",경기도 평택시 소사동 524,36.99012092,127.1223771,24256,29401,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
"평택시청",공공용,경기도 평택시 경기대로 245 (비전동),경기도 평택시 비전동 846,36.99230048,127.1125267,4424,5362,Y,주차장,031-8024-4943,경기도 평택시청,2020-05-28
