"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"원일산호아파트",공공용,경기도 포천시 소흘읍 봉솔로2길 15,,37.82677987,127.1431126,3717,4505,Y,,,경기도 포천시소흘읍사무소,2021-07-31
"일신건영아파트",공공용,경기도 포천시 소흘읍 솔모루로 13-14,,37.82511743,127.141626,2280,2764,Y,,,경기도 포천시소흘읍사무소,2021-07-31
"동남중고등학교",공공용,경기도 포천시 소흘읍 솔모루로3번길 69,,37.82695298,127.135633,919,1114,Y,,,경기도 포천시소흘읍사무소,2021-07-31
"상운아파트",공공용,경기도 포천시 소흘읍 검바위길 84,,37.81956845,127.1477762,3261,3953,Y,,,경기도 포천시소흘읍사무소,2021-07-31
"소흘읍사무소",공공용,경기도 포천시 소흘읍 호국로 567,,37.82349671,127.1384307,789,956,Y,,,경기도 포천시소흘읍사무소,2021-07-31
"송천마을 주공2단지",공공용,경기도 포천시 소흘읍태봉로 227,,37.83369125,127.147299,8843,10719,Y,,,경기도 포천시소흘읍사무소,2021-07-31
"태봉마을 주공3단지",공공용,경기도 포천시 소흘읍 태봉로 153,,37.83083935,127.1394691,12074,14635,Y,,,경기도 포천시소흘읍사무소,2021-07-31
"고은마을 주공4단지",공공용,경기도 포천시 소흘읍 태봉로 124,,37.82716214,127.1405753,11617,14081,Y,,,경기도 포천시소흘읍사무소,2021-07-31
"개나리아파트",공공용,경기도 포천시 소흘읍 솔모루로81번길 27,,37.83006063,127.1456697,1237,1499,Y,,,경기도 포천시소흘읍사무소,2021-07-31
"영화아파트",공공용,경기도 포천시 소흘읍 봉솔로 9,,37.82451212,127.1385576,9491,11504,Y,,,경기도 포천시소흘읍사무소,2021-07-31
"전원우정아파트",공공용,경기도 포천시 소흘읍 솔모루로3번길52-36,,37.82677982,127.1376532,5861,7104,Y,,,경기도 포천시소흘읍사무소,2021-07-31
"대방노블랜드 1차아파트",공공용,경기도 포천시 소흘읍 호국로429번길 11,,37.811148,127.133286,3888,4713,Y,,,경기도 포천시소흘읍사무소,2021-07-31
"군내면사무소",공공용,경기도 포천시 군내면 청군로3290번길 16,,37.888944,127.2177707,598,725,Y,,,경기도 포천시 군내면사무소,2021-07-31
"포천시종합사회복지관",공공용,경기도 포천시 군내면 청성로 5,,37.904846,127.212802,739,896,Y,,,경기도 포천시 군내면사무소,2021-07-31
"반월아트홀",공공용,경기도 포천시 군내면 청성로 111,,37.89610864,127.2124184,1661,2013,Y,,,경기도 포천시 군내면사무소,2021-07-31
"베어스타운",공공용,경기도 포천시 내촌면 금강로 2536번길 27,,37.79991851,127.2451998,396,480,Y,,,경기도 포천시 군내면사무소,2021-07-31
"가산농협내촌지소",공공용,경기도 포천시 내촌면 내촌로68,,37.785688,127.2281575,586,710,Y,,,경기도 포천시 내촌면사무소,2021-07-31
"신팔2리마을회관",공공용,경기도 포천시 내촌면 금강로 3029번길 56,,37.8363235,127.2688583,33,40,Y,,,경기도 포천시 내촌면사무소,2021-07-31
"가산농협",공공용,경기도 포천시 가산면 선마로223,,37.84821089,127.1861434,77,93,Y,,,경기도 포천시 가산면사무소,2021-07-31
"사회복지법인 효담양로원",공공용,경기도 포천시 가산면 부흥로 718,,37.81125427,127.1913747,1152,1396,Y,,,경기도 포천시 가산면사무소,2021-07-31
"한샘아카데미",공공용,경기도 포천시 가산면 부흥로 641-27,,37.81134596,127.1819548,671,220,Y,,,경기도 포천시 가산면사무소,2021-07-31
"포천여자중학교",공공용,경기도 포천시 신북면 중앙로 197번길 65,,37.90551643,127.1999927,602,497,Y,,,경기도 포천시 신북면사무소,2021-07-31
"농업회사법인(주)정우식품",공공용,경기도 포천시 신북면 중앙로 378,,37.91793145,127.2149931,609,500,Y,,,경기도 포천시 신북면사무소,2021-07-31
