"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"부영아파트",공공용,"경기도 하남시 대청로 119 (창우동, 부영아파트)",경기도 하남시 창우동 518,37.53960413,127.2273843,26782,32463,Y,주차장,031-790-6161,하남시청,2020-12-11
"동일아파트",공공용,"경기도 하남시 대청로59번길 20 (신장동, 더우개마을동일아파트)",경기도 하남시 신장동 100,37.54127382,127.2194489,17785,21557,Y,주차장,031-790-6161,하남시청,2020-12-11
"한국아파트",공공용,"경기도 하남시 대청로59번길 15 (신장동, 한국아파트)",경기도 하남시 신장동 527,37.54305568,127.2177677,3285,3981,Y,주차장,031-790-6161,하남시청,2020-12-11
"신안아파트",공공용,"경기도 하남시 대청로116번길 59 (창우동, 꿈동산신안아파트)",경기도 하남시 창우동 521,37.53559416,127.225493,20078,24336,Y,주차장,031-790-6161,하남시청,2020-12-11
"덕풍현대아파트",공공용,"경기도 하남시 대성로 259 (덕풍동, 덕풍현대아파트)",경기도 하남시 덕풍동 524,37.53233451,127.2006846,4432,5372,Y,주차장,031-790-6161,하남시청,2020-12-11
"라인아파트",공공용,"경기도 하남시 하남대로 895 (덕풍동, 라인아파트)",경기도 하남시 덕풍동 336-40,37.54490958,127.1995099,8813,10682,Y,주차장,031-790-6161,하남시청,2020-12-11
"서해아파트",공공용,"경기도 하남시 신장로205번길 16 (덕풍동, 덕풍서해아파트)",경기도 하남시 덕풍동 346,37.54332185,127.1974658,5500,6666,Y,주차장,031-790-6161,하남시청,2020-12-11
"계명빌딩",공공용,"경기도 하남시 신장로 130-5 (덕풍동, 계명빌딩)",경기도 하남시 덕풍동 419-32,37.53869109,127.2038784,2489,3016,Y,주차장,031-790-6161,하남시청,2020-12-11
"진모루마을현대아파트",공공용,경기도 하남시 신평로 81 (덕풍동),경기도 하남시 덕풍동 404-1,37.54104334,127.2058973,2718,3294,Y,주차장,031-790-6161,하남시청,2020-12-11
"덕풍쌍용아파트",공공용,"경기도 하남시 역말로15번길 35 (덕풍동, 덕풍쌍용아파트)",경기도 하남시 덕풍동 537-1,37.53331053,127.1992691,17609,21344,Y,주차장,031-790-6161,하남시청,2020-12-11
"동신아파트",공공용,"경기도 하남시 하남대로739번길 54 (신장동, 석바대마을 동신아파트)",경기도 하남시 신장동 452-1,37.53711229,127.2103377,4440,5381,Y,주차장,031-790-6161,하남시청,2020-12-11
"한솔리치빌1단지 아파트",공공용,"경기도 하남시 덕산로 39 (덕풍동, 한솔리치빌아파트1단지)",경기도 하남시 덕풍동 681,37.53249488,127.1973753,19260.1,23345,Y,주차장,031-790-6161,하남시청,2020-12-11
"한솔리치빌2단지 아파트",공공용,"경기도 하남시 덕산로 60 (덕풍동, 한솔리치빌아파트2단지)",경기도 하남시 덕풍동 684,37.53532911,127.1967546,8967,10869,Y,주차장,031-790-6161,하남시청,2020-12-11
"덕풍2동행정복지센터",공공용,"경기도 하남시 덕풍공원로 12 (덕풍동, 덕풍2동주민센터)",경기도 하남시 덕풍동 693,37.54228286,127.1981435,557,675,Y,주차장,031-790-6161,하남시청,2020-12-11
"벽산블루밍아파트",공공용,"경기도 하남시 신평로 36 (덕풍동, 벽산블루밍아파트)",경기도 하남시 덕풍동 695,37.53714807,127.2045382,10681,12946,Y,주차장,031-790-6161,하남시청,2020-12-11
"풍산참아름아파트",공공용,"경기도 하남시 덕풍동로 60 (덕풍동, 참아름)",경기도 하남시 덕풍동 821,37.54692071,127.2059584,15118,18324,Y,주차장,031-790-6161,하남시청,2020-12-11
"풍산아이파크1단지 아파트",공공용,"경기도 하남시 덕풍남로 11 (덕풍동, 하남풍산아이파크1단지)",경기도 하남시 덕풍동 823,37.54678459,127.2098866,28067,34020,Y,주차장,031-790-6161,하남시청,2020-12-11
"덕풍동공원 공영주차장",공공용,"경기도 하남시 덕풍공원로 80 (덕풍동, 덕풍공원공영주차장)",경기도 하남시 덕풍동 산 51-2,37.53693059,127.1998401,4703,5700,Y,주차장,031-790-6161,하남시청,2020-12-11
"성원상떼빌아파트",공공용,"경기도 하남시 신장로 104 (신장동, 성원상떼빌)",경기도 하남시 신장동 430-7,37.53764594,127.2065167,4511.84,5469,Y,주차장,031-790-6161,하남시청,2020-12-11
"진도로르빌아파트",공공용,"경기도 하남시 신평로55번길 8 (신장동, 진도로르빌)",경기도 하남시 신장동 427-66,37.5390207,127.2045913,4388,5318,Y,주차장,031-790-6161,하남시청,2020-12-11
"명지캐럿아파트",공공용,"경기도 하남시 하남대로 815 (신장동, 명지캐럿108)",경기도 하남시 신장동 415-10,37.54120437,127.206967,4241,5140,Y,주차장,031-790-6161,하남시청,2020-12-11
"덕풍어린이공원 공영주차장",공공용,경기도 하남시 덕풍공원로 40-1 (덕풍동),경기도 하남시 덕풍동 361-2,37.53996214,127.1973457,1390,1684,Y,주차장,031-790-6161,하남시청,2020-12-11
"에코타운3단지 아파트",공공용,"경기도 하남시 하남대로802번길 111 (신장동, 에코타운)",경기도 하남시 신장동 560,37.54244457,127.2139069,19914,24138,Y,주차장,031-790-6161,하남시청,2020-12-11
"에코타운2단지 아파트",공공용,"경기도 하남시 하남대로802번길 55 (신장동, 에코타운)",경기도 하남시 신장동 561,37.54217504,127.2105186,9100,11030,Y,주차장,031-790-6161,하남시청,2020-12-11
"에코타운1단지 아파트",공공용,"경기도 하남시 하남대로784번길 29 (신장동, 에코타운)",경기도 하남시 신장동 562,37.54076292,127.2106632,9327,11305,Y,주차장,031-790-6161,하남시청,2020-12-11
"은행아파트",공공용,"경기도 하남시 대청로116번길 30 (창우동, 은행뉴서울아파트)",경기도 하남시 창우동 520,37.53951065,127.2215779,20896,25328,Y,주차장,031-790-6161,하남시청,2020-12-11
"현대홈타운아파트",공공용,"경기도 하남시 신장로76번길 50 (신장동, 현대홈타운)",경기도 하남시 신장동 568,37.53645512,127.2118917,5046,6116,Y,주차장,031-790-6161,하남시청,2020-12-11
"대명강변타운아파트",공공용,"경기도 하남시 대청로 79 (신장동, 대명강변타운아파트)",경기도 하남시 신장동 569,37.54055061,127.2214169,42209,51162,Y,주차장,031-790-6161,하남시청,2020-12-11
"백조현대아파트",공공용,"경기도 하남시 대청로 62 (신장동, 백조현대아파트)",경기도 하남시 신장동 528,37.54003331,127.2187327,3304,4004,Y,주차장,031-790-6161,하남시청,2020-12-11
"창우마을아파트",공공용,"경기도 하남시 대청로116번길 25 (창우동, 창우마을아파트)",경기도 하남시 창우동 537,37.53796838,127.2247394,4584,5556,Y,주차장,031-790-6161,하남시청,2020-12-11
"중앙포털상가",공공용,경기도 하남시 서하남로 42 (감북동),경기도 하남시 감북동 419-25,37.51589101,127.1484835,330,400,Y,주차장,031-790-6161,하남시청,2020-12-11
"마고앤로렌",공공용,경기도 하남시 초이로 144 (초이동),경기도 하남시 초이동 167-4,37.54343752,127.1720876,450,545,N,가구매장,031-790-6161,하남시청,2020-12-11
"미사강변15단지아파트",공공용,"경기도 하남시 아리수로 589 (망월동, 미사강변파밀리에)",경기도 하남시 망월동 910,37.5686438,127.1922847,34827,42214,Y,주차장,031-790-6161,하남시청,2020-12-11
"미사강변28단지아파트",공공용,"경기도 하남시 미사강변동로 50 (망월동, 미사강변도시28단지)",경기도 하남시 망월동 1162,37.56092806,127.1954552,33126,40152,Y,주차장,031-790-6161,하남시청,2020-12-11
"미사2동 행정복지센터",공공용,"경기도 하남시 아리수로 531 (망월동, 미사2동주민센터)",경기도 하남시 망월동 981,37.56717686,127.1860633,548,664,Y,주차장,031-790-6161,하남시청,2020-12-11
"미사강변9단지아파트",공공용,"경기도 하남시 미사강변한강로 110 (선동, 미사강변도시9단지)",경기도 하남시 선동 423,37.57639184,127.1878457,27023,32755,Y,주차장,031-790-6161,하남시청,2020-12-11
"춘궁동 노인복지회관",공공용,"경기도 하남시 서하남로 488 (춘궁동, 하남시노인복지회관)",경기도 하남시 춘궁동 334,37.52198119,127.1940072,672,814,Y,주차장,031-790-6161,하남시청,2020-12-11
"미사강변도시26단지아파트",공공용,"경기도 하남시 미사강변중앙로 100 (풍산동, 미사강변도시26단지)",경기도 하남시 풍산동 567,37.5559928,127.1933591,2908,3524,Y,주차장,031-790-6161,하남시청,2020-12-11
