"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"풍성신미주 제2주차장",공공용,경기도 화성시 융건로 99,경기도?화성시?기안동 895 풍성신미주아파트,37.22253035,126.9856407,4982,6039,Y,지하주차장,031-5189-2165,화성시청,2020-03-01
"신일해피트리 제5주차장",공공용,경기도 화성시 효행로291번길 24,경기도?화성시?기안동 910 신일해피트리아파트,37.22312343,126.9764515,2730,3309,Y,지하주차장,031-5189-2165,화성시청,2020-03-01
"아이리스 오피스텔(지하주차장)",공공용,경기도?화성시?남양읍?시청로?50,경기도?화성시?남양읍 남양리 1748 아이리스오피스텔,37.20462108,126.8208632,765,927,Y,지하주차장,031-5189-2165,화성시청,2020-03-01
"현대사원아파트(지하주차장)",공공용,경기도?화성시?남양읍?남양리?1842?현대아파트,경기도?화성시?남양읍?남양로621번길?38(현대아파트),37.19843939,126.8243441,1666,2019,Y,지하주차장,031-5189-2165,화성시청,2020-03-01
"대광파인밸리 2차(지하주차장)",공공용,경기도?화성시?남양읍?시청로102번길?82,경기도?화성시?남양읍 신남리 1563 대광파인밸리골드,37.19761173,126.8183343,7600,9212,Y,지하주차장,031-5189-2165,화성시청,2020-03-01
"화성시청 민방위대피소(민원동 지하1층)",공공용,경기도 화성시 남양읍 시청로 159,경기도?화성시?남양읍 남양리 2000?화성시청,37.19749009,126.8302655,765,927,N,벙커,031-5189-2165,화성시청,2020-03-01
"아이리스 프라자(지하주차장)",공공용,경기도 화성시 남양읍 남양성지로147,경기도?화성시?남양읍 남양리 1268,37.20983881,126.8190583,1249,1514,Y,지하주차장,031-5189-2165,화성시청,2020-03-01
"대광파인밸리 1차(지하주차장)",공공용,경기도 화성시 남양읍 시청로 221,경기도?화성시?남양읍 남양리 2001 대광파인밸리아파트,37.19484969,126.8342425,22514,27290,Y,지하주차장,031-5189-2165,화성시청,2020-03-01
"남양아이파크(지하주차장)",공공용,경기도 화성시 남양읍 역골동로 68,경기도?화성시?남양읍 남양리 2048 남양 아이파크,37.20640152,126.8319363,11413,13834,Y,지하주차장,031-5189-2165,화성시청,2020-03-01
"남양우림필유(지하주차장)",공공용,경기도 화성시 남양읍 역골동로 94,경기도?화성시?남양읍 남양리 2047 남양우림필유아파트,37.2083599,126.8324129,11558,14010,Y,지하주차장,031-5189-2165,화성시청,2020-03-01
"남양우림아파트(지하주차장)",공공용,경기도 화성시 남양읍 남양성지로8-10,경기도?화성시?남양읍 남양리 415 우림아파트,37.20480292,126.8040481,9731,11795,Y,지하주차장,031-5189-2165,화성시청,2020-03-01
"시범다은마을 삼성레미안 아파트(지하주차장)",공공용,경기도 화성시 메타폴리스로 6,경기도?화성시?반송동 100 동탄시범다은마을 삼성래미안,37.20081129,127.0679504,15610,18921,Y,지하주차장,031-5189-2165,화성시청,2020-03-01
"동탄KCC스위첸 아파트(지하주차장)",공공용,경기도 화성시 동탄시범한빛길 38,경기도?화성시?반송동 19 동탄시범한빛마을 케이씨씨스위첸,37.21027941,127.0686187,18128,21973,Y,지하주차장,031-5189-2165,화성시청,2020-03-01
"한화꿈에그린아파트(지하주차장)",공공용,경기도 화성시 동탄시범한빛길 10,경기도?화성시?반송동 21 시범한빛마을한화꿈에그린아파트,37.20775382,127.0669596,16734,20284,Y,지하주차장,031-5189-2165,화성시청,2020-03-01
"월드반도아파트(지하주차장)",공공용,경기도 화성시 동탄중앙로187,경기도?화성시?반송동 80 동탄시범다은마을 월드메르디앙반도유보라,37.20204405,127.066826,47361,57407,Y,지하주차장,031-5189-2165,화성시청,2020-03-01
"삼부르네상스 아파트(지하주차장)",공공용,경기도 화성시 동탄반석로205,경기도?화성시?반송동 83 동탄시범한빛마을 삼부르네상스,37.20713941,127.0724542,22805,27642,Y,지하주차장,031-5189-2165,화성시청,2020-03-01
"롯데 대동 다숲케슬 아파트(지하주차장)",공공용,경기도 화성시 메타폴리스로22,경기도?화성시?반송동 101 동탄시범다은마을 롯데대동다숲캐슬아파트,37.20035477,127.0697411,1840,2230,Y,지하주차장,031-5189-2165,화성시청,2020-03-01
"아이파크 (지하주차장)",공공용,경기도 화성시 동탄반석로193,경기도?화성시?반송동 85 동탄시범한빛마을 동탄아이파크,37.20609144,127.0718065,28020,33964,Y,지하주차장,031-5189-2165,화성시청,2020-03-01
