"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"거창군청",공공용,경상남도 거창군 거창읍 중앙로 103 (거창군청),경상남도 거창군 거창읍 상림리 64-1,35.68667584,127.9095332,320,387,Y,식 당,055-940-3663,경상남도 거창군청,2020-12-10
"현대아파트",공공용,경상남도 거창군 거창읍 거열로8길 33 (현대아파트),경상남도 거창군 거창읍 상림리 367-3,35.68843797,127.9005878,693,840,Y,기계실,055-940-3663,경상남도 거창군청,2020-12-10
"삼아아파트",공공용,경상남도 거창군 거창읍 김천1길 14 ((주)삼아그린타운),경상남도 거창군 거창읍 김천리 255-1,35.67848703,127.9104158,1468,1779,Y,주차장,055-940-3663,경상남도 거창군청,2020-12-10
"신흥1차 아파트",공공용,경상남도 거창군 거창읍 강변로9길 41 (신흥아파트),경상남도 거창군 거창읍 대동리 54-4,35.6886677,127.9174759,940,1139,Y,주차장,055-940-3663,경상남도 거창군청,2020-12-10
"신흥2차 아파트",공공용,경상남도 거창군 거창읍 동동3길 15 (신흥2차아파트),경상남도 거창군 거창읍 대동리 88-1,35.68919462,127.9225391,2557,3099,Y,주차장,055-940-3663,경상남도 거창군청,2020-12-10
"무지개아파트",공공용,경상남도 거창군 거창읍 죽전7길 13 (무지개아파트),경상남도 거창군 거창읍 중앙리 13,35.69310247,127.9134433,214,259,Y,주차장,055-940-3663,경상남도 거창군청,2020-12-10
"거창읍사무소",공공용,경상남도 거창군 거창읍 거열로 90 (거창읍사무소),경상남도 거창군 거창읍 상림리 820,35.68797048,127.9038609,158,191,Y,주차장,055-940-3663,경상남도 거창군청,2020-12-10
"대우아파트",공공용,경상남도 거창군 거창읍 거열로4길 144-20 (대우아파트),경상남도 거창군 거창읍 가지리 215-7,35.69427114,127.9072549,3738,4530,Y,주차장,055-940-3663,경상남도 거창군청,2020-12-10
"세륭아파트",공공용,경상남도 거창군 거창읍 김천1길 20 (세륭아파트),경상남도 거창군 거창읍 김천리 255-21,35.67790883,127.910542,660,800,Y,주차장,055-940-3663,경상남도 거창군청,2020-12-10
"한흥빌딩",공공용,"경상남도 거창군 거창읍 창동로 119 (한흥스포렉스,한흥아파트)",경상남도 거창군 거창읍 대동리 88-18,35.687876,127.9203502,660,800,Y,주차장,055-940-3663,경상남도 거창군청,2020-12-10
"서경병원",공공용,"경상남도 거창군 거창읍 송정1길 24-13, 서경병원",경상남도 거창군 거창읍 송정리 1093,35.68137201,127.8976579,1115,1351,Y,창 고,055-940-3663,경상남도 거창군청,2020-12-10
"신세계 아파트",공공용,경상남도 거창군 거창읍 거열로1길 78-23 (신세계타운),경상남도 거창군 거창읍 중앙리 478-1,35.69472708,127.9121551,2640,3200,Y,주차장,055-940-3663,경상남도 거창군청,2020-12-10
"화목 아파트",공공용,경상남도 거창군 거창읍 거열로2길 34-9 (화목아파트),경상남도 거창군 거창읍 대동리 600-1,35.69275529,127.9149172,1650,2000,Y,주차장,055-940-3663,경상남도 거창군청,2020-12-10
"적십자병원",공공용,경상남도 거창군 거창읍 중앙로 91 (거창적십자병원),경상남도 거창군 거창읍 상림리 74-1,35.68669196,127.9088661,650,787,Y,식 당,055-940-3663,경상남도 거창군청,2020-12-10
"신흥3차 아파트",공공용,경상남도 거창군 거창읍 강양4길 11 (신흥3차아파트),경상남도 거창군 거창읍 대동리 63-3,35.69025974,127.9180438,914,1107,Y,주차장,055-940-3663,경상남도 거창군청,2020-12-10
"대경넥스빌 아파트",공공용,경상남도 거창군 거창읍 거열로7길 29 (대경넥스빌),경상남도 거창군 거창읍 상림리 772,35.68944195,127.9016361,1844,2235,Y,주차장,055-940-3663,경상남도 거창군청,2020-12-10
"명성빌딩",공공용,경상남도 거창군 거창읍 중앙로 8,경상남도 거창군 거창읍 상림리 546-1,35.68439942,127.8994765,279,338,Y,주차장,055-940-3663,경상남도 거창군청,2020-12-10
"거창군 종합사회복지관",공공용,경상남도 거창군 거창읍 아림로 66 (거창군종합사회복지관),경상남도 거창군 거창읍 중앙리 333-2,35.68906475,127.909834,132,160,Y,문화공간,055-940-3663,경상남도 거창군청,2020-12-10
"코아루에듀시티",공공용,경상남도 거창군 거창읍 강남로 266 (거창코아루에듀시티),경상남도 거창군 거창읍 대평리 1513,35.68785163,127.9262892,13496,16358,Y,주차장,055-940-3663,경상남도 거창군청,2020-12-10
"푸르지오 아파트",공공용,경상남도 거창군 거창읍 송정2길 33 (푸르지오아파트),경상남도 거창군 거창읍 송정리 1097,35.68210169,127.8995973,23004,27883,Y,주차장,055-940-3663,경상남도 거창군청,2020-12-10
"코아루2차아파트",공공용,경상남도 거창군 거창읍 새동네2길 40 (코아루2차아파트),경상남도 거창군 거창읍 대평리 1518,35.68746128,127.9278013,11395,13812,Y,주차장,055-940-3663,경상남도 거창군청,2020-12-10
