"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"거제요양병원",공공용,경상남도 거제시 거제대로 2975 (장승포동),경상남도 거제시 장승포동 64번지 37호,34.8598606,128.7184787,448,543,n,의료시설,055-607-3673,거제시,2019-06-27
"한일오피스텔",공공용,"경상남도 거제시 거제대로 3000 (장승포동, 한일오피스텔)",경상남도 거제시 장승포동 607번지 21호,34.86152329,128.721483,450,545,y,주거시설,055-607-3673,거제시,2019-06-27
"미진비치힐아파트",공공용,"경상남도 거제시 거제대로 3679-6 (옥포동, 미진비치힐아파트)",경상남도 거제시 옥포동 195번지 3호,34.8864514,128.6927909,1553,1882,y,주거시설,055-607-3673,거제시,2019-06-27
"그린파크아파트지하주차장",공공용,"경상남도 거제시 거제대로 3697-19 (옥포동, 그린파크)",경상남도 거제시 옥포동 222번지,34.8862682,128.6911902,1989,2410,y,주거시설,055-607-3673,거제시,2019-06-27
"대원아파트",공공용,"경상남도 거제시 거제대로 3801 (옥포동, 대원아파트)",경상남도 거제시 옥포동 1564번지,34.89465654,128.6855253,398,482,y,주거시설,055-607-3673,거제시,2019-06-27
"고현이편한세상 지하주차장",공공용,"경상남도 거제시 거제대로 4500-45 (고현동, e편한세상 고현)",경상남도 거제시 고현동 1081번지 18호,34.89582825,128.6402054,13842,16778,y,주차장,055-607-3673,거제시,2019-06-27
"거제오션파크자이아파트",공공용,경상남도 거제시 거제면 두동로 259-90,경상남도 거제시 거제면 옥산리 1515,34.88254121,128.5910171,9806,11886,y,주거시설,055-607-3673,거제시,2019-06-27
"삼오르네상스@지하주차장",공공용,"경상남도 거제시 거제중앙로 1509-13 (문동동, 삼오르네상스)",경상남도 거제시 문동동 238번지,34.85783985,128.6451233,2139,2592,y,주차장,055-607-3673,거제시,2019-06-27
"대아푸른솔마을",공공용,"경상남도 거제시 거제중앙로 1509-22 (문동동, 대아푸른솔마을)",경상남도 거제시 문동동 661번지,34.85730587,128.6435557,1418,1718,y,주거시설,055-607-3673,거제시,2019-06-27
"거제시 공공청사",공공용,"경상남도 거제시 거제중앙로 1849 (고현동, 거제시공공청사)",경상남도 거제시 고현동 158번지 1호,34.88346542,128.6252512,680,824,y,관공서,055-607-3673,거제시,2019-06-27
"거제축협",공공용,"경상남도 거제시 거제중앙로 1910 (고현동, 거제축산업현동조합)",경상남도 거제시 고현동 961번지 77호,34.88856015,128.6233084,346,419,y,금융시설,055-607-3673,거제시,2019-06-27
"골든아틀란티스",공공용,경상남도 거제시 거제중앙로 1930-10 (고현동),경상남도 거제시 고현동 978번지 10호,34.89030259,128.6232201,2566,3110,y,주차장,055-607-3673,거제시,2019-06-27
"휴엔하임오피스텔 지하주차장",공공용,"경상남도 거제시 거제중앙로13길 7 (고현동, 휴엔하임오피스텔)",경상남도 거제시 고현동 159번지 1호,34.8832557,128.6250284,865,1048,y,주거시설,055-607-3673,거제시,2019-06-27
"주영에이스빌 지하주차장",공공용,"경상남도 거제시 거제중앙로7길 18 (고현동, 주영에이스빌)",경상남도 거제시 고현동 414번지 2호,34.87874588,128.6260945,1800,2181,y,주차장,055-607-3673,거제시,2019-06-27
"거제시청",공공용,"경상남도 거제시 계룡로 125 (고현동, 거제시청)",경상남도 거제시 고현동 717번지,34.88058324,128.6207891,1640,1987,y,관공서,055-607-3673,거제시,2019-06-27
"고현서희스타힐스 지하주차장",공공용,"경상남도 거제시 고현로 138-37 (고현동, 스타힐스센트럴)",경상남도 거제시 고현동 1번지,34.89064065,128.6302842,15185,18406,y,주차장,055-607-3673,거제시,2019-06-27
"신원파크뷰@지하주차장",공공용,"경상남도 거제시 고현천로 100 (고현동, 신원파크뷰)",경상남도 거제시 고현동 227번지 3호,34.88325947,128.6277103,862,1044,y,주차장,055-607-3673,거제시,2019-06-27
"영진엘르빌",공공용,"경상남도 거제시 국산로 167 (옥포동, 영진엘르빌)",경상남도 거제시 옥포동 1121번지 16호,34.89875756,128.6939316,2000,2424,y,주차장,055-607-3673,거제시,2019-06-27
"두모지하도",공공용,경상남도 거제시 능포로 7 (장승포동),경상남도 거제시 장승포동 410번지 1호,34.87019583,128.7230941,376,455,y,교통시설,055-607-3673,거제시,2019-06-27
"옥명대우아파트102동",공공용,"경상남도 거제시 능포로2길 38 (능포동, 옥명대우아파트)",경상남도 거제시 능포동 224번지,34.87619557,128.7349385,410,496,y,주거시설,055-607-3673,거제시,2019-06-27
"옥명대우아파트주차장1(108동)",공공용,"경상남도 거제시 능포로2길 38, 107동 (능포동, 옥명대우아파트)",경상남도 거제시 능포동 224번지,34.87619557,128.7349385,584,707,y,주거시설,055-607-3673,거제시,2019-06-27
"롯데캐슬아파트 지하주차장 1(302동)",공공용,"경상남도 거제시 능포로2길 62 (능포동, 롯데캐슬아일랜드)",경상남도 거제시 능포동 335번지,34.8756741,128.7330815,2560,3103,y,주거시설,055-607-3673,거제시,2019-06-27
"롯데캐슬아파트 지하주차장 2(304동)",공공용,"경상남도 거제시 능포로2길 62 (능포동, 롯데캐슬아일랜드)",경상남도 거제시 능포동 335번지,34.8756741,128.7330815,1792,2172,y,주거시설,055-607-3673,거제시,2019-06-27
"라인라데팡스아파트 지하",공공용,경상남도 거제시 능포로4길 23 (능포동),경상남도 거제시 능포동 219번지 7호,34.8725197,128.7330809,2358,2858,y,주거시설,055-607-3673,거제시,2019-06-27
"동헌하이츠",공공용,"경상남도 거제시 능포로4길 5 (능포동, 동헌하이츠)",경상남도 거제시 능포동 727번지 2호,34.87368279,128.7314037,1646,1995,y,주차장,055-607-3673,거제시,2019-06-27
"두모기숙사",공공용,경상남도 거제시 두모1길 16 (두모동),경상남도 거제시 두모동 329번지,34.87422661,128.7212885,1482,1796,y,주거시설,055-607-3673,거제시,2019-06-27
"경남아너스빌(101동~103동)지하2층",공공용,경상남도 거제시 사등면 두동로 30,경상남도 거제시 사등면 사곡리 918,34.89786825,128.5636668,6123,7421,y,주차장,055-607-3673,거제시,2019-06-27
