"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"동보주택",공공용,경상남도 밀양시 삼랑진읍 삼랑진로 134,경상남도 밀양시 삼랑진읍 삼랑리 12-1,35.3896307523,128.8334403908,575,696,Y,지하주차장,,경상남도 밀양시청,2020-12-21
"동촌아파트",공공용,경상남도 밀양시 하남읍 수산동촌3길 24,경상남도 밀양시 하남읍 수산리 489-14,35.3772468160,128.7103932281,826,1002,Y,지하주차장,,경상남도 밀양시청,2020-12-21
"대동아파트",공공용,경상남도 밀양시 상남면 상남로 1187-15,경상남도 밀양시 상남면 예림리 1326-1,35.4614745486,128.7525493200,2948,3574,Y,지하주차장,,경상남도 밀양시청,2020-12-21
"휴암빌딩",공공용,경상남도 밀양시 내이동 중앙로 401,경상남도 밀양시 내이동 701-7,35.4962739420,128.7487833404,433,524,Y,지하주차장,,경상남도 밀양시청,2020-12-21
"신촌부민그린타워",공공용,경상남도 밀양시 내이동 창밀로 3566-8,경상남도 밀양시 내이동 437-1,35.5033784085,128.7371534098,1211,1467,Y,지하주차장,,경상남도 밀양시청,2020-12-21
"현대아파트",공공용,경상남도 밀양시 내이동 시청로2길 6,경상남도 밀양시 내이동 1515,35.5054443713,128.7403521937,3234,3920,Y,지하주차장,,경상남도 밀양시청,2020-12-21
"내이롯데인벤스가아파트",공공용,경상남도 밀양시 내이동 점필재로 65,경상남도 밀양시 내이동 1390,35.4878008950,128.7398867558,3181,3855,Y,지하주차장,,경상남도 밀양시청,2020-12-21
"내이엘에이치아파트",공공용,경상남도 밀양시 내이동 창밀로 3535,경상남도 밀양시 내이동 300,35.5059919898,128.7372659156,4763,5738,Y,지하주차장,,경상남도 밀양시청,2020-12-21
"밀양도뮤토아파트",공공용,경상남도 밀양시 삼문동 755,경상남도 밀양시 삼문동 점필재로 45-25,35.291756,128.443384,8721,10570,Y,지하주차장,,경상남도 밀양시청,2020-12-21
"밀양시청",공공용,경상남도 밀양시 교동 밀양대로 2047,경상남도 밀양시 교동 1000-1,35.5034482908,128.7474191574,4499,5453,Y,지하주차장,,경상남도 밀양시청,2020-12-21
"목화타워",공공용,경상남도 밀양시 교동 교동로 93,경상남도 밀양시 교동 1230,35.5105300979,128.7533205782,469,568,Y,지하창고,,경상남도 밀양시청,2020-12-21
"청구아파트",공공용,경상남도 밀양시 삼문동 중앙로 238-8,경상남도 밀양시 삼문동 15-1,35.4857142718,128.7585537778,2912,3529,Y,지하주차장,,경상남도 밀양시청,2020-12-21
"세광아파트",공공용,경상남도 밀양시 삼문동 삼문2길 3,경상남도 밀양시 삼문동 358-7,35.4870804851,128.7498439250,1345,1630,Y,지하주차장,,경상남도 밀양시청,2020-12-21
