"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"전원맨션",공공용,경상남도 사천시 사천읍 선인길 17,경상남도 사천시 사천읍 선인리 301-5,35.07994516,128.0944155,1582,1917,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"서일2차아파트",공공용,경상남도 사천시 사천읍 동문로126,경상남도 사천시 사천읍 정의리 71,35.08905567,128.0976032,330,400,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"신우아파트",공공용,경상남도 사천시 사천읍 수양로 99-10,경상남도 사천시 사천읍 정의리 31-10,35.0874900369,128.0940889886,837,1014,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"옥성그린아파트",공공용,경상남도 사천시 사천읍 두량로 30,경상남도 사천시 사천읍 구암리 1440-1,35.092201,128.099451,454,550,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"덕진봄아파트",공공용,경상남도 사천시 사천읍 옥산로 97,경상남도 사천시 사천읍 선인리 277-5,35.08045842,128.0934707,4968,6021,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"대경파미르",공공용,경상남도 사천시 사천읍 사천향교로 13,경상남도 사천시 사천읍 선인리 641,35.08609239,128.0991688,870,1054,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"대경아파트",공공용,경상남도 사천시 사천읍 서당길 1-5,경상남도 사천시 사천읍 선인리 213,35.08158515,128.0988452,1155,1400,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"신원 아르시스",공공용,경상남도 사천시 사천읍 두량로 18,경상남도 사천시 사천읍 구암리 1444,35.09148004,128.0994121,594,720,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"한보훼미리",공공용,경상남도 사천시 정동면 사천강 1길 11,경상남도 사천시 정동면 고읍리 600-1,35.07324742,128.0846914,1386,1680,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"대흥그랜져맨션",공공용,경상남도 사천시 정동면 진삼로 1420,경상남도 사천시 정동면 고읍리 469-1,35.07804423,128.0860992320,1258,1524,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"한보타운3차",공공용,경상남도 사천시 정동면 진삼로 1386,경상남도 사천시 정동면 고읍리 570-1,35.07524815,128.0843101,3225,3909,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"엘크루아파트",공공용,경상남도 사천시 사남면 조동길 49-43,경상남도 사천시 사남면 월성리 574,35.06134336,128.0692005,22603,27397,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"웰뷰파크",공공용,경상남도 사천시 대방길 138,경상남도 사천시 대방동 238-9,34.93062165,128.058088,2784,3374,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"비룡각산타운",공공용,경상남도 사천시 새동네1길 61,경상남도 사천시 선구동 263-5,34.93413583,128.073002,466,564,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"서성파라토피아",공공용,경상남도 사천시 한내3길 115,경상남도 사천시 동림동 120,34.940321,128.077023,529,641,Y,다용도실,055-831-2176,경상남도 사천시청,2020-11-17
"한전아파트",공공용,경상남도 사천시 새동네1길 68,경상남도 사천시 선구동 300,34.9350326,128.071477,264,320,Y,다용도실,055-831-2176,경상남도 사천시청,2020-11-17
"삼한노인대학",공공용,경상남도 사천시 새동네1길 72,경상남도 사천시 선구동 227-12,34.93451652,128.0715359,501,607,Y,다용도실,055-831-2176,경상남도 사천시청,2020-11-17
"서울병원장례식장",공공용,경상남도 사천시 남일로 33,경상남도 사천시 동금동 69-2,34.93310993,128.0801421,724,877,Y,장례식장,055-831-2176,경상남도 사천시청,2020-11-17
"노블레스모텔",공공용,경상남도 사천시 목섬길 69,경상남도 사천시 서금동 144-6,34.924131,128.075212,673,815,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"호신 유리안",공공용,경상남도 사천시 문선1길 89,경상남도 사천시 벌리동 475-5,34.93554735,128.080532,926,1122,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"송림프라자",공공용,경상남도 사천시 벌리6길 25,경상남도 사천시 벌리동 123,34.94218151,128.0821087,886,1073,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"비룡광장타운",공공용,경상남도 사천시 주공로 52,경상남도 사천시 벌리동 6-2,34.942873,128.086954,695,842,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"성은비룡타운",공공용,경상남도 사천시 주공로 56,경상남도 사천시 용강동 814-3,34.943144,128.087185,693,840,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"삼보신우타운",공공용,경상남도 사천시 주공로 51,경상남도 사천시 용강동 800-1,34.94292709,128.0866327,1526,1849,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"청소년문화센터",공공용,경상남도 사천시 문선4길 23,경상남도 사천시 벌리동 427-1,34.93556927,128.0825166,210,254,Y,다용도실,055-831-2176,경상남도 사천시청,2020-11-17
"삼천포정형외과",공공용,경상남도 사천시 중앙로 129,경상남도 사천시 벌리동 491-11,34.93740988,128.078641,523,633,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"삼천포내과",공공용,경상남도 사천시 중앙로 131,경상남도 사천시 벌리동 491-8,34.937569,128.078728,244,295,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"용강주공1차아파트",공공용,경상남도 사천시 주공로 70,경상남도 사천시 용강동 837-1,34.94463562,128.0878856,3722,4511,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"용강대경파미르",공공용,경상남도 사천시 상강청길 14,경상남도 사천시 용강동 501,34.94763102,128.0855388,4773,5785,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"한마음병원장례식장",공공용,경상남도 사천시 향촌4길 127,경상남도 사천시 향촌동 441-5,34.93525946,128.0985535,500,606,Y,장례식장,055-831-2176,경상남도 사천시청,2020-11-17
"한국 파크빌",공공용,경상남도 사천시 숲뫼1길 74,경상남도 사천시 향촌동 923-11,34.935942,128.0862128,565,684,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"삼보송림아파트",공공용,경상남도 사천시 삼천포대교로 826,경상남도 사천시 송포동 252,34.967327,128.062713,790,957,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"신우심포니",공공용,경상남도 사천시 임내길 30,경상남도 사천시 죽림동 576,34.96929503,128.0644115,2397,2905,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"삼천포장례식장",공공용,경상남도 사천시 진삼로 217-13,경상남도 사천시 송포동 481,34.97652039,128.060256,592,717,Y,장례식장,055-831-2176,경상남도 사천시청,2020-11-17
"죽림아리안 1단지",공공용,경상남도 사천시 죽계1길 6,경상남도 사천시 죽림동 900-4,34.964719,128.0680751,455,551,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
"죽림아리안 2단지",공공용,경상남도 사천시 죽계1길 6,경상남도 사천시 죽림동 900-4,34.964719,128.0680751,677,820,Y,주차장,055-831-2176,경상남도 사천시청,2020-11-17
