"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"황전아파트(아파트입구지하)",공공용,경상남도 양산시 물금읍 오봉로 15 (황전범어타운),경상남도 양산시 물금읍 범어리 549-1,35.32623149,128.9982814,3588,4349,Y,아파트 지하주차장,055-392-2852,경상남도 양산시청 안전총괄과,2021-07-22
"일신건영휴먼빌(전동지하)",공공용,경상남도 양산시 물금읍 범어로 11 (일신건영휴먼빌아파트),경상남도 양산시 물금읍 범어리 2676-15,35.33263874,129.0107732,2043,2477,Y,아파트 지하주차장,055-392-2852,경상남도 양산시청 안전총괄과,2021-07-22
"우남퍼스트빌 아파트(전동지하)",공공용,경상남도 양산시 물금읍 신주로 40 (우남퍼스트빌),경상남도 양산시 물금읍 범어리 2676-6,35.33211992,129.0157352,2451,2971,Y,아파트 지하주차장,055-392-2852,경상남도 양산시청 안전총괄과,2021-07-22
"효성백년가약(전동지하)",공공용,경상남도 양산시 물금읍 범어로 33 (효성백년가약아파트),경상남도 양산시 물금읍 범어리 2676-13,35.33066204,129.0138868,3140,3806,Y,아파트 지하주차장,055-392-2852,경상남도 양산시청 안전총괄과,2021-07-22
"신창비바패밀리 아파트(전동지하)",공공용,경상남도 양산시 물금읍 신주로 69 (신창비바패밀리),경상남도 양산시 물금읍 범어리 2713-1,35.332193,129.019046,4693,5688,Y,아파트 지하주차장,055-392-2852,경상남도 양산시청 안전총괄과,2021-07-22
"대동황토방아파트(전동지하)",공공용,"경상남도 양산시 양주로 154 (중부동, 대동황토방아파트)",경상남도 양산시 중부동 696-1,35.33764556,129.0340314,4792,5808,Y,아파트 지하주차장,055-392-2852,경상남도 양산시청 안전총괄과,2021-07-22
"신도시 현대아파트(전동지하)",공공용,"경상남도 양산시 양주로 114 (중부동, 현대아파트)",경상남도 양산시 중부동 697-1,35.334858,129.032561,4503,5458,Y,아파트 지하주차장,055-392-2852,경상남도 양산시청 안전총괄과,2021-07-22
"신도시주공4단지아파트(뜰안채)(전동지하)",공공용,"경상남도 양산시 양주로 113 (중부동, 양산신도시주공아파트)",경상남도 양산시 중부동 694-1,35.336373,129.031524,4637,5621,Y,아파트 지하주차장,055-392-2852,경상남도 양산시청 안전총괄과,2021-07-22
"쌍용아파트(전동지하)",공공용,"경상남도 양산시 양주로 97 (남부동, 양산신도시쌍용아파트)",경상남도 양산시 남부동 601-1,35.333749,129.0302039,3192,3869,Y,아파트 지하주차장,055-392-2852,경상남도 양산시청 안전총괄과,2021-07-22
"청어람아파트(전동지하)",공공용,"경상남도 양산시 양주로 94 (남부동, 양산신도시아파트청어람)",경상남도 양산시 남부동 602-1,35.33181443,129.0337533,6542,7930,Y,아파트 지하주차장,055-392-2852,경상남도 양산시청 안전총괄과,2021-07-22
