"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"남지농협",공공용,경상남도 창녕군 남지읍 낙동로 497,경상남도 창녕군 남지읍 남지리 590-70,35.3891629304,128.4790108844,430,521,Y,주차장,055-530-6560,경상남도 창녕군청,2020-07-17
"현대그린파크맨션",공공용,경상남도 창녕군 남지읍 낙동로 389,경상남도 창녕군 남지읍 마산리 906-16,35.3880717239,128.4668014548,1914,2320,Y,주차장,055-530-6560,경상남도 창녕군청,2020-07-17
"창녕솔터임대아파트",공공용,경상남도 창녕군 창녕읍 화왕산로 26-5,경상남도 창녕군 창녕읍 송현리 115-8,35.5424394352,128.5062635489,889,1078,Y,주차장,055-530-6500,경상남도 창녕군청,2020-07-17
"창녕군청",공공용,경상남도 창녕군 창녕읍 군청길 1,경상남도 창녕군 창녕읍 교리 1,35.5450190734,128.4915889344,499,606,Y,주차장,055-530-6500,경상남도 창녕군청,2020-07-17
"현대맨션 2차",공공용,경상남도 창녕군 창녕읍 문화공원길 23,경상남도 창녕군 창녕읍 교리 364,35.5447516384,128.4960078857,1097,1331,Y,주차장,055-530-6500,경상남도 창녕군청,2020-07-17
"현대맨션",공공용,경상남도 창녕군 창녕읍 우포2로 1199-1,경상남도 창녕군 창녕읍 교리 981-2,35.5447874243,128.4887485786,1494,1812,Y,주차장,055-530-6500,경상남도 창녕군청,2020-07-17
"건우빌라",공공용,경상남도 창녕군 창녕읍 명덕로 110,경상남도 창녕군 창녕읍 송현리 227-1,35.5429444513,128.5010332403,859,1042,Y,주차장,055-530-6500,경상남도 창녕군청,2020-07-17
"건우그린맨션",공공용,경상남도 창녕군 창녕읍 화왕산1로 82,경상남도 창녕군 창녕읍 말흘리 272-2,35.5375840279,128.5045100801,1620,1964,Y,주차장,055-530-6500,경상남도 창녕군청,2020-07-17
"건흥빌라트",공공용,경상남도 창녕군 창녕읍 창녕대로 152,경상남도 창녕군 창녕읍 말흘리 755-3,35.5323875185,128.5003293865,496,601,Y,주차장,055-530-6500,경상남도 창녕군청,2020-07-17
"창녕서울병원",공공용,경상남도 창녕군 창녕읍 창녕대로 122,경상남도 창녕군 창녕읍 탐하리 23-1,35.5342286459,128.4969238004,780.17,946,Y,주차장,055-530-6500,경상남도 창녕군청,2020-07-17
"일흥아파트",공공용,경상남도 창녕군 창녕읍 창녕대로 107-1,경상남도 창녕군 창녕읍 교하리 255-6,35.5359261457,128.4978241491,1206.62,1463,Y,주차장,055-530-6500,경상남도 창녕군청,2020-07-17
"구)창녕군보건소",공공용,경상남도 창녕군 창녕읍 창녕대로 172,경상남도 창녕군 창녕읍 말흘리 771-2,35.5314167335,128.5012859055,264.46,321,Y,주차장,055-530-6500,경상남도 창녕군청,2020-07-17
"동아프라임 아파트",공공용,경상남도 창녕군 남지읍 남고길 47,경상남도 창녕군 남지읍 남지리 817-1,35.3868602799,128.4694867913,7085,8588,Y,주차장,055-530-6560,경상남도 창녕군청,2020-07-17
"덕진6차 휴먼빌 아파트",공공용,경상남도 창녕군 남지읍 남포길 23,경상남도 창녕군 남지읍 남지리 795-6,35.3869940954,128.4800806056,2891,3505,Y,주차장,055-530-6560,경상남도 창녕군청,2020-07-17
"덕진7차 봄 아파트",공공용,경상남도 창녕군 남지읍 남지중앙1길 10,경상남도 창녕군 남지읍 마산리 996,35.3904917419,128.4699708893,6152,7457,Y,주차장,055-530-6560,경상남도 창녕군청,2020-07-17
"신우희가로",공공용,경상남도 창녕군 창녕읍 조산서재골로 69-3,경상남도 창녕군 창녕읍 술정리 283-3,35.5373725171,128.4922323616,11222,13603,Y,주차장,055-530-6500,경상남도 창녕군청,2020-07-17
"남지이원웰스타",공공용,경상남도 창녕군 남지읍 남고길 65,경상남도 창녕군 남지읍 마산리 954-2,35.3865697920,128.4669899592,8681,10523,Y,주차장,055-530-6560,경상남도 창녕군청,2020-07-17
