"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"무학빌딩",공공용,경상남도 창원시 마산회원구 3.15대로 628,경상남도 창원시 마산회원구 석전동 259-6,35.2292091764,128.5759789543,1754.64,2126,y,주차장,055-230-5384,마산회원구 석전동주민센터,2019-09-24
"경남은행본점",공공용,경상남도 창원시 마산회원구 3.15대로 642,경상남도 창원시 마산회원구 석전동 246-1,35.2303271786,128.5770889911,9431.45,11432,y,주차장,055-230-5384,마산회원구 석전동주민센터,2019-09-24
SK브로드밴드,공공용,경상남도 창원시 마산회원구 3.15대로 649,경상남도 창원시 마산회원구 석전동 244-9,35.2314293514,128.5767061703,604.96,733,y,주차장,055-230-5384,마산회원구 석전동주민센터,2019-09-24
"삼성화재",공공용,경상남도 창원시 마산회원구 3.15대로 674,경상남도 창원시 마산회원구 석전동 233-1,35.2328481242,128.5788554993,869.76,1054,y,주차장,055-230-5384,마산회원구 석전동주민센터,2019-09-24
"동마산병원",공공용,경상남도 창원시 마산회원구 3.15대로 681,경상남도 창원시 마산회원구 석전동 231-6,35.2338242788,128.5783132855,353.72,428,y,주차장,055-230-5384,마산회원구 석전동주민센터,2019-09-24
"마산역지하도",공공용,경상남도 창원시 마산회원구 3.15대로 688,경상남도 창원시 마산회원구 석전동 232-4,35.2339058176,128.5795512124,287.6,349,y,지하도로,055-230-5384,마산회원구 석전동주민센터,2019-09-24
"한화생명",공공용,경상남도 창원시 마산회원구 3.15대로 700,경상남도 창원시 마산회원구 석전동 224-5,35.2348979439,128.5803485447,3305.8,4007,y,주차장,055-230-5384,마산회원구 석전동주민센터,2019-09-24
"아리랑호텔",공공용,경상남도 창원시 마산회원구 마산역광장로 24,경상남도 창원시 마산회원구 석전동 229-17,35.2346556765,128.5777143560,859.51,1042,y,주차장,055-230-5384,마산회원구 석전동주민센터,2019-09-24
"와모텔",공공용,경상남도 창원시 마산회원구 마산역광장로 32,경상남도 창원시 마산회원구 석전동 231-1,35.2343386224,128.5785298433,380.17,461,y,주차장,055-230-5384,마산회원구 석전동주민센터,2019-09-24
"이미지피렌체아파트",공공용,경상남도 창원시 마산회원구 양덕옛1길37,경상남도 창원시 마산회원구 석전동 260-14,35.2272252028,128.5747235822,4101.27,4971,y,주차장,055-230-5384,마산회원구 석전동주민센터,2019-09-24
