"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"함양군청",공공용,"경상남도 함양군 함양읍 고운로 35 (함양군청,함양군의회)",,35.5212241308,127.7241553507,604.96,733,Y,,055-960-6213,함양군청,2020-12-21
"진하맨션",공공용,경상남도 함양군 함양읍 용평3길 26-1,,35.5197101823,127.7305780043,1295.87,1570,Y,지하주차장,055-960-6213,함양군청,2020-12-21
"위성빌라",공공용,경상남도 함양군 함양읍 한들로 195,,35.5239750509,127.7338731522,310.75,376,Y,지하주차장,055-960-6213,함양군청,2020-12-21
"경일아파트",공공용,경상남도 함양군 함양읍 학당길 9-11,,35.5237389766,127.7275402679,1233.06,1494,Y,지하주차장,055-960-6213,함양군청,2020-12-21
"무지개아파트",공공용,경상남도 함양군 함양읍 한들로 99,,35.5163680753,127.7296651613,558.68,677,Y,지하주차장,055-960-6213,함양군청,2020-12-21
"한주아파트",공공용,경상남도 함양군 함양읍 교산3길 6,,35.5220947262,127.7309609975,1523.97,1847,Y,지하주차장,055-960-6213,함양군청,2020-12-21
"한주상가",공공용,경상남도 함양군 함양읍 고운로 83,,35.5212679470,127.7304458273,565.29,684,Y,지하주차장,055-960-6213,함양군청,2020-12-21
"한마음아파트",공공용,경상남도 함양군 함양읍 함양로 1222,,35.5273962968,127.7301335611,1414.88,1715,Y,지하주차장,055-960-6213,함양군청,2020-12-21
"삼정그린코아아파트",공공용,경상남도 함양군 함양읍 함양로 1231,,35.5284355947,127.7298752801,1974.72,2393,Y,지하주차장,055-960-6213,함양군청,2020-12-21
"상림팰리스아파트",공공용,경상남도 함양군 함양읍 원교길 9,,35.5274652578,127.7286709149,1470.27,1781,Y,지하주차장,055-960-6213,함양군청,2020-12-21
