"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"해인빌딩",공공용,경상남도 합천군 합천읍 대야로 894,경상남도 합천군 합천읍 합천리 413-10,35.5680104607,128.1636381465,344,416,Y,,055-930-3546,경상남도 합천군청,2021-08-04
"한전합천지사",공공용,경상남도 합천군 합천읍 대야로 921,경상남도 합천군 합천읍 합천리 1524,35.341456,128.1631799255,450,545,N,,055-930-3546,경상남도 합천군청,2021-08-04
"소라빌라",공공용,경상남도 합천군 합천읍 충효로 123,경상남도 합천군 합천읍 합천리 1476,35.341644,128.1621532895,218,264,Y,,055-930-3546,경상남도 합천군청,2021-08-04
"한주파크",공공용,경상남도 합천군 합천읍 동서로 15,경상남도 합천군 합천읍 합천리 1275-15,35.5687156020,128.1548183553,598,724,Y,,055-930-3546,경상남도 합천군청,2021-08-04
"코스모스아파트",공공용,경상남도 합천군 합천읍 중앙로 14,경상남도 합천군 합천읍 합천리 902-1,35.334286,128.1581469545,516,625,Y,,055-930-3546,경상남도 합천군청,2021-08-04
"황강타운",공공용,경상남도 합천군 합천읍 중앙로 13-4,경상남도 합천군 합천읍 합천리 852-5,35.334259,128.1572041346,1346,1631,Y,,055-930-3546,경상남도 합천군청,2021-08-04
"합천경찰서",공공용,경상남도 합천군 합천읍 황강체육공원로 67,경상남도 합천군 합천읍 합천리 155-19,35.5638799493,128.101098,120,145,N,,055-930-3546,경상남도 합천군청,2021-08-04
"리버스카이",공공용,경상남도 합천군 합천읍 문화로 33,경상남도 합천군 합천읍 합천리 913-4,35.333998,128.1571387443,253,306,N,,055-930-3546,경상남도 합천군청,2021-08-04
"황강하이츠",공공용,경상남도 합천군 합천읍 충효로 13,경상남도 합천군 합천읍 합천리 869-12,35.334106,128.1597718603,294,356,Y,,055-930-3546,경상남도 합천군청,2021-08-04
"트라움하우스",공공용,경상남도 합천군 합천읍 중앙로1길 8,경상남도 합천군 합천읍 합천리 828-26,35.334906,128.1590549246,430,521,Y,,055-930-3546,경상남도 합천군청,2021-08-04
"농협군지부",공공용,경상남도 합천군 합천읍 충효로4길 14,경상남도 합천군 합천읍 합천리 671-2,35.5667023210,128.1599437563,407,493,N,,055-930-3546,경상남도 합천군청,2021-08-04
"합천우체국",공공용,경상남도 합천군 합천읍 동서로 56,경상남도 합천군 합천읍 합천리 791,35.5668915026,128.1579740622,162,196,N,,055-930-3546,경상남도 합천군청,2021-08-04
"합천군교육지원청",공공용,경상남도 합천군 합천읍 동서로 150,경상남도 합천군 합천읍 합천리 155-11,35.335469,128.1695021726,178,215,N,,055-930-3546,경상남도 합천군청,2021-08-04
KT진주지사거창지점,공공용,경상남도 합천군 합천읍 옥산로 40,경상남도 합천군 합천읍 합천리 479-5,35.5680973690,128.1592295734,423,512,N,,055-930-3546,경상남도 합천군청,2021-08-04
"합천군산림조합",공공용,경상남도 합천군 합천읍 동서로 91-11,경상남도 합천군 합천읍 합천리 409-1,35.5675943328,128.1622302890,179,216,N,,055-930-3546,경상남도 합천군청,2021-08-04
"합천군민체육관",공공용,경상남도 합천군 합천읍 장수로 1,경상남도 합천군 합천읍 합천리 923-1,35.334166,128.1533465808,2052,2487,Y,,055-930-3546,경상남도 합천군청,2021-08-04
"종합사회복지관",공공용,경상남도 합천군 합천읍 동서로 39,경상남도 합천군 합천읍 합천리 524-1,35.5679281116,128.1567533593,980,1187,Y,,055-930-3546,경상남도 합천군청,2021-08-04
"합천군청",공공용,경상남도 합천군 합천읍 동서로 119,경상남도 합천군 합천읍 합천리 337,35.5666515213,128.1658261834,539,653,Y,,055-930-3546,경상남도 합천군청,2021-08-04
"파크뷰아파트",공공용,경상남도 합천군 합천읍 문화로 5,경상남도 합천군 합천읍 합천리 923-2,35.5613920701,128.1540153292,231,280,N,,055-930-3546,경상남도 합천군청,2021-08-04
