"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"영남동산아파트",공공용,경상북도 영주시 원당로223번길 57 (하망동),,36.8317552,128.6331828,1266,1534,Y,주차장,054-639-5984,경상북도 영주시청,2017-04-30
"풍기새마을금고",공공용,경상북도 영주시 풍기읍 동성로 87,,36.8710283,128.5266344,138,167,Y,창고,054-639-5984,경상북도 영주시청,2017-04-30
"농협중앙회풍기지점",공공용,경상북도 영주시 풍기읍 풍기로 65,,36.8707124,128.5256951,116,140,Y,창고,054-639-5984,경상북도 영주시청,2017-04-30
"풍기호텔",공공용,경상북도 영주시 풍기읍 풍기로 53,,36.8697797,128.5247973,826,1001,Y,창고,054-639-5984,경상북도 영주시청,2017-04-30
"풍기읍 주민자치센터",공공용,경상북도 영주시 풍기읍 동성로 18,,36.8690186,128.5340855,113,136,Y,창고,054-639-5984,경상북도 영주시청,2017-04-30
"동양대학교 신재관",공공용,경상북도 영주시 풍기읍 동양대로 145,,36.8845722,128.5316868,169,204,Y,창고,054-639-5984,경상북도 영주시청,2017-04-30
"영농자재 백화점",공공용,경상북도 영주시 풍기읍 동성로94번길 46,,36.8735105,128.5261500,199,241,Y,창고,054-639-5984,경상북도 영주시청,2017-04-30
"동양대학교 현암관",공공용,경상북도 영주시 풍기읍 동양대로 145,,36.8835549,128.5323916,140,169,Y,창고,054-639-5984,경상북도 영주시청,2017-04-30
"경일미래타운 주차장",공공용,경상북도 영주시 웃무리로13번길 15 (상망동),,36.8276131,128.6384330,2661,3225,Y,주차장,054-639-5984,경상북도 영주시청,2017-04-30
"코아루A 주차장",공공용,경상북도 영주시 원당로225번길 67 (상망동),,36.8332175,128.6350835,15336,18589,Y,주차장,054-639-5984,경상북도 영주시청,2017-04-30
"영주역(지하)",공공용,경상북도 영주시 선비로 64 (휴천동),,36.8112105,128.6248933,198,240,Y,기차역,054-639-5984,경상북도 영주시청,2017-04-30
KT지하,공공용,경상북도 영주시 구성로 269 (휴천동),,36.8174591,128.6272524,119,144,Y,창고,054-639-5984,경상북도 영주시청,2017-04-30
"경북전문대 학생회관",공공용,경상북도 영주시 대학로 77 (휴천동),,36.8066547,128.6169082,529,641,Y,대학교,054-639-5984,경상북도 영주시청,2017-04-30
"담배인삼공사 영주지점 지하",공공용,경상북도 영주시 영주로 163 (영주동),,36.8258598,128.6177557,99,120,Y,창고,054-639-5984,경상북도 영주시청,2017-04-30
"철도청",공공용,경상북도 영주시 시청로2번길 30 (휴천동),,36.8063484,128.6264303,119,144,Y,철도청,054-639-5984,경상북도 영주시청,2017-04-30
"영주시청지하식당",공공용,경상북도 영주시 시청로 1 (휴천동),,36.8056219,128.6239454,1220,1478,Y,식당,054-639-5984,경상북도 영주시청,2017-04-30
"영주여자중학교",공공용,경상북도 영주시 신재로 14 (가흥동),,36.8320609,128.6106858,268,324,Y,강당,054-639-5984,경상북도 영주시청,2017-04-30
"한국폴리텍대학",공공용,경상북도 영주시 가흥로 2 (문정동),,36.8013890,128.6031604,327,396,Y,회의장,054-639-5984,경상북도 영주시청,2017-04-30
"시민회관(문화원)지하",공공용,경상북도 영주시 선비로 213 (영주동),,36.8230065,128.6171443,278,336,Y,창고,054-639-5984,경상북도 영주시청,2017-04-30
"신영주교회",공공용,경상북도 영주시 원당로 30 (가흥동),,36.8176708,128.6193944,250,303,Y,교육관 및 종교시설,054-639-5984,경상북도 영주시청,2017-04-30
"대구은행",공공용,경상북도 영주시 번영로 149 (하망동),,36.8244539,128.6251858,298,361,Y,은행,054-639-5984,경상북도 영주시청,2017-04-30
"영주시청지하대피소",공공용,경상북도 영주시 시청로 1 (휴천동),,36.8061761,128.6231603,661,801,Y,대피소,054-639-5984,경상북도 영주시청,2017-04-30
"현대APT(가흥동)",공공용,경상북도 영주시 신재로12번길 67 (가흥동),,36.8339396,128.6106994,2099,2544,Y,창고,054-639-5984,경상북도 영주시청,2017-04-30
"코오롱2차(보일러실)",공공용,"경상북도 영주시 영주로 301 (하망동, 코오롱2차A)",,36.8258799,128.6334448,965,1169,Y,보일러실,054-639-5984,경상북도 영주시청,2017-04-30
"코오롱2차(공간)",공공용,"경상북도 영주시 영주로 301 (하망동, 코오롱2차A)",,36.8254507,128.6333713,410,496,Y,대피소,054-639-5984,경상북도 영주시청,2017-04-30
"주공아파트",공공용,경상북도 영주시 대학로 130 (가흥동),,36.8096164,128.6114379,3292,3990,Y,지하시설,054-639-5984,경상북도 영주시청,2017-04-30
"현대2차강변아파트",공공용,경상북도 영주시 대동로 95 (가흥동),,36.8150282,128.6129073,2611.44,3165,Y,주차장,054-639-5984,경상북도 영주시청,2017-04-30
"대화예식장 지하",공공용,경상북도 영주시 선비로 104 (휴천동),,36.8143862,128.6230017,787,953,Y,예식장,054-639-5984,경상북도 영주시청,2017-04-30
"현대2차아파트 지하주차장",공공용,경상북도 영주시 지천로50번길 38 (휴천동),,36.8055382,128.6219543,5898,7149,Y,아파트 주차장,054-639-5984,경상북도 영주시청,2017-04-30
"동진타워아파트 지하",공공용,경상북도 영주시 선비로 223 (영주동),,36.8237882,128.6172558,2605,3157,Y,주차장,054-639-5984,경상북도 영주시청,2017-04-30
"현대동산아파트",공공용,경상북도 영주시 남간로 38-10 (휴천동),,36.8181202,128.6316782,3461,4195,Y,주차장,054-639-5984,경상북도 영주시청,2017-04-30
"영주 기독병원",공공용,경상북도 영주시 구성로 380 (영주동),,36.8251371,128.6211486,132,160,Y,장례식장,054-639-5984,경상북도 영주시청,2017-04-30
"영주 제일교회",공공용,경상북도 영주시 광복로 37 (영주동),,36.8283072,128.6223094,188,227,Y,교회 유치부실,054-639-5984,경상북도 영주시청,2017-04-30
"남서울예식장",공공용,경상북도 영주시 광복로32번길 16 (영주동),,36.8273721,128.6215623,298,361,Y,식당,054-639-5984,경상북도 영주시청,2017-04-30
"남산현대아파트",공공용,경상북도 영주시 구성로142번길 20 (휴천동),,36.8060399,128.6321747,5769,6992,Y,주차장,054-639-5984,경상북도 영주시청,2017-04-30
"농협중앙회",공공용,경상북도 영주시 중앙로 100 (하망동),,36.8239620,128.6256471,443,536,Y,은행,054-639-5984,경상북도 영주시청,2017-04-30
"가흥동 3주공아파트",공공용,경상북도 영주시 가흥로 343 (가흥동),,36.8275364,128.6106144,438,530,Y,창고,054-639-5984,경상북도 영주시청,2017-04-30
