"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"경남신성",공공용,경상북도 경산시 성암로21길 69(중산동),경상북도 경산시 중산동 35-3,35.83003526,128.7252502,14344,17387,Y,주차장,,경상북도 경산시청,2021-06-14
"경산시청 지하",공공용,경상북도 경산시 남매로 159(중방동),경상북도 경산시 중방동 701-17,35.82513937,128.741371,281,341,Y,창고,,경상북도 경산시청,2021-06-14
"공영주차장",공공용,경상북도 경산시 강변서로 51길 49,경상북도 경산시 옥산동 725-1,35.829381,128.726319,9167,11112,Y,주차장,,경상북도 경산시청,2021-06-14
"귀빈타운",공공용,경상북도 경산시 대학로12길 24(정평동),경상북도 경산시 정평동 222,35.83171737,128.7288291,5395,6539,Y,주차장,,경상북도 경산시청,2021-06-14
"낙천대 아파트 지하주차장",공공용,경상북도 경산시 하양읍 대학로295길 26,경상북도 경산시 하양읍 금락리 407-1,35.90949268,128.8204579,10248,12422,Y,주차장,,경상북도 경산시청,2021-06-14
"남산면사무소지하",공공용,경상북도 경산시 남산면 하남로 323,경상북도 경산시 남산면 산양리 57,35.793397,128.8373365,91,110,Y,면사무소 지하,,경상북도 경산시청,2021-06-14
"동신타운 지하주차장",공공용,경상북도 경산시 하양읍 무학로 6,경상북도 경산시 하양읍 도리리 112-6,35.9169188,128.8160032,3022,3663,Y,주차장,,경상북도 경산시청,2021-06-14
"보국웰리치",공공용,경상북도 경산시 진량읍 해든길 11,경상북도 경산시 진량읍 신상리 205-1,35.87300457,128.8181072,10035,12164,Y,주차장,,경상북도 경산시청,2021-06-14
"부영6차사랑으로 지하",공공용,경상북도 경산시 백자로 10길 11,경상북도 경산시 사동 393,35.81140793,128.7551874,57316,69474,Y,주차장,,경상북도 경산시청,2021-06-14
"부영사랑으로 1차",공공용,경상북도 경산시 압량읍 압독2로 45,경상북도 경산시 압량읍 신대리 485,35.84124677,128.7688362,8648,10482,Y,주차장,,경상북도 경산시청,2021-06-14
"부영우리마을",공공용,경상북도 경산시 경산로 26,경상북도 경산시 옥곡동 829-1,35.81317907,128.7345215,6221,7541,Y,주차장,,경상북도 경산시청,2021-06-14
"부영초록마을",공공용,경상북도 경산시 백천동로 5(백천동),경상북도 경산시 백천동 571-1,35.80739486,128.7399265057,10080,12218,Y,주차장,,경상북도 경산시청,2021-06-14
"부적주공아파트 지하주차장",공공용,경상북도 경산시 압량읍 조산로 26,경상북도 경산시 압량읍 부적리 777,35.84653021,128.7605129,1521,1844,Y,주차장,,경상북도 경산시청,2021-06-14
"삼북주공아파트 주차장",공공용,경상북도 경산시 장산로 152(삼북동),경상북도 경산시 삼북동 27,35.81783277,128.7412639,529,641,Y,주차장,,경상북도 경산시청,2021-06-14
"삼주봉황1차",공공용,경상북도 경산시 진량읍 봉황길 31,경상북도 경산시 진량읍 봉회리 71-1,35.88555925,128.8223182,4621,5601,Y,주차장,,경상북도 경산시청,2021-06-14
"삼주봉황3차",공공용,경상북도 경산시 진량읍 봉황길 21,경상북도 경산시 진량읍 봉회리 41,35.88496642,128.8193703,3148,3816,Y,주차장,,경상북도 경산시청,2021-06-14
"삼주봉황4차",공공용,경상북도 경산시 진량읍 봉황길 72,경상북도 경산시 진량읍 북리 102,35.88351421,128.8267055,7759,9405,Y,주차장,,경상북도 경산시청,2021-06-14
"상방주공아파트",공공용,경상북도 경산시 남매로6길 7(상방동),경상북도 경산시 상방동 292,35.81353024,128.7427935,3016,3656,Y,주차장,,경상북도 경산시청,2021-06-14
"선화청구",공공용,경상북도 경산시 진량읍 영청길 22,경상북도 경산시 진량읍 선화리 731,35.87387398,128.8008235,2876,3486,Y,주차장,,경상북도 경산시청,2021-06-14
"성암산신동아파밀리에",공공용,경상북도 경산시 장산로4길 10,경상북도 경산시 옥곡동 85-6,35.81256331,128.7298837,45849,55575,Y,주차장,,경상북도 경산시청,2021-06-14
"신나리아파트",공공용,경상북도 경산시 경청로222길 8(백천동),경상북도 경산시 백천동 588-1,35.8034846,128.7397034,11009,13344,Y,주차장,,경상북도 경산시청,2021-06-14
"영남대역",공공용,경상북도 경산시 대학로 270,경상북도 경산시 대동 163-2,35.83631921,128.7525877,8900,10788,Y,지하철역,,경상북도 경산시청,2021-06-14
"예다인아파트",공공용,경상북도 경산시 와촌면 금송로 325,경상북도 경산시 와촌면 덕촌리 594-1,35.93893895,128.8320448,2006,2432,Y,주차장,,경상북도 경산시청,2021-06-14
"옥산청구타운",공공용,경상북도 경산시 성암로8길 24,경상북도 경산시 옥산동 884-2,35.82039933,128.7219934,5721,6935,Y,주차장,,경상북도 경산시청,2021-06-14
"우림필유",공공용,경상북도 경산시 진량읍 봉황길 53,경상북도 경산시 진량읍 북리 824,35.88517645,128.8236424,3157,3827,Y,주차장,,경상북도 경산시청,2021-06-14
"우방3차아파트 지하주차장",공공용,경상북도 경산시 하양읍 문화로 3,경상북도 경산시 하양읍 금락리 130-8,35.90969674,128.813152,3478,4216,Y,주차장,,경상북도 경산시청,2021-06-14
"우방맨션",공공용,경상북도 경산시 대학로16길 6(정평동),경상북도 경산시 정평동 138-6,35.83337596,128.7302802,1729,2096,Y,주차장,,경상북도 경산시청,2021-06-14
"우방유쉘",공공용,경상북도 경산시 강변서로 111,경상북도 경산시 옥곡동 3-1,35.81733359,128.7318446,9629,11672,Y,주차장,,경상북도 경산시청,2021-06-14
"우방힐타운",공공용,경상북도 경산시 진량읍 공단로 527,경상북도 경산시 진량읍 신상리 868,35.87899293,128.8168586,8288,10046,Y,주차장,,경상북도 경산시청,2021-06-14
"웰리치성암",공공용,경상북도 경산시 삼성현로 203,경상북도 경산시 옥곡동 80,35.81602404,128.7257048,6732,8160,Y,주차장,,경상북도 경산시청,2021-06-14
"윤성3차아파트 지하주차장",공공용,경상북도 경산시 압량읍 연지길 152,경상북도 경산시 압량읍 인안리 48-8,35.8652128,128.7890146,1421,1722,Y,주차장,,경상북도 경산시청,2021-06-14
"이편한세상2단지",공공용,경상북도 경산시 대학로28길 31,경상북도 경산시 중방동 894,35.83162759,128.7391862,19071,23116,Y,주차장,,경상북도 경산시청,2021-06-14
"임당역",공공용,경상북도 경산시 대학로 170,경상북도 경산시 중방동 43-5,35.83394199,128.7405342,9607,11645,Y,지하철역,,경상북도 경산시청,2021-06-14
"조아아울렛",공공용,경상북도 경산시 강변동로 278(대평동),경상북도 경산시 대평동 439-7,35.834739,128.733347,4632,5615,Y,주차장,,경상북도 경산시청,2021-06-14
"중앙도서관",공공용,경상북도 경산시 대학로 280(대동),경상북도 경산시 조영동 321,35.83321816,128.7574494,1717,2081,Y,도서관,,경상북도 경산시청,2021-06-14
"진량휴먼시아",공공용,경상북도 경산시 진량읍 금호강변로 830-3,경상북도 경산시 진량읍 부기리 715,35.90638593,128.8232167,3857,4675,Y,주차장,,경상북도 경산시청,2021-06-14
"청구2차아파트 지하주차장",공공용,경상북도 경산시 하양읍 하양로 202-8,경상북도 경산시 하양읍 동서리 740-1,35.91646998,128.8272449,3398,4119,Y,주차장,,경상북도 경산시청,2021-06-14
"청구아파트  지하주차장",공공용,경상북도 경산시 하양읍 하양로33길 6,경상북도 경산시 하양읍 동서리 1082-1,35.91843428,128.8234738,4486,5438,Y,주차장,,경상북도 경산시청,2021-06-14
"크레용시티 지하주차장",공공용,경상북도 경산시 하양읍 하양로 69,경상북도 경산시 하양읍 금락리 117-20,35.91155856,128.8158405,4408,5343,Y,주차장,,경상북도 경산시청,2021-06-14
"태왕드림하이츠 지하",공공용,경상북도 경산시 삼풍로13-7(삼풍동),경상북도 경산시 삼풍동 500-1,35.82303438,128.7519692,20949,25393,Y,주차장,,경상북도 경산시청,2021-06-14
