"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"감포읍사무소",정부지원,경상북도 경주시 감포읍 감포로8길 14-8,경상북도 경주시 감포읍 감포리 56-1,35.80704257,129.501636,476.03,577,Y,창고,,감포읍행정복지센터,2020-10-27
"남호비치",공공용,경상북도 경주시 감포읍 동해안로 2233,경상북도 경주시 감포읍 감포리 605,35.805242,129.4965877,991.74,1202,Y,주차장,,남호비치,2020-10-27
"안강삼도타운",공공용,"경상북도 경주시 안강읍 구부랑4길 24-1,24-4",경상북도 경주시 안강읍 산대리 2393-2,36.0025058,129.1933132,959.34,1163,Y,주차장,,안강삼도타운,2020-10-27
"안강우방타운",공공용,"경상북도 경주시 안강읍 구부랑길 73,74",경상북도 경주시 안강읍 산대리 2380,36.00500804,129.1962124,4628.76,5611,Y,주차장,,안강우방타운,2020-10-27
"건천파티마요양병원",공공용,경상북도 경주시 건천읍 건천1길 8-9,경상북도 경주시 건천읍 건천리 335-15,35.848261,129.103817,320.98,389,N,주차장,,건천파티마요양병원,2020-10-27
"경주건천휴먼시아",공공용,경상북도 경주시 건천읍 대곡용명길 27,경상북도 경주시 건천읍 건천리 627,35.8473232,129.1083016,2147.54,2603,Y,주차장,,경주건천휴먼시아,2020-10-27
"건천읍사무소",정부지원,경상북도 경주시 건천읍 내서로 1106,경상북도 경주시 건천읍 건천리 244-1,35.8499328147,129.1019345776,92.56,112,Y,창고,,건천읍행정복지센터,2020-10-27
"건천전원타운",공공용,경상북도 경주시 건천읍 작원3길 81-4,경상북도 경주시 건천읍 천포리 366-1,35.855044,129.098844,851.88,1033,Y,주차장,,건천전원타운,2020-10-27
"금성크리스탈",공공용,경상북도 경주시 외동읍 모화남1길 15-5,경상북도 경주시 외동읍 모화리 산 119-1,35.67187384,129.3371757,909.09,1102,Y,주차장,,금성크리스탈,2020-10-27
"부성아파트",공공용,경상북도 경주시 외동읍 산업로 1762,경상북도 경주시 외동읍 모화리 산 115-2,35.67187649,129.3362968,700.83,849,Y,주차장,,부성아파트,2020-10-27
"성도대자연타운",공공용,경상북도 경주시 외동읍 산업로 1768-16,경상북도 경주시 외동읍 모화리 210,35.67242471,129.3377616,2866.12,3474,Y,주차장,,성도대자연타운,2020-10-27
"벽산천마타운",공공용,경상북도 경주시 외동읍 송계길 4-3,경상북도 경주시 외동읍 구어리 200,35.70052455,129.3272572,2383.47,2889,Y,주차장,,벽산천마타운,2020-10-27
"남정로얄맨션",공공용,경상북도 경주시 외동읍 순금1길 11,경상북도 경주시 외동읍 입실리 867-1,35.71190376,129.3227359,945.46,1146,Y,주차장,,남정로얄맨션,2020-10-27
"외동엘에치아파트",공공용,경상북도 경주시 외동읍 본동길 14,경상북도 경주시 외동읍 입실리 1393,35.7147126844,129.3303371890,5270.11,6388,Y,주차장,,외동엘에치아파트,2020-10-27
"동천우방타운",공공용,경상북도 경주시 백률로57번길 22(동천동),경상북도 경주시 동천동 681-1,35.85967972,129.2266583,12201.65,14790,Y,주차장,,동천우방타운,2020-10-27
"경상북도 경주시청",정부지원,경상북도 경주시 양정로 260(동천동),경상북도 경주시 동천동 800,35.85619791,129.2247236,433.06,525,Y,창고,,경상북도 경주시청,2020-10-27
"우주로얄맨션",공공용,경상북도 경주시 대안길35번길 12-1(동천동),경상북도 경주시 동천동 702-12,35.85381404,129.2216908,3717.57,4506,Y,주차장,,우주로얄맨션,2020-10-27
"동천푸르지오",공공용,경상북도 경주시 백률로 7(동천동),경상북도 경주시 동천동 989,35.8569166,129.2207502,24775,30030,Y,주차장,,동천푸르지오,2020-10-27
"한국통신문화재단",공공용,경상북도 경주시 엑스포로 30(신평동),경상북도 경주시 신평동 150-5,35.83760979,129.2888714,428.78,520,Y,주차장,,한국통신문화재단,2020-10-27
"더케이경주호텔",공공용,경상북도 경주시 엑스포로 45(신평동),경상북도 경주시 신평동 150-2,35.8381610435,129.2902089475,4797.65,5815,Y,주차장,,더케이경주호텔,2020-10-27
"대우1차아파트",공공용,경상북도 경주시 충효녹지길 142-9(충효동),경상북도 경주시 충효동 2927,35.84584581,129.1759836,4085.95,4953,Y,주차장,,대우아파트,2020-10-27
"에덴타운",공공용,경상북도 경주시 충효5길 30(충효동),경상북도 경주시 충효동 371-2,35.84616319,129.1789538,661.16,801,Y,주차장,,에덴타운,2020-10-27
"대신그린타운",공공용,경상북도 경주시 충효녹지길 134-9(충효동),경상북도 경주시 충효동 2935,35.84545016,129.1769334,2353.72,2853,Y,주차장,,대신그린타운,2020-10-27
"대우2차아파트",공공용,경상북도 경주시 충효5길 13(충효동),경상북도 경주시 충효동 2942,35.8451814,129.1792324,3923.97,4756,Y,주차장,,대우아파트,2020-10-27
