"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"인의주공 206동옆 주차장",공공용,"경상북도 구미시 인동16길 47-4 (진평동, 구미인의주공아파트)",경상북도 구미시 진평동 180,36.097222,128.421156,2621,3177,Y,지하주차장,054-480-7781,진미동,2020-10-22
"진평주공 108동앞 주차장",공공용,"경상북도 구미시 인동26길 65 (진평동, 구미진평주공미래타운)",경상북도 구미시 진평동 1063,36.091768,128.423571,3283,3979,Y,지하주차장,054-480-7781,진미동,2020-10-22
"진평주공 106동앞 주차장",공공용,"경상북도 구미시 인동26길 65 (진평동, 구미진평주공미래타운)",경상북도 구미시 진평동 1063,36.091768,128.423571,4305,5218,Y,지하주차장,054-480-7781,진미동,2020-10-22
"진평주공 101동앞주차장",공공용,"경상북도 구미시 인동26길 65 (진평동, 구미진평주공미래타운)",경상북도 구미시 진평동 1063,36.091768,128.423571,6913,8379,Y,지하주차장,054-480-7781,진미동,2020-10-22
"구미보건소",공공용,"경상북도 구미시 선산대로 111 (지산동, 구미시의료센터)",경상북도 구미시 지산동 853-12,36.139919,128.345939,1193,1446,Y,식당,054-480-7461,지산동,2020-10-22
"지산새마을금고",공공용,경상북도 구미시 선산대로 163-1 (지산동),경상북도 구미시 지산동 104-1,36.144602,128.347375,153,185,Y,"회의, 교육",054-480-7461,지산동,2020-10-22
"창덕아파트",공공용,경상북도 구미시 장천면 강동로 207-9 (창덕아파트),,36.126857,128.493245,661,801,Y,주차장,054-480-7361,장천면,2020-10-22
"옥성면사무소",공공용,경상북도 구미시 옥성면 주아령로 415 (옥성면사무소),,36.295767,128.278753,149,181,Y,창고,054-480-7231,옥성면,2020-10-22
"임은태왕아너스파크",공공용,"경상북도 구미시 왕산로70-9(임은동, 임은태왕아너스파크)",경상북도 구미시 임은동 173,36.085913,128.368963,2383,2888,Y,주차장,054-480-7732,임오동,2020-10-22
"에덴타운",공공용,"경상북도 구미시 흥안로 46 (옥계동, 에덴타운)",경상북도 구미시 옥계동 543,36.148115,128.413109,1190,1442,Y,주차장,054-480-7801,양포동,2020-10-22
"휴먼시아1단지",공공용,"경상북도 구미시 옥계북로 43-48 (옥계동, 옥계휴먼시아1단지)",경상북도 구미시 옥계동 905-1,36.141541,128.424656,13918,16870,Y,지하주차장,054-480-7801,양포동,2020-10-22
"휴먼시아2단지",공공용,"경상북도 구미시 옥계북로 43-52 (옥계동, 옥계휴먼시아2단지)",경상북도 구미시 옥계동 905,36.142379,128.424685,20760,25164,Y,지하주차장,054-480-7801,양포동,2020-10-22
"양포동주민센터",공공용,"경상북도 구미시 산호대로35길 6 (옥계동, 양포동주민센터)",경상북도 구미시 옥계동 794-3,36.137028,128.425739,140,170,Y,창고,054-480-7801,양포동,2020-10-22
"부영2차아파트",공공용,"경상북도 구미시 산호대로25길 39 (옥계동, 부영아파트)",경상북도 구미시 옥계동 617,36.140327,128.416062,3378,4095,Y,주차장,054-480-7801,양포동,2020-10-22
"부영1차아파트",공공용,"경상북도 구미시 산호대로25길 53 (옥계동, 부영아파트)",경상북도 구미시 옥계동 616-1,36.141653,128.417847,3256,3947,Y,주차장,054-480-7801,양포동,2020-10-22
"동화타운",공공용,"경상북도 구미시 흥안로 43 (옥계동, 동화타운)",경상북도 구미시 옥계동 545,36.146497,128.415507,3256,3947,Y,주차장,054-480-7801,양포동,2020-10-22
"대백타운",공공용,"경상북도 구미시 흥안로 63 (옥계동, 대백타운)",경상북도 구미시 옥계동 540,36.146844,128.411824,2185,2648,Y,주차장,054-480-7801,양포동,2020-10-22
"한마음타운",공공용,"경상북도 구미시 흥안로 75 (옥계동, 한마음타운)",경상북도 구미시 옥계동 539,36.147289,128.409101,1983,2404,Y,주차장,054-480-7801,양포동,2020-10-22
"엘지이노텍(주)구미2공장",공공용,"경상북도 구미시 옥계2공단로 221 (구포동, 엘지이노텍(주)구미2공장)",경상북도 구미시 구포동 624,36.128495,128.410473,1876,2274,Y,식당,054-480-7801,양포동,2020-10-22
"동양산업",공공용,경상북도 구미시 옥계2공단로5길 14 (구포동),경상북도 구미시 구포동 622-14,36.131212,128.414485,185,224,Y,탁구장,054-480-7801,양포동,2020-10-22
"성원아파트",공공용,"경상북도 구미시 옥계2공단로 264-11 (구포동, 성원아파트)",경상북도 구미시 구포동 528,36.128952,128.419035,5474,6635,Y,주차장,054-480-7801,양포동,2020-10-22
"신평2동주민센터",공공용,"경상북도 구미시 신비로7길 9 (신평동, 신평2동 주민센터)",,36.123147,128.365769,245,297,Y,탁구장,054-480-7601,신평2동,2020-10-22
"우석아파트",공공용,"경상북도 구미시 신비로 36 (공단동, 우석아파트)",경상북도 구미시 공단동 2,36.121925,128.366581,850,1030,Y,창고,054-480-7601,신평2동,2020-10-22
"한국도로공사 구미지사",공공용,경상북도 구미시 구미중앙로 350-28 (신평동),경상북도 구미시 신평동 259-2,36.117525,128.359116,139,168,Y,체육관,054-480-7571,신평1동,2020-10-22
