"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"우방1차아파트",공공용,경상북도 김천시 시청6길 35 (신음동),경상북도 김천시 신음동 1272,36.142213,128.114471,842.9,1222,Y,주차장,054-439-1300,우방1차아파트,2019-09-27
"삼보아파트",공공용,"경상북도 김천시 시청6길 42 (신음동, 삼보타운)",경상북도 김천시 신음동 1275,36.142083,128.115207,1289.2,1563,Y,주차장,054-434-7679,삼보아파트,2019-09-27
"탑웨딩",공공용,경상북도 김천시 시청로 194 (신음동),경상북도 김천시 신음동 577-2,36.145394,128.120719,661.1,801,Y,식당,054-430-8888,탑웨딩,2019-09-27
"현대2차아파트",공공용,"경상북도 김천시 시청로 42 (신음동, 현대아파트)",경상북도 김천시 신음동 394-9,36.132214,128.118675,2644.6,3206,Y,주차장,054-436-0388,현대2차아파트,2019-09-27
"현대1차아파트",공공용,경상북도 김천시 시청로 46 (신음동),경상북도 김천시 신음동 394-3,36.133694,128.118016,7226.4,8759,Y,주차장,054-435-8356,현대1차아파트,2019-09-27
"대신휴먼시아",공공용,경상북도 김천시 시청로 93 (신음동),경상북도 김천시 신음동 1313,36.137087,128.116362,4485,5436,Y,주차장,054-430-8185,대신휴먼시아,2019-09-27
"제일병원",공공용,경상북도 김천시 신음1길 12 (신음동),경상북도 김천시 신음동 462-14,36.135425,128.118823,330.5,401,Y,업무시설,054-420-9300,제일병원,2019-09-27
"우방2차아파트",공공용,경상북도 김천시 신음2길 18 (신음동),경상북도 김천시 신음동 470-6,36.136850,128.118234,3157,3827,Y,주차장,054-430-2034,우방2차아파트,2019-09-27
"아포덕일아파트",공공용,경상북도 김천시 아포읍 한지2길 64-9 (아포덕일한마음아파트),경상북도 김천시 아포읍 1119,36.158634,128.263436,12272.57,2035,Y,주차장,054-435-7124,아포덕일아파트,2019-09-27
"동보수정아파트",공공용,"경상북도 김천시 양금로 194 (황금동, 동보수정아파트)",경상북도 김천시 황금동 129-3,36.111494,128.122871,3143.8,3811,Y,기계실,054-439-1125,동보수정아파트,2019-09-27
