"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"시 청사",공공용,경상북도 상주시 상산로 223(남성동),,36.411171,128.158905,327,396,Y,,,상주시청,2019-05-27
"중앙시장",공공용,경상북도 상주시 상산로 250(남성동),,36.413382,128.159731,1379,1671,Y,,,상주시청,2019-05-27
"공영유료주차장",공공용,경상북도 상주시 상산로 250(남성동),,36.413382,128.159731,1424,1726,Y,,,상주시청,2019-05-27
"상주적십자병원",공공용,경상북도 상주시 상서문로 53(남성동),,36.414581,128.155178,1256,1522,Y,,,상주시청,2019-05-27
"무지개타운",공공용,경상북도 상주시 상서문2길 114-11(남성동),,36.412654,128.158093,1570,1903,Y,,,상주시청,2019-05-27
"국민은행상주지점",공공용,경상북도 상주시 상산로 269(남성동),,36.414995,128.158924,370,448,Y,,,상주시청,2019-05-27
"명지1차 APT",공공용,경상북도 상주시 경상대로 2924-2(낙양동),,36.407829,128.150821691,3451,4183,Y,,,상주시청,2019-05-27
"명지2차 APT",공공용,경상북도 상주시 경상대로 2930-9(낙양동 명지2차아파트),,36.408634,128.151202,998,1209,Y,,,상주시청,2019-05-27
"경희 삼백APT",공공용,경상북도 상주시 낙양3길 20(낙양동 경희삼백아파트),,36.410784,128.150602,1897,2299,Y,,,상주시청,2019-05-27
"대림아크로빌",공공용,경상북도 상주시 상서문로 5(낙양동),,36.410307,128.156102,1593,1930,Y,,,상주시청,2019-05-27
"의회청사",공공용,경상북도 상주시 중앙로 111(무양동),,36.416912,128.150117,294,356,Y,,,상주시청,2019-05-27
"상주무양엘에이치7단지",공공용,경상북도 상주시 동수4길 55(무양동),,36.424192,128.154787,12411,15044,Y,,,상주시청,2019-05-27
"상주무양엘에이치 천년나무",공공용,경상북도 상주시 동수4길 33(무양동),,36.423842,128.152506,13518,16385,Y,,,상주시청,2019-05-27
"지엘리베라움아파트",공공용,경상북도 상주시 봉양1길 124(무양동),,36.425292,128.156605,9396,11389,Y,,,상주시청,2019-05-27
"성모병원",공공용,경상북도 상주시 냉림서성길 7(냉림동),,36.4208151452,128.159954,1502,1820,Y,,,상주시청,2019-05-27
"부민 APT",공공용,경상북도 상주시 복룡냉림길 39(냉림동),,36.420625,128.165072,1390,1684,Y,,,상주시청,2019-05-27
2차진주맨션,공공용,경상북도 상주시 냉림안질 59(냉림동),,36.424321,128.162363,1834,2223,Y,,,상주시청,2019-05-27
KT상주지사,공공용,경상북도 상주시 상산로 389(냉림동),,36.426064,128.158043,432,523,Y,,,상주시청,2019-05-27
"지엘리더스파크골드1단지아파트",공공용,경상북도 상주시 영남제일로 1651(냉림동),,36.426693,128.160362,419,508,Y,,,상주시청,2019-05-27
"지엘리더스파크골드2단지아파트",공공용,경상북도 상주시 영남제일로 1649(냉림동),,36.426308,128.160803,389,471,Y,,,상주시청,2019-05-27
"상주소방서",공공용,경상북도 상주시 상산로 322(서성동),,36.419662,128.159755,170,206,Y,,,상주시청,2019-05-27
"상주관광호텔",공공용,경상북도 상주시 상산로 294(서성동),,36.417076,128.159622,422,511,Y,,,상주시청,2019-05-27
"우방APT",공공용,경상북도 상주시 중앙로 311(복룡동 우방아파트),,36.417043,128.172008,4070,4933,Y,,,상주시청,2019-05-27
"상주경찰서",공공용,경상북도 상주시 중앙로 230(성하동),,36.415495,128.16344831,408,435,Y,,,상주시청,2019-05-27
"경희 삼백APT",공공용,경상북도 상주시 중앙로 273(성동동),,36.416308,128.168637,2198,1664,Y,,,상주시청,2019-05-27
"현대 APT",공공용,경상북도 상주시 상산로 174(신봉동),,36.406851,128.160697,3061,3710,Y,,,상주시청,2019-05-27
"동아아파트상가",공공용,경상북도 상주시 상산로 145(신봉동),,36.404537,128.159794,582,705,Y,,,상주시청,2019-05-27
"상주고등학교",공공용,경상북도 상주시 신봉동 15-99(신봉동),,36.401423,128.158143,173,210,Y,,,상주시청,2019-05-27
"청구 APT",공공용,경상북도 상주시 경상대로 2811(신봉동),,36.398435,128.148145,2123,2573,Y,,,상주시청,2019-05-27
"명지3차APT",공공용,경상북도 상주시 경상대로 2749-10(신봉동),,36.393865,128.150821,3270,3963,Y,,,상주시청,2019-05-27
"상주대학교(1호관)",공공용,경상북도 상주시 경상대로 2559(가장동),,36.3801281839,128.148705,116,140,Y,,,상주시청,2019-05-27
"상주대학교(2호관)",공공용,경상북도 상주시 경상대로 2559(가장동),,36.376792,128.145347,129,156,Y,,,상주시청,2019-05-27
"상주대학교(3호관)",공공용,경상북도 상주시 경상대로 2559(가장동),,36.377889,128.146045,128,155,Y,,,상주시청,2019-05-27
