"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"영덕군청(본청)",공공용,경상북도 영덕군 영덕읍 군청길 116,,36.4150348139,129.3653995835,514,623,Y,사무실,054-730-6153,영덕군청,2020-07-15
"영덕경찰서",공공용,경상북도 영덕군 영덕읍 남산1길 14,,36.4006249717,129.3700401111,717,869,Y,창고,054-730-6153,영덕군청,2020-07-15
"영덕교육지원청",공공용,경상북도 영덕군 영덕읍 읍사무소1길 32-15,,36.4089518155,129.3739222711,215,261,Y,사무실,054-730-6153,영덕군청,2020-07-15
"영덕세무서",공공용,경상북도 영덕군 영덕읍 영덕로 35-11,,36.3989801748,129.3693883362,152,184,Y,창고,054-730-6153,영덕군청,2020-07-15
"마이다스빌",공공용,경상북도 영덕군 영덕읍 영덕로 163,,36.4090150624,129.3749094977,1507,1826,Y,주차장,054-730-6153,영덕군청,2020-07-15
"혜광신세계타운",공공용,경상북도 영덕군 영덕읍 중앙길 20,,36.4116238729,129.3761927542,2014,2441,Y,주차장,054-730-6153,영덕군청,2020-07-15
"태양맨션",공공용,경상북도 영덕군 영덕읍 강영로 504,,36.4039350835,129.3761100674,407,493,Y,주차장,054-730-6153,영덕군청,2020-07-15
"대구지방검찰청영덕지청",공공용,경상북도 영덕군 영덕읍 경동로 8335,,36.420703,129.3657568223,988,1197,Y,창고,054-730-6153,영덕군청,2020-07-15
"대구지방법원영덕지원",공공용,경상북도 영덕군 영덕읍 경동로 8337,,36.4199720872,129.3663029667,601,728,Y,창고,054-730-6153,영덕군청,2020-07-15
"맘애듬아파트",공공용,경상북도 영덕군 영덕읍 덕곡천길 34,,36.4088102958,129.3712518597,678,821,Y,주차장,054-730-6153,영덕군청,2020-07-15
"우진센트럴하임아파트",공공용,경상북도 영덕군 영덕읍 읍사무소1길 42-21(우진센트럴하임아파트),,36.4100720441,129.3746741820,3712,4499,Y,주차장,054-730-6153,영덕군청,2020-07-15
"강구중학교",공공용,경상북도 영덕군 강구면 신강구1길 45-5 (강구중학교),,36.353365,129.379989,82.62,100,Y,창고,054-730-6153,영덕군청,2020-07-15
"예주문화예술회관",공공용,경상북도 영덕군 영해면 318만세길 36 (예주문화예술회관),,36.5297333912,129.4050850252,1784,2162,Y,공연장,054-730-6153,영덕군청,2020-07-15
"영덕야성초등학교",공공용,경상북도 영덕군 영덕읍 덕곡길 96,,36.4131280496,129.368552,463,561,Y,창고,054-730-6153,영덕군청,2020-07-15
