"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"윤성모닝타운",공공용,경상북도 영천시 금호읍 원제2길 16-8,,35.94294222,128.9003747,1,1,Y,주차장,054-339-7028,영천시 금호읍사무소,2021-07-01
"금호우방타운",공공용,경상북도 영천시 금호읍 덕성길 12,,35.93263294,128.870142,1,1,Y,주차장,054-339-7028,영천시 금호읍사무소,2021-07-01
"태성맨션",공공용,경상북도 영천시 금호읍 금호로 88,,35.93080398,128.8713974,1,1,Y,주차장,054-339-7028,영천시 금호읍사무소,2021-07-01
"신한화섬(주)",공공용,경상북도 영천시 언하공단4길 5(망정동),,35.98622674,128.9592825,165,200,Y,주차장,054-339-7123,영천시 동부동사무소,2021-07-01
"효성볼링장",공공용,경상북도 영천시 호국로 27(야사동),,35.97228902,128.9410998,990,1,Y,주차장,054-339-7123,영천시 동부동사무소,2021-07-01
"영동새마을금고",공공용,경상북도 영천시 호국로 36-1(야사동),,35.97236288,128.9421037,320,388,Y,주차장,054-339-7123,영천시 동부동사무소,2021-07-01
"영천망정1.2단지1주공",공공용,경상북도 영천시 동부로 40(망정동),,35.97340156,128.9500618,855,1,Y,주차장,054-339-7123,영천시 동부동사무소,2021-07-01
"영천망정1.2단지2주공",공공용,경상북도 영천시 동부로 40(망정동),,35.97340156,128.9500618,1,1,Y,주차장,054-339-7123,영천시 동부동사무소,2021-07-01
"청구1차아파트",공공용,경상북도 영천시 모란1길 18(야사동),,35.9766322794,128.9408001286,1,1,Y,주차장,054-339-7123,영천시 동부동사무소,2021-07-01
"청구2차아파트",공공용,경상북도 영천시 모란1길 18(야사동),,35.9766322794,128.9408001286,1,1,Y,주차장,054-339-7123,영천시 동부동사무소,2021-07-01
"영천창신타운",공공용,경상북도 영천시 창신1길 21,,35.9882056,128.9537523,1,1,Y,주차장,054-339-7123,영천시 동부동사무소,2021-07-01
"영천우방타운",공공용,경상북도 영천시 동부로 15(야사동),,35.97175625,128.9477289,1,1,Y,주차장,054-339-7123,영천시 동부동사무소,2021-07-01
"영천망정3.4단지4주공",공공용,경상북도 영천시 동부로 14(망정동),,35.97171679,128.9501578,1,1,Y,주차장,054-339-7123,영천시 동부동사무소,2021-07-01
"망정휴먼시아5단지",공공용,경상북도 영천시 망정로 80(망정동),,35.98347352,128.9526245,1,1,Y,주차장,054-339-7123,영천시 동부동사무소,2021-07-01
"청솔 아파트",공공용,경상북도 영천시 청솔길 23-6,,35.98890053,128.9551221,1,1,Y,주차장,054-339-7123,영천시 동부동사무소,2021-07-01
"보성스타팰리스",공공용,경상북도 영천시 망정1길 138,,35.97969666,128.9513512759,1,1,Y,주차장,054-339-7123,영천시 동부동사무소,2021-07-01
"영천시청",공공용,경상북도 영천시 시청로 16(문외동),,35.97331179,128.9384777,1,1,Y,주차장,054-339-7161,영천시 중앙동사무소,2021-07-01
"영천시보건소",공공용,경상북도 영천시 옛군청1길 31(문내동),,35.9687454982,128.9324014266,250,303,Y,주차장,054-339-7161,영천시 중앙동사무소,2021-07-01
"영천축협",공공용,경상북도 영천시 호국로 17(문외동),,35.97188607,128.9399257256,540,655,Y,주차장,054-339-7161,영천시 중앙동사무소,2021-07-01
"영진궁전빌라",공공용,경상북도 영천시 시청동길 8(문외동),,35.97268914,128.9399834,945,1,Y,주차장,054-339-7161,영천시 중앙동사무소,2021-07-01
"무궁화타운",공공용,경상북도 영천시 충효로 97(문외동),,35.97462696,128.9389489,989,1,Y,주차장,054-339-7161,영천시 중앙동사무소,2021-07-01
"삼산무지개타운",공공용,경상북도 영천시 청산길 29(문외동),,35.97393972,128.9353049,1,1,Y,주차장,054-339-7161,영천시 중앙동사무소,2021-07-01
"영진빌딩",공공용,경상북도 영천시 호국로 9(문외동),,35.97144422,128.9394031,443,537,Y,주차장,054-339-7161,영천시 중앙동사무소,2021-07-01
"(구)시립도서관",공공용,경상북도 영천시 시청로 23(문외동),,35.9727859,128.9375647,429,520,Y,주차장,054-339-7161,영천시 중앙동사무소,2021-07-01
"농업기술센터",공공용,경상북도 영천시 천문로 622-13(오미동),,35.99091854,128.925967,99,120,Y,주차장,054-339-7161,영천시 중앙동사무소,2021-07-01
"대동다숲 아파트",공공용,"경상북도 영천시 중앙동1길 102-10,11",,35.97596359,128.9316119,1,1,Y,주차장,054-339-7161,영천시 중앙동사무소,2021-07-01
"중앙동 주민센터",공공용,경상북도 영천시 천문로 402-4,,35.9732419492,128.9299623360,79,96,Y,주차장,054-339-7161,영천시 중앙동사무소,2021-07-01
"영남대학교부속영천병원",공공용,경상북도 영천시 오수1길 10(오수동),,35.9570907314,128.9127795815,495,600,Y,주차장,054-339-7256,영천시 서부동사무소,2021-07-01
"영천교육청",공공용,경상북도 영천시 장수로 18-2(화룡동),,35.9644325657,128.9219806402,147,178,Y,주차장,054-339-7256,영천시 서부동사무소,2021-07-01
"교동새마을금고",공공용,경상북도 영천시 최무선로 214(성내동),,35.96306638,128.9244966,258,313,Y,주차장,054-339-7256,영천시 서부동사무소,2021-07-01
"드림스타트",공공용,경상북도 영천시 운동장로 41(교촌동),,35.96642716,128.9235008,113,137,Y,주차장,054-339-7256,영천시 서부동사무소,2021-07-01
"태평스카이맨션",공공용,경상북도 영천시 장수로 10(화룡동),,35.96395844,128.9228113,1,1,Y,주차장,054-339-7256,영천시 서부동사무소,2021-07-01
"청소년수련관",공공용,경상북도 영천시 운동장로 92(교촌동),,35.97031222,128.9221762,330,400,Y,주차장,054-339-7256,영천시 서부동사무소,2021-07-01
"농협중앙회영천시지회",공공용,경상북도 영천시 완산로 48(완산동),,35.96435995,128.9392918,512,621,Y,주차장,054-339-7352,영천시 완산동사무소,2021-07-01
"스타컨벤션웨딩",공공용,경상북도 영천시 구읍 1길 9(완산동),,35.96124935,128.9341617,793,961,Y,주차장,054-339-7352,영천시 완산동사무소,2021-07-01
"삼구빌딩",공공용,경상북도 영천시 역전로 8(완산동),,35.96278896,128.9343513649,953,1,Y,주차장,054-339-7352,영천시 완산동사무소,2021-07-01
"대구은행영천지점",공공용,경상북도 영천시 시장로 45(완산동),,35.9636384,128.9350934,990,1,Y,주차장,054-339-7352,영천시 완산동사무소,2021-07-01
SD웨딩컨벤션,공공용,경상북도 영천시 완산로 68(완산동),,35.96621608,128.9392973,627,760,Y,주차장,054-339-7352,영천시 완산동사무소,2021-07-01
