"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"왜관삼성아파트 지하주차장",공공용,경상북도 칠곡군 왜관읍 구상길 180 (삼성아파트),경상북도 칠곡군 왜관읍 왜관리 780-33,35.983462,128.395957,4421,5358,Y,주차장,054-979-6153,경상북도 칠곡군,2020-06-30
"왜관한빛타운 지하주차장",공공용,경상북도 칠곡군 왜관읍 석전로 77 (왜관한빛타운),경상북도 칠곡군 왜관읍 석전리 561,36.000806,128.406262,3430,4157,Y,주차장,054-979-6153,경상북도 칠곡군,2020-06-30
"이원리버빌 지하주차장",공공용,경상북도 칠곡군 왜관읍 2번도로길 105 (이원리버빌아파트),경상북도 칠곡군 왜관읍 왜관리 208-16,35.996892,128.396908,1384,1677,Y,주차장,054-979-6153,경상북도 칠곡군,2020-06-30
"왜관휴먼시아4단지 지하주차장",공공용,경상북도 칠곡군 왜관읍 관문로1길 24 (왜관휴먼시아4단지),경상북도 칠곡군 왜관읍 석전리 883,35.989584,128.416410,4028,4882,Y,주차장,054-979-6153,경상북도 칠곡군,2020-06-30
"대동다숲아파트 지하주차장",공공용,경상북도 칠곡군 왜관읍 평장3길 50 (대동다숲아파트),경상북도 칠곡군 왜관읍 왜관리 661-4,35.984961,128.405244,6600,8000,Y,주차장,054-979-6153,경상북도 칠곡군,2020-06-30
"전원대동타운 지하주차장",공공용,경상북도 칠곡군 북삼읍 외율1길 9 (전원대동타운),경상북도 칠곡군 북삼읍 율리 830-47,36.050675,128.344046,2144,2598,Y,주차장,054-979-6153,경상북도 칠곡군,2020-06-30
"금오현대아파트 지하주차장",공공용,경상북도 칠곡군 북삼읍 안산2길 37-9 (금오현대아파트),경상북도 칠곡군 북삼읍 숭오리 18-1,36.066788,128.334366,7842,9505,Y,주차장,054-979-6153,경상북도 칠곡군,2020-06-30
"인평창신아파트 지하주차장",공공용,경상북도 칠곡군 북삼읍 금오대로6길 9-6 (인평창신아파트),경상북도 칠곡군 북삼읍 인평리 1090,36.067826,128.348844,2994,3629,Y,주차장,054-979-6153,경상북도 칠곡군,2020-06-30
"동부늘푸른타운 지하주차장",공공용,경상북도 칠곡군 북삼읍 북삼로8길 19 (동부늘푸른타운),경상북도 칠곡군 북삼읍 인평리 271-1,36.071731,128.335555,2242,2717,Y,주차장,054-979-6153,경상북도 칠곡군,2020-06-30
"숭오대동타운 지하주차장",공공용,경상북도 칠곡군 북삼읍 인강5길 59 (대동아파트),경상북도 칠곡군 북삼읍 인평리 678-1,36.067726,128.340376,1033,1252,Y,주차장,054-979-6153,경상북도 칠곡군,2020-06-30
"숭오화진금봉타운1차 지하주차장",공공용,경상북도 칠곡군 북삼읍 안산2길 6-4 (숭오화진금봉타운(1차)),경상북도 칠곡군 북삼읍 인평리 690-1,36.063657,128.334202,2110,2557,Y,주차장,054-979-6153,경상북도 칠곡군,2020-06-30
"북삼휴먼시아 지하주차장",공공용,경상북도 칠곡군 북삼읍 북삼로 200 (북삼 휴먼시아),경상북도 칠곡군 북삼읍 숭오리 31-1,36.064152,128.332452,1800,2181,Y,주차장,054-979-6153,경상북도 칠곡군,2020-06-30
"숭오화성파크 지하주차장",공공용,경상북도 칠곡군 북삼읍 북삼로 193-5 (숭오화성파크),경상북도 칠곡군 북삼읍 숭오리 26-1,36.065791,128.333563,5477,6638,Y,주차장,054-979-6153,경상북도 칠곡군,2020-06-30
3공단부영아파트 지하주차장,공공용,경상북도 칠곡군 석적읍 북중리3길 70 (3공단부영아파트),경상북도 칠곡군 석적읍 중리 141,36.078648,128.413450,9592,11626,Y,주차장,054-979-6153,경상북도 칠곡군,2020-06-30
"우방신천지아파트 지하주차장",공공용,경상북도 칠곡군 석적읍 석적로 955-19 (우방신천지아파트),경상북도 칠곡군 석적읍 남율리 710,36.074605,128.391781,8250,10000,Y,주차장,054-979-6153,경상북도 칠곡군,2020-06-30
"칠곡남율효성해링턴플레이스 1단지 지하주차장",공공용,경상북도 칠곡군 석적읍 남율로9길 33 (칠곡남율효성해링턴플레이스1단지),경상북도 칠곡군 석적읍 남율리 1087,36.067737,128.401196,8250,10000,Y,주차장,054-979-6153,경상북도 칠곡군,2020-06-30
"중리금호어울림 지하주차장",공공용,경상북도 칠곡군 석적읍 서중리5길 66-6 (중리금호어울림),경상북도 칠곡군 석적읍 중리 171,36.075965,128.404690,8250,10000,Y,주차장,054-979-6153,경상북도 칠곡군,2020-06-30
"약목오성타워맨션 지하주차장",공공용,경상북도 칠곡군 약목면 복성13길 24 (약목오성타워맨션),경상북도 칠곡군 약목면 복성리 701,36.037387,128.359544,1667,2020,Y,주차장,054-979-6153,경상북도 칠곡군,2020-06-30
