"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"럭키장성아파트(2단지)",공공용,"경상북도 포항시 북구 삼흥로 50-13(장성동, 럭키장성아파트)",경상북도 포항시 북구 장성동 1351번지,36.06684318,129.3802061,8250,6806,Y,지하주차장,054-240-7971,장량동주민센터,2020-08-31
"장성청구하이츠 아파트",공공용,"경상북도 포항시 북구 삼흥로 100-22(장성동, 장성청구하이츠)",경상북도 포항시 북구 장성동 134-1번지,36.07107349,129.3776997818,10150,8373,Y,지하주차장,054-240-7971,장량동주민센터,2020-08-31
"등정형외과",공공용,경상북도 포항시 남구 해도동 중앙로 102,경상북도 포항시 남구 해도동 46-2번지,36.02234781,129.3689821,350,288,Y,지하주차장,054-270-6734,해도동주민센터,2020-08-31
"비즈타워(구.학산타워)",공공용,경상북도 포항시 남구 해도동 중앙로 154,경상북도 포항시 남구 해도동 33-12번지,36.02672661,129.3678887,4588,3785,Y,지하주차장,054-270-6734,해도동주민센터,2020-08-31
"쌍용아파트",공공용,경상북도 포항시 북구 용흥동 용흥로 354,경상북도 포항시 북구 용흥동 17번지,36.0456043,129.3574618,5153,4251,Y,지하주차장,054-240-7824,용흥동주민센터,2020-08-31
"제일프리미엄 아파트",공공용,경상북도 포항시 북구 용흥동 용흥로 292번길 11,경상북도 포항시 북구 용흥동 424-7번지,36.04760084,129.3517788,816,673,Y,지하주차장,054-240-7824,용흥동주민센터,2020-08-31
"성봉우미타운",공공용,경상북도 포항시 북구 용흥동 용흥로 322,경상북도 포항시 북구 용흥동 419번지,36.04751305,129.3531297,5023,4143,Y,지하주차장,054-240-7824,용흥동주민센터,2020-08-31
"현대타워2차아파트",공공용,경상북도 포항시 북구 용흥동 새마을로 26,경상북도 포항시 북구 용흥동 66-1번지,36.03908723,129.3566018,7390,6096,Y,지하주차장,054-240-7824,용흥동주민센터,2020-08-31
KT전화국 지하,공공용,경상북도 포항시 남구 상대동 포스코대로 346(대도동),경상북도 포항시 남구 대도동 135-19번지,36.010126,129.213893,2293,1891,Y,지하주차장,054-270-6703,상대동주민센터,2020-08-31
"문화예술회관 지하",공공용,경상북도 포항시 남구 상대동 희망대로 850(대도동),경상북도 포항시 남구 대도동 303-1번지,36.003465,129.215718,2484,2049,Y,전시장,054-270-6703,상대동주민센터,2020-08-31
"벨류플러스 지하",공공용,경상북도 포항시 남구 상대동 중흥로 77(상도동),경상북도 포항시 남구 상도동 582번지,36.004599,129.205586,15042,12409,Y,지하주차장,054-270-6703,상대동주민센터,2020-08-31
"세명기독병원 지하",공공용,경상북도 포항시 남구 상대동 포스코대로 349(대도동),경상북도 포항시 남구 대도동 94-5번지,36.010529,129.214184,622,513,Y,지하주차장,054-270-6703,상대동주민센터,2020-08-31
"교수아파트",공공용,경상북도 포항시 남구 효곡동 지곡로 155,경상북도 포항시 남구 지곡동 377-2번지,36.011301,129.192862,4021,3317,Y,지하주차장,054-270-6776,효곡동주민센터,2020-08-31
SK뷰 1차 아파트,공공용,경상북도 포항시 남구 효곡동 새천년대로 306,경상북도 포항시 남구 효자동 566번지,36.011952,129.200121,12000,9900,Y,지하주차장,054-270-6776,효곡동주민센터,2020-08-31
"그린빌라332동",공공용,"경상북도 포항시 남구 효곡동 지곡로 303, 332동",경상북도 포항시 남구 지곡동 640-1번지,36.014231,129.190973,552,455,Y,지하주차장,054-270-6776,효곡동주민센터,2020-08-31
"그린빌라320동",공공용,"경상북도 포항시 남구 효곡동 지곡로 303, 320동",경상북도 포항시 남구 지곡동 640-1번지,36.014982,129.190625,552,455,Y,지하주차장,054-270-6776,효곡동주민센터,2020-08-31
"그린빌라318동",공공용,"경상북도 포항시 남구 효곡동 지곡로 319, 318동",경상북도 포항시 남구 지곡동 640-1번지,36.014194,129.185499,552,455,Y,지하주차장,054-270-6776,효곡동주민센터,2020-08-31
"그린빌라316동",공공용,"경상북도 포항시 남구 효곡동 지곡로 319, 316동",경상북도 포항시 남구 지곡동 640-1번지,36.014206,129.185818,552,455,Y,지하주차장,054-270-6776,효곡동주민센터,2020-08-31
"그린빌라307동",공공용,"경상북도 포항시 남구 효곡동 지곡로 319, 307동",경상북도 포항시 남구 지곡동 640-1번지,36.104731,129.185984,552,455,Y,지하주차장,054-270-6776,효곡동주민센터,2020-08-31
"낙원아파트9동",공공용,"경상북도 포항시 남구 효곡동구 지곡로 102, 9동",경상북도 포항시 남구 지곡동 110-9번지,36.005681,129.193348,492,405,Y,지하주차장,054-270-6776,효곡동주민센터,2020-08-31
"낙원아파트8동",공공용,"경상북도 포항시 남구 효곡동 지곡로 102, 8동",경상북도 포항시 남구 지곡동 110-9번지,36.005575,129.193156,492,405,Y,지하주차장,054-270-6776,효곡동주민센터,2020-08-31
"낙원아파트7동",공공용,"경상북도 포항시 남구 효곡동 지곡로 102, 7동",경상북도 포항시 남구 지곡동 110-9번지,36.005649,129.193334,492,405,Y,지하주차장,054-270-6776,효곡동주민센터,2020-08-31
"승리아파트",공공용,"경상북도 포항시 남구 효곡동 지곡로 20, 3동",경상북도 포항시 남구 지곡동 253-6번지,36.003165,129.194353,372,306,Y,지하주차장,054-270-6776,효곡동주민센터,2020-08-31
"승리아파트",공공용,"경상북도 포항시 남구 효곡동 지곡로 20, 1동",경상북도 포항시 남구 지곡동 253-6번지,36.003559,129.194186,372,306,Y,지하주차장,054-270-6776,효곡동주민센터,2020-08-31
"부영5차",공공용,경상북도 포항시 남구 오천읍 중원로 71-30,경상북도 포항시 남구 오천읍 원리 997번지,35.97526972,129.3979629,8970,7400,Y,지하주차장,054-270-4134,오천읍사무소,2020-08-31
"부영3차",공공용,경상북도 포항시 남구 오천읍 남원로 86-19,경상북도 포항시 남구 오천읍 1000번지,35.97277935,129.3981447,8970,7400,Y,지하주차장,054-270-4134,오천읍사무소,2020-08-31
"부영2차",공공용,경상북도 포항시 남구 오천읍 남원로 85,경상북도 포항시 남구 오천읍 892번지,35.9664376921,129.400406,8970,7400,Y,지하주차장,054-270-4134,오천읍사무소,2020-08-31
"부영1차",공공용,경상북도 포항시 남구 오천읍 남원로 83,경상북도 포항시 남구 오천읍 893-15번지,35.96927886,129.4017983,8970,7400,Y,지하주차장,054-270-4134,오천읍사무소,2020-08-31
"용산타운",공공용,경상북도 포항시 남구 오천읍 정몽주로 164,경상북도 포항시 남구 오천읍 313-5번지,35.94017767,129.3992329,1326,1093,Y,지하주차장,054-270-4134,오천읍사무소,2020-08-31
"천마타운1차",공공용,경상북도 포항시 남구 오천읍 정몽주로 333,경상북도 포항시 남구 오천읍 1188-242번지,35.95006973,129.4093454,4790,3951,Y,지하주차장,054-270-4134,오천읍사무소,2020-08-31
"주은리버타운",공공용,경상북도 포항시 남구 오천읍 해병로 283,경상북도 포항시 남구 오천읍 455번지,35.9704046,129.4117901,4247,3503,Y,지하주차장,054-270-4134,오천읍사무소,2020-08-31
"우방신세계2차",공공용,경상북도 포항시 남구 오천읍 해병로 127,경상북도 포항시 남구 오천읍 463번지,35.98296874,129.406551,3011,2484,Y,지하주차장,054-270-4134,오천읍사무소,2020-08-31
"유강우방타운(102)",공공용,경상북도 포항시 남구 연일읍 유강길 32,경상북도 포항시 남구 연일읍 593-1,36.00681816,129.319038,1093,901,Y,지하주차장,054-270-6813,연일읍사무소,2020-08-31
"유강우방(101)",공공용,경상북도 포항시 남구 연일읍 유강길 32,경상북도 포항시 남구 연일읍 593-1,36.00681816,129.319038,2301,1898,Y,지하주차장,054-270-6813,연일읍사무소,2020-08-31
"유강늘푸른마을",공공용,경상북도 포항시 남구 연일읍 유강길9번길 56,경상북도 포항시 남구 연일읍 581-4번지,36.00536805,129.3153761,921,759,Y,지하주차장,054-270-6813,연일읍사무소,2020-08-31
"대림한숲 3차",공공용,"경상북도 포항시 남구 연일읍 유강길10번길 33-4, 37",경상북도 포항시 남구 연일읍 594-3번지,36.00600779,129.3212453,1738,1433,Y,지하주차장,054-270-6813,연일읍사무소,2020-08-31
"대림한숲타운2차(202)",공공용,경상북도 포항시 남구 연일읍 유강길9번길 57,경상북도 포항시 남구 연일읍 581번지,36.00501014,129.314687,7960,6567,Y,지하주차장,054-270-6813,연일읍사무소,2020-08-31
"대림한숲1차 9P",공공용,"경상북도 포항시 남구 연일읍 유강길9번길 61, 62",경상북도 포항시 남구 연일읍 581-1번지,36.0059692,129.3144799,13800,11385,Y,지하주차장,054-270-6813,연일읍사무소,2020-08-31
