"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"구민회관",공공용,광주광역시 광산구 상무대로 265 (소촌동),광주광역시 광산구 소촌동 528-14,35.14248372,126.7951172,321,389,Y,관공서,062-960-3974,광주광역시 광산구청,2021-08-02
"소촌동 민방위교육장",공공용,광주광역시 광산구 소촌로85번길 14-9 (소촌동),광주광역시 광산구 소촌동 845,35.15262857,126.7912355,666,807,Y,기타,062-960-3974,광주광역시 광산구청,2021-08-02
"호남대학교",공공용,광주광역시 광산구 호남대길 120,광주광역시 광산구 서봉동 59-1,35.14996766,126.7650403,661,801,Y,교육시설,062-960-3974,광주광역시 광산구청,2021-08-02
"임곡농협",공공용,광주광역시 광산구 고봉로 807 (고룡동),광주광역시 광산구 고룡동 780,35.21979643,126.7426222,331,401,Y,금융시설,062-960-3974,광주광역시 광산구청,2021-08-02
"광산구청제2청사",공공용,"광주광역시 광산구 광산로29번길 5 (송정동, 송정2동주민센터광산구의회)",광주광역시 광산구 송정동 828,35.13909154,126.7944227,501,607,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"리버힐아파트상가",공공용,"광주광역시 광산구 우산로 47 (우산동, 리버힐아파트)",광주광역시 광산구 우산동 1602- 2,35.15954215,126.8059767,519,629,Y,상업시설,062-960-3974,광주광역시 광산구청,2021-08-02
"대덕훼미리",공공용,"광주광역시 광산구 우산로96번길 66 (우산동, 대덕아파트상가)",광주광역시 광산구 우산동 1074-1,35.15337741,126.810309,661,801,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"동곡농협하나로마트",공공용,광주광역시 광산구 동곡로 161-21 (하산동),광주광역시 광산구 하산동 139-33,35.09864507,126.7740499504,113,136,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"보라2차아파트",공공용,"광주광역시 광산구 상무대로263번길 17 (소촌동, 보라2차아파트)",광주광역시 광산구 소촌동 536-9,35.14283755,126.7939748,1729,2095,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"농협은행광주영업부",공공용,광주광역시 광산구 무진대로 285 (우산동),광주광역시 광산구 우산동 1588-2,35.16185909,126.8115694,281,340,Y,금융시설,062-960-3974,광주광역시 광산구청,2021-08-02
"한국농어촌공사",공공용,광주광역시 광산구 무진대로 225 (우산동),광주광역시 광산구 우산동 1576- 3,35.16238629,126.8051275,317,384,Y,관공서,062-960-3974,광주광역시 광산구청,2021-08-02
"상수도광산사업소",공공용,"광주광역시 광산구 우산로 81 (우산동, 상수도광산사업소)",광주광역시 광산구 우산동 1029-4,35.15678777,126.8092583,202,244,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"국민은행광산종합금융센터",공공용,광주광역시 광산구 사암로 205 (우산동),광주광역시 광산구 우산동 1582-3,35.16278325,126.8079526,264,320,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"송정동라인2차아파트",공공용,"광주광역시 광산구 상무대로 137-2 (송정동, 송정 라인2차 아파트)",광주광역시 광산구 송정동 918-3,35.1339369,126.7884376,6555,7945,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"첨단대우아파트",공공용,"광주광역시 광산구 첨단중앙로181번길 88-21 (월계동, 첨단대우아파트)",광주광역시 광산구 월계동 755-2,35.21961437,126.8304536,19782,23978,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"건영아파트",공공용,"광주광역시 광산구 첨단중앙로181번길 104 (월계동, 건영아파트)",광주광역시 광산구 월계동 755-5,35.21874626,126.8289042,4323,5240,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"첨단성원아파트",공공용,"광주광역시 광산구 첨단중앙로181번길 92 (월계동, 성원아파트)",광주광역시 광산구 월계동 755-4,35.21847014,126.8309928,7656,9280,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"첨단신동아아파트",공공용,"광주광역시 광산구 첨단중앙로181번길 88-22 (월계동, 신동아아파트)",광주광역시 광산구 월계동 756-2,35.2213437,126.8323316,2412,2923,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"첨단선경아파트",공공용,"광주광역시 광산구 첨단중앙로181번길 42-25 (월계동, 첨단선경아파트)",광주광역시 광산구 월계동 756-3,35.22141022,126.8340322,4356,5280,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"첨단금호타운아파트",공공용,"광주광역시 광산구 첨단중앙로181번길 42-5 (월계동, 첨단금호타운)",광주광역시 광산구 월계동 756-5,35.22127037,126.8359173,5412,6560,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"일신아파트",공공용,"광주광역시 광산구 첨단중앙로181번길 42-14 (월계동, 일신아파트)",광주광역시 광산구 월계동 757-8,35.22154158,126.8378503,2673,3240,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"첨단금광아파트",공공용,"광주광역시 광산구 첨단중앙로181번길 42-4 (월계동, 첨단과학산업단지금광아파트)",광주광역시 광산구 월계동 757-7,35.22114053,126.8380912,8158,9888,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"첨단동부아파트",공공용,"광주광역시 광산구 첨단중앙로 201 (월계동, 첨단동부아파트)",광주광역시 광산구 월계동 757-3,35.22285456,126.8401467,3709,4495,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"벽산아파트",공공용,"광주광역시 광산구 첨단중앙로181번길 16 (월계동, 벽산아파트)",광주광역시 광산구 월계동 757-6,35.22192771,126.8388536,3036,3680,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"첨단모아아파트",공공용,"광주광역시 광산구 첨단중앙로181번길 6 (월계동, 월계동모아아파트)",광주광역시 광산구 월계동 757-5,35.22138056,126.8401947,3379,4095,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"신가중흥2단지",공공용,"광주광역시 광산구 목련로382번길 79 (신가동, 중흥아파트)",광주광역시 광산구 신가동 302-25,35.18110867,126.837076,1653,2003,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"우산장미빌라트",공공용,"광주광역시 광산구 사암로118번길 11-10 (우산동, 장미 빌라트)",광주광역시 광산구 우산동 1050-2,35.15524919,126.808487,900,1090,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"평동농협",공공용,광주광역시 광산구 평동로800번길 16 (옥동),광주광역시 광산구 옥동 218-1,35.1243068,126.7606035,198,240,Y,금융시설,062-960-3974,광주광역시 광산구청,2021-08-02
"화천기공",공공용,광주광역시 광산구 하남산단4번로 123-17 (장덕동),광주광역시 광산구 장덕동 976-1,35.19644527,126.8059844,579,701,Y,상업시설,062-960-3974,광주광역시 광산구청,2021-08-02
"하남농협 지하 주차장",공공용,광주광역시 광산구 사암로 280 (월곡동),광주광역시 광산구 월곡동 548,35.16923891,126.8093519,336,407,Y,금융시설,062-960-3974,광주광역시 광산구청,2021-08-02
"월곡1동주민센터",공공용,"광주광역시 광산구 사암로 306 (월곡동, 월곡1동주민센터)",광주광역시 광산구 월곡동 687-1,35.1717952,126.8097249,139,168,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"한성아파트2차 203동 지하실",공공용,"광주광역시 광산구 월곡산정로 96-21 (월곡동, 한성아파트)",광주광역시 광산구 월곡동 614-2,35.16439529,126.8131136,298,361,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"하남금호아파트 3동, 5동, 10동 지하주차장",공공용,"광주광역시 광산구 월곡산정로 80 (월곡동, 하남금호타운)",광주광역시 광산구 월곡동 613-1,35.16577515,126.8111785,10413,12621,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"서경아파트",공공용,"광주광역시 광산구 도산로 28 (도산동, 서경아파트)",광주광역시 광산구 도산동 1081,35.13097307,126.7920473,1805,2187,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"우미아파트",공공용,"광주광역시 광산구 도산로 26 (도산동, 우미아파트)",광주광역시 광산구 도산동 1077-1,35.13032424,126.7916649,2314,2804,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"대덕아파트",공공용,"광주광역시 광산구 송도로 143 (도산동, 대덕1차아파트)",광주광역시 광산구 도산동 1138-2,35.12777889,126.7915112,919,1113,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"무등아파트",공공용,"광주광역시 광산구 도산로 3 (도산동, 도산동무등아파트)",광주광역시 광산구 도산동 1138-1,35.12864918,126.7915258,710,860,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"호반1차아파트",공공용,"광주광역시 광산구 도산로9번길 35 (도산동, 도산동호반아파트)",광주광역시 광산구 도산동 1136-1,35.12765555,126.7909167,2645,3206,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"청암아파트",공공용,"광주광역시 광산구 남동길30번길 28 (도산동, 청암아파트)",광주광역시 광산구 도산동 1297-3,35.1290516,126.7896726,331,401,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"호반청암빌라트",공공용,"광주광역시 광산구 도산로12번길 17-25 (도산동, 호반청암빌라트)",광주광역시 광산구 도산동 840-1,35.13102136,126.7921896,218,264,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"호반2차아파트",공공용,"광주광역시 광산구 송도로162번길 11-6 (도산동, 호반2차아파트)",광주광역시 광산구 도산동 782,35.12913314,126.7952893,2512,3044,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"대주파크빌",공공용,"광주광역시 광산구 송도로182번길 55 (도산동, 도산동 1차 대주파크빌)",광주광역시 광산구 도산동 790,35.12852863,126.7957907,3306,4007,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"광산구청",공공용,"광주광역시 광산구 광산로29번길 15 (송정동, 광산구청)",광주광역시 광산구 송정동 833-8,35.13964744,126.7936443,5851,7092,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"서라1차아파트",공공용,"광주광역시 광산구 어등대로665번길 27 (소촌동, 소촌동서라아파트)",광주광역시 광산구 소촌동 610,35.14630272,126.7909636,1752,2123,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"대화아파트",공공용,"광주광역시 광산구 어등대로647번길 43 (소촌동, 대화아파트)",광주광역시 광산구 소촌동 440-1,35.14574522,126.7941171,826,1001,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"운남주공 1단지 지하주차장",공공용,광주광역시 광산구 목련로 273번길 76,광주광역시 광산구 운남동 776-1,35.17822307,126.8276327,661,801,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"운남주공 4단지 지하주차장",공공용,"광주광역시 광산구 목련로273번안길 30 (운남동, 운남주공4단지아파트)",광주광역시 광산구 운남동 771-1,35.17887609,126.8212785,797,966,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"운남주공 5단지 지하주차장",공공용,"광주광역시 광산구 하남대로 248-10 (운남동, 운남주공5단지아파트)",광주광역시 광산구 운남동 769-1,35.17906184,126.8188996,6249,7574,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"삼성전자 광주공장",공공용,광주광역시 광산구 하남산단6번로 107 (오선동),광주광역시 광산구 오선동 271,35.20314047,126.8085053,446,540,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"명지아파트",공공용,"광주광역시 광산구 송도로320번길 11 (신촌동, 신촌동명지아파트)",광주광역시 광산구 신촌동 709-2,35.14133533,126.8029055,2310,2800,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"광주여대 지하식당",공공용,광주광역시 광산구 광주여대길 6,광주광역시 광산구 산정동 산 105-1,35.16456289,126.7984629,2096,2540,Y,교육시설,062-960-3974,광주광역시 광산구청,2021-08-02
"일신아파트",공공용,"광주광역시 광산구 사암로 271 (월곡동, 하남일신아파트)",광주광역시 광산구 월곡동 538-1,35.16874636,126.8084673,7604,9216,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"부영아파트",공공용,"광주광역시 광산구 사암로 251 (월곡동, 하남부영아파트)",광주광역시 광산구 월곡동 538-2,35.16734483,126.8082321,3306,4007,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"대덕아파트",공공용,"광주광역시 광산구 산정공원로71번길 18-7 (산정동, 산정동대덕훼미리)",광주광역시 광산구 산정동 933,35.17424659,126.8053946,1653,2003,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"태양아파트",공공용,"광주광역시 광산구 산정공원로71번길 27 (산정동, 태양아파트)",광주광역시 광산구 산정동 939,35.17377561,126.8052126,857,1038,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"대덕아파트",공공용,"광주광역시 광산구 송정로65번길 28 (송정동, 송정동 대덕9차 아파트)",광주광역시 광산구 송정동 230,35.13538219,126.7986799575,972,1178,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"대화아파트",공공용,"광주광역시 광산구 송도로212번길 31-8 (송정동, 대화아파트)",광주광역시 광산구 송정동 202,35.13245918,126.7983613,1059,1283,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"신한화아파트",공공용,"광주광역시 광산구 내상로 80 (송정동, 신한화아파트)",광주광역시 광산구 송정동 266,35.13619823,126.8006643,1322,1602,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"금강아파트",공공용,"광주광역시 광산구 송정로 77 (송정동, 금강아파트)",광주광역시 광산구 송정동 238,35.13518266,126.7998921,2953,3579,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"모아아파트",공공용,"광주광역시 광산구 송도로320번길 16-6 (송정동, 송정동모아아파트)",광주광역시 광산구 송정동 593,35.14085238,126.801968,2481,3007,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
LC빌딩,공공용,광주광역시 광산구 첨단중앙로 96 (월계동),광주광역시 광산구 월계동 889-2,35.21383423,126.8434651,3967,4808,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
3-2차 호반 리빌시빌 아파트,공공용,"광주광역시 광산구 첨단중앙로68번길 100 (산월동, 첨단3-2차호반리젠시빌)",광주광역시 광산구 산월동 884-1,35.21109402,126.8489194,7554,9156,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
3-3차 호반 리젠시빌 아파트,공공용,"광주광역시 광산구 첨단중앙로68번길 134 (산월동, 첨단3-3차호반리젠시빌)",광주광역시 광산구 산월동 884-2,35.20913989,126.8507344,8436,10225,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
3-1차 호반 리젠시빌 아파트,공공용,"광주광역시 광산구 첨단중앙로68번길 60 (산월동, 첨단3-1차호반리젠시빌)",광주광역시 광산구 산월동 885-2,35.2110365,126.8457673,4235,5133,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"첨단부영2차아파트",공공용,"광주광역시 광산구 첨단중앙로68번길 22 (산월동, 부영아파트)",광주광역시 광산구 산월동 885-1,35.21113237,126.8436314,7656,9280,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"첨단부영1차아파트",공공용,"광주광역시 광산구 월계로 170 (산월동, 부영아파트)",광주광역시 광산구 산월동 882-1,35.21300371,126.8455656,9762,11832,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"송정효사랑병원",공공용,"광주광역시 광산구 상무대로 271 (소촌동, 송정효사랑병원)",광주광역시 광산구 소촌동 523-16,35.14292216,126.7954978,770,933,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"모아드림2차아파트",공공용,"광주광역시 광산구 소촌로86번길 17 (소촌동, 모아드림타운)",광주광역시 광산구 소촌동 286,35.15239977,126.7945927,6226,7546,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"서라2차 아파트",공공용,"광주광역시 광산구 어등대로665번길 26 (소촌동, 소촌동서라2차아파트)",광주광역시 광산구 소촌동 612,35.14704116,126.7915635,2251,2728,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"송광2차 파크맨션",공공용,"광주광역시 광산구 어등대로647번길 32 (소촌동, 송광파크맨션)",광주광역시 광산구 소촌동 455,35.14511881,126.7933398,2137,2590,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"라인2차아파트",공공용,"광주광역시 광산구 금봉로 18 (소촌동, 소촌2차라인아파트)",광주광역시 광산구 소촌동 97,35.15143409,126.8008777,1841,2231,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"비아호반아파트",공공용,"광주광역시 광산구 비아로 185 (비아동, 하남지구호반아파트)",광주광역시 광산구 비아동 152-5,35.22309737,126.8238953,7822,9481,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"도천중흥아파트",공공용,"광주광역시 광산구 비아로62번길 7 (도천동, 중흥아파트)",광주광역시 광산구 도천동 627-1,35.21984328,126.8178367,2749,3332,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"신창호반5차 아파트",공공용,"광주광역시 광산구 왕버들로251번길 27 (신창동, 신창5차호반베르디움)",광주광역시 광산구 신창동 1111,35.19762893,126.8353206,18765,22745,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
"남양휴튼1차 지하주차장",공공용,"광주광역시 광산구 신창로131번길 10 (신창동, 신창1차남양휴튼)",광주광역시 광산구 신창동 1121,35.19775944,126.8378522,11288,13682,Y,지하주차장,062-960-3974,광주광역시 광산구청,2021-08-02
