"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"농성초교대피소",공공용,"광주광역시 남구 금화로446번길 18 (월산동, 월산동보라아파트)",광주광역시 남구 월산동 976-1,35.145469,126.8934139,1064,1290,Y,교육장,062-607-4676,월산4동,2020-12-22
"지원빌딩",정부지원,광주광역시 남구 금화로481번길 7 (농성초등학교),광주광역시 남구 월산동 914-1,35.14822933,126.8906975,331,231,Y,지하주차장,062-607-4676,월산4동,2020-12-22
"신촌빌딩",공공용,"광주광역시 남구 대남대로 365 (월산동, 농협중앙회)",,35.143847,126.891389,509,617,Y,지하주차장,062-607-4676,월산4동,2020-12-22
"(월산동)더 메드리츠 빌딩",공공용,"광주광역시 남구 대남대로 373-1 (월산동, 연합내과의원)",,35.144528,126.890825,674,817,Y,지하주차장,062-607-4676,월산4동,2020-12-22
"남부교회 (지하 예배당)",공공용,"광주광역시 남구 군분로62번길 7 (월산동, 광주남부교회)",광주광역시 남구 월산동 1033-8,35.139344,126.893497,315,382,Y,예배당,062-607-4707,월산5동,2020-12-22
"제일맨션 (월산5동, 정문 지하)",공공용,"광주광역시 남구 군분로99번길 5 (월산동, 제일맨션)",광주광역시 남구 월산동 1005-3,35.141275,126.890066,587,712,Y,지하주차장,062-607-4707,월산5동,2020-12-22
"광주은행주월지점( 건물 지하 왼편)",공공용,"광주광역시 남구 대남대로 289 (월산동, 광주광역시새마을회관)",,35.13796556,126.895881,267,324,Y,창고,062-607-4707,월산5동,2020-12-22
"베스트 클리닉 빌딩",공공용,"광주광역시 남구 대남대로 301 (월산동, 베스트클리닉빌딩)",,35.138947,126.895167,323,392,Y,식당,062-607-4707,월산5동,2020-12-22
"신우아파트(1동3~4,3동1~2,8동7~8라인 지하)",공공용,"광주광역시 남구 대남대로294번길 7 (월산동, 신우아파트)",광주광역시 남구 월산동 110-5,35.13904857,126.8974691,6400,7758,Y,지하주차장,062-607-4707,월산5동,2020-12-22
"대명빌딩",공공용,"광주광역시 남구 대남대로317번길 4 (월산동, 대명빌딩)",광주광역시 남구 월산동 1026-6,35.140122,126.893886,239,290,Y,지하주차장,062-607-4707,월산5동,2020-12-22
"라인아파트 (월산5동, 지하 주차장)",공공용,"광주광역시 남구 수박등로48번길 7 (월산동, 월산동라인아파트)",광주광역시 남구 월산동 606-3,35.14281178,126.8964373,613,743,Y,지하주차장,062-607-4707,월산5동,2020-12-22
"백운현대아파트주차장 (백운1동)",공공용,광주광역시 남구 독립로54번길 29 (백운동),광주광역시 남구 백운동 46-1,35.138714,126.904597,2347,2845,Y,지하주차장,062-607-4728,백운1동,2020-12-22
"벽산아파트주차장(백운1동)",공공용,광주광역시 남구 독립로54번길 8 (백운동),광주광역시 남구 백운동 26-5,35.13800301,126.9018507,6988,8470,Y,지하주차장,062-607-4728,백운1동,2020-12-22
"송촌아파트주차장(백운1동)",공공용,광주광역시 남구 독립로80번길 10-1 (백운동),광주광역시 남구 백운동 32-1,35.1405751,126.9035989,316,383,Y,지하주차장,062-607-4728,백운1동,2020-12-22
"백운휴먼시아1차아파트(백운1동)",공공용,광주광역시 남구 독립로80번길 7 (백운동),광주광역시 남구 백운동 691,35.14277486,126.9041538,16566,20080,Y,지하주차장,062-607-4728,백운1동,2020-12-22
"백운휴먼시아2차아파트(백운1동)",공공용,광주광역시 남구 독립로80번길 8 (백운동),광주광역시 남구 백운동 693,35.140442,126.902789,3857,4675,Y,지하주차장,062-607-4728,백운1동,2020-12-22
"백운휴먼시아3차아파트(백운1동)",공공용,광주광역시 남구 백운로 100 (백운동),광주광역시 남구 백운동 686,35.14238039,126.9068757,6118,7416,Y,지하주차장,062-607-4728,백운1동,2020-12-22
"목우아파트(백운1동)",공공용,광주광역시 남구 백운로66번길 8 (백운동),광주광역시 남구 백운동 461-1,35.1387694,126.9068008,1264,1532,Y,지하주차장,062-607-4728,백운1동,2020-12-22
"사직스카이 아파트 주차장",공공용,광주광역시 남구 제중로 123 (백운동),광주광역시 남구 백운동 409,35.14166039,126.908336,1904,2308,Y,지하주차장,062-607-4728,백운1동,2020-12-22
"동아일보광주지사",공공용,"광주광역시 남구 독립로 65 (백운동, 동아일보)",광주광역시 남구 백운동 203-2,35.1396469,126.901667,906,1098,Y,지하주차장,062-607-4755,백운2동,2020-12-22
"백운동 대주아파트102동",공공용,"광주광역시 남구 독립로10번길 13 (백운동, 대주아파트)",광주광역시 남구 백운동 629-2,35.13465797,126.9028598,562,681,Y,지하주차장,062-607-4755,백운2동,2020-12-22
"백운동 대주아파트 101동",공공용,"광주광역시 남구 독립로10번길 14 (백운동, 대주아파트)",광주광역시 남구 백운동 632-1,35.13445254,126.9029698,430,521,Y,지하주차장,062-607-4755,백운2동,2020-12-22
"한국통신남광주전화분국",공공용,"광주광역시 남구 백서로 14 (백운동, KT남광주지점)",,35.1361123034,126.9104497435,1333,1616,Y,지하주차장,062-607-4755,백운2동,2020-12-22
"백운동 대주아파트103동",공공용,"광주광역시 남구 백양로7번길 16-7 (백운동, 대주아파트)",,35.135278,126.903114,304,368,Y,지하주차장,062-607-4755,백운2동,2020-12-22
"광주서남교회(백운동)",공공용,"광주광역시 남구 진다리로 12 (백운동, 광주서남교회)",광주광역시 남구 백운동 619-7,35.136758,126.9025545,1612,1954,Y,예배당,062-607-4755,백운2동,2020-12-22
"힐스테이트백운",공공용,"광주광역시 남구 회재로1293번길 7 (백운동, 힐스테이트백운)",,35.13665719,126.9006322,12807,15524,Y,지하주차장,062-607-4755,백운2동,2020-12-22
"한양아파트",공공용,"광주광역시 남구 광복마을7길 31 (주월동, 한양아파트)",광주광역시 남구 주월동 450-2,35.12721562,126.8934552,1578,1913,Y,지하주차장,062-607-4783,주월1동,2020-12-22
"덕산아파트",공공용,"광주광역시 남구 봉선로84번길 7 (주월동, 덕산아파트)",광주광역시 남구 주월동 1021-53,35.12593434,126.9048362,2438,2955,Y,지하주차장,062-607-4783,주월1동,2020-12-22
"신천그린아파트",공공용,"광주광역시 남구 서문대로 760 (주월동, 신천그린아파트)",광주광역시 남구 주월동 1240-1,35.127131,126.899099,1336,1619,Y,지하주차장,062-607-4783,주월1동,2020-12-22
"라인가든아파트",공공용,"광주광역시 남구 서문대로 766 (주월동, 라인가든아파트)",,35.127975,126.8979745,1396,1692,Y,지하주차장,062-607-4783,주월1동,2020-12-22
"경남아파트",공공용,"광주광역시 남구 옹정길 21 (주월동, 경남아파트)",광주광역시 남구 주월동 1134,35.12754422,126.9026225,3588,4349,Y,지하주차장,062-607-4783,주월1동,2020-12-22
"서강아파트",공공용,"광주광역시 남구 회서로21번길 13 (주월동, 서강아파트)",광주광역시 남구 주월동 485-2,35.13138124,126.8949639,1700,2061,Y,지하주차장,062-607-4783,주월1동,2020-12-22
"호반베르디움 2차",공공용,"광주광역시 남구 회재로 1174-14 (주월동, 호반베르디움2차)",광주광역시 남구 주월동 535,35.13021562,126.889778,1502,1821,Y,지하주차장,062-607-4783,주월1동,2020-12-22
"호반베르디움1차",공공용,"광주광역시 남구 회재로1186번길 24 (주월동, 주월동호반베르디움1차)",광주광역시 남구 주월동 458-1,35.13017724,126.8911386,1823,2210,Y,지하주차장,062-607-4783,주월1동,2020-12-22
"현대2차아파트",공공용,"광주광역시 남구 회재로1186번길 29 (주월동, 현대아파트)",광주광역시 남구 주월동 456,35.12934917,126.892465,3877,4699,Y,지하주차장,062-607-4783,주월1동,2020-12-22
"현대1차아파트",공공용,"광주광역시 남구 회재로1186번길 52 (주월동, 현대아파트)",,35.12753919,126.8924104,1062,1287,Y,지하주차장,062-607-4783,주월1동,2020-12-22
"주월성당주차장",공공용,광주광역시 남구 군분로65번길 34 (주월동),광주광역시 남구 주월동 693,35.13807865,126.889275,1556,1886,Y,지하주차장,062-607-4803,주월2동,2020-12-22
"주월1차영무예다음",공공용,광주광역시 남구 금화로376번길 21 (주월동),,35.1401357,126.8884391,4542,5505,Y,지하주차장,062-607-4803,주월2동,2020-12-22
"명지아파트(주월2동)",공공용,광주광역시 남구 금화로376번길 34 (주월동),광주광역시 남구 주월동 700,35.13900823,126.8885284,1889,2290,Y,지하주차장,062-607-4803,주월2동,2020-12-22
"주월2차영무예다음",공공용,광주광역시 남구 금화로376번길 9 (주월동),광주광역시 남구 주월동 716-1,35.140708,126.8879248,2072,2512,Y,지하주차장,062-607-4803,주월2동,2020-12-22
"해태2차아파트",공공용,광주광역시 남구 회재로 1201 (주월동),광주광역시 남구 주월동 29,35.132997,126.8925831,2178,2640,Y,지하주차장,062-607-4803,주월2동,2020-12-22
"해태아파트",공공용,광주광역시 남구 회재로1173번길 40 (주월동),광주광역시 남구 주월동 81-2,35.13460541,126.8918832,4012,4863,Y,지하주차장,062-607-4803,주월2동,2020-12-22
"진월지구남양휴튼",공공용,광주광역시 남구 노대실로 26 (진월지구남양휴튼아파트),광주광역시 남구 노대동 839,35.10691189,126.9048057,9705,11764,Y,지하주차장,062-607-4828,효덕동,2020-12-22
"송화휴먼시아5단지",공공용,광주광역시 남구 노대실로 33 (송화마을휴먼시아),광주광역시 남구 노대동 827,35.1061994232,126.9079259,12225,14818,Y,지하주차장,062-607-4828,효덕동,2020-12-22
"송화휴먼시아6단지",공공용,광주광역시 남구 노대실로 49 (송화마을휴먼시아),광주광역시 남구 노대동 835,35.1046508,126.9089017,2634,3193,Y,지하주차장,062-607-4828,효덕동,2020-12-22
"송화휴먼시아7단지",공공용,광주광역시 남구 노대실로 89 (송화마을휴먼시아),광주광역시 남구 노대동 871,35.10245872,126.9042844,18710,22679,Y,지하주차장,062-607-4828,효덕동,2020-12-22
"광주은행(진월동)",공공용,"광주광역시 남구 서문대로 735 (진월동, 광주은행진월동지점)",,35.124836,126.897647,697,845,Y,지하주차장,062-607-4828,효덕동,2020-12-22
"현대아파트",공공용,광주광역시 남구 서문대로622번길 7 (진월동),광주광역시 남구 진월동 481-4,35.11578701,126.8984724,2707,3281,Y,지하주차장,062-607-4828,효덕동,2020-12-22
"동성중학교",공공용,광주광역시 남구 서문대로627번길 20 (진월동),광주광역시 남구 진월동 406,35.1154825314,126.8935343682,7924,9605,Y,체육관,062-607-4828,효덕동,2020-12-22
"삼익2차아파트",공공용,광주광역시 남구 서문대로654번길 24,광주광역시 남구 진월동 470-1,35.11672256,126.9005643,1652,2002,Y,지하주차장,062-607-4828,효덕동,2020-12-22
"대주1차아파트",공공용,"광주광역시 남구 서문대로678번길 7 (진월동, 대주아파트)",광주광역시 남구 진월동 249,35.12093315,126.8998439,5414,6562,Y,지하주차장,062-607-4828,효덕동,2020-12-22
