"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"광주은행본점",공공용,광주광역시 동구 제봉로 225(대인동),,35.15482724,126.9128802,2790,3382,Y,,,광주광역시 동구청,2020-10-20
"충금지하상가",공공용,광주광역시 동구 중앙로 지하 187(충장로3가),,35.14977023,126.9148873,30558,37040,Y,,,광주광역시 동구청,2020-10-20
"대인지하도",공공용,광주광역시 동구 독립로 284-2(대인동),,35.1561216,126.912892,479,580,Y,,,광주광역시 동구청,2020-10-20
"금남로4가역",공공용,광주광역시 동구 금남로 지하 210(금남로4가),,35.150598,126.9148119,13075,15848,Y,,,광주광역시 동구청,2020-10-20
"금남로5가역",공공용,광주광역시 동구 금남로 148(금남로5가),,35.153226,126.910033,1719,2083,Y,,,광주광역시 동구청,2020-10-20
"광주중앙도서관",공공용,광주광역시 동구 장동로 23-16(동명동),,35.14838179,126.9252986,159,192,Y,,,광주광역시 동구청,2020-10-20
"동명교회",공공용,광주광역시 동구 동명로20번길 31(동명동),,35.15064683,126.9266378,638,773,Y,,,광주광역시 동구청,2020-10-20
"광주은행 계림지점",공공용,광주광역시 동구 중앙로 240(동명동),,35.153127,126.9196688,327,396,Y,,,광주광역시 동구청,2020-10-20
"금석빌라",공공용,광주광역시 동구 동명로14번길 9(동명동),,35.150258,126.924196,538,652,Y,,,광주광역시 동구청,2020-10-20
"보성빌딩",공공용,광주광역시 동구 서암대로 324(계림동),,35.164672,126.918784,309,374,Y,,,광주광역시 동구청,2020-10-20
"새한건설",공공용,광주광역시 동구 독립로 324(계림동),,35.159335,126.914381,1348,1633,Y,,,광주광역시 동구청,2020-10-20
sk브로드밴드,공공용,광주광역시 동구 무등로 332(계림동),,35.161313,126.919178,345,418,Y,,,광주광역시 동구청,2020-10-20
"마사회광주지점",공공용,광주광역시 동구 구성로 257(계림동),,35.157407,126.918548,2431,2946,Y,,,광주광역시 동구청,2020-10-20
"미즈프라자",공공용,광주광역시 동구 중앙로 239(계림동),,35.153678,126.919244,529,641,Y,,,광주광역시 동구청,2020-10-20
"호남직업전문학교",공공용,광주광역시 동구 무등로 339(계림동),,35.16160323,126.9200995,291,352,Y,,,광주광역시 동구청,2020-10-20
"고려요양병원",공공용,광주광역시 동구 구성로 268(계림동),,35.15760451,126.9196692,466,564,Y,,,광주광역시 동구청,2020-10-20
"계림초등학교",정부지원,광주광역시 동구 중앙로 320(계림동),,35.16040745,126.9219754,388,470,N,,,광주광역시 동구청,2020-10-20
"금호타운",공공용,"광주광역시 동구 필문대로 12-7(계림동,금호A)",,35.16401953,126.9210982,5313,6440,Y,,,광주광역시 동구청,2020-10-20
"두산위브아파트",공공용,"광주광역시 동구 무등로 374(계림동,두산위브A)",,35.15878268,126.9239979,5361,6498,Y,,,광주광역시 동구청,2020-10-20
"동진맨션",공공용,"광주광역시 동구 무등로 417-9(산수동,동진맨션)",,35.15870245,126.9284174,341,413,Y,,,광주광역시 동구청,2020-10-20
